Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,RunPassOptionPercentage
Skylar Thompson,MIA,QB,2,2,2,,,,,,-0.4884,2,,,,,,,52,,,No,No,1,0.5,0.7503,0.1248,No,1,1,0.5,,,0.5,,2.75,2.1,26,39.6,No,No,,,,,,,,,,,,,,,3,,
Jake Haener,NO,QB,3,3,3,0.3333,,,,,-0.4976,3,,,,,,-15,59,,1,No,Yes,2,0.6667,1.7724,0.0759,No,0.6667,1,0.3333,0.3333,0.3333,0.3333,0.3333,4,3.35,19.6667,,No,No,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,8,,
Josh Allen,BUF,QB,46,46,46,0.5217,3,18,0.3913,0.5238,0.0922,46,116,0.087,599,13.0217,0.2287,14.3261,1117,3,,No,No,25,0.5435,27.4183,-0.0526,No,0.3696,30,0.6522,0.0217,0.3043,0.4783,0.3261,4.0304,2.512,26.5952,108.5,No,No,18,35.96,35.96,35.96,35.96,35.96,38.96,38.96,35.96,35.96,35.96,35.96,41.95,41.95,17,4,
Drew Lock,NYG,QB,14,14,14,0.6429,3,5,0.3571,0.5,0.0697,14,71,0.1429,131,9.3571,0.1832,10.7857,353,1,,Yes,Yes,6,0.4286,5.8735,0.009,No,0.3571,11,0.7857,,0.2143,0.8571,0.1429,3.0071,2.3833,25.2143,94.6,No,Yes,5,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,10.55,10.55,7,,
Jameis Winston,CLV,QB,22,22,22,0.4545,5,9,0.4091,0.4091,-0.069,22,,,194,8.8182,0.067,4.5,490,2,3,No,Yes,6,0.2727,9.3924,-0.1542,No,0.5,13,0.5909,0.0909,0.1364,0.6818,0.1818,3.05,2.3333,22.2727,63.6,No,No,9,12.76,12.76,12.76,12.76,12.76,12.76,12.76,9.76,9.76,9.76,9.76,14.7,11.7,12,,
Sam Howell,SEA,QB,2,2,2,,,,,,-0.5183,2,,,,,,-22.5,38,,1,No,No,,,0.6986,-0.3493,No,0.5,1,0.5,0.5,,1,,2.6,,19,,No,No,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,2,,
Derek Carr,NO,QB,29,28,28,0.6071,6,12,0.4286,0.4615,0.0185,28,,,285,10.1786,0.1298,11.4286,656,4,1,No,No,6,0.2143,12.1782,-0.2206,Yes,0.3214,17,0.6071,0.0714,0.1429,0.75,0.2857,3.0964,2.6667,25.2308,104.9,No,No,12,26.4,26.4,26.4,26.4,26.4,26.4,26.4,25.4,25.4,25.4,25.4,29.25,28.25,10,2,
Bryce Young,CAR,QB,38,37,37,0.6216,1,15,0.4054,0.5556,0.0806,37,117,0.1351,441,11.9189,0.2925,10.5676,811,2,2,No,Yes,16,0.4324,15.9084,0.0025,No,0.3243,22,0.5946,0.0541,0.3514,0.6486,0.5676,3.0676,2.3875,22.5278,81,Yes,No,15,23.64,23.64,23.64,23.64,23.64,26.64,26.64,21.64,21.64,21.64,21.64,28.05,26.05,14,1,
Jordan Love,GB,QB,36,36,36,0.6389,4,18,0.5,0.6,0.1712,36,106,0.0833,571,15.8611,0.1926,15.7222,974,2,1,Yes,No,17,0.4722,18.3708,-0.0381,No,0.3056,26,0.7222,0.0833,0.1389,0.5833,0.3333,3.5333,2.5941,27.8286,102.8,Yes,Yes,18,29.84,29.84,29.84,29.84,29.84,32.84,32.84,28.84,28.84,28.84,28.84,35.55,34.55,15,1,
Tim Boyle,NYG,QB,6,6,6,0.3333,1,2,0.3333,0.3333,-0.1598,6,,,48,8,,11.3333,124,1,,No,No,3,0.5,1.6645,0.2226,Yes,0.5,3,0.5,0.1667,,1,,2.1833,1.9333,20.6667,102.8,No,Yes,2,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,6.4,6.4,3,,
