Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,TouchdownsTotal,PressuredTotal,PressuredPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadCheckdownPercentage,AverageTimeToPressure,HeroThrowPercentage
Aaron Rodgers,NYJ,QB,190,190,190,0.8474,145,0.7632,0.827,0.0038,190,1178,6.2,0.7131,6.7,635,1,Yes,No,51.7563,-0.1145,Yes,0.1105,0.1158,0.7737,0.6105,2.1542,3.4324,101.6,No,No,65,74.12,74.12,74.12,74.12,74.12,77.12,77.12,73.12,73.12,73.12,73.12,85.9,84.9,17,8,3,2,33,0.0421,7,30,0.1579,,,,0.0737,2.4033,0.0105
Baker Mayfield,TB,QB,167,166,166,0.8795,133,0.8012,0.875,0.0595,166,1244,7.494,0.7749,8.5181,469,2,No,No,45.9778,-0.1685,Yes,0.0542,0.0843,0.753,0.6325,2.1807,2.9312,119,No,Yes,65,99.76,99.76,99.76,99.76,99.76,102.76,102.76,97.76,97.76,97.76,97.76,112.2,110.2,17,11,2,4,48,0.0422,13,18,0.1084,,,0.0301,0.0964,2.5167,0.006
Deshaun Watson,CLV,QB,79,79,79,0.7848,55,0.6962,0.8108,-0.014,79,372,4.7089,0.6962,4.6456,242,1,No,Yes,28.8712,-0.011,Yes,0.0127,0.1519,0.6709,0.4937,2.6937,3.2267,82.9,No,Yes,13,21.88,21.88,21.88,21.88,21.88,24.88,24.88,20.88,20.88,20.88,20.88,25.6,24.6,7,2,4,,23,0.0633,2,28,0.3544,,,,0.0886,2.375,
Dak Prescott,DAL,QB,66,66,66,0.8182,54,0.8182,0.8438,0.0445,66,430,6.5152,0.5791,5.3788,278,3,Yes,No,21.4495,-0.1735,No,0.0455,0.1515,0.8182,0.5152,2.4591,4.3438,90,No,Yes,21,26.2,26.2,26.2,26.2,26.2,29.2,29.2,23.2,23.2,23.2,23.2,30.5,27.5,8,4,2,,,,3,10,0.1515,,,0.0455,0.0606,3.02,
Spencer Rattler,NO,QB,57,57,57,0.7719,37,0.6491,0.8269,0.0007,57,314,5.5088,0.7548,5.4211,161,1,No,Yes,16.6326,-0.0988,Yes,,0.1228,0.6667,0.5439,2.2667,3.0377,83.5,No,Yes,15,19.56,19.56,19.56,19.56,19.56,22.56,22.56,18.56,18.56,18.56,18.56,22.7,21.7,7,3,3,1,14,0.1053,2,11,0.193,,,0.0175,0.1053,2.4364,0.0175
Carson Wentz,KC,QB,5,5,5,0.6,3,0.6,0.6,-0.2735,5,3,0.6,3,0.6,3,,Yes,No,0.9358,0.0128,No,0.2,0.4,0.8,0.6,1.66,0.6,64.6,No,Yes,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,3,,,,,,,1,0.2,,,,0.2,1.3,
Marcus Mariota,WAS,QB,15,15,15,0.9333,13,0.8667,0.8667,0.1076,15,116,7.7333,0.5086,9.0667,92,,No,No,3.8077,-0.1872,Yes,0.0667,0.0667,0.8667,0.4667,2.0467,6.1333,121.1,Yes,Yes,8,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,9.8,9.8,3,1,,,,,1,1,0.0667,,,,,1.2,
Joe Milton,NE,QB,8,8,8,0.875,7,0.875,1,0.2721,8,71,8.875,0.1972,8.875,57,,Yes,No,3.6569,-0.2071,No,0.125,,0.75,0.625,3.225,8.1429,103.6,No,Yes,5,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,3.55,3.55,1,,1,,,,,2,0.25,,,,0.125,2.45,
Hendon Hooker,DET,QB,2,2,2,1,2,1,1,0.1783,2,11,5.5,0.1818,5.5,9,,Yes,No,0.4743,-0.2372,No,,,1,0.5,1.95,4.5,89.6,No,Yes,1,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,3,,,,,,,,,,,,,,
Tyler Huntley,MIA,QB,37,37,37,0.7838,26,0.7027,0.7941,-0.0137,37,222,6,0.6667,6.4054,132,1,No,No,9.2499,-0.0608,No,0.027,0.1081,0.7838,0.5135,2.0243,3.5676,101.4,No,Yes,13,19.88,19.88,19.88,19.88,19.88,19.88,19.88,18.88,18.88,18.88,18.88,22.1,21.1,5,3,,,11,0.027,3,7,0.1892,,,,0.0541,2.1714,
Justin Herbert,LAC,QB,118,118,118,0.7966,82,0.6949,0.8224,0.0119,118,744,6.3051,0.6559,6.6441,409,,No,No,33.5808,-0.1151,No,0.0339,0.0932,0.6864,0.5678,2.2248,3.8224,91.9,No,Yes,36,37.76,37.76,37.76,37.76,37.76,40.76,40.76,37.76,37.76,37.76,37.76,45.2,45.2,17,2,5,6,10,0.0508,2,20,0.1695,,,,0.0424,2.295,0.0085
Geno Smith,SEA,QB,160,160,160,0.8313,124,0.775,0.8235,0.0043,160,1002,6.2625,0.6836,5.825,516,2,Yes,No,49.264,-0.1579,No,0.0563,0.1125,0.6562,0.575,2.36,3.3725,89.6,No,Yes,56,42.08,42.08,42.08,42.08,42.08,45.08,45.08,40.08,40.08,40.08,40.08,52.1,50.1,17,8,,7,6,0.0125,1,24,0.15,,,0.0187,0.0688,2.475,0.0063
Drake Maye,NE,QB,96,96,96,0.75,69,0.7188,0.8235,-0.0001,96,568,5.9167,0.6813,6.4896,289,1,No,No,27.478,-0.0675,No,0.0833,0.125,0.75,0.5312,2.2344,3.4,99.7,No,No,27,41.72,41.72,41.72,41.72,41.72,44.72,44.72,40.72,40.72,40.72,40.72,47.4,46.4,13,5,8,3,2,0.0104,5,21,0.2188,,,0.0104,0.0625,2.1429,0.0104
Aidan O'Connell,LV,QB,77,77,77,0.8312,54,0.7013,0.7973,-0.0197,77,411,5.3377,0.5766,5.013,276,1,No,No,24.9469,-0.1162,No,0.013,0.1299,0.6364,0.5065,2.4532,3.68,81.7,No,Yes,22,19.44,19.44,19.44,19.44,19.44,22.44,22.44,18.44,18.44,18.44,18.44,23.55,22.55,9,4,2,,8,0.0649,1,16,0.2078,,,0.013,0.0779,2.7938,0.013
Matthew Stafford,LA,QB,164,164,164,0.7622,111,0.6768,0.7727,-0.0387,164,841,5.128,0.7622,5.0976,526,1,No,No,52.2137,-0.105,No,0.0183,0.1585,0.7073,0.5549,2.4207,3.4423,81.4,No,No,39,40.64,40.64,40.64,40.64,40.64,43.64,43.64,39.64,39.64,39.64,39.64,49.05,48.05,16,9,4,4,38,0.0488,2,35,0.2134,2,0.0122,0.0305,0.0549,2.2571,
Tyson Bagent,CHI,QB,1,1,1,1,1,1,1,0.0587,1,5,5,1.6,5,-3,,Yes,No,0.1595,-0.1595,No,1,,1,1,1.5,-3,87.5,No,Yes,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,,,,,,,,,,,,,,
Patrick Mahomes,KC,QB,173,173,173,0.8092,129,0.7457,0.8553,0.0259,173,1137,6.5723,0.7353,7.3815,481,,No,No,50.5791,-0.0496,No,0.104,0.0809,0.6763,0.4855,2.2699,3.0252,105.1,No,Yes,71,73.48,73.48,73.48,73.48,73.48,76.48,76.48,73.48,73.48,73.48,73.48,84.85,84.85,16,5,10,4,27,0.0405,7,42,0.2428,,,,0.1098,2.631,0.0116
Justin Fields,PIT,QB,54,54,54,0.7778,37,0.6852,0.8,-0.0019,54,313,5.7963,0.4984,6.9074,227,,No,No,19.2589,-0.1159,No,,0.1296,0.7037,0.5185,2.6426,4.54,101.9,No,No,11,24.52,24.52,24.52,24.52,24.52,27.52,27.52,24.52,24.52,24.52,24.52,27.65,27.65,10,4,2,2,3,0.0556,3,13,0.2407,,,,0.1481,2.8769,
Brock Purdy,SF,QB,143,143,143,0.7692,97,0.6783,0.8015,0.0146,143,956,6.6853,0.5167,6.7203,674,3,No,No,47.7074,-0.0539,No,0.028,0.1399,0.6853,0.4266,2.5091,5.0677,94,No,Yes,51,63.24,63.24,63.24,63.24,63.24,66.24,66.24,60.24,60.24,60.24,60.24,72.8,69.8,15,8,4,6,20,0.0559,7,40,0.2797,,,0.021,0.0559,2.375,0.014
Gardner Minshew,LV,QB,93,93,93,0.8065,70,0.7527,0.8256,-0.0028,93,558,6,0.6703,5.6774,268,2,No,No,26.0955,-0.087,Yes,0.043,0.1183,0.6774,0.5054,2.2017,3.1163,91.6,Yes,Yes,35,32.32,32.32,32.32,32.32,32.32,35.32,35.32,30.32,30.32,30.32,30.32,37.9,35.9,10,4,4,3,-1,0.0108,3,18,0.1935,1,0.0108,0.0215,0.1075,2.2833,
