Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,IncompletionsThrownAway,DropsYardsLost,DropsPercentage,TouchdownsTotal,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage,RunPassOptionPercentage
Joshua Dobbs,SF,QB,9,9,9,0.8889,1,7,0.7778,0.8889,0.1395,9,71,7.8889,0.3099,10.1111,64,No,No,2,0.2222,1.9017,0.0109,No,0.1111,,,0.5556,,0.6667,1.8,2.1,7.1111,136.6,Yes,Yes,5,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,7.55,7.55,2,,,6,0.1111,1,,,,
Joe Burrow,CIN,QB,123,123,123,0.8537,15,94,0.7642,0.8707,0.1091,123,934,7.5935,0.4775,9.3415,726,Yes,Yes,31,0.252,41.4459,-0.0849,Yes,0.0813,,,0.561,0.1057,0.6341,2.5285,2.4387,6.2051,129.3,Yes,Yes,59,88.36,88.36,88.36,88.36,88.36,91.36,91.36,87.36,87.36,87.36,87.36,97.7,96.7,17,,6,62,0.0569,13,1,0.0163,0.0407,0.0081
Trevor Lawrence,JAX,QB,46,46,46,0.7826,5,29,0.6304,0.7111,-0.0431,46,325,7.0652,0.4154,5.9783,324,No,No,8,0.1739,14.6015,-0.1435,No,0.1957,1,0.0217,0.587,0.1739,0.587,2.4152,2.1625,7.2,80.4,No,No,20,19,19,19,19,19,22,22,17,17,17,17,22.25,20.25,10,1,,14,0.0652,2,2,0.0217,0.0217,
Jimmy Garoppolo,LA,QB,4,4,4,1,,3,0.75,0.75,0.0083,4,28,7,0.3214,7,31,No,No,1,0.25,1.5007,-0.1252,No,,,,0.25,,1,2.75,2.6,7.75,93.8,Yes,Yes,2,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,1,,,,,,,,,
Bo Nix,DEN,QB,87,87,87,0.7586,7,57,0.6552,0.7595,-0.0003,87,574,6.5977,0.4355,6.4253,532,No,No,19,0.2184,29.5266,-0.121,No,0.1264,,,0.4253,0.1379,0.6092,2.5425,2.4895,6.6914,92.8,No,Yes,30,43.96,43.96,43.96,43.96,43.96,46.96,46.96,40.96,40.96,40.96,40.96,49.7,46.7,17,5,1,28,0.0345,6,3,0.0345,,0.023
Jayden Daniels,WAS,QB,113,113,113,0.7345,8,73,0.646,0.7596,-0.0031,113,740,6.5487,0.4811,5.8407,648,No,No,20,0.177,33.3126,-0.1178,No,0.177,1,0.0088,0.5487,0.1062,0.5044,2.2841,2.61,6.2308,83.2,No,No,42,45.6,45.6,45.6,45.6,45.6,48.6,48.6,41.6,41.6,41.6,41.6,53,49,17,5,4,36,0.0531,5,4,0.0177,0.0177,0.0265
Brandon Allen,SF,QB,4,4,4,0.75,1,3,0.75,0.75,0.0072,4,17,4.25,0.4706,9.25,31,No,No,1,0.25,1.1212,-0.0303,No,0.25,,,0.5,0.25,0.5,2.2,1.9,7.75,121.9,No,No,1,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.85,4.85,3,,,,,1,,0.25,,
Andy Dalton,CAR,QB,30,30,30,0.9,2,23,0.7667,0.931,0.1359,30,229,7.6333,0.524,6.8,149,No,No,4,0.1333,7.8397,-0.128,Yes,0.0667,,,0.8,0.1,0.6333,2.09,2.05,4.9667,95,No,Yes,10,12.16,12.16,12.16,12.16,12.16,12.16,12.16,11.16,11.16,11.16,11.16,14.45,13.45,6,,,26,0.1333,1,1,0.0333,,0.0333
Sam Darnold,MIN,QB,88,88,88,0.7955,5,58,0.6591,0.7949,0.0422,88,627,7.125,0.4386,6.7841,537,No,No,31,0.3523,35.6202,-0.0525,No,0.0909,,,0.4773,0.0682,0.5795,2.9216,2.8,6.6049,88.6,Yes,Yes,33,35.08,35.08,35.08,35.08,35.08,38.08,38.08,33.08,33.08,33.08,33.08,41.35,39.35,17,3,4,16,0.0455,3,2,0.0455,0.0114,
Bailey Zappe,CLV,QB,6,6,6,0.3333,1,2,0.3333,0.3333,-0.3928,6,29,4.8333,0.2414,-2.6667,50,No,No,,,1.9061,-0.3177,Yes,0.6667,,,0.6667,0.3333,0.3333,2.4167,,8.3333,10.4,No,No,1,0.16,0.16,0.16,0.16,0.16,0.16,0.16,-0.84,-0.84,-0.84,-0.84,0.45,-0.55,1,,,,,,1,0.5,,0.1667
Dorian Thompson-Robinson,CLV,QB,15,15,15,0.8,,9,0.6,0.7857,-0.0065,15,92,6.1333,0.4022,3.1333,76,No,No,3,0.2,3.8077,-0.0538,No,0.1333,,,0.6667,0.0667,0.4,2.0467,2.1,5.4286,49.9,No,No,6,2.68,2.68,2.68,2.68,2.68,2.68,2.68,1.68,1.68,1.68,1.68,3.6,2.6,7,,1,9,0.1333,,1,,,0.1333
Lamar Jackson,BLT,QB,96,96,96,0.8438,14,68,0.7083,0.8539,0.117,96,793,8.2604,0.4048,10.2917,684,No,No,29,0.3021,37.0346,-0.0837,No,0.0833,1,0.0104,0.5833,0.0729,0.5208,2.8115,2.669,7.6,130.8,No,Yes,52,78.72,78.72,78.72,78.72,78.72,81.72,81.72,77.72,77.72,77.72,77.72,86.65,85.65,17,4,2,50,0.0833,12,1,0.0104,0.0312,
Kenny Pickett,PHI,QB,6,6,6,0.8333,1,3,0.5,0.8,0.0564,6,18,3,0.2222,3,38,No,Yes,2,0.3333,1.7681,0.0387,No,,,,0.5,0.1667,0.5,2.2833,2.5,6.3333,56.3,No,Yes,,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,5,,,8,0.1667,,,,,
Mike White,BUF,QB,1,1,1,1,,,,1,0.181,1,,,,,5,No,No,,,0.2975,-0.2975,No,,,,,,,2.3,,5,39.6,No,Yes,,,,,,,,,,,,,,,1,,,5,1,,,,,
Will Levis,TEN,QB,44,44,44,0.9091,1,34,0.7727,0.881,0.0892,44,253,5.75,0.4269,5.75,213,No,No,9,0.2045,14.5757,-0.1267,Yes,0.0455,,,0.6364,0.0682,0.5227,2.4955,2.6222,4.9535,90.4,No,Yes,13,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,12.65,12.65,12,,1,30,0.0682,,,,,0.0227
Desmond Ridder,LV,QB,18,18,18,0.8889,,16,0.8889,0.9412,0.1198,18,142,7.8889,0.5282,7.8889,68,No,No,8,0.4444,4.8384,0.1756,No,0.0556,,,0.5,0.3333,0.8333,2.1333,2.175,4,99.5,No,Yes,6,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,7.1,7.1,5,1,,,,,,,,
Trey Lance,DAL,QB,4,4,4,0.75,,3,0.75,1,0.2218,4,30,7.5,0.4333,7.5,17,No,Yes,1,0.25,0.9832,0.0042,Yes,,,,0.75,,0.5,2,2.5,5.6667,95.8,No,Yes,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,4,1,,,,,,,,
Jalen Hurts,PHI,QB,40,40,40,0.875,5,34,0.85,0.8974,0.1423,40,384,9.6,0.4688,10.475,266,Yes,No,11,0.275,13.8513,-0.0713,No,0.1,,,0.625,0.175,0.55,2.5825,2.4091,6.8205,129.6,No,No,19,30.36,30.36,30.36,30.36,30.36,33.36,33.36,29.36,29.36,29.36,29.36,34.2,33.2,15,1,,4,0.025,4,1,0.025,0.025,0.025
Cooper Rush,DAL,QB,66,66,66,0.8333,4,45,0.6818,0.8361,0.0536,66,419,6.3485,0.494,6.2727,346,Yes,No,17,0.2576,18.5861,-0.024,No,0.1061,,,0.5758,0.0909,0.5606,2.2076,2.2471,5.6452,89.1,No,Yes,23,23.76,23.76,23.76,23.76,23.76,26.76,26.76,22.76,22.76,22.76,22.76,27.95,26.95,12,3,1,36,0.0909,2,1,0.0303,0.0152,
Davis Mills,HST,QB,5,5,5,1,1,3,0.6,0.6,-0.1523,5,24,4.8,0.125,4.8,37,No,No,,,1.574,-0.3148,No,,,,0.8,,0.8,2.4,,7.4,72.1,Yes,Yes,1,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.2,1.2,4,,,,,,,,,
Taylor Heinicke,LAC,QB,2,2,2,1,,2,1,1,0.1466,2,10,5,0.6,5,4,No,No,,,0.7676,-0.3838,No,,,,,0.5,1,2.8,,2,87.5,No,No,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,4,,,,,,,,,
Malik Willis,GB,QB,6,6,6,0.6667,,4,0.6667,0.6667,-0.0666,6,50,8.3333,0.56,8.3333,47,No,No,,,1.6818,-0.2803,No,0.1667,,,1,,0.1667,2.2,,7.8333,92.4,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,7,,,,,,,,,0.1667
Josh Allen,BUF,QB,66,66,66,0.8485,5,52,0.7879,0.8281,0.0703,66,569,8.6212,0.464,10.1364,429,No,No,15,0.2273,22.6571,-0.116,No,0.1061,,,0.4394,0.1061,0.6667,2.5652,2.56,6.6,127.8,No,No,26,42.76,42.76,42.76,42.76,42.76,45.76,45.76,42.76,42.76,42.76,42.76,48.45,48.45,17,1,,5,0.0152,5,,0.0303,0.0303,
Jake Haener,NO,QB,16,16,16,0.625,1,8,0.5,0.6667,-0.1038,16,89,5.5625,0.4382,6.8125,89,No,Yes,6,0.375,4.9161,0.0677,Yes,0.3125,,,0.625,0.25,0.4375,2.3563,2.3333,5.9333,87.8,No,No,4,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,8.45,8.45,8,1,,6,0.125,1,,,0.0625,
Skylar Thompson,MIA,QB,4,4,4,1,,4,1,1,0.2664,4,34,8.5,0.1176,8.5,30,No,No,1,0.25,1.4144,-0.1036,No,,,,0.75,,0.5,2.625,2.4,7.5,102.1,No,No,2,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.7,1.7,3,,,,,,,,,
Drew Lock,NYG,QB,39,39,39,0.7692,1,26,0.6667,0.8056,0.0249,39,291,7.4615,0.5808,6.8205,196,No,Yes,16,0.4103,13.1225,0.0738,No,0.1538,,,0.5385,0.0513,0.6667,2.5256,2.3563,5.4444,86.6,No,Yes,10,14.64,14.64,14.64,14.64,14.64,14.64,14.64,13.64,13.64,13.64,13.64,17.55,16.55,7,2,1,4,0.0769,1,1,0.0513,,0.0513
Michael Penix,ATL,QB,20,20,20,0.85,2,13,0.65,0.7895,0.0388,20,141,7.05,0.5106,8.05,137,No,No,2,0.1,5.7095,-0.1855,No,0.15,,,0.55,0.05,0.6,2.23,2.7,7.55,102.3,No,Yes,8,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,11.05,11.05,5,,,15,0.1,1,,,0.05,0.05
Tyrod Taylor,NYJ,QB,2,2,2,1,,2,1,1,0.1226,2,15,7.5,0.8,7.5,3,No,Yes,1,0.5,0.5778,0.2111,No,,,,1,,1,2.25,2.3,1.5,97.9,No,Yes,2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,2,,,,,,,,,
Sam Howell,SEA,QB,4,4,4,0.5,,1,0.25,0.3333,-0.4376,4,12,3,0.4167,3,17,No,Yes,2,0.5,1.3455,0.1636,Yes,0.25,,,0.25,,0.5,2.525,2.65,5.6667,39.6,Yes,Yes,1,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,2,1,,,,,,0.25,,
Jameis Winston,CLV,QB,53,53,53,0.7358,3,33,0.6226,0.7347,-0.0066,53,373,7.0377,0.4155,5.2453,358,Yes,No,9,0.1698,16.9431,-0.1499,No,0.1887,,,0.6604,0.0189,0.4906,2.4283,2.3556,7.16,72.3,No,Yes,17,19.92,19.92,19.92,19.92,19.92,22.92,22.92,16.92,16.92,16.92,16.92,23.65,20.65,12,2,1,18,0.0566,2,3,0.1132,,0.0189
