targets,yards_per_coverage_snap,draft_season,missed_tackles,catch_rate,team_name,tackles,coverage_percent,jersey_number,dropped_ints,player_game_count,eligible_season,grades_tackle,yards,receptions,forced_incompletion_rate,grades_coverage_defense,interceptions,snap_counts_coverage,grades_run_defense,snap_counts_pass_play,penalties,forced_incompletes,team,coverage_snaps_per_target,stops,declined_penalties,position,longest,missed_tackle_rate,grades_defense,yards_per_reception,grades_defense_penalty,player,franchise_id,yards_after_catch,avg_depth_of_target,pass_break_ups,qb_rating_against,coverage_snaps_per_reception,assists,grades_pass_rush_defense,player_id,touchdowns
0,0,2022,0,,CHI,1,4.3,92,0,7,2022,70.6,0,0,,63.8,0,1,70.1,23,0,0,CHI,,1,0,ED,,0,70.8,,78.8,Daniel Hardy,6,0,,0,0,,0,55.3,91336,0
80,1.3,2019,10,85,IND,47,90.2,45,0,15,2019,48.2,649,68,3.8,46.3,1,508,71.5,563,2,3,IND,6,15,0,LB,32,13.7,56.4,9.5,47.2,E.J. Speed,14,430,3.5,3,103.6,7.1,16,49.7,94351,2
1,3.3,2019,0,100,DET,0,58.3,41,0,2,2019,,20,1,0,37.5,0,7,62.9,12,0,0,DET,6,0,0,LB,20,,44,20,74.2,Anthony Pittman,11,13,7,0,118.8,6,0,53.8,94372,0
103,1.2,2024,10,62.1,WAS,65,99.3,00,0,20,2024,63,752,64,13.6,64.5,4,690,66.4,695,3,14,WAS,6.2,17,0,CB,41,12,65.8,11.8,88.8,Mike Sainristil,32,310,11,9,87.5,10,8,51.8,97180,6
3,3.9,2024,0,66.7,CHI,1,90.9,27,0,1,2024,79.4,39,2,0,72.7,0,10,56.8,11,0,0,CHI,3.3,0,0,CB,21,0,75.1,19.5,73.2,Reddy Steward,6,18,8.3,0,109.7,5,0,65.6,97289,0
13,0.4,2024,0,61.5,NE,8,97.2,24,0,14,2024,83.9,76,8,15.4,72.1,0,207,69.4,213,1,2,NE,15.1,3,0,S,29,0,73.9,9.5,83.3,Dell Pettus,19,39,8.5,2,77.7,24.5,2,63.3,97290,0
10,0.5,2024,1,60,LV,7,96.7,34,0,13,2024,68.4,69,6,0,76.4,1,145,55.4,150,0,0,LV,13.4,4,0,S,19,10,78.3,11.5,83.6,Thomas Harper,23,31,6.7,0,41.3,22.3,2,75.6,97325,0
37,1.2,2023,7,70.3,CLV,14,96.6,29,0,16,2023,27.4,262,26,8.1,55.3,0,229,44.3,237,1,3,CLV,5.9,5,0,CB,32,30.4,52.9,10.1,83.8,Cameron Mitchell,8,122,9.1,3,117.2,8.5,2,47.5,97340,3
19,1.1,2024,4,73.7,ARZ,17,93.6,42,1,14,2024,53.8,173,14,21.1,70,0,161,80.6,172,0,4,ARZ,8.2,6,0,S,46,18.2,75.5,12.4,81.9,Dadrion Taylor-Demerson,1,92,6.5,3,101.4,11.1,1,49.9,97348,0
19,1.6,2024,0,89.5,KC,17,86.9,30,0,9,2024,90,192,17,0,61.1,1,133,72.2,153,1,0,KC,6.5,3,1,CB,32,0,62.3,11.3,12.1,Christian Roland-Wallace,16,86,7.1,0,104.4,7.2,2,61.5,97374,1
1,4,2022,0,100,HST,1,100,08,0,1,2022,68.5,4,1,0,93,0,1,,1,0,0,HST,1,1,0,WR,4,0,80.1,4,60,John Metchie III,13,0,4,0,83.3,1,0,,97400,0
62,1.1,2024,12,72.6,JAX,28,98.1,22,0,17,2024,32,457,45,12.9,62.5,1,458,88.4,467,2,8,JAX,6.9,11,0,CB,39,28.6,69,10.2,84.8,Jarrian Jones,15,318,6,6,86.6,9.4,2,74.7,97486,0
