targets,grades_pass_block,grades_offense,yards_after_contact,explosive,grades_pass_route,draft_season,elu_rush_mtf,breakaway_attempts,designed_yards,team_name,yprr,breakaway_percent,grades_pass,fumbles,first_downs,elusive_rating,jersey_number,breakaway_yards,player_game_count,eligible_season,total_touches,scramble_yards,yco_attempt,yards,grades_run_block,receptions,zone_attempts,scrambles,grades_run,penalties,attempts,elu_yco,elu_recv_mtf,team,declined_penalties,ypa,drops,position,grades_hands_fumble,longest,routes,player,franchise_id,rec_yards,gap_attempts,run_plays,avoided_tackles,grades_offense_penalty,player_id,touchdowns
20,66.9,63.3,218,4,54.6,2022,7,1,347,KC,0.73,9.8,,0,14,26.6,10,34,10,2022,111,0,2.27,347,55.6,15,57,0,65.2,0,96,218,6,KC,0,3.6,1,HB,88,34,132,Isiah Pacheco,16,96,35,105,7,86.2,83747,1
26,52.7,73.6,263,5,50.3,2024,10,1,334,NYJ,1.1,6,,0,22,36.1,00,20,17,2024,111,0,2.86,334,50.3,19,54,0,82,0,92,263,4,NYJ,0,3.6,4,HB,87.9,20,134,Braelon Allen,22,148,36,113,10,86,145159,2
25,45,56,220,12,71.8,2021,13,2,332,PHI,1.05,11.7,,0,15,49.1,14,39,21,2021,107,0,2.5,332,47.1,19,58,0,53.1,1,88,220,8,PHI,1,3.8,0,HB,89.8,20,135,Kenneth Gainwell,24,142,29,156,13,42.1,77737,1
1,,62.2,278,21,57.6,2023,8,4,315,IND,-1,17.2,59.8,9,32,26.9,05,86,11,2023,66,184,3.23,499,60,1,10,21,65.1,4,86,144,0,IND,1,5.8,0,QB,28.2,29,1,Anthony Richardson,14,-1,41,302,17,69.7,124393,6
21,56.8,69.3,233,9,65,2015,15,3,278,MIA,1.04,19.8,,2,14,47.4,31,55,13,2015,104,0,2.74,278,58.1,19,49,0,70.4,0,85,233,3,MIA,0,3.3,1,HB,41.5,21,155,Raheem Mostert,17,161,31,98,15,84.1,9783,2
16,41.7,64.6,255,9,56.7,2024,14,6,420,SF,1.42,40.7,,1,18,49.1,31,171,15,2024,99,0,3.04,420,56.7,15,60,0,67.3,0,84,255,2,SF,0,5,1,HB,27.7,76,107,Isaac Guerendo,28,152,20,102,14,83.1,83806,4
33,51.8,67.8,235,9,68,2023,20,2,312,TEN,1.34,13.5,,1,19,81,02,42,12,2023,114,0,2.8,312,59.1,30,37,0,67.8,0,84,235,13,TEN,0,3.7,1,HB,88.7,23,167,Tyjae Spears,31,224,41,103,20,88.2,97195,4
0,70.7,67.6,263,21,60,2024,3,0,117,CHI,,0,63.5,10,27,9.1,18,0,17,2024,33,372,3.25,489,60.3,0,13,48,80.4,9,81,33,0,CHI,1,6,0,QB,81.6,24,0,Caleb Williams,6,0,4,378,21,49,144622,0
1,,83.3,166,16,,2017,1,0,-34,KC,,0,77.8,5,27,0.3,15,0,19,2017,30,423,2.08,389,60.4,1,2,51,88.1,2,80,3,0,KC,1,4.9,0,QB,67.6,33,0,Patrick Mahomes,16,2,1,452,9,90.8,11765,4
0,,82.1,236,19,,2019,3,2,218,ARZ,,12.2,77.9,8,27,12,01,70,17,2019,38,354,3.03,572,60.6,0,8,40,81.8,6,78,58,0,ARZ,0,7.3,0,QB,66.8,50,0,Kyler Murray,1,0,20,409,12,57.8,38334,5
5,52.8,62.3,234,5,68.3,2024,13,1,310,DEN,0.68,6.8,,2,14,49.4,23,21,13,2024,81,0,3.08,310,60,5,25,0,61.1,0,76,234,0,DEN,0,4.1,0,HB,30.7,21,40,Audric Estime,10,27,46,87,13,78.9,147476,2
15,59.8,60.5,189,1,61.4,2016,5,0,226,DAL,0.54,0,,1,14,20.8,15,0,15,2016,86,0,2.55,226,58.2,12,48,0,59.6,0,74,189,2,DAL,0,3.1,0,HB,58.9,11,128,Ezekiel Elliott,9,69,17,93,5,87.3,10638,3
