grades_offense,twp_rate,btt_rate,spikes,dropbacks,thrown_aways,draft_season,team_name,grades_pass,hit_as_threw,first_downs,jersey_number,sack_percent,bats,sacks,player_game_count,eligible_season,completions,yards,accuracy_percent,scrambles,interceptions,drop_rate,grades_run,qb_rating,completion_percent,penalties,attempts,team,declined_penalties,passing_snaps,pressure_to_sack_rate,ypa,drops,position,grades_hands_fumble,avg_time_to_throw,big_time_throws,player,positive_epa_percent,franchise_id,avg_depth_of_target,turnover_worthy_plays,epa,aimed_passes,player_id,touchdowns,def_gen_pressures
61,0,0,0,1,0,2018,LAC,60.3,0,0,16,0,0,0,1,2018,1,3,100,0,0,0,60,79.2,100,0,1,LAC,0,1,,3,0,P,60.4,2.8,0,JK Scott,0,27,-4,0,-2.36,1,38809,0,0
62.7,0,0,0,1,1,2018,NYJ,60,0,0,10,0,0,0,1,2018,0,0,,0,0,,,39.6,0,7,1,NYJ,2,1,,0,0,WR,77.9,5.3,0,Allen Lazard,0,22,,0,-0.83,0,48135,0,0
63.5,0,0,0,2,0,2018,NO,70.3,0,1,11,50,0,1,2,2018,1,21,100,0,0,0,,158.3,100,1,1,NO,0,2,100,21,0,WR,26.2,5.6,0,Cedrick Wilson Jr.,50,20,20,0,0.85,1,48170,1,1
74,0,0,0,1,1,2020,ATL,60,0,0,01,0,0,0,1,2020,0,0,,0,0,,,39.6,0,2,1,ATL,0,1,0,0,0,WR,80.9,4.2,0,Darnell Mooney,0,2,,0,-0.4,0,48236,0,1
73.5,0,0,0,1,0,2018,CHI,59.7,0,0,02,0,0,0,1,2018,0,0,0,0,0,,64.6,39.6,0,5,1,CHI,0,1,,0,0,WR,62,3.2,0,DJ Moore,0,6,36,0,-0.47,1,48267,0,0
73.1,0,0,0,1,0,2013,WAS,68.8,0,1,10,0,0,0,1,2013,1,23,100,0,0,0,,118.8,100,0,1,WAS,0,1,,23,0,P,60.4,2.3,0,Tress Way,100,32,16,0,5.22,1,8358,0,0
70.3,0,0,0,1,0,2019,LV,66.9,0,1,06,0,0,0,1,2019,1,34,100,0,0,0,,118.8,100,0,1,LV,0,1,,34,0,P,60.4,2.2,0,AJ Cole,100,23,4,0,5.15,1,36038,0,0
72.6,0,0,0,1,0,2019,DET,68.8,0,1,03,0,0,0,1,2019,1,17,100,0,0,0,,118.8,100,0,1,DET,0,1,,17,0,P,60.4,2,0,Jack Fox,100,11,15,0,5.1,1,34735,0,0
57.8,0,0,0,1,0,2014,DET,58,0,1,12,0,0,0,1,2014,1,3,100,0,0,0,,79.2,100,0,1,DET,0,1,,3,0,QB,60.4,2.5,0,Teddy Bridgewater,0,11,3,0,-0.03,1,8667,0,0
79,0,0,0,2,0,2015,HST,60.4,0,2,01,0,0,0,2,2015,1,13,100,1,0,0,64.9,118.8,100,2,1,HST,0,2,,13,0,WR,79.7,4.15,0,Stefon Diggs,100,13,-4,0,2.08,1,9579,0,0
86.6,0,0,0,2,0,2020,MIN,60.3,0,1,18,0,0,0,2,2020,1,22,100,1,0,0,58.3,118.8,100,3,1,MIN,1,2,0,22,0,WR,60.9,5.85,0,Justin Jefferson,50,18,-4,0,1.74,1,61398,0,1
73.2,0,0,0,1,0,2018,PIT,71.6,0,1,04,0,0,0,1,2018,1,19,100,0,0,0,,118.8,100,0,1,PIT,0,1,,19,0,QB,60.4,2.2,0,Kyle Allen,100,25,13,0,1.19,1,26152,0,0
72.7,0,0,0,1,0,2021,LA,59.7,0,0,05,0,0,0,1,2021,0,0,0,0,0,,49.5,39.6,0,1,1,LA,0,1,,0,0,WR,79.1,3.4,0,Tutu Atwell,0,26,35,0,-0.5,1,77965,0,0
66.5,0,0,0,1,0,2021,WAS,73.4,0,0,02,0,0,0,1,2021,0,0,100,0,0,100,63.5,39.6,0,4,1,WAS,0,1,,0,1,WR,20.3,3.7,0,Dyami Brown,0,32,39,0,-0.52,1,77986,0,0
