Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,ReceptionsContested,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,AlignmentInlineRoutesPercentage
Sean Tucker,TB,RB,38,No,No,No,28,No,Yes,0.75,0.1786,17,8,8,1,0.2857,8,1,34,50,13,-16,1,0.0714,3,1,0.125,-2,,124,1.2143,4.25,-1.7204,4.25,6.25,1.625,1,14.0258,14.0258,0.2105,9.4,17.4,13.4,21.4,17.4,17.4,13.4,17.4,17.4,17.4,13.4,17.4,17.4,,,1,,,1,0.125,,
Brashard Smith,KC,RB,62,No,No,No,53,No,Yes,0.4906,0.2642,17,25,25,1,0.4717,25,1,172,233,40,-61,1,0.2453,21,18,0.72,-2.44,,108.7,3.2453,6.88,0.8138,6.88,9.32,1.6,7,42.2102,42.2102,0.4032,23.2,48.2,35.7,60.7,48.2,51.2,38.7,48.2,48.2,48.2,35.7,48.2,48.2,,,6,,,5,0.2,,
John FitzPatrick,GB,TE,84,Yes,Yes,Yes,62,Yes,Yes,0.0484,0.0968,15,12,12,1,0.1935,12,1,72,55,21,19,1,0.129,3,,,1.5833,,119.4,1.1613,6,0.1245,6,4.5833,1.75,4,20.7941,20.7941,0.1429,13.2,25.2,19.2,25.2,31.2,25.2,19.2,25.2,25.2,25.2,19.2,31.2,25.2,1,1,2,1,1,1,0.0833,,0.7258
Tank Bigsby,PHI,RB,32,No,No,No,21,No,Yes,0.9048,0.0952,16,3,3,1,0.1429,3,1,32,39,30,-7,,,,,,-2.3333,,111.1,1.5238,10.6667,5.3076,10.6667,13,10,1,4.4948,4.4948,0.0938,3.2,6.2,4.7,7.7,6.2,6.2,4.7,6.2,6.2,6.2,4.7,6.2,6.2,,,1,,,3,1,,
Jordan Watkins,SF,WR,10,No,Yes,No,9,No,Yes,,0.6667,4,2,2,1,0.2222,2,1,26,1,,25,,0.3333,1,,,12.5,,118.8,2.8889,13,3.5594,13,0.5,,1,3.5784,3.5784,0.2,2.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,1,1,,,,,,,
Xavier Gipson,PHI,WR,4,No,Yes,Yes,3,No,Yes,,,6,2,2,1,0.6667,2,1,6,15,1,-9,,1,2,2,1,-4.5,,79.2,2,3,-1.3223,3,7.5,0.5,,3.6325,3.6325,0.5,0.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,,,1,,,1,0.5,,
Treyton Welch,NO,TE,3,No,Yes,No,1,No,Yes,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cedrick Wilson,MIA,WR,45,Yes,No,Yes,27,No,Yes,0.037,0.6667,10,5,5,1,0.1852,5,1,44,28,20,16,,0.2593,5,,,3.2,,103.3,1.6296,8.8,2.7632,8.8,5.6,4,3,7.1455,7.1455,0.1111,4.4,9.4,6.9,9.4,9.4,9.4,6.9,9.4,9.4,9.4,6.9,9.4,9.4,2,2,1,,,2,0.4,,0.037
Ben Yurosek,MIN,TE,27,Yes,No,Yes,14,No,Yes,,0.0714,12,2,2,1,0.1429,2,1,14,8,2,6,,0.0714,1,,,3,,95.8,1,7,0.809,7,4,1,1,2.844,2.844,0.0741,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,,,,,,,,,0.8571
Devin Culp,TB,TE,13,Yes,No,No,12,No,Yes,,0.3333,11,1,1,1,0.0833,1,1,6,,,11,1,0.3333,1,,,11,,131.3,0.5,6,-2.7402,6,,,1,2.1046,2.1046,0.0769,6.6,7.6,7.1,7.6,8.1,7.6,7.1,7.6,7.6,7.6,7.1,8.1,7.6,,,1,1,1,,,,0.3333
Tyrone Tracy,NYG,RB,166,No,No,No,123,No,Yes,0.813,0.0894,15,36,36,1,0.2927,36,1,288,321,98,-25,2,0.0976,14,8,0.2222,-0.6944,1,118.5,2.3415,8,1.9544,8,8.9167,2.7222,14,62.3741,62.3741,0.2169,39.8,75.8,57.8,93.8,75.8,78.8,59.8,74.8,74.8,74.8,56.8,75.8,74.8,1,1,4,2,2,7,0.1944,,
Michael Mayer,LV,TE,143,No,No,No,112,No,Yes,0.0179,0.0536,13,35,35,1,0.3125,35,1,328,208,80,120,1,0.2232,24,4,0.1143,3.4286,,115.2,2.9286,9.3714,2.772,9.3714,5.9429,2.2857,18,54.9501,54.9501,0.2448,38.8,73.8,56.3,73.8,91.3,76.8,59.3,73.8,73.8,73.8,56.3,91.3,73.8,2,2,5,,,5,0.1429,,0.7054
Jelani Woods,NYJ,TE,16,No,No,No,12,No,Yes,,0.0833,4,1,1,1,0.0833,1,1,4,2,1,2,,0.25,,,,2,,83.3,0.3333,4,-2.3701,4,2,1,,1.3047,1.3047,0.0625,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,1,1,,,,,,,0.6667
Marvin Harrison,ARZ,WR,210,No,Yes,No,192,Yes,Yes,,0.7604,12,41,41,1,0.2135,41,1,608,126,58,491,4,0.2396,33,2,0.0488,11.9756,8,151.3,3.1667,14.8293,6.2339,14.8293,3.0732,1.4146,30,73.5411,73.5411,0.1952,84.8,125.8,105.3,125.8,125.8,128.8,108.3,125.8,125.8,125.8,105.3,125.8,125.8,6,6,6,4,4,2,0.0488,3,
Mo Alie-Cox,IND,TE,107,No,No,No,66,No,Yes,,0.0152,17,13,13,1,0.197,13,1,117,72,24,34,1,0.0606,8,,,2.6154,,129.8,1.7727,9,3.4457,9,5.5385,1.8462,4,19.8573,19.8573,0.1215,17.7,30.7,24.2,30.7,37.2,33.7,27.2,30.7,30.7,30.7,24.2,37.2,30.7,1,1,5,1,1,,,,0.9242
Bryce Oliver,TEN,WR,9,No,No,No,6,No,Yes,,0.8333,3,1,1,1,0.1667,1,1,8,3,2,5,,0.1667,1,,,5,,100,1.3333,8,1.6372,8,3,2,,1.4109,1.4109,0.1111,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,
Ollie Gordon,MIA,RB,67,Yes,No,Yes,32,No,Yes,0.9062,0.0312,17,7,7,1,0.2188,7,1,32,56,13,-24,1,0.0625,5,5,0.7143,-3.4286,,125.3,1,4.5714,-1.1735,4.5714,8,1.8571,1,11.1772,11.1772,0.1045,9.2,16.2,12.7,19.7,16.2,16.2,12.7,16.2,16.2,16.2,12.7,16.2,16.2,,,2,,,4,0.5714,,
Austin Hooper,NE,TE,130,Yes,No,Yes,102,No,Yes,0.0098,0.1667,16,21,21,1,0.2059,21,1,263,91,29,190,2,0.098,17,1,0.0476,9.0476,2,150.5,2.5784,12.5238,4.4704,12.5238,4.3333,1.381,13,36.0753,36.0753,0.1615,38.3,59.3,48.8,59.3,69.8,62.3,51.8,59.3,59.3,59.3,48.8,69.8,59.3,4,4,4,2,2,1,0.0476,1,0.7255
Justin Watson,HST,WR,19,No,No,No,18,No,Yes,,0.3333,3,3,3,1,0.1667,3,1,30,13,3,17,,0.6667,3,,,5.6667,,108.3,1.6667,10,3.5048,10,4.3333,1,1,4.6615,4.6615,0.1579,3,6,4.5,6,6,6,4.5,6,6,6,4.5,6,6,1,1,1,,,,,,
Rashee Rice,KC,WR,135,No,No,Yes,124,No,Yes,0.0242,0.4597,8,53,53,1,0.4274,53,1,571,423,87,154,5,0.5161,45,25,0.4717,2.9057,2,143,4.6048,10.7736,4.4772,10.7736,7.9811,1.6415,28,92.02,92.02,0.3926,87.1,140.1,113.6,140.1,140.1,143.1,116.6,140.1,140.1,140.1,113.6,140.1,140.1,2,2,11,2,2,10,0.1887,,
Ty Chandler,MIN,RB,10,Yes,No,Yes,9,No,Yes,1,,3,3,3,1,0.3333,3,1,11,27,4,-16,,,2,2,0.6667,-5.3333,,81.9,1.2222,3.6667,-1.5791,3.6667,9,1.3333,1,4.9042,4.9042,0.3,1.1,4.1,2.6,5.6,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,,,1,,,,,,
Britain Covey,PHI,WR,12,No,No,No,11,No,Yes,,0.3636,6,2,2,1,0.1818,2,1,20,20,3,,,0.6364,2,1,0.5,,,108.3,1.8182,10,4.7388,10,10,1.5,2,3.3058,3.3058,0.1667,2,4,3,4,4,4,3,4,4,4,3,4,4,,,,,,,,,
Jaylen Wright,MIA,RB,23,Yes,No,Yes,20,No,Yes,0.85,,10,5,5,1,0.25,5,1,44,60,32,-16,,0.15,4,4,0.8,-3.2,,103.3,2.2,8.8,2.9791,8.8,12,6.4,2,7.1124,7.1124,0.2174,4.4,9.4,6.9,11.9,9.4,9.4,6.9,9.4,9.4,9.4,6.9,9.4,9.4,,,,,,1,0.2,,
Xavier Restrepo,TEN,WR,14,No,No,No,13,No,Yes,,0.2308,2,3,3,1,0.2308,3,1,41,23,4,18,,0.7692,2,,,6,,118.8,3.1538,13.6667,6.1597,13.6667,7.6667,1.3333,3,8.1026,8.1026,0.2143,4.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,,,1,,,,,,
Woody Marks,HST,RB,166,No,No,No,102,No,Yes,0.9412,0.0294,16,24,24,1,0.2353,24,1,208,224,62,-14,3,0.0294,10,6,0.25,-0.5833,,142.4,2.0392,8.6667,2.5329,8.6667,9.3333,2.5833,7,38.9273,38.9273,0.1446,38.8,62.8,50.8,74.8,62.8,65.8,53.8,62.8,62.8,62.8,50.8,62.8,62.8,2,2,5,1,1,4,0.1667,,
James Proche,TEN,WR,65,No,No,No,48,No,Yes,0.0208,0.7292,9,6,6,1,0.125,6,1,65,4,,61,,0.25,5,,,10.1667,1,111.8,1.3542,10.8333,2.774,10.8333,0.6667,,2,12.5099,12.5099,0.0923,6.5,12.5,9.5,12.5,12.5,12.5,9.5,12.5,12.5,12.5,9.5,12.5,12.5,,,,,,,,1,
Puka Nacua,LA,WR,292,No,No,No,276,No,Yes,0.0036,0.6087,16,129,129,1,0.4674,129,1,1715,684,359,1038,10,0.3696,117,16,0.124,8.0465,11,144.6,6.2138,13.2946,5.7703,13.2946,5.3023,2.7829,80,218.8489,218.8489,0.4418,230.5,359.5,295,359.5,359.5,362.5,297,358.5,358.5,358.5,294,359.5,358.5,23,23,14,2,2,20,0.155,9,0.0181
Aaron Jones,MIN,RB,102,No,No,No,83,No,Yes,0.8675,0.0723,12,28,28,1,0.3373,28,1,199,229,38,-30,1,0.0241,19,11,0.3929,-1.0714,1,108.2,2.3976,7.1071,1.2257,7.1071,8.1786,1.3571,9,44.0274,44.0274,0.2745,24.9,52.9,38.9,66.9,52.9,55.9,40.9,51.9,51.9,51.9,37.9,52.9,51.9,,,3,,,1,0.0357,,0.0361
Luke Farrell,SF,TE,97,No,No,No,77,No,Yes,0.013,0.0909,17,11,11,1,0.1429,11,1,85,53,26,32,2,0.0909,5,,,2.9091,,138.4,1.1039,7.7273,1.3138,7.7273,4.8182,2.3636,6,16.7543,16.7543,0.1134,19.5,30.5,25,30.5,36,30.5,24,29.5,29.5,29.5,24,36,29.5,4,4,3,,,1,0.0909,,0.8052
Luke Musgrave,GB,TE,130,Yes,No,Yes,105,No,Yes,,0.0952,17,24,24,1,0.2286,24,1,252,78,17,174,,0.2667,20,1,0.0417,7.25,3,110.4,2.4,10.5,2.7788,10.5,3.25,0.7083,11,36.6268,36.6268,0.1846,25.2,49.2,37.2,49.2,61.2,52.2,40.2,49.2,49.2,49.2,37.2,61.2,49.2,3,3,,,,,,,0.6381
Christian Kirk,HST,WR,159,No,No,No,152,No,Yes,0.0066,0.2763,13,28,28,1,0.1842,28,1,239,116,35,129,1,0.7171,22,5,0.1786,4.6071,1,114.1,1.5724,8.5357,2.1405,8.5357,4.1429,1.25,12,45.4935,45.4935,0.1761,29.9,57.9,43.9,57.9,57.9,60.9,46.9,57.9,57.9,57.9,43.9,57.9,57.9,2,2,3,1,1,2,0.0714,,
Mitchell Evans,CAR,TE,89,No,No,No,72,No,Yes,,0.0417,17,19,19,1,0.2639,19,1,171,107,29,70,2,0.1528,12,2,0.1053,3.6842,,139.3,2.375,9,2.3682,9,5.6316,1.5263,9,31.334,31.334,0.2135,29.1,48.1,38.6,48.1,57.6,51.1,41.6,48.1,48.1,48.1,38.6,57.6,48.1,1,1,2,1,1,1,0.0526,,0.8056
Jalen McMillan,TB,WR,47,No,No,No,39,No,Yes,,0.7692,4,12,12,1,0.3077,12,1,178,60,9,118,,0.2308,7,2,0.1667,9.8333,1,118.8,4.5641,14.8333,6.7152,14.8333,5,0.75,8,19.2281,19.2281,0.2553,17.8,29.8,23.8,29.8,29.8,32.8,26.8,29.8,29.8,29.8,23.8,29.8,29.8,2,2,1,,,1,0.0833,,
D'Ernest Johnson,NE,RB,14,Yes,No,Yes,8,No,Yes,0.75,0.125,6,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Johnson,NYG,TE,247,No,No,Yes,197,No,Yes,0.0355,0.1624,15,45,45,1,0.2284,45,1,528,215,80,322,5,0.5279,33,9,0.2,7.1556,3,152.6,2.6802,11.7333,4.3173,11.7333,4.7778,1.7778,25,79.5916,79.5916,0.1822,82.8,127.8,105.3,127.8,150.3,130.8,108.3,127.8,127.8,127.8,105.3,150.3,127.8,16,16,6,2,2,2,0.0444,3,0.2741
Jahan Dotson,PHI,WR,223,No,No,No,203,No,Yes,,0.6256,17,18,18,1,0.0887,18,1,262,52,16,210,1,0.3695,12,,,11.6667,4,137.3,1.2906,14.5556,6.5266,14.5556,2.8889,0.8889,10,33.8699,33.8699,0.0807,32.2,50.2,41.2,50.2,50.2,53.2,44.2,50.2,50.2,50.2,41.2,50.2,50.2,3,3,,,,,,1,0.0049
DeVonta Smith,PHI,WR,289,No,No,No,273,No,Yes,,0.37,17,77,77,1,0.2821,77,1,1008,296,100,713,4,0.63,62,9,0.1169,9.2597,8,136.1,3.6923,13.0909,5.3353,13.0909,3.8442,1.2987,44,139.585,139.585,0.2664,124.8,201.8,163.3,201.8,201.8,204.8,166.3,201.8,201.8,201.8,163.3,201.8,201.8,11,11,7,2,2,1,0.013,3,
Giovanni Ricci,DET,TE,7,No,No,No,1,No,Yes,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Jameson Williams,DET,WR,376,Yes,Yes,Yes,341,No,Yes,,0.7654,17,65,65,1,0.1906,65,1,1117,439,160,675,7,0.2346,49,9,0.1385,10.3846,9,154.6,3.2757,17.1846,8.7285,17.1846,6.7538,2.4615,49,106.5573,106.5573,0.1729,153.7,218.7,186.2,218.7,218.7,221.7,189.2,218.7,218.7,218.7,186.2,218.7,218.7,3,3,3,1,1,14,0.2154,,
Luke Schoonmaker,DAL,TE,100,No,No,No,73,No,Yes,,0.0822,17,14,14,1,0.1918,14,1,132,88,36,44,,0.1918,9,,,3.1429,,106,1.8082,9.4286,3.2564,9.4286,6.2857,2.5714,7,20.7747,20.7747,0.14,13.2,27.2,20.2,27.2,34.2,30.2,23.2,27.2,27.2,27.2,20.2,34.2,27.2,2,2,1,,,1,0.0714,,0.726
Nate Adkins,DEN,TE,40,No,No,No,20,No,Yes,,0.1,9,6,6,1,0.3,6,1,48,26,11,22,1,0.25,5,1,0.1667,3.6667,,139.6,2.4,8,1.3636,8,4.3333,1.8333,3,10.1409,10.1409,0.15,10.8,16.8,13.8,16.8,19.8,16.8,13.8,16.8,16.8,16.8,13.8,19.8,16.8,,,1,,,,,,0.65
Tre Harris,LAC,WR,173,No,No,No,159,No,Yes,,0.6667,17,30,30,1,0.1887,30,1,324,140,63,189,1,0.327,24,5,0.1667,6.3,2,122.8,2.0377,10.8,3.7658,10.8,4.6667,2.1,18,46.5911,46.5911,0.1734,38.4,68.4,53.4,68.4,68.4,71.4,56.4,68.4,68.4,68.4,53.4,68.4,68.4,6,6,3,1,1,4,0.1333,,0.0063
Jack Stoll,NO,TE,37,No,Yes,No,21,Yes,Yes,0.0952,0.0476,15,6,6,1,0.2857,6,1,46,17,6,37,1,0.2857,3,,,6.1667,1,138.2,2.1905,7.6667,0.3887,7.6667,2.8333,1,2,10.2682,10.2682,0.1622,10.6,16.6,13.6,16.6,19.6,16.6,13.6,16.6,16.6,16.6,13.6,19.6,16.6,1,1,1,1,1,,,,0.5714
Russell Gage,SF,WR,10,No,No,Yes,10,No,Yes,,0.6,1,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Cooper,PHI,WR,53,No,No,No,45,No,Yes,,0.5778,13,9,9,1,0.2,9,1,92,25,15,67,,0.4222,6,,,7.4444,,109.3,2.0444,10.2222,2.9461,10.2222,2.7778,1.6667,6,13.9492,13.9492,0.1698,9.2,18.2,13.7,18.2,18.2,18.2,13.7,18.2,18.2,18.2,13.7,18.2,18.2,2,2,,,,,,,
Shane Zylstra,DET,TE,54,Yes,Yes,Yes,43,No,Yes,,0.2093,5,3,3,1,0.0698,3,1,20,2,1,18,,0.3721,1,,,6,,94.4,0.4651,6.6667,-0.1901,6.6667,0.6667,0.3333,1,4.1417,4.1417,0.0556,2,5,3.5,5,6.5,5,3.5,5,5,5,3.5,6.5,5,1,1,,,,,,,0.4186
Jalen Royals,KC,WR,16,No,No,No,12,No,Yes,,0.6667,7,2,2,1,0.1667,2,1,4,4,1,,,0.3333,1,1,0.5,,,79.2,0.3333,2,-3.4168,2,2,0.5,,2.9981,2.9981,0.125,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,,,,,,,,,
Malik Heath,GB,WR,59,No,Yes,No,47,Yes,Yes,,0.6809,11,6,6,1,0.1277,6,1,86,29,20,57,,0.2979,6,1,0.1667,9.5,1,118.8,1.8298,14.3333,6.4754,14.3333,4.8333,3.3333,4,8.9216,8.9216,0.1017,8.6,14.6,11.6,14.6,14.6,14.6,11.6,14.6,14.6,14.6,11.6,14.6,14.6,,,,,,2,0.3333,1,0.0213
Jayden Higgins,HST,WR,208,No,No,No,193,No,Yes,,0.7927,17,41,41,1,0.2124,41,1,525,132,28,404,6,0.2073,32,,,9.8537,4,158.3,2.7202,12.8049,4.8588,12.8049,3.2195,0.6829,28,74.3068,74.3068,0.1971,88.5,129.5,109,129.5,129.5,132.5,112,129.5,129.5,129.5,109,129.5,129.5,3,3,5,5,5,1,0.0244,,
Skyy Moore,SF,WR,41,No,No,No,37,No,Yes,,0.7297,17,5,5,1,0.1351,5,1,87,27,23,60,,0.2703,3,,,12,1,118.8,2.3514,17.4,8.5643,17.4,5.4,4.6,5,8.3959,8.3959,0.122,8.7,13.7,11.2,13.7,13.7,13.7,11.2,13.7,13.7,13.7,11.2,13.7,13.7,2,2,,,,2,0.4,,
Travis Homer,CHI,RB,2,Yes,Yes,Yes,2,No,Yes,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Martin-Robinson,TEN,TE,17,No,No,No,13,No,Yes,,0.1538,15,4,4,1,0.3077,4,1,30,17,11,20,1,0.1538,2,,,5,,137.5,2.3077,7.5,0.8008,7.5,4.25,2.75,3,8.039,8.039,0.2353,9,13,11,13,15,13,11,13,13,13,11,15,13,,,1,1,1,1,0.25,,0.6923
Dameon Pierce,KC,RB,5,No,No,No,3,No,Yes,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum,LA,RB,104,No,No,No,56,No,Yes,0.875,0.0179,17,8,8,1,0.1429,8,1,36,38,8,-2,,0.1071,2,2,0.25,-0.25,,85.4,0.6429,4.5,-1.4408,4.5,4.75,1,2,11.178,11.178,0.0769,3.6,11.6,7.6,15.6,11.6,11.6,7.6,11.6,11.6,11.6,7.6,11.6,11.6,,,,,,1,0.125,,
Julian Hill,MIA,TE,113,Yes,No,Yes,57,No,Yes,0.0175,0.0175,14,15,15,1,0.2632,15,1,140,111,37,29,,0.1579,10,2,0.1333,1.9333,,105.6,2.4561,9.3333,3.3368,9.3333,7.4,2.4667,6,23.0515,23.0515,0.1327,14,29,21.5,29,36.5,32,24.5,29,29,29,21.5,36.5,29,1,1,1,,,2,0.1333,,0.807
Tyquan Thornton,KC,WR,130,No,No,Yes,108,No,Yes,,0.6389,14,19,19,1,0.1759,19,1,438,70,19,381,3,0.3611,13,1,0.0526,20.0526,9,158.3,4.0556,23.0526,12.754,23.0526,3.6842,1,15,36.847,36.847,0.1462,61.8,80.8,71.3,80.8,80.8,83.8,74.3,80.8,80.8,80.8,71.3,80.8,80.8,4,4,2,3,3,,,2,
Breece Hall,NYJ,RB,163,No,No,No,117,No,Yes,0.9316,0.0342,16,36,36,1,0.3077,36,1,350,298,61,52,1,0.0342,16,10,0.2778,1.4444,1,116.4,2.9915,9.7222,3.1833,9.7222,8.2778,1.6944,13,54.644,54.644,0.2209,45.16,81.16,63.16,99.16,81.16,84.16,66.16,81.16,81.16,81.16,63.16,81.2,81.2,,,2,,,6,0.1667,,
Trent Sherfield,ARZ,WR,52,No,Yes,No,37,No,Yes,,0.5946,12,3,3,1,0.0811,3,1,21,15,10,6,,0.3784,2,,,2,,95.8,0.5676,7,1.0724,7,5,3.3333,1,4.4595,4.4595,0.0577,2.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,,,1,,,1,0.3333,,0.027
Evan Hull,NO,RB,23,No,Yes,No,19,No,Yes,0.7368,0.2632,6,1,1,1,0.0526,1,1,6,9,1,-3,,,,,,-3,,91.7,0.3158,6,-0.1191,6,9,1,,1.5235,1.5235,0.0435,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,
DK Metcalf,PIT,WR,289,No,No,No,258,No,Yes,0.0039,0.7984,15,59,59,1,0.2287,59,1,850,425,111,431,6,0.1977,52,10,0.1695,7.3051,6,152.6,3.2946,14.4068,7.152,14.4068,7.2034,1.8814,37,109.7438,109.7438,0.2042,121,180,150.5,180,180,183,153.5,180,180,180,150.5,180,180,6,6,8,4,4,14,0.2373,2,
Mark Andrews,BLT,TE,197,No,Yes,Yes,164,Yes,Yes,,0.1829,17,48,48,1,0.2927,48,1,422,108,48,331,5,0.7012,41,,,6.8958,,138,2.5732,8.7917,1.4294,8.7917,2.25,1,24,82.4438,82.4438,0.2437,72.2,120.2,96.2,120.2,144.2,123.2,99.2,120.2,120.2,120.2,96.2,144.2,120.2,8,8,6,3,3,2,0.0417,,0.1159
Parker Washington,JAX,WR,223,No,No,No,208,No,Yes,0.0048,0.4904,16,58,58,1,0.2788,58,1,847,272,93,598,5,0.5048,50,4,0.069,10.3103,9,147.5,4.0721,14.6034,6.5753,14.6034,4.6897,1.6034,37,107.9439,107.9439,0.2601,114.7,172.7,143.7,172.7,172.7,175.7,146.7,172.7,172.7,172.7,143.7,172.7,172.7,13,13,10,4,4,12,0.2069,3,
Braxton Berrios,HST,WR,29,No,Yes,No,27,No,Yes,0.037,0.2593,4,6,6,1,0.2222,6,1,37,17,7,20,,0.7037,5,,,3.3333,,92.4,1.3704,6.1667,0.1807,6.1667,2.8333,1.1667,3,8.8006,8.8006,0.2069,3.7,9.7,6.7,9.7,9.7,9.7,6.7,9.7,9.7,9.7,6.7,9.7,9.7,,,2,,,1,0.1667,,
Thomas Fidone,NYG,TE,7,No,No,No,7,Yes,Yes,,,2,,,,,,,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1429
Kendre Miller,NO,RB,31,No,No,Yes,16,No,Yes,0.8125,0.0625,7,5,5,1,0.3125,5,1,30,36,18,-6,,0.125,1,1,0.2,-1.2,,91.7,1.875,6,0.1002,6,7.2,3.6,1,9.2185,9.2185,0.1613,3,8,5.5,10.5,8,8,5.5,8,8,8,5.5,8,8,,,,,,3,0.6,,
Travis Hunter,JAX,WR,114,No,No,No,107,No,Yes,0.0187,0.3084,7,28,28,1,0.2617,28,1,298,120,68,178,1,0.6729,20,8,0.2857,6.3571,4,122.9,2.785,10.6429,3.5191,10.6429,4.2857,2.4286,12,46.9997,46.9997,0.2456,35.8,63.8,49.8,63.8,63.8,66.8,52.8,63.8,63.8,63.8,49.8,63.8,63.8,3,3,2,,,9,0.3214,1,
Brian Robinson,SF,RB,47,No,No,No,38,No,Yes,0.8158,0.0526,17,8,8,1,0.2105,8,1,25,35,14,-10,,0.1316,2,1,0.125,-1.25,,79.7,0.6579,3.125,-2.808,3.125,4.375,1.75,1,13.1776,13.1776,0.1702,2.5,10.5,6.5,14.5,10.5,10.5,6.5,10.5,10.5,10.5,6.5,10.5,10.5,1,1,3,,,3,0.375,,
Alvin Kamara,NO,RB,161,No,Yes,No,113,No,Yes,0.885,0.0708,11,33,33,1,0.292,33,1,186,194,38,-8,,0.0442,15,4,0.1212,-0.2424,,90.2,1.646,5.6364,-0.4851,5.6364,5.8788,1.1515,7,52.2702,52.2702,0.205,17.6,50.6,34.1,67.1,50.6,53.6,36.1,49.6,49.6,49.6,33.1,50.6,49.6,,,4,,,7,0.2121,,
Gunner Olszewski,NYG,WR,41,No,No,No,38,No,Yes,,0.4474,16,10,10,1,0.2632,10,1,145,73,22,72,1,0.5526,7,2,0.2,7.2,1,152.1,3.8158,14.5,7.1392,14.5,7.3,2.2,7,16.2371,16.2371,0.25,25.82,35.82,30.82,35.82,35.82,38.82,33.82,35.82,35.82,35.82,30.82,36.15,36.15,2,2,,1,1,,,,
Jimmy Horn,CAR,WR,44,No,No,No,42,No,Yes,0.0238,0.2381,13,11,11,1,0.2619,11,1,108,70,22,38,,0.7381,7,3,0.2727,3.4545,1,107.6,2.5714,9.8182,3.5561,9.8182,6.3636,2,4,18.4069,18.4069,0.25,10.8,21.8,16.3,21.8,21.8,24.8,19.3,21.8,21.8,21.8,16.3,21.8,21.8,,,1,,,2,0.1818,,
