Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,ReceptionsContested,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,AlignmentInlineRoutesPercentage
Emari Demercado,ARZ,RB,71,No,No,No,57,No,Yes,0.8947,0.0877,13,13,13,1,0.2281,13,1,101,52,16,21,1,0.0175,5,2,0.1538,1.6154,1,124.7,1.7719,7.7692,1.7495,7.7692,4,1.2308,3,22.8078,22.8078,0.1831,16.1,29.1,22.6,35.6,29.1,32.1,25.6,29.1,29.1,29.1,22.6,29.1,29.1,,,3,,,2,0.1538,,
Efton Chism,NE,WR,26,Yes,No,Yes,23,No,Yes,,0.6522,8,3,3,1,0.1304,3,1,75,40,9,38,1,0.3043,3,,,12.6667,,158.3,3.2609,25,15.7347,25,13.3333,3,3,5.8595,5.8595,0.1154,13.5,16.5,15,16.5,16.5,16.5,15,16.5,16.5,16.5,15,16.5,16.5,,,1,1,1,,,,0.0435
Jordan Whittington,LA,WR,144,No,No,No,121,No,Yes,0.0083,0.3554,17,18,18,1,0.1488,18,1,171,94,33,77,,0.6281,12,2,0.1111,4.2778,1,106.3,1.4132,9.5,2.8485,9.5,5.2222,1.8333,7,29.7423,29.7423,0.125,17.1,35.1,26.1,35.1,35.1,38.1,29.1,35.1,35.1,35.1,26.1,35.1,35.1,1,1,1,,,2,0.1111,,0.0083
Josh Whyle,GB,TE,51,Yes,No,Yes,40,No,Yes,,0.125,8,5,5,1,0.125,5,1,36,23,9,16,1,0.175,4,1,0.2,3.2,,136.3,0.9,7.2,1.0198,7.2,4.6,1.8,2,10.0373,10.0373,0.098,9.6,14.6,12.1,14.6,17.1,14.6,12.1,14.6,14.6,14.6,12.1,17.1,14.6,,,1,1,1,1,0.2,,0.7
Travis Etienne,JAX,RB,188,No,No,No,137,No,Yes,0.8467,0.0438,17,36,36,1,0.2628,36,1,292,343,59,-51,6,0.1095,22,16,0.4444,-1.4167,1,140,2.1314,8.1111,2.0846,8.1111,9.5278,1.6389,14,62.8513,62.8513,0.1915,65.2,101.2,83.2,119.2,101.2,104.2,86.2,101.2,101.2,101.2,83.2,101.2,101.2,,,8,1,1,9,0.25,,
Quentin Skinner,NYJ,WR,6,Yes,No,No,5,No,Yes,,0.6,1,1,1,1,0.2,1,1,10,6,1,4,,0.4,1,,,4,,108.3,2,10,3.9502,10,6,1,1,1.3496,1.3496,0.1667,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,,,,,,,,
Samaje Perine,CIN,RB,132,No,No,Yes,101,Yes,Yes,0.9307,0.0099,15,17,17,1,0.1683,17,1,87,107,35,-20,,0.0396,3,3,0.1765,-1.1765,,88,0.8614,5.1176,-0.7874,5.1176,6.2941,2.0588,5,25.1284,25.1284,0.1288,8.7,25.7,17.2,34.2,25.7,25.7,17.2,25.7,25.7,25.7,17.2,25.7,25.7,,,1,,,4,0.2353,,0.0198
Bam Knight,ARZ,RB,108,No,Yes,No,76,No,Yes,0.8421,0.0789,12,22,22,1,0.2895,22,1,160,156,37,4,1,0.0789,6,1,0.0455,0.1818,,112.1,2.1053,7.2727,1.3729,7.2727,7.0909,1.6818,10,33.4815,33.4815,0.2037,22,44,33,55,44,47,36,44,44,44,33,44,44,,,4,,,2,0.0909,,
Jaret Patterson,LAC,RB,28,No,No,No,18,No,Yes,0.8333,0.1111,6,3,3,1,0.1667,3,1,8,10,3,-2,,,2,1,0.3333,-0.6667,,79.2,0.4444,2.6667,-3.155,2.6667,3.3333,1,1,4.2831,4.2831,0.1071,0.8,3.8,2.3,5.3,3.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,,,,,,,,,0.0556
Elijah Arroyo,SEA,TE,102,No,No,No,78,No,Yes,0.0256,0.2051,13,15,15,1,0.1923,15,1,179,70,20,109,1,0.1538,11,,,7.2667,3,138.6,2.2949,11.9333,4.4637,11.9333,4.6667,1.3333,7,25.452,25.452,0.1471,22.9,37.9,30.4,37.9,45.4,40.9,32.4,36.9,36.9,36.9,29.4,45.4,36.9,4,4,2,,,,,,0.6154
