Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage
Tyler Higbee,LA,TE,62,No,No,Yes,50,11,No,No,4,0.3636,0.22,83,3,0.24,0.1,9,7.5455,,39.6,-7.4345,0.2727,18.5577,18.5577,0.2075,10,0.02,4,1,2,0.64,1,0.0909
Saquon Barkley,PHI,RB,126,No,No,No,83,13,No,No,5,0.3846,0.1566,64,5,0.0361,0.1566,1,4.9231,2,39.6,-7.0927,0.3846,21.8846,21.8846,0.1287,16,0.8072,,1,2,,,
Evan Engram,DEN,TE,122,No,Yes,No,111,24,No,No,8,0.3333,0.2162,177,6,0.4144,0.1171,11,7.375,2,39.6,-7.339,0.25,41.5405,41.5405,0.2474,16,0.009,1,2,3,0.4595,1,0.0417
Keleki Latu,BUF,TE,12,Yes,Yes,No,9,,No,No,,,,,,0.4444,0.3333,,,,,,,,,,5,,,,,0.2222,,
Jamari Thrash,CLV,WR,54,No,No,No,51,4,No,Yes,1,0.25,0.0784,39,1,0.451,0.549,2,9.75,1,39.6,-6.1455,0.25,5.4345,5.4345,0.0976,9,,1,,,,,
Matthew Golden,GB,WR,69,Yes,Yes,Yes,66,12,No,No,4,0.3333,0.1818,289,2,0.4242,0.5758,10,24.0833,7,39.6,-10.8056,0.1667,27.2395,27.2395,0.2449,14,,3,2,1,,,
Will Dissly,LAC,TE,36,No,Yes,No,27,4,No,No,4,1,0.1481,34,1,0.3704,0.1481,3,8.5,,39.6,-7.8408,0.25,5.8724,5.8724,0.1379,9,,3,,,0.4815,,
KhaDarel Hodge,ATL,WR,15,No,No,No,15,7,No,No,2,0.2857,0.4667,127,,0.3333,0.6667,7,18.1429,3,39.6,-10.2108,,12.8313,12.8313,0.5,11,,2,1,,,,
Miles Sanders,DAL,RB,5,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,4,1,,,,,,
Rasheen Ali,BLT,RB,30,No,Yes,Yes,20,1,No,No,1,1,0.05,1,1,0.05,0.05,1,1,,39.6,-5.7294,1,2.907,2.907,0.0385,15,0.8,,,,0.1,,
Charlie Jones,CIN,WR,5,No,No,No,4,1,No,No,,,0.25,40,,0.5,0.5,1,40,1,39.6,-15,,1.5278,1.5278,0.25,14,,,,,,,
J.K. Dobbins,DEN,RB,47,No,Yes,Yes,22,3,No,No,2,0.6667,0.1364,-15,2,,,2,-5,,39.6,-5.4326,0.6667,3.4252,3.4252,0.0811,10,1,,,,,2,0.6667
Emari Demercado,ARZ,RB,45,No,No,Yes,37,6,No,No,2,0.3333,0.1622,2,2,0.1081,0.0541,2,0.3333,,39.6,-6.0347,0.3333,10.6869,10.6869,0.1667,13,0.8378,1,,1,,1,0.1667
Efton Chism,NE,WR,6,No,Yes,Yes,6,,No,No,,,,,,,1,,,,,,,3.6286,3.6286,,8,,,,,,,
Jordan Whittington,LA,WR,67,No,No,Yes,61,6,No,No,3,0.5,0.0984,79,2,0.4918,0.5082,5,13.1667,1,39.6,-8.9082,0.3333,8.8313,8.8313,0.1017,17,,1,,,,,
Josh Whyle,GB,TE,16,Yes,Yes,Yes,11,1,No,No,,,0.0909,3,,0.1818,0.2727,,3,,39.6,-6.3218,,1.3971,1.3971,0.0714,8,0.0909,,,,0.4545,,
Travis Etienne,JAX,RB,119,No,Yes,No,81,11,No,No,6,0.5455,0.1358,-14,4,0.1358,0.037,8,-1.2727,,39.6,-5.996,0.3636,16.4122,16.4122,0.117,17,0.8272,3,,1,,6,0.5455
Quentin Skinner,NYJ,WR,3,Yes,Yes,No,3,,No,No,,,,,,,1,,,,,,,,,,1,,,,,,,
Samaje Perine,CIN,RB,66,No,No,Yes,48,3,No,No,1,0.3333,0.0625,-7,1,0.0208,0.0625,,-2.3333,,39.6,-5.9654,0.3333,4.3053,4.3053,0.06,15,0.875,1,,,0.0417,,
Bam Knight,ARZ,RB,43,No,No,No,33,8,No,No,1,0.125,0.2424,17,1,0.0303,0.0303,,2.125,,39.6,-6.6939,0.125,17.0678,17.0678,0.2353,12,0.9394,,1,2,,,
Jaret Patterson,LAC,RB,22,No,Yes,No,12,1,No,No,,,0.0833,-2,,,,,-2,,39.6,-6.198,,1.5483,1.5483,0.0625,6,1,,,,,,
Amar Johnson,LAC,RB,2,No,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,1,1,,,,,,
Ronnie Rivers,LA,RB,1,No,No,Yes,1,,No,No,,,,,,1,,,,,,,,,,,7,,,,,,,
Elijah Arroyo,SEA,TE,48,No,No,No,43,7,Yes,Yes,1,0.1429,0.1628,83,,0.2558,0.1163,5,11.8571,1,39.6,-8.8304,,20.2732,20.2732,0.2188,13,,1,1,3,0.6279,,
Darius Slayton,NYG,WR,127,No,No,Yes,125,24,No,No,11,0.4583,0.192,498,5,0.184,0.816,22,20.75,11,39.6,-10.4648,0.2083,60.5233,60.5233,0.2609,14,,7,6,4,,,
Brandon Smith,NYJ,WR,1,No,No,No,1,,Yes,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,
Dare Ogunbowale,HST,RB,38,No,No,Yes,17,3,No,Yes,2,0.6667,0.1765,2,1,0.2353,0.0588,1,0.6667,,39.6,-6.2772,0.3333,3.8847,3.8847,0.1,17,0.7059,2,,1,,,
Nico Collins,HST,WR,153,No,Yes,No,150,46,No,Yes,13,0.2826,0.3067,727,3,0.2067,0.7933,37,15.8043,14,39.6,-9.4748,0.0652,105.4074,105.4074,0.374,15,,9,8,8,,,
Davante Adams,LA,WR,131,No,Yes,No,127,50,No,No,16,0.32,0.3937,736,7,0.1654,0.8346,39,14.72,13,39.6,-9.2391,0.14,124.9846,124.9846,0.4386,14,,9,13,19,,1,0.02
Jerry Jeudy,CLV,WR,196,No,No,Yes,183,47,No,No,14,0.2979,0.2568,717,8,0.224,0.7705,37,15.2553,11,39.6,-9.2977,0.1702,100.6009,100.6009,0.3219,17,,6,5,7,0.0055,,
Jake Ferguson,DAL,TE,139,No,No,Yes,124,17,No,No,11,0.6471,0.1371,143,4,0.5968,0.0806,10,8.4118,3,39.6,-8.3561,0.2353,48.6172,48.6172,0.1574,17,,7,4,9,0.3226,,
Chris Brooks,GB,RB,42,Yes,Yes,Yes,23,4,No,No,2,0.5,0.1739,15,2,0.0435,,1,3.75,,39.6,-7.0185,0.5,6.4147,6.4147,0.1176,17,0.913,,,2,0.0435,,
Christian Watson,GB,WR,66,No,No,No,63,18,No,Yes,9,0.5,0.2857,387,2,0.3492,0.6349,12,21.5,8,39.6,-10.4646,0.1111,37.3875,37.3875,0.3396,10,,6,3,3,0.0159,,
George Holani,SEA,RB,3,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,10,1,,,,,,
Tom Kennedy,DET,WR,5,Yes,Yes,Yes,4,,No,No,,,,,,0.5,0.5,,,,,,,,,,6,,,,,,,
Justice Hill,BLT,RB,45,No,Yes,No,32,6,No,No,2,0.3333,0.1875,7,2,0.1562,0.0625,4,1.1667,,39.6,-6.5139,0.3333,8.1244,8.1244,0.1818,10,0.7812,,,,,2,0.3333
Anthony Firkser,DET,TE,33,Yes,Yes,Yes,29,,No,No,,,,,,0.5517,0.1724,,,,,,,,,,7,,,,,0.2759,,
Tyler Conklin,LAC,TE,27,No,Yes,No,23,3,No,No,2,0.6667,0.1304,2,2,0.6087,0.087,3,0.6667,,39.6,-6.1857,0.6667,8.6559,8.6559,0.1579,10,,,,,0.3043,1,0.3333
James Conner,ARZ,RB,13,No,No,No,9,1,No,No,1,1,0.1111,26,,,,,26,1,39.6,-18.8636,,3.1225,3.1225,0.0909,3,1,1,1,,,,
Shedrick Jackson,LV,WR,4,No,No,No,4,1,No,No,,,0.25,28,,0.5,0.5,1,28,1,39.6,-11.0769,,1.8943,1.8943,0.3333,5,,,,,,,
Kyle Williams,NE,WR,43,No,Yes,Yes,42,11,No,No,3,0.2727,0.2619,256,1,0.1667,0.8333,9,23.2727,6,39.6,-11.2704,0.0909,25.6492,25.6492,0.3143,17,,1,,,,,
Jonathan Mingo,DAL,WR,15,No,No,Yes,15,3,No,No,1,0.3333,0.2,37,1,0.1333,0.8667,1,12.3333,,39.6,-8.6176,0.3333,7.5771,7.5771,0.2727,6,,,,,,,
Cooper Kupp,SEA,WR,112,No,No,No,107,18,No,No,7,0.3889,0.1682,215,3,0.5421,0.4486,12,11.9444,2,39.6,-8.5926,0.1667,41.8073,41.8073,0.24,16,,6,4,5,0.0093,,
Steven Sims,ARZ,WR,2,No,No,Yes,2,1,No,No,1,1,0.5,2,1,,1,,2,,39.6,-5.3344,1,1.374,1.374,1,3,,,,,,,
Tommy Tremble,CAR,TE,95,No,No,No,85,9,No,No,2,0.2222,0.1059,66,2,0.4706,0.1294,5,7.3333,,39.6,-7.6784,0.2222,14.71,14.71,0.1525,17,0.0235,1,,1,0.3765,,
Ja'Marr Chase,CIN,WR,186,No,No,Yes,182,52,No,No,21,0.4038,0.2857,684,8,0.3571,0.6319,43,13.1538,13,39.6,-8.6627,0.1538,101.407,101.407,0.3444,16,0.011,14,5,9,,2,0.0385
Adam Trautman,DEN,TE,85,No,Yes,No,44,3,No,No,2,0.6667,0.0682,28,1,0.2273,0.0909,1,9.3333,,39.6,-8.4479,0.3333,5.0401,5.0401,0.0448,17,,,,,0.6818,,
Trevor Etienne,CAR,RB,5,No,No,No,2,,No,No,,,,,,0.5,,,,,,,,,,,17,0.5,,,,,,
D'Andre Swift,CHI,RB,117,Yes,Yes,Yes,88,11,No,No,3,0.2727,0.125,19,3,0.0568,0.1023,2,1.7273,,39.6,-6.5038,0.2727,17.9772,17.9772,0.131,16,0.7727,,,,0.0682,,
Ben Sims,MIN,TE,11,Yes,Yes,Yes,10,3,No,No,2,0.6667,0.3,37,,0.3,,2,12.3333,,39.6,-9.3558,,4.8414,4.8414,0.375,9,,2,,1,0.7,,
Tahj Brooks,CIN,RB,7,No,No,No,4,,Yes,Yes,,,,,,,0.25,,,,,,,,,,12,0.75,,,,,,
Robbie Chosen,WAS,WR,13,No,No,No,12,4,No,Yes,2,0.5,0.3333,79,,0.1667,0.8333,4,19.75,2,39.6,-9.8682,,13.5361,13.5361,0.3077,3,,2,,,,,
Kayshon Boutte,NE,WR,80,No,Yes,Yes,80,11,No,No,5,0.4545,0.1375,247,1,0.1,0.8875,11,22.4545,4,39.6,-10.951,0.0909,28.8827,28.8827,0.1774,14,,4,2,,0.0125,,
Hunter Long,JAX,TE,45,No,No,No,32,4,Yes,Yes,4,1,0.125,13,4,0.1875,0.25,3,3.25,,39.6,-6.2764,1,7.2041,7.2041,0.0952,9,,,,1,0.5625,,
Sal Cannella,CLV,TE,3,No,No,Yes,3,2,No,No,1,0.5,0.6667,46,1,0.6667,,2,23,1,39.6,-9.4436,0.5,3.9084,3.9084,0.6667,2,,,1,,0.3333,,
Dalton Kincaid,BUF,TE,54,Yes,Yes,No,45,10,No,No,5,0.5,0.2222,150,1,0.5778,0.2667,8,15,3,39.6,-10.0443,0.1,20.424,20.424,0.2439,12,,4,2,2,0.1556,,
Jakobi Meyers,JAX,WR,144,No,Yes,No,139,25,No,No,10,0.4,0.1799,358,4,0.3957,0.6043,18,14.32,5,39.6,-9.4962,0.16,52.5482,52.5482,0.2232,16,,7,6,5,,1,0.04
Hunter Henry,NE,TE,107,No,Yes,Yes,95,22,No,No,10,0.4545,0.2316,223,7,0.4842,0.1579,18,10.1364,3,39.6,-8.159,0.3182,51.785,51.785,0.2651,17,0.0316,6,4,7,0.3263,,
Myles Price,MIN,WR,1,No,No,No,1,,No,Yes,,,,,,1,,,,,,,,,,,16,,,,,,,
Jahmyr Gibbs,DET,RB,127,Yes,Yes,Yes,95,16,No,No,6,0.375,0.1684,127,5,0.0526,0.1053,13,7.9375,2,39.6,-6.8908,0.3125,26.3795,26.3795,0.172,17,0.8316,1,,2,0.0105,5,0.3125
Cody White,SEA,WR,9,No,No,No,9,,No,No,,,,,,0.2222,0.7778,,,,,,,,,,9,,,,,,,
Tay Martin,WAS,WR,5,No,No,No,4,,No,Yes,,,,,,,1,,,,,,,,,,3,,,,,,,
Zavier Scott,MIN,RB,19,Yes,Yes,Yes,11,1,No,No,,,0.0909,24,,0.0909,0.0909,1,24,1,39.6,-12.3704,,3.3845,3.3845,0.0714,11,0.7273,,,,0.0909,,
Gabe Davis,BUF,WR,28,Yes,Yes,No,25,5,No,No,3,0.6,0.2,55,1,0.2,0.76,5,11,1,39.6,-8.3699,0.2,12.3281,12.3281,0.2273,6,,2,1,2,0.04,,
Ian Thomas,LV,TE,42,No,No,No,19,,No,No,,,,,,0.0526,0.1053,,,,,,,,,,15,0.0526,,,,0.7895,,
Zay Flowers,BLT,WR,122,No,Yes,Yes,115,29,No,No,14,0.4828,0.2522,400,9,0.3043,0.6957,21,13.7931,8,39.6,-9.1893,0.3103,59.9891,59.9891,0.3021,17,,4,4,4,,2,0.069
Michael Wilson,ARZ,WR,181,No,No,Yes,178,41,No,No,11,0.2683,0.2303,674,4,0.2528,0.7472,36,16.439,11,39.6,-9.5915,0.0976,82.2182,82.2182,0.2887,17,,10,5,6,,,
Xavier Hutchinson,HST,WR,127,No,No,Yes,122,20,No,Yes,5,0.25,0.1639,277,1,0.2213,0.7787,15,13.85,4,39.6,-9.2275,0.05,45.7713,45.7713,0.1905,17,,3,2,2,,,
Simi Fehoko,ARZ,WR,11,No,No,No,11,,No,Yes,,,,,,0.2727,0.7273,,,,,,,,,,7,,,,,,,
T.J. Hockenson,MIN,TE,128,No,No,No,107,15,No,No,7,0.4667,0.1402,124,6,0.3551,0.1963,12,8.2667,1,39.6,-7.967,0.4,30.0787,30.0787,0.1429,15,0.0093,,1,3,0.4393,,
Stone Smartt,NYJ,TE,22,Yes,Yes,No,19,2,No,No,1,0.5,0.1053,17,,0.5263,0.1053,2,8.5,,39.6,-8.5046,,3.0266,3.0266,0.1111,8,,1,,,0.3684,,
Tim Patrick,JAX,WR,52,No,Yes,No,45,8,No,No,5,0.625,0.1778,128,4,0.3778,0.6222,6,16,1,39.6,-10.4889,0.5,21.7659,21.7659,0.2,16,,3,3,3,,,
Josh Reynolds,NYJ,WR,43,No,No,Yes,42,8,Yes,Yes,3,0.375,0.1905,126,1,0.2381,0.7619,3,15.75,2,39.6,-9.3745,0.125,12.2534,12.2534,0.2581,5,,3,,1,,,
Noah Gray,KC,TE,85,No,No,No,66,12,No,No,4,0.3333,0.1818,120,3,0.2879,0.1667,10,10,,39.6,-8.2825,0.25,25.2311,25.2311,0.1967,16,,1,1,1,0.5455,,
Brian Thomas,JAX,WR,153,No,Yes,No,143,39,No,No,21,0.5385,0.2727,723,8,0.2587,0.7413,32,18.5385,17,39.6,-9.8961,0.2051,82.0503,82.0503,0.312,14,,13,5,5,,1,0.0256
Chimere Dike,TEN,WR,130,No,Yes,No,127,23,No,No,2,0.087,0.1811,348,2,0.7165,0.2835,18,15.1304,7,39.6,-9.2413,0.087,45.009,45.009,0.2323,17,,1,1,3,,2,0.087
DeAndre Hopkins,BLT,WR,66,No,Yes,Yes,63,13,No,No,3,0.2308,0.2063,230,1,0.2222,0.7778,12,17.6923,7,39.6,-9.6436,0.0769,28.2186,28.2186,0.25,17,,3,2,2,,,
Jonathan Taylor,IND,RB,137,No,No,Yes,100,8,No,Yes,6,0.75,0.08,21,5,0.04,0.06,1,2.625,1,39.6,-6.6826,0.625,14.7627,14.7627,0.0702,17,0.9,2,,,,,
Troy Franklin,DEN,WR,161,No,Yes,No,154,33,No,No,10,0.303,0.2143,791,6,0.3961,0.6039,25,23.9697,15,39.6,-11.3793,0.1818,76.1231,76.1231,0.2558,17,,5,4,3,,1,0.0303
Laquon Treadwell,IND,WR,5,No,No,Yes,5,,No,Yes,,,,,,0.2,0.8,,,,,,,,,,9,,,,,,,
Tyler Goodson,IND,RB,6,No,No,Yes,5,1,No,Yes,,,0.2,,,0.2,,1,,,39.6,-5.8271,,3.01,3.01,0.2,11,0.8,,,1,,,
Jordan Mason,MIN,RB,59,Yes,Yes,Yes,29,2,No,No,1,0.5,0.069,-2,1,,0.0345,1,-1,,39.6,-5.9242,0.5,2.9114,2.9114,0.0408,16,0.9655,,,,,1,0.5
Tre Tucker,LV,WR,152,No,No,No,146,32,No,No,11,0.3438,0.2192,531,6,0.1027,0.8836,29,16.5938,11,39.6,-9.426,0.1875,66.9487,66.9487,0.2712,17,0.0068,6,5,3,0.0068,1,0.0312
Michael Pittman,IND,WR,145,No,No,Yes,137,24,No,Yes,12,0.5,0.1752,338,4,0.2774,0.7226,22,14.0833,5,39.6,-8.9022,0.1667,43.7412,43.7412,0.2087,17,,10,3,5,,1,0.0417
Tim Jones,JAX,WR,2,No,Yes,No,2,,No,No,,,,,,,1,,,,,,,,,,4,,,,,,,
Malik Washington,MIA,WR,93,No,Yes,Yes,90,14,No,No,2,0.1429,0.1556,229,1,0.5333,0.4222,10,16.3571,5,39.6,-9.4255,0.0714,24.1413,24.1413,0.1944,17,0.0333,2,,1,0.0111,,
Greg Dortch,ARZ,WR,61,No,No,Yes,61,4,Yes,Yes,2,0.5,0.0656,42,2,0.7541,0.2131,3,10.5,1,39.6,-8.0632,0.5,7.9333,7.9333,0.0816,12,0.0328,3,,,,1,0.25
Terrell Jennings,NE,RB,2,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,6,1,,,,,,
Tip Reiman,ARZ,TE,9,No,No,No,8,2,No,No,,,0.25,15,,,0.25,2,7.5,,39.6,-7.1763,,3.1481,3.1481,0.2857,4,,,,,0.75,,
Tyrell Shavers,BUF,WR,53,Yes,Yes,No,44,7,No,No,,,0.1591,119,,0.25,0.7273,4,17,2,39.6,-10.1325,,14.1212,14.1212,0.1522,17,,1,,,0.0227,,
Javonte Williams,DAL,RB,133,No,No,No,87,12,No,No,5,0.4167,0.1379,5,1,0.023,0.023,2,0.4167,,39.6,-6.1935,0.0833,18.0541,18.0541,0.1081,16,0.954,6,,3,,1,0.0833
Cam Akers,SEA,RB,3,No,No,No,3,1,No,No,1,1,0.3333,-7,1,0.3333,0.3333,1,-7,,39.6,-4.5287,1,1.1825,1.1825,0.5,4,0.3333,,,,,1,1
Courtland Sutton,DEN,WR,198,No,Yes,No,186,43,No,No,19,0.4419,0.2312,686,7,0.172,0.828,32,15.9535,12,39.6,-9.4595,0.1628,95.4531,95.4531,0.2687,17,,12,8,10,,,
Audric Estime,NO,RB,30,No,Yes,No,26,1,No,No,,,0.0385,3,,,0.0385,1,3,,39.6,-6.5094,,1.5582,1.5582,0.0385,6,0.9615,,,,,,
Charlie Kolar,BLT,TE,32,No,Yes,Yes,24,2,No,No,1,0.5,0.0833,26,,0.0833,0.0417,1,13,1,39.6,-9.7217,,2.8705,2.8705,0.08,17,,,,,0.875,,
Zach Ertz,WAS,TE,112,Yes,No,Yes,104,19,Yes,Yes,10,0.5263,0.1827,234,8,0.6346,0.1635,15,12.3158,3,39.6,-8.1005,0.4211,47.1533,47.1533,0.2209,13,,2,2,2,0.2019,,
Darnell Washington,PIT,TE,72,No,No,No,52,11,Yes,Yes,7,0.6364,0.2115,74,5,0.2115,0.2115,6,6.7273,,39.6,-7.6782,0.4545,21.9395,21.9395,0.2075,16,,2,1,2,0.5769,,
Keon Coleman,BUF,WR,67,Yes,Yes,No,63,19,No,No,8,0.4211,0.3016,322,5,0.1905,0.7937,14,16.9474,8,39.6,-9.8628,0.2632,41.5718,41.5718,0.3455,13,,5,3,2,0.0159,1,0.0526
Davis Allen,LA,TE,68,No,No,Yes,53,9,No,No,6,0.6667,0.1698,68,3,0.1887,0.2264,6,7.5556,1,39.6,-7.3286,0.3333,22.3247,22.3247,0.1452,17,0.0377,3,1,2,0.5472,,
Lil'Jordan Humphrey,DEN,WR,57,No,Yes,No,53,9,No,No,1,0.1111,0.1698,124,,0.3208,0.6604,6,13.7778,2,39.6,-9.0385,,25.5946,25.5946,0.2,10,,1,2,3,0.0189,,
Coleman Owen,IND,WR,1,No,Yes,Yes,1,1,No,No,,,1,3,,1,,1,3,,39.6,-5.4499,,1.4333,1.4333,1,2,,,,,,,
Jordan Addison,MIN,WR,129,Yes,Yes,Yes,123,28,No,No,11,0.3929,0.2276,450,10,0.2114,0.7886,23,16.0714,10,39.6,-9.4841,0.3571,53.6853,53.6853,0.2772,14,,6,3,4,,1,0.0357
Tyler Lockett,LV,WR,114,No,No,No,106,18,No,No,8,0.4444,0.1698,134,4,0.8019,0.1981,15,7.4444,1,39.6,-7.2689,0.2222,42.6587,42.6587,0.2308,17,,5,1,1,,,
Jakobie Keeney-James,GB,WR,5,Yes,Yes,Yes,3,,No,No,,,,,,0.3333,0.6667,,,,,,,,,,1,,,,,,,
De'Von Achane,MIA,RB,95,No,No,No,78,16,No,No,6,0.375,0.2051,72,5,0.3462,0.0769,8,4.5,1,39.6,-6.5934,0.3125,26.6486,26.6486,0.2192,16,0.5769,1,1,4,,3,0.1875
Mike Evans,TB,WR,68,No,No,No,68,27,No,No,10,0.3704,0.3971,463,4,0.25,0.75,24,17.1481,11,39.6,-9.7583,0.1481,65.9049,65.9049,0.4737,8,,11,4,5,,,
Xavier Smith,LA,WR,50,No,No,Yes,46,4,No,No,,,0.087,154,,0.7609,0.2391,3,38.5,4,39.6,-14.6032,,8.6426,8.6426,0.0952,16,,,,,,,
Kenneth Walker,SEA,RB,53,No,No,No,38,3,No,No,2,0.6667,0.0789,6,2,0.1579,0.1053,1,2,,39.6,-6.2112,0.6667,6.1757,6.1757,0.0857,17,0.7105,,,,0.0263,,
Sean Tucker,TB,RB,26,No,No,No,15,3,No,No,1,0.3333,0.2,5,1,,0.1333,,1.6667,,39.6,-6.7472,0.3333,6.6278,6.6278,0.125,17,0.8667,,,2,,,
Brashard Smith,KC,RB,28,No,No,No,26,9,No,No,4,0.4444,0.3462,10,2,0.3077,0.0769,7,1.1111,,39.6,-6.2622,0.2222,13.255,13.255,0.45,17,0.6154,,,1,,1,0.1111
John FitzPatrick,GB,TE,43,Yes,Yes,No,34,3,No,No,2,0.6667,0.0882,7,2,0.1471,0.0588,,2.3333,,39.6,-6.0103,0.6667,8.5495,8.5495,0.1,15,0.0294,,,2,0.7647,,
Tank Bigsby,PHI,RB,16,No,Yes,No,11,1,No,No,1,1,0.0909,1,1,0.0909,,,1,,39.6,-5.7294,1,1.5957,1.5957,0.1,16,0.9091,,,,,,
Jordan Watkins,SF,WR,4,No,Yes,Yes,4,1,No,No,,,0.25,18,,0.5,0.5,1,18,,39.6,-10.8991,,2.1117,2.1117,0.5,4,,,,,,,
Treyton Welch,NO,TE,4,No,Yes,No,4,,No,No,,,,,,0.5,,,,,,,,,,,3,,,,,0.5,,
Cedrick Wilson,MIA,WR,20,No,Yes,Yes,17,4,No,No,1,0.25,0.2353,71,,0.1765,0.8235,1,17.75,1,39.6,-10.3332,,11.4437,11.4437,0.2353,10,,1,2,2,,,
Ben Yurosek,MIN,TE,6,Yes,Yes,Yes,4,1,No,No,1,1,0.25,6,1,,,1,6,,39.6,-7.093,1,1.406,1.406,0.2,12,,,,,1,,
Devin Culp,TB,TE,9,No,No,No,9,,No,No,,,,,,0.2222,0.3333,,,,,,,,,,11,,,,,0.4444,,
Tyrone Tracy,NYG,RB,106,No,No,Yes,81,8,No,No,4,0.5,0.0988,43,2,0.0123,0.0988,2,5.375,,39.6,-5.6146,0.25,10.8623,10.8623,0.0976,15,0.8889,3,,1,,,
Michael Mayer,LV,TE,73,No,No,No,60,11,No,No,4,0.3636,0.1833,99,1,0.2,0.1,8,9,2,39.6,-8.5517,0.0909,18.1114,18.1114,0.1833,13,0.0167,4,,,0.6833,1,0.0909
Jelani Woods,NYJ,TE,4,No,Yes,Yes,3,1,No,No,1,1,0.3333,8,,,0.3333,1,8,,39.6,-7.7205,,1.9732,1.9732,0.5,4,,1,,,0.6667,,
Marvin Harrison,ARZ,WR,106,No,No,No,101,30,Yes,Yes,11,0.3667,0.297,502,6,0.2673,0.7327,26,16.7333,9,39.6,-9.6376,0.2,70.3689,70.3689,0.3614,12,,5,10,4,,,
Mo Alie-Cox,IND,TE,55,No,No,Yes,30,5,No,Yes,2,0.4,0.1667,46,2,0.1333,,3,9.2,,39.6,-8.4534,0.4,7.9554,7.9554,0.102,17,,2,,1,0.8667,,
Bryce Oliver,TEN,WR,10,No,Yes,No,8,,No,No,,,,,,0.125,0.875,,,,,,,,,,3,,,,,,,
Ollie Gordon,MIA,RB,38,No,Yes,Yes,22,2,No,No,1,0.5,0.0909,1,1,0.0455,0.0455,,0.5,,39.6,-6.1068,0.5,2.8155,2.8155,0.0625,17,0.9091,1,,,,,
Austin Hooper,NE,TE,54,No,Yes,Yes,44,4,No,No,2,0.5,0.0909,34,1,0.0682,0.1818,2,8.5,,39.6,-8.1102,0.25,7.8595,7.8595,0.1111,16,,1,,1,0.75,,
Justin Watson,HST,WR,9,No,No,Yes,9,1,No,Yes,,,0.1111,22,,0.7778,0.2222,1,22,1,39.6,-11.9241,,4.9158,4.9158,0.125,3,,,1,1,,,
Rashee Rice,KC,WR,81,No,Yes,No,78,23,No,No,14,0.6087,0.2949,221,6,0.3846,0.6154,14,9.6087,2,39.6,-7.9053,0.2609,47.8961,47.8961,0.3898,8,,9,3,6,,1,0.0435
Ty Chandler,MIN,RB,6,Yes,Yes,Yes,3,1,No,No,,,0.3333,-4,,,,1,-4,,39.6,-5.5699,,1.65,1.65,0.3333,3,1,,,1,,1,1
Britain Covey,PHI,WR,12,No,Yes,No,12,2,No,No,1,0.5,0.1667,8,1,0.6667,0.3333,1,4,,39.6,-5.9064,0.5,2.9707,2.9707,0.25,6,,,,,,,
Jaylen Wright,MIA,RB,13,No,Yes,Yes,12,4,No,No,3,0.75,0.3333,-17,2,0.3333,,2,-4.25,,39.6,-5.6821,0.5,5.9136,5.9136,0.3077,10,0.6667,2,,,,2,0.5
Xavier Restrepo,TEN,WR,6,No,No,No,6,3,No,Yes,2,0.6667,0.5,46,,1,,3,15.3333,1,39.6,-9.259,,4.5319,4.5319,0.75,2,,2,1,,,,
Woody Marks,HST,RB,118,No,No,Yes,78,12,No,Yes,5,0.4167,0.1538,68,2,0.0385,0.1026,4,5.6667,1,39.6,-6.8827,0.1667,20.5455,20.5455,0.1304,16,0.859,2,1,3,,1,0.0833
James Proche,TEN,WR,36,No,Yes,No,32,4,No,No,,,0.125,94,,0.25,0.75,2,23.5,2,39.6,-11.0324,,9.5657,9.5657,0.1481,9,,,,,,,
Puka Nacua,LA,WR,148,No,No,Yes,140,33,No,No,11,0.3333,0.2357,461,4,0.3429,0.6429,26,13.9697,8,39.6,-8.6643,0.1212,65.0357,65.0357,0.2683,16,0.0071,7,3,3,0.0071,1,0.0303
Aaron Jones,MIN,RB,66,No,No,No,52,9,No,Yes,2,0.2222,0.1731,18,2,0.0385,0.0192,5,2,,39.6,-6.3152,0.2222,18.5735,18.5735,0.1636,12,0.9423,,,2,,3,0.3333
Luke Farrell,SF,TE,39,No,No,No,29,1,No,No,,,0.0345,10,,0.2069,0.069,1,10,,39.6,-7.7685,,3.6857,3.6857,0.0357,17,,,1,1,0.7241,,
