Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage
Oronde Gadsden,LAC,TE,106,No,Yes,No,98,17,No,No,8,0.4706,0.1735,177,3,0.5306,0.1224,13,10.4118,1,39.6,-8.9209,0.1765,38.4798,38.4798,0.1954,15,0.0102,5,4,7,0.3367,1,0.0588
TreVeyon Henderson,NE,RB,58,No,Yes,Yes,43,6,No,No,3,0.5,0.1395,24,3,0.0233,0.0465,1,4,,39.6,-6.7929,0.5,9.1483,9.1483,0.1304,17,0.9302,,,,,1,0.1667
Jayden Reed,GB,WR,28,Yes,Yes,Yes,27,3,No,No,1,0.3333,0.1111,57,,0.8148,0.1852,2,19,1,39.6,-10.1697,,4.6529,4.6529,0.1429,7,,1,,,,,
Brayden Willis,SF,TE,2,No,Yes,No,2,1,No,No,,,0.5,2,,1,,1,2,,39.6,-6.3701,,1.5,1.5,1,6,,,,,,,
Dalen Cambre,NYG,WR,2,No,No,Yes,2,,No,No,,,,,,0.5,0.5,,,,,,,,,,6,,,,,,,
Kyle Pitts,ATL,TE,192,No,Yes,No,175,25,No,No,9,0.36,0.1429,332,3,0.36,0.2057,19,13.28,6,39.6,-9.8482,0.12,50.4474,50.4474,0.1634,17,,7,1,4,0.4343,1,0.04
Dante Pettis,NO,WR,21,No,Yes,No,20,2,No,No,,,0.1,57,,0.45,0.55,2,28.5,1,39.6,-13.3326,,7.2851,7.2851,0.1053,8,,,,,,,
Dawson Knox,BUF,TE,72,Yes,Yes,No,63,10,No,No,7,0.7,0.1587,84,4,0.3016,0.1429,6,8.4,1,39.6,-8.7974,0.4,17.834,17.834,0.1667,17,0.0317,4,2,4,0.5238,1,0.1
Noah Brown,WAS,WR,24,No,No,No,22,5,No,No,2,0.4,0.2273,81,,0.0909,0.9091,5,16.2,2,39.6,-9.0263,,10.2581,10.2581,0.2778,4,,2,1,2,,,
Emeka Egbuka,TB,WR,168,No,No,No,167,60,No,No,18,0.3,0.3593,909,8,0.4072,0.5928,48,15.15,12,39.6,-9.4679,0.1333,127.8621,127.8621,0.4138,17,,13,9,9,,1,0.0167
Malik Davis,DAL,RB,27,No,No,No,13,3,No,No,1,0.3333,0.2308,8,1,,,,2.6667,,39.6,-6.4712,0.3333,4.1958,4.1958,0.1667,10,1,1,,,,,
Marcedes Lewis,DEN,TE,5,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,5,,,,,1,,
Dontayvion Wicks,GB,WR,72,No,No,No,69,12,No,Yes,3,0.25,0.1739,225,2,0.4638,0.5217,11,18.75,7,39.6,-9.8386,0.1667,24.6842,24.6842,0.2308,14,,3,1,1,0.0145,,
Trey McBride,ARZ,TE,201,No,No,Yes,189,39,No,No,14,0.359,0.2063,476,2,0.6402,0.0635,31,12.2051,6,39.6,-8.9974,0.0513,87.4503,87.4503,0.2516,17,,15,10,12,0.2963,2,0.0513
John Bates,WAS,TE,56,No,Yes,No,38,4,No,No,2,0.5,0.1053,20,1,0.1053,0.0789,3,5,,39.6,-6.74,0.25,6.8258,6.8258,0.1,15,,1,,,0.8158,1,0.25
Dont'e Thornton,LV,WR,69,No,No,No,62,17,No,No,6,0.3529,0.2742,342,2,0.3387,0.6613,16,20.1176,6,39.6,-10.7333,0.1176,37.2623,37.2623,0.3208,15,,5,,1,,,
Cam Skattebo,NYG,RB,43,Yes,Yes,No,33,6,No,No,3,0.5,0.1818,7,2,0.0909,0.0606,2,1.1667,,39.6,-6.3457,0.3333,9.6828,9.6828,0.2069,8,0.8485,1,,1,,,
Will Shipley,PHI,RB,30,No,Yes,No,25,1,No,No,1,1,0.04,3,1,0.08,0.08,,3,,39.6,-6.5094,1,1.5685,1.5685,0.0526,15,0.84,,,1,,,
Kyren Williams,LA,RB,145,No,No,Yes,94,11,No,No,4,0.3636,0.117,22,3,0.1064,,3,2,,39.6,-6.4593,0.2727,16.0312,16.0312,0.0894,17,0.8936,1,,2,,,
Payne Durham,TB,TE,39,No,No,No,20,3,No,No,1,0.3333,0.15,17,1,0.25,0.05,1,5.6667,,39.6,-6.9119,0.3333,7.0931,7.0931,0.0882,17,,,1,1,0.7,,
Tucker Kraft,GB,TE,62,No,No,Yes,51,10,No,No,4,0.4,0.1961,41,4,0.3725,0.1176,4,4.1,,39.6,-6.0055,0.4,20.6624,20.6624,0.2174,8,,1,,2,0.5098,,
Christian McCaffrey,SF,RB,142,No,No,No,118,17,No,No,8,0.4706,0.1441,80,5,0.1949,0.0254,5,4.7059,2,39.6,-7.6413,0.2941,29.1667,29.1667,0.1604,17,0.7797,4,,3,,3,0.1765
Tez Johnson,TB,WR,95,No,No,No,94,14,No,No,5,0.3571,0.1489,269,2,0.3511,0.6489,12,19.2143,5,39.6,-10.3964,0.1429,29.4089,29.4089,0.1667,16,,3,2,1,,,
