teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingInterceptionsTotal,opponentStatsPassingHeroThrowPercentage,teamIsHomeTeam
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 2,17,133,119,0.7983193277310925,4,86,0.7226890756302521,0.7982456140350878,0.05516369387719311,4,1,50,0.04201680672268908,969,8.142857142857142,0.4262125902992776,6.288,858,4,6,1,4,-38,0.045112781954887216,Yes,Yes,46,0.3458646616541353,-0.0006481203007518651,Yes,0.015037593984962405,0.15126050420168066,12,0.10084033613445378,0.058823529411764705,0.5630252100840336,0.17647058823529413,0.6050420168067226,2.820168067226891,4.1499999999999995,5.675,2.741304347826087,7.526315789473684,89.9,No,No,40,5,0.058823529411764705,True
16,Kansas City,Chiefs,LV,AFC,AFC West,Closed,Open,Cover 2,17,94,79,0.7848101265822784,2,56,0.7088607594936709,0.8133333333333334,0.041358556453333306,2,,74,0.06329113924050633,594,7.518987341772152,0.6414141414141414,5.367816091954023,480,,8,4,9,-37,0.0851063829787234,No,Yes,47,0.5,0.18790478723404253,No,0.05319148936170213,0.1518987341772152,8,0.10126582278481013,0.05063291139240506,0.5822784810126582,0.16455696202531644,0.5189873417721519,2.7278481012658227,3.5625,5,2.625531914893617,6.51948051948052,81.9,No,No,24,2,0.0379746835443038,
24,New York,Giants,DAL,NFC,NFC East,Open,Open,Cover 2,17,66,59,0.8135593220338984,,45,0.7627118644067796,0.8545454545454545,0.07720619330909084,3,,10,0.03389830508474576,426,7.220338983050848,0.7089201877934272,5.774193548387097,253,,3,,1,-23,0.045454545454545456,No,No,20,0.30303030303030304,-0.012359090909090903,No,0.030303030303030304,0.11864406779661017,2,0.03389830508474576,0.01694915254237288,0.576271186440678,0.23728813559322035,0.6440677966101694,2.6203389830508472,2.2333333333333334,4.175000000000001,2.19,4.517857142857143,88.7,No,Yes,19,1,0.03389830508474576,True
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Open,Cover 2,17,101,92,0.8260869565217391,1,70,0.7608695652173914,0.891566265060241,0.11731265538554214,6,3,38,0.043478260869565216,704,7.6521739130434785,0.3977272727272727,7.381443298969073,533,4,5,2,2,-23,0.04950495049504951,No,Yes,40,0.39603960396039606,0.04575643564356437,No,0.009900990099009901,0.07608695652173914,5,0.05434782608695652,0.021739130434782608,0.5,0.11956521739130435,0.6739130434782609,2.8043478260869565,3.9799999999999995,4.725,2.525,6.421686746987952,107.3,No,No,33,1,0.021739130434782608,True
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Open,Cover 2,17,34,30,0.8,1,21,0.7,0.7586206896551724,-0.012904177517241378,1,,11,0.03333333333333333,182,6.066666666666666,0.6098901098901099,5.67741935483871,174,,1,,,-6,0.029411764705882353,No,Yes,12,0.35294117647058826,0.007698529411764684,No,0.029411764705882353,0.13333333333333333,2,0.06666666666666667,,0.5333333333333333,0.06666666666666667,0.7,2.8433333333333333,2.6,5.3999999999999995,2.725,6,85.7,No,Yes,8,,0.03333333333333333,True
10,Denver,Broncos,LAC,AFC,AFC West,Closed,Open,Cover 2,17,80,67,0.8059701492537313,,43,0.6417910447761194,0.7936507936507936,0.04767227398412699,3,1,44,0.1044776119402985,426,6.358208955223881,0.5539906103286385,3.6842105263157894,518,,9,3,6,-56,0.1125,No,No,35,0.4375,0.132455,No,0.025,0.13432835820895522,8,0.11940298507462686,0.04477611940298507,0.7014925373134329,0.13432835820895522,0.582089552238806,2.6865671641791047,3.4444444444444446,5.475,2.417142857142857,8.222222222222221,69.6,Yes,Yes,17,2,0.014925373134328358,True
14,Indianapolis,Colts,HST,AFC,AFC South,Closed,Open,Cover 2,17,107,93,0.8387096774193549,1,68,0.7311827956989247,0.8604651162790697,0.11396659659302322,3,4,46,0.06451612903225806,791,8.505376344086022,0.4108723135271808,7.1938775510204085,668,1,5,2,2,-16,0.04672897196261682,No,Yes,32,0.29906542056074764,-0.04370700934579441,No,0.009345794392523364,0.07526881720430108,12,0.12903225806451613,0.010752688172043012,0.5268817204301075,0.0967741935483871,0.6559139784946236,2.861290322580645,4,4.788888888888889,2.78125,7.767441860465116,93.1,No,Yes,36,2,0.06451612903225806,
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Cover 2,17,123,110,0.7909090909090909,,78,0.7090909090909091,0.8080808080808081,0.03037297606060607,6,4,20,0.01818181818181818,734,6.672727272727273,0.603542234332425,4.177966101694915,606,2,8,2,4,-56,0.06504065040650407,No,No,46,0.37398373983739835,0.05683333333333331,No,,0.10909090909090909,11,0.1,0.045454545454545456,0.4727272727272727,0.17272727272727273,0.6454545454545455,2.630909090909091,2.9125,5.3,2.473913043478261,6.06,76.1,No,Yes,31,5,0.03636363636363636,True
22,New England,Patriots,MIA,AFC,AFC East,Open,Open,Cover 2,17,128,112,0.7767857142857143,1,79,0.7053571428571429,0.7884615384615384,0.008574639144230622,4,3,-4,0.026785714285714284,713,6.366071428571429,0.5722300140252454,4.836065573770492,585,1,10,5,6,-53,0.078125,Yes,Yes,47,0.3671875,0.04308710937499999,No,0.0234375,0.125,10,0.08928571428571429,0.026785714285714284,0.5089285714285714,0.125,0.6160714285714286,2.7223214285714286,4.4,4.633333333333334,2.6106382978723404,5.518867924528302,82.9,No,No,27,2,0.008928571428571428,True
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Open,Cover 2,17,106,95,0.8210526315789474,,73,0.7684210526315789,0.8222222222222222,0.08359074517777776,1,4,5,0.010526315789473684,862,9.073684210526316,0.47447795823665895,7.06,729,1,5,2,2,-41,0.04716981132075472,No,Yes,43,0.4056603773584906,0.09391037735849059,Yes,0.009433962264150943,0.11578947368421053,10,0.10526315789473684,0.05263157894736842,0.5894736842105263,0.14736842105263157,0.631578947368421,2.5915789473684208,3.02,4.283333333333333,2.411627906976744,8.1,94.3,No,Yes,33,3,0.031578947368421054,True
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Open,Cover 2,17,87,77,0.7532467532467533,1,49,0.6363636363636364,0.7605633802816901,-0.003470926661971907,6,,41,0.06493506493506493,451,5.857142857142857,0.6119733924611973,3.158536585365854,461,1,5,1,2,-32,0.05747126436781609,No,Yes,37,0.42528735632183906,0.10800747126436783,No,0.011494252873563218,0.15584415584415584,8,0.1038961038961039,0.03896103896103896,0.5584415584415584,0.09090909090909091,0.5844155844155844,2.653246753246753,2.7800000000000002,4.76,2.445945945945946,6.492957746478873,62.2,No,Yes,20,4,0.025974025974025976,
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Open,Cover 2,17,69,63,0.746031746031746,1,45,0.7142857142857143,0.8653846153846154,0.10439912751923075,7,2,,,472,7.492063492063492,0.4788135593220339,6.545454545454546,362,1,3,2,4,-15,0.043478260869565216,No,No,29,0.42028985507246375,0.07961376811594202,No,0.028985507246376812,0.07936507936507936,6,0.09523809523809523,0.015873015873015872,0.5079365079365079,0.14285714285714285,0.6507936507936508,2.738095238095238,3.8000000000000003,4.2,2.393103448275862,6.703703703703703,91.5,No,Yes,21,1,0.031746031746031744,
