teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingIncompletionsBatted
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 1,17,38,17,0.5882352941176471,3,8,0.47058823529411764,0.5714285714285714,-0.07750802992857142,3,,,136,8,0.10294117647058823,5.5,188,2,1,3,1,9,-21,0.07894736842105263,No,Yes,38,1,0.6784973684210526,No,,0.23529411764705882,3,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.4117647058823529,4.741176470588235,3.6,5.144444444444444,2.6736842105263157,13.428571428571429,89.3,Yes,Yes,6,True,
20,Miami,Dolphins,NE,AFC,AFC East,Open,Open,Cover 2,17,56,32,0.53125,3,14,0.4375,0.7619047619047619,0.08825568085714286,11,14,0.0625,228,7.125,0.3684210526315789,5.463414634146342,245,4,1,9,4,22,-39,0.16071428571428573,Yes,Yes,55,0.9821428571428571,0.5207125,No,,0.125,4,0.125,0.03125,0.125,,0.0625,0.40625,5.25625,4.177777777777778,5.833333333333333,2.598181818181818,11.666666666666666,94.8,No,No,10,,
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Closed,Cover 3,17,51,36,0.5277777777777778,,17,0.4722222222222222,0.7307692307692307,0.04065902188461534,10,,0.05555555555555555,265,7.361111111111111,0.15849056603773584,6.512820512820513,301,,,3,2,12,-11,0.058823529411764705,No,Yes,50,0.9803921568627451,0.44125392156862747,Yes,,0.19444444444444445,5,0.1388888888888889,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.3333333333333333,5.002777777777777,5.433333333333334,5.4750000000000005,2.674,11.576923076923077,72.1,No,No,12,,
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Closed,Cover 1,17,61,32,0.5625,2,15,0.46875,0.6521739130434783,0.029488775478260898,9,,,213,6.65625,0.20187793427230047,2.8048780487804876,324,2,2,9,3,13,-48,0.14754098360655737,No,Yes,61,1,0.5916622950819672,Yes,,0.15625,6,0.1875,0.0625,0.125,0.0625,0.03125,0.375,5.0874999999999995,4.677777777777778,4.9350000000000005,2.6557377049180326,14.08695652173913,63.7,No,No,13,,
25,New York,Jets,BUF,AFC,AFC East,Open,Open,Cover 4,17,32,18,0.5,,7,0.3888888888888889,0.6153846153846154,-0.030236872923076974,5,6,0.05555555555555555,107,5.944444444444445,0.3177570093457944,4.380952380952381,173,,,3,3,7,-15,0.09375,No,No,31,0.96875,0.5906046875,No,,0.2222222222222222,4,0.2222222222222222,,,,,0.3888888888888889,4.472222222222222,4.3,4.954545454545454,2.693548387096774,13.307692307692308,59.3,No,Yes,4,,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Open,Open,Red Zone,17,52,28,0.42857142857142855,2,10,0.35714285714285715,0.7058823529411765,0.0711051169411765,9,31,0.07142857142857142,153,5.464285714285714,0.24183006535947713,2.588235294117647,240,1,1,6,3,13,-40,0.11538461538461539,No,Yes,51,0.9807692307692307,0.5846894230769231,No,,0.17857142857142858,3,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.32142857142857145,4.839285714285714,5.216666666666667,4.9,2.5588235294117645,12.631578947368421,51.6,No,No,8,,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Open,Cover 4,16,50,27,0.4074074074074074,1,7,0.25925925925925924,0.38095238095238093,-0.25394631176190485,6,12,0.037037037037037035,110,4.074074074074074,0.2545454545454545,0.7352941176470589,278,,1,7,2,12,-40,0.14,No,Yes,50,1,0.611278,No,,0.37037037037037035,6,0.2222222222222222,0.18518518518518517,,0.07407407407407407,0.07407407407407407,0.18518518518518517,4.748148148148148,5.128571428571428,5.63125,2.594,13.238095238095237,28.6,No,No,5,True,
13,Houston,Texans,IND,AFC,AFC South,Closed,Closed,Prevent,17,50,33,0.5454545454545454,1,11,0.3333333333333333,0.6086956521739131,-0.05646239799999997,10,58,0.09090909090909091,111,3.3636363636363638,0.38738738738738737,1.162162162162162,278,,1,4,1,6,-23,0.08,No,Yes,49,0.98,0.544187,No,0.02,0.15151515151515152,5,0.15151515151515152,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.3333333333333333,4.403030303030303,5.175,4.992307692307692,2.5163265306122446,12.08695652173913,31.3,No,Yes,4,True,
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 6,17,47,29,0.3448275862068966,,5,0.1724137931034483,0.5625,-0.0038401376250000174,13,36,0.13793103448275862,75,2.586206896551724,0.21333333333333335,0.75,203,,1,3,1,8,-6,0.06382978723404255,No,Yes,47,1,0.4178202127659575,Yes,,0.20689655172413793,6,0.20689655172413793,0.06896551724137931,0.034482758620689655,,0.06896551724137931,0.1724137931034483,6.044827586206897,6,5.34,3.002127659574468,12.6875,25.2,No,Yes,4,,
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 4,17,46,25,0.44,1,9,0.36,0.5263157894736842,-0.09771969857894736,6,22,0.04,172,6.88,0.313953488372093,4.34375,256,2,1,7,1,6,-28,0.15217391304347827,No,Yes,44,0.9565217391304348,0.5169347826086956,No,0.021739130434782608,0.32,5,0.2,0.04,0.12,0.04,0.2,0.24,5.263999999999999,5.128571428571428,5.514285714285714,2.9,13.473684210526315,70.8,No,No,6,,
21,Minnesota,Vikings,GB,NFC,NFC North,Open,Closed,Cover 3,17,56,28,0.4642857142857143,1,13,0.4642857142857143,0.6842105263157895,0.0411204939473685,9,,,162,5.785714285714286,0.2222222222222222,1.9189189189189189,240,1,1,9,4,19,-66,0.16071428571428573,No,Yes,54,0.9642857142857143,0.6026580357142858,Yes,,0.21428571428571427,5,0.17857142857142858,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.35714285714285715,4.767857142857143,5.333333333333333,4.978947368421053,2.4703703703703703,12.631578947368421,61.9,No,No,8,True,
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Open,Cover 2,17,59,35,0.5428571428571428,3,15,0.42857142857142855,0.5862068965517241,-0.07058930248275863,5,21,0.05714285714285714,240,6.857142857142857,0.2625,5.425,370,2,1,5,2,13,-18,0.0847457627118644,No,Yes,57,0.9661016949152542,0.5238220338983051,No,0.01694915254237288,0.2571428571428571,4,0.11428571428571428,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.42857142857142855,4.897142857142858,5.319999999999999,4.747368421052632,2.587719298245614,12.166666666666666,73.5,No,No,10,True,
