teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
24,New York,Giants,,PHI,NFC,NFC East,Open,Closed,Cover 3,17,65,No,Yes,No,266,51,No,5,Yes,40,0.7843,2,0.1917,34,2,3,0.6667,498,196,51,486,2,,4,7,0.2059,0.0784,0.1961,0.2745,0.451,30,0.5882,9.5294,111.4,1.8722,9.7647,1.7156,0.0784,14.6471,5.7647,1.5,21,5,,
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Open,Cover 4,17,78,No,Yes,No,326,65,No,7,No,48,0.7385,6,0.1994,43,4,,0.6615,451,194,30,589,9,4,2,1,0.0233,0.1692,0.2,0.3385,0.2923,30,0.4615,9.0615,112.9,1.3834,6.9385,-0.7534,0.0308,10.4884,4.5116,0.6977,29,12,1,0.0154
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Open,Open,Cover 2,17,70,No,Yes,No,297,59,No,2,Yes,42,0.7119,7,0.1987,38,,2,0.6441,550,256,137,584,5,4,2,7,0.1842,0.1356,0.2542,0.2881,0.322,19,0.322,9.8983,115.8,1.8519,9.322,1.1894,0.0339,14.4737,6.7368,3.6053,27,14,1,0.0169
1,Arizona,Cardinals,1,SF,NFC,NFC West,Closed,Closed,Cover 1,17,72,No,Yes,No,310,58,No,6,No,46,0.7931,5,0.1871,40,2,1,0.6897,359,217,52,373,2,2,2,6,0.15,0.1552,0.3103,0.2414,0.2931,22,0.3793,6.431,89.7,1.1581,6.1897,-1.0597,0.0345,8.975,5.425,1.3,20,13,3,0.0517
10,Denver,Broncos,1,KC,AFC,AFC West,Closed,Closed,Cover 3,17,90,Yes,No,No,381,73,No,3,Yes,54,0.7397,8,0.1916,46,1,2,0.6301,538,235,63,601,4,3,5,2,0.0435,0.1644,0.1507,0.274,0.3973,31,0.4247,8.2329,92.2,1.4121,7.3699,-0.1731,0.0685,11.6957,5.1087,1.3696,26,16,2,0.0274
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2,17,93,Yes,No,No,397,81,No,10,Yes,58,0.716,9,0.204,52,6,5,0.642,562,269,96,699,8,3,3,8,0.1538,0.1111,0.2099,0.2963,0.3704,37,0.4568,8.6296,107.1,1.4156,6.9383,-0.3072,0.037,10.8077,5.1731,1.8462,29,18,,
22,New England,Patriots,1,BUF,AFC,AFC East,Open,Open,Cover 4,17,83,No,Yes,No,352,71,No,4,No,50,0.7042,11,0.2017,43,1,,0.6056,472,191,76,823,5,3,3,3,0.0698,0.0845,0.2394,0.3944,0.2817,30,0.4225,11.5915,92,1.3409,6.6479,-1.8128,0.0423,10.9767,4.4419,1.7674,31,10,1,0.0141
30,Tampa Bay,Buccaneers,1,NO,NFC,NFC South,Closed,Closed,Cover 3,17,78,No,Yes,Yes,317,54,No,2,No,38,0.7037,5,0.1703,37,2,1,0.6852,518,232,64,578,4,4,1,9,0.2432,0.2037,0.2407,0.2407,0.3148,22,0.4074,10.7037,123.8,1.6341,9.5926,1.2362,0.0185,14,6.2703,1.7297,25,5,,
17,Los Angeles,Rams,1,SEA,NFC,NFC West,Open,Open,Cover 2,17,67,Yes,No,No,283,53,No,8,Yes,43,0.8113,5,0.1873,40,4,1,0.7547,556,179,53,655,5,4,,3,0.075,0.1887,0.1698,0.1698,0.4528,16,0.3019,12.3585,116.5,1.9647,10.4906,1.7442,,13.9,4.475,1.325,31,8,1,0.0189
31,Tennessee,Titans,1,HST,AFC,AFC South,Open,Open,Cover 0,17,52,Yes,No,No,210,44,No,2,No,30,0.6818,5,0.2095,27,2,1,0.6136,396,158,53,445,4,3,3,3,0.1111,0.1136,0.2727,0.1591,0.4318,20,0.4545,10.1136,111.6,1.8857,9,0.8388,0.0682,14.6667,5.8519,1.963,21,8,1,0.0227
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,97,No,No,Yes,433,72,No,7,Yes,51,0.7083,8,0.1663,45,4,3,0.625,527,187,50,686,2,2,3,5,0.1111,0.125,0.2083,0.25,0.4028,23,0.3194,9.5278,59.2,1.2171,7.3194,-0.3236,0.0417,11.7111,4.1556,1.1111,27,9,3,0.0417
12,Green Bay,Packers,1,CHI,NFC,NFC North,Closed,Closed,Cover 1,17,65,No,Yes,Yes,288,46,No,3,No,31,0.6739,2,0.1597,26,2,2,0.5652,228,130,35,378,1,,4,3,0.1154,0.1957,0.1304,0.3043,0.3696,16,0.3478,8.2174,59,0.7917,4.9565,-2.2924,0.087,8.7692,5,1.3462,12,6,1,0.0217
20,Miami,Dolphins,,NYJ,AFC,AFC East,Open,Open,Cover 6,17,81,No,Yes,No,333,64,No,8,No,51,0.7969,11,0.1922,42,3,4,0.6562,578,145,27,772,7,6,4,3,0.0714,0.0625,0.1719,0.1875,0.5781,30,0.4688,12.0625,130.9,1.7357,9.0312,0.3961,0.0625,13.7619,3.4524,0.6429,32,14,1,0.0156
25,New York,Jets,1,MIA,AFC,AFC East,Open,Open,Cover 6,17,105,No,Yes,No,438,80,No,6,No,62,0.775,5,0.1826,55,5,3,0.6875,656,251,83,704,4,2,6,6,0.1091,0.1875,0.2625,0.225,0.325,35,0.4375,8.8,110.2,1.4977,8.2,0.5251,0.075,11.9273,4.5636,1.5091,28,13,1,0.0125
18,Los Angeles,Chargers,,LV,AFC,AFC West,Closed,Closed,Cover 3,17,74,No,No,No,315,59,Yes,9,Yes,44,0.7458,7,0.1873,38,4,2,0.6441,613,230,50,735,4,2,1,1,0.0263,0.1525,0.2712,0.2034,0.3729,23,0.3898,12.4576,121.6,1.946,10.3898,1.9766,0.0169,16.1316,6.0526,1.3158,27,8,1,0.0169
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Open,Open,Cover 2,17,91,No,Yes,No,386,74,No,7,Yes,62,0.8378,5,0.1917,55,3,1,0.7432,674,334,67,588,5,3,4,3,0.0545,0.1351,0.2838,0.2027,0.3649,32,0.4324,7.9459,124.5,1.7461,9.1081,1.5189,0.0541,12.2545,6.0727,1.2182,34,11,2,0.027
13,Houston,Texans,,TEN,AFC,AFC South,Open,Open,Cover 0,17,72,Yes,No,No,307,58,No,4,No,37,0.6379,5,0.1889,25,,,0.431,406,179,63,802,4,3,7,6,0.24,0.1034,0.2759,0.2931,0.3276,26,0.4483,13.8276,75.8,1.3225,7,-1.9154,0.1207,16.24,7.16,2.52,17,9,1,0.0172
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 2 Man,17,66,No,Yes,No,269,51,No,7,No,36,0.7059,7,0.1896,34,5,1,0.6667,429,163,51,519,3,3,2,5,0.1471,0.0784,0.1765,0.3333,0.4118,14,0.2745,10.1765,96,1.5948,8.4118,0.3386,0.0392,12.6176,4.7941,1.5,20,11,1,0.0196
11,Detroit,Lions,1,MIN,NFC,NFC North,Open,Open,Cover 2 Man,17,95,No,Yes,No,398,77,No,11,No,61,0.7922,12,0.1935,53,6,4,0.6883,697,299,102,768,6,4,4,2,0.0377,0.1558,0.1948,0.2468,0.3766,34,0.4416,9.974,106.9,1.7513,9.0519,1.1389,0.0519,13.1509,5.6415,1.9245,36,18,3,0.039
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 3,17,92,No,Yes,Yes,386,69,No,6,No,55,0.7971,5,0.1788,50,4,1,0.7246,682,316,58,651,6,5,2,6,0.12,0.0435,0.1884,0.3043,0.4493,31,0.4493,9.4348,114.5,1.7668,9.8841,1.9224,0.029,13.64,6.32,1.16,33,8,2,0.029
9,Dallas,Cowboys,1,WAS,NFC,NFC East,Open,Open,Cover 2,17,79,Yes,Yes,No,333,65,No,12,No,52,0.8,4,0.1952,42,3,1,0.6462,426,167,60,731,5,4,,6,0.1429,0.1077,0.2,0.2769,0.4154,32,0.4923,11.2462,108.9,1.2793,6.5538,-1.5705,,10.1429,3.9762,1.4286,21,13,2,0.0308
19,Las Vegas,Raiders,1,LAC,AFC,AFC West,Closed,Closed,Cover 3,17,61,No,No,No,254,51,Yes,7,Yes,43,0.8431,7,0.2008,37,2,1,0.7255,452,161,38,490,9,7,,3,0.0811,0.1765,0.1765,0.2549,0.3922,14,0.2745,9.6078,139.1,1.7795,8.8627,0.7603,,12.2162,4.3514,1.027,24,13,,
