Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed
Drake Maye,NE,QB,266,266,62,0.6497,8,89,0.5669,0.7308,0.0575,266,19,4,82,0.0382,1327,8.4522,0.3926,5.6422,1511,8,3,47,23,0.1767,-201,0.1767,62,429,3,No,Yes,266,1,79.8354,0.6999,No,,0.1656,26,0.1656,0.0191,0.0573,0.4395,0.1083,0.4713,3.5229,4.0447,4.8097,2.6812,11.5,93.6,No,No,55,140.18,141.18,140.68,141.18,141.18,147.18,143.68,135.18,135.18,135.18,134.68,154.45,148.45,17
Geno Smith,LV,QB,206,206,18,0.5414,8,64,0.4812,0.6147,-0.0926,206,16,6,19,0.0226,701,5.2707,0.5093,0.6702,1097,5,6,55,8,0.267,-405,0.267,18,109,,No,Yes,206,1,61.4989,0.7015,Yes,0.0097,0.2782,21,0.1579,0.0752,0.0301,0.4436,0.1654,0.3759,3.2556,3.2036,5.5222,2.4607,9.9099,57.9,No,No,31,51.94,51.94,51.94,51.94,51.94,57.94,56.94,44.94,44.94,44.94,44.94,58.95,51.95,15
Justin Herbert,LAC,QB,267,267,44,0.5848,22,80,0.4678,0.6197,-0.0566,267,19,,64,0.0468,1049,6.1345,0.3499,3.2018,1598,11,6,52,12,0.1948,-285,0.1948,44,393,1,No,Yes,267,1,84.1218,0.6849,No,0.0037,0.2281,25,0.1462,0.0351,0.0526,0.345,0.0936,0.4035,3.4269,3.4,4.6,2.4378,10.6842,73.5,No,Yes,49,124.26,124.26,124.26,124.26,124.26,130.26,129.26,117.26,117.26,117.26,117.26,134.75,127.75,16
Patrick Mahomes,KC,QB,244,244,51,0.5849,12,72,0.4528,0.6512,-0.0016,244,24,1,95,0.0755,1253,7.8805,0.316,5.1554,1720,8,5,34,12,0.1393,-193,0.1393,51,415,3,Yes,Yes,244,1,84.7084,0.6528,No,0.0041,0.2201,29,0.1824,0.0314,0.0881,0.3333,0.0503,0.4088,3.6635,4.2971,5.0882,2.7242,12.8358,76.3,No,No,53,136.62,136.62,136.62,136.62,136.62,142.62,142.62,131.62,131.62,131.62,131.62,149.15,144.15,14
J.J. McCarthy,MIN,QB,119,119,17,0.5467,6,34,0.4533,0.6129,-0.071,119,6,2,71,0.0533,353,4.7067,0.289,1.2647,683,3,3,27,7,0.2269,-149,0.2269,17,156,2,Yes,Yes,119,1,36.9615,0.6894,No,0.0168,0.28,10,0.1333,0.04,0.0933,0.4667,0.04,0.3467,3.432,3.8481,5.0647,2.7286,10.4328,56.1,Yes,Yes,19,48.72,48.72,48.72,48.72,48.72,54.72,52.72,43.72,43.72,43.72,43.72,52.25,47.25,10
Matthew Stafford,LA,QB,187,187,6,0.6013,13,73,0.462,0.6087,-0.0868,187,15,1,62,0.0696,1020,6.4557,0.3608,5.6906,1447,8,,23,3,0.123,-150,0.123,6,20,,Yes,Yes,187,1,67.7301,0.6378,No,,0.2405,24,0.1519,0.019,0.0633,0.4367,0.1329,0.3734,3.0601,3.4478,5.0667,2.5701,10.662,84.4,No,No,47,72.8,72.8,72.8,72.8,72.8,75.8,73.8,70.8,70.8,70.8,70.8,83,81,17
Tyson Bagent,CHI,QB,2,2,1,1,,1,1,1,0.0628,2,,,,,20,20,1.25,20,-5,,,,,,,,1,7,,No,No,2,1,0.5391,0.7305,No,,,,,,,1,,1,3.7,,4.6,3.45,-5,118.8,No,No,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.7,1.7,3
Aidan O'Connell,LV,QB,8,8,1,0.3333,1,2,0.3333,0.5,-0.0204,8,1,,,,34,5.6667,0.1471,4.1429,87,,,1,1,0.125,-5,0.125,1,7,,No,Yes,8,1,2.3718,0.7035,No,,0.3333,1,0.1667,,0.1667,0.5,,0.3333,2.8667,3.9,3.8,2.6625,17.4,53.5,No,No,2,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.4,2.4,1
Kedon Slovis,ARZ,QB,1,1,1,1,,1,1,1,0.0643,1,,,,,-2,-2,,-2,-2,,,,,,,,,,,No,Yes,1,1,0.3493,0.6507,No,,,,,,,1,,,2.6,,,2.5,-2,79.2,Yes,Yes,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,2
Marcus Mariota,WAS,QB,94,94,16,0.4516,5,23,0.371,0.5319,-0.0805,94,13,1,8,0.0323,380,6.129,0.3684,1.9615,619,3,4,16,2,0.1702,-107,0.1702,16,145,1,No,Yes,94,1,34.9564,0.6281,Yes,,0.2903,10,0.1613,0.0806,0.0484,0.3226,0.0645,0.2903,3.8435,3.0562,5.1188,2.4777,12.8958,47.8,Yes,Yes,17,41.7,41.7,41.7,41.7,41.7,47.7,45.7,35.7,35.7,35.7,35.7,45.5,39.5,11
Tyler Huntley,BLT,QB,35,35,7,0.7,2,12,0.6,0.6842,-0.0575,35,1,,1,0.05,112,5.6,0.3304,3.3571,146,1,,8,2,0.2286,-38,0.2286,7,84,,No,Yes,35,1,9.2457,0.7358,Yes,0.0286,0.25,3,0.15,0.05,0.05,0.5,0.25,0.35,3.255,3.725,4.8286,2.5171,7.6842,92.1,No,Yes,4,16.88,16.88,16.88,16.88,16.88,16.88,16.88,16.88,16.88,16.88,16.88,18,18,5
Aaron Rodgers,PIT,QB,147,147,12,0.5094,9,45,0.4245,0.5732,-0.1363,147,21,1,-3,0.0189,633,5.9717,0.4692,3.4296,834,5,2,29,5,0.1973,-180,0.1973,12,68,1,Yes,Yes,147,1,55.88,0.6199,No,0.0136,0.2453,13,0.1226,0.0094,0.0566,0.2453,0.1698,0.3962,3.6311,3.8207,5.6833,2.6415,9.9643,70.2,No,Yes,20,55.12,55.12,55.12,55.12,55.12,58.12,57.12,52.12,52.12,52.12,52.12,61.45,58.45,16
Baker Mayfield,TB,QB,226,226,42,0.64,11,78,0.52,0.6241,-0.078,226,10,3,23,0.0333,972,6.48,0.4393,3.7011,1325,8,5,34,11,0.1504,-226,0.1504,42,373,1,No,Yes,226,1,81.4785,0.6395,No,,0.2467,14,0.0933,0.0533,0.08,0.3067,0.12,0.4733,3.724,3.5941,5.4071,2.5509,9.6715,76.3,Yes,Yes,50,106.18,106.18,106.18,106.18,106.18,112.18,109.18,98.18,98.18,98.18,98.18,115.9,107.9,17
Mason Rudolph,PIT,QB,10,10,1,0.5714,,4,0.5714,0.8,0.0609,10,2,,,,52,7.4286,0.2885,4.4444,41,,,2,1,0.2,-12,0.2,1,3,,No,Yes,10,1,4.4288,0.5571,No,,0.1429,,,,,0.1429,0.1429,0.4286,4.2429,3.8,6.6,3.27,8.2,80.7,No,No,2,1.38,1.38,1.38,1.38,1.38,1.38,0.38,0.38,0.38,0.38,0.38,1.9,0.9,5
Carson Wentz,MIN,QB,81,81,9,0.6038,5,27,0.5094,0.6818,0.0125,81,7,1,22,0.0566,382,7.2075,0.3613,2.875,494,2,2,19,5,0.2346,-125,0.2346,9,57,,No,Yes,81,1,24.0501,0.7031,Yes,,0.2453,8,0.1509,0.0566,0.0377,0.434,0.0755,0.434,3.2057,3.1947,5.2667,2.4704,10.8478,71.4,No,No,18,26.98,26.98,26.98,26.98,26.98,29.98,29.98,24.98,24.98,24.98,24.98,30.8,28.8,5
Dak Prescott,DAL,QB,244,244,26,0.7059,10,108,0.5775,0.7202,-0.0041,244,9,4,137,0.0695,1424,7.615,0.4017,4.5,1446,4,7,31,4,0.127,-208,0.127,26,176,1,No,Yes,244,1,83.1901,0.6591,No,0.0082,0.1658,24,0.1283,0.0428,0.0749,0.4332,0.1444,0.5294,3.154,3.7516,4.8923,2.5586,8.3103,73.5,No,No,60,88.56,88.56,88.56,88.56,88.56,94.56,93.56,80.56,80.56,80.56,80.56,102.8,94.8,17
Spencer Rattler,NO,QB,120,120,16,0.6628,4,51,0.593,0.7368,0.0717,120,9,,66,0.0581,656,7.6279,0.314,5.0192,949,3,2,18,8,0.15,-104,0.15,16,114,,No,No,120,1,40.0103,0.6666,No,0.0083,0.2209,20,0.2326,0.0465,0.0814,0.4535,0.1744,0.4651,3.2721,3.2389,4.2188,2.3958,12.2727,85.2,No,No,29,45.64,45.64,45.64,45.64,45.64,51.64,49.64,41.64,41.64,41.64,41.64,52.2,48.2,9
Joe Milton,DAL,QB,11,11,3,0.625,,5,0.625,0.8333,0.1113,11,2,,,,66,8.25,0.4394,2.625,53,,1,,,,,,3,22,,No,Yes,11,1,3.9157,0.644,No,,0.125,,,0.125,,0.5,0.125,0.5,3.4125,,4.9333,2.5273,8.8333,49,No,No,3,2.84,2.84,2.84,2.84,2.84,2.84,1.84,0.84,0.84,0.84,0.84,3.5,1.5,4
Jaxson Dart,NYG,QB,176,176,38,0.5962,8,46,0.4423,0.5889,-0.0743,176,10,1,91,0.0673,639,6.1442,0.4382,3.8043,1104,6,2,34,17,0.1932,-144,0.1932,38,290,2,Yes,Yes,176,1,55.63,0.6839,No,0.0114,0.2692,23,0.2212,0.0673,0.0962,0.4038,0.0962,0.3846,3.676,4.6559,5.4289,2.6994,11.871,75.8,No,No,27,87.56,87.56,87.56,87.56,87.56,93.56,92.56,84.56,84.56,84.56,84.56,93.95,90.95,14
Quinn Ewers,MIA,QB,32,32,3,0.619,1,12,0.5714,0.5714,-0.1223,32,,,,,161,7.6667,0.4224,3.5172,209,,,8,4,0.25,-59,0.25,3,21,,No,Yes,32,1,8.353,0.739,No,,0.381,3,0.1429,0.0476,0.0952,0.5714,0.1429,0.381,2.881,3.4875,4.0333,2.4906,9.9524,81.6,No,No,5,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,10.15,10.15,4
Brady Cook,NYJ,QB,51,51,7,0.36,2,7,0.28,0.4,-0.3637,51,3,1,5,0.04,32,1.28,0.6875,-3.1364,121,,1,19,2,0.3725,-125,0.3725,7,44,,Yes,Yes,51,1,11.665,0.7713,No,,0.4,,,0.08,,0.36,0.08,0.28,3.28,3.7842,5.6571,2.5922,5.7619,22.9,No,No,,3.68,3.68,3.68,3.68,3.68,3.68,2.68,1.68,1.68,1.68,1.68,4,2,5
Shane Buechele,KC,QB,8,8,1,,,,,,-0.4896,8,1,,,,,,,-3.1429,20,,,5,4,0.625,-22,0.625,1,4,,Yes,Yes,8,1,0.9056,0.8868,Yes,,0.5,1,0.5,,,0.5,,,3.2,4.32,5.2,2.6375,20,39.6,No,No,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1
Mitchell Trubisky,BUF,QB,5,5,2,0.3333,1,1,0.3333,0.5,-0.1061,5,1,,,,22,7.3333,0.0455,7.3333,28,,,,,,,,2,13,,Yes,Yes,5,1,1.8932,0.6214,Yes,,0.3333,1,0.3333,,,,,0.3333,4.2333,,5.3,3.06,14,60.4,No,No,1,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.4,2.4,4
