Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,AverageTimeToScramble,SackedFaultTotal,DropsYardsLost,DropsPercentage,HeroThrowPercentage
Michael Penix,ATL,QB,62,62,2,0.7368,,36,0.6316,0.8039,0.0725,62,5,487,8.5439,0.4805,7.55,403,2,1,3,0.1667,-29,0.0484,Yes,Yes,18,0.2903,23.1186,-0.0826,No,0.0806,0.1579,7,0.1228,0.0351,0.7193,0.0175,0.5789,2.9263,4.7,3.0611,7.902,94.7,No,No,23,28.08,28.08,28.08,28.08,28.08,31.08,31.08,27.08,27.08,27.08,27.08,32.95,31.95,9,1,2,16,,5.95,,18,0.0877,
Max Brosmer,MIN,QB,23,23,1,0.7143,,13,0.619,0.7778,-0.0128,23,2,87,4.1429,0.954,-0.3182,79,,2,1,0.1429,-4,0.0435,Yes,No,7,0.3043,7.2663,-0.0116,No,0.087,0.1429,1,0.0476,0.0952,0.5714,0.0476,0.5238,2.581,1.3,2.2286,4.1579,31.3,No,Yes,7,1.98,1.98,1.98,1.98,1.98,1.98,1.98,-0.02,-0.02,-0.02,-0.02,2.85,0.85,7,,1,5,,5.1,1,15,0.0476,
Josh Allen,BUF,QB,151,151,19,0.811,4,91,0.7165,0.8319,0.0664,151,6,975,7.6772,0.5877,7.7197,790,6,1,5,0.0926,-31,0.0331,No,No,54,0.3576,48.8461,0.0341,No,0.1523,0.126,10,0.0787,0.0157,0.6457,0.1102,0.6457,2.8047,3.58,2.937,6.6387,106.3,No,No,56,82.3,82.3,82.3,82.3,82.3,85.3,84.3,80.3,80.3,80.3,80.3,92.05,90.05,17,2,19,93,2,5.5684,,86,0.063,0.0394
Drew Lock,SEA,QB,1,1,1,1,,1,1,1,0.181,1,,11,11,0.5455,11,5,,,,,,,No,No,1,1,0.4701,0.5299,No,,,,,,,1,1,3.3,,3.2,5,112.5,No,No,1,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,5,,,,,,,,,
Shedeur Sanders,CLV,QB,68,68,6,0.5574,1,31,0.5082,0.6415,-0.1237,68,5,373,6.1148,0.7399,2.5968,331,1,5,1,0.0303,-7,0.0147,Yes,Yes,33,0.4853,30.0186,0.0438,No,,0.2951,5,0.082,0.1311,0.4426,0.1803,0.4426,3.4279,3.3,3.0939,6.1296,41.2,No,No,13,19.42,19.42,19.42,19.42,19.42,22.42,22.42,14.42,14.42,14.42,14.42,23.15,18.15,8,2,6,55,,4.7333,,41,0.0492,0.0328
Jameis Winston,NYG,QB,23,22,22,0.5909,2,11,0.5,0.6316,-0.0557,22,2,205,9.3182,0.4585,8.1818,220,1,1,,,,,Yes,Yes,10,0.4545,9.8236,0.008,Yes,0.0909,0.2727,3,0.1364,0.0909,0.6818,0.0455,0.4545,3.1636,,2.92,11,78.8,No,No,8,20.5,21.5,21,21.5,21.5,21.5,21,20.5,20.5,20.5,20,23.55,22.55,3,,,,,,,11,0.0455,0.0455
Shane Buechele,KC,QB,6,6,5,0.8,,4,0.8,0.8,0.1258,6,,79,15.8,0.4051,12,67,,,1,0.5,-7,0.1667,Yes,Yes,2,0.3333,1.781,0.0365,Yes,0.1667,0.2,2,0.4,,0.8,0.2,0.6,2.64,3.5,2.85,13.4,118.8,No,No,3,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.95,3.95,1,,,,,,1,,,0.2
Clayton Tune,GB,QB,6,6,1,0.75,,3,0.75,0.75,-0.0679,6,,20,5,0.7,2.6,14,,,1,0.3333,-7,0.1667,Yes,Yes,3,0.5,2.0354,0.1608,Yes,0.1667,0.25,,,0.25,0.5,0.25,0.5,3.525,2,2.2333,3.5,85.4,No,No,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,2,,1,1,,6.2,1,,,
Tyler Shough,NO,QB,77,77,6,0.7619,1,42,0.6667,0.7797,0.0143,77,2,426,6.7619,0.6244,5.4648,397,,,8,0.2857,-38,0.1039,Yes,Yes,28,0.3636,25.4904,0.0326,No,0.1429,0.127,7,0.1111,0.0159,0.6508,0.1587,0.5238,2.9206,4.3125,2.875,6.7288,85.8,No,No,16,27.74,27.74,27.74,27.74,27.74,30.74,29.74,26.74,26.74,26.74,26.74,32,31,11,2,6,57,1,4.5667,4,1,0.0635,0.0317
Trey Lance,LAC,QB,8,8,1,0.8,,3,0.6,0.75,-0.1584,8,1,14,2.8,1.2857,-0.2857,-2,,,2,0.5,-16,0.25,Yes,No,4,0.5,1.8845,0.2644,No,0.25,,,,,0.6,0.2,0.8,2.76,2.85,2.45,-0.5,64.6,No,Yes,1,0.66,0.66,0.66,0.66,0.66,0.66,-0.34,-0.34,-0.34,-0.34,-0.34,0.8,-0.2,4,,1,11,,5.4,,,,
Davis Mills,HST,QB,45,45,3,0.7073,4,24,0.5854,0.6757,0.0057,45,2,257,6.2683,0.2529,6.8095,435,2,,1,0.0588,-11,0.0222,Yes,No,17,0.3778,15.27,0.0384,Yes,0.1111,0.1951,8,0.1951,0.0488,0.5854,0.0244,0.6098,2.7341,2.7,2.6,11.5,93.2,No,Yes,18,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,23.25,23.25,6,1,3,24,,4.7,,,0.0244,
Riley Leonard,IND,QB,23,23,2,0.65,1,11,0.55,0.8125,0.1087,23,3,135,6.75,0.3481,6.0476,182,,,1,0.0909,-8,0.0435,Yes,Yes,11,0.4783,8.642,0.1025,No,0.2174,0.2,5,0.25,0.05,0.55,0.15,0.5,3.08,3.5,3,10.5882,76,No,Yes,4,6.4,6.4,6.4,6.4,6.4,6.4,5.4,5.4,5.4,5.4,5.4,7.75,6.75,5,,2,20,,5.1,,17,0.1,0.1
