teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingSackedAvoidedTotal
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 1,17,307,307,0.762214983713355,24,185,0.6026058631921825,0.6535947712418301,-0.007560791568627434,184,0.048859934853420196,2660,8.664495114006515,0.36278195488721804,7.785016286644951,3804,9,10,No,No,52,0.16938110749185667,-0.15834234527687294,Yes,0.035830618892508145,0.2247557003257329,68,0.22149837133550487,0.04234527687296417,0.06188925081433225,1,0.501628664495114,2.4749185667752442,2.3423076923076924,12.407166123778502,84.6,No,Yes,126,1
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 0,17,352,352,0.7556818181818182,22,220,0.625,0.6846590909090909,0.009814642889204528,205,0.05965909090909091,2756,7.829545454545454,0.2960812772133527,6.394886363636363,4066,13,17,No,Yes,63,0.17897727272727273,-0.12513948863636362,Yes,0.005681818181818182,0.2159090909090909,56,0.1590909090909091,0.0625,0.0625,1,0.4715909090909091,2.3380681818181817,2.2523809523809524,11.551136363636363,79,No,No,137,
9,Dallas,Cowboys,True,WAS,NFC,NFC East,Open,Open,Cover 0,17,304,304,0.8289473684210527,24,211,0.694078947368421,0.7828947368421053,0.09516773056578953,340,0.08881578947368421,2810,9.243421052631579,0.3644128113879004,9.572368421052632,3404,23,8,No,No,61,0.20065789473684212,-0.10228273026315791,Yes,0.023026315789473683,0.16776315789473684,48,0.15789473684210525,0.029605263157894735,0.07236842105263158,1,0.5328947368421053,2.3312500000000003,2.208196721311475,11.197368421052632,112.7,Yes,Yes,124,3
19,Las Vegas,Raiders,True,LAC,AFC,AFC West,Closed,Closed,Cover 1,17,282,282,0.8191489361702128,27,187,0.6631205673758865,0.7330960854092526,0.04218457951601429,203,0.0673758865248227,2355,8.351063829787234,0.32823779193205943,8.439716312056738,2933,17,7,No,No,42,0.14893617021276595,-0.12279388297872341,No,0.02127659574468085,0.1773049645390071,39,0.13829787234042554,0.024822695035460994,0.05673758865248227,1,0.5425531914893617,2.15031914893617,2.111904761904762,10.439716312056738,101.9,No,Yes,116,
20,Miami,Dolphins,,NYJ,AFC,AFC East,Open,Open,Cover 4,17,279,279,0.7634408602150538,20,184,0.6594982078853047,0.7292418772563177,0.01470669016245496,173,0.06451612903225806,2241,8.03225806451613,0.36903168228469435,7.853046594982079,2642,11,6,No,No,46,0.16487455197132617,-0.12890394265232977,No,0.021505376344086023,0.22580645161290322,37,0.13261648745519714,0.017921146953405017,0.043010752688172046,1,0.5483870967741935,2.2781362007168457,2.2869565217391306,9.516129032258064,94.7,No,Yes,113,1
3,Baltimore,Ravens,True,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,338,338,0.7869822485207101,33,219,0.6479289940828402,0.7071005917159763,0.02903241792307687,205,0.05917159763313609,2811,8.316568047337277,0.27143365350409104,8.893491124260356,3860,21,5,No,No,38,0.11242603550295859,-0.17680517751479288,No,0.023668639053254437,0.19822485207100593,54,0.15976331360946747,0.047337278106508875,0.0650887573964497,1,0.46449704142011833,2.2517751479289942,2.1657894736842103,11.420118343195266,105.3,No,Yes,145,1
12,Green Bay,Packers,True,CHI,NFC,NFC North,Closed,Closed,Prevent,17,301,301,0.7541528239202658,21,205,0.6810631229235881,0.7043189368770764,0.011607720415282352,113,0.023255813953488372,2463,8.182724252491694,0.31262687779131143,6.72093023255814,3229,14,16,No,No,44,0.1461794019933555,-0.15518164451827243,No,0.013289036544850499,0.22259136212624583,43,0.14285714285714285,0.0664451827242525,0.046511627906976744,1,0.4850498338870432,2.322093023255814,2.368181818181818,10.727574750830565,86.3,No,Yes,133,1
25,New York,Jets,True,MIA,AFC,AFC East,Open,Open,Cover 4,17,294,294,0.7653061224489796,26,187,0.6360544217687075,0.6768707482993197,-0.004557250013605407,160,0.04081632653061224,2300,7.8231292517006805,0.3243478260869565,7.72108843537415,3390,12,6,No,No,61,0.20748299319727892,-0.08730935374149658,No,0.02040816326530612,0.22448979591836735,53,0.18027210884353742,0.02040816326530612,0.047619047619047616,1,0.5068027210884354,2.2840136054421767,2.3426229508196723,11.53061224489796,92.8,No,Yes,112,1
18,Los Angeles,Chargers,,LV,AFC,AFC West,Closed,Closed,Cover 1,17,323,323,0.7739938080495357,28,209,0.6470588235294118,0.7040498442367601,0.013873280679127742,169,0.05263157894736842,2500,7.739938080495356,0.2928,7.38390092879257,3522,19,11,No,No,40,0.1238390092879257,-0.16121408668730647,No,0.015479876160990712,0.20743034055727555,44,0.13622291021671826,0.03715170278637771,0.058823529411764705,1,0.541795665634675,2.2275541795665634,2.3325,10.962848297213622,93.7,No,Yes,114,1
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Open,Closed,Cover 1,17,320,320,0.803125,25,217,0.678125,0.725,0.049041286462499944,130,0.046875,3209,10.028125,0.34683702087877843,10.840625,3618,22,4,No,Yes,35,0.109375,-0.2186859375,No,0.025,0.1875,62,0.19375,0.028125,0.071875,1,0.575,2.476875,2.42,11.30625,118.1,Yes,Yes,156,1
