teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingTowThrowPercentage
20,Miami,Dolphins,NYJ,AFC,AFC East,Open,Open,Red Zone,17,63,63,0.8571428571428571,47,0.746031746031746,0.8253968253968254,-0.05151587882539688,340,5.396825396825397,1.0058823529411764,5.634920634920635,25,,Yes,Yes,26,0.4126984126984127,0.0012436507936507994,No,1,0.6825396825396826,2.9603174603174605,2.419230769230769,0.3968253968253968,96,No,Yes,16,,-5,0.07936507936507936,0.12698412698412698,3,1,,
3,Baltimore,Ravens,CLV,AFC,AFC North,Open,Open,Cover 4,17,48,48,0.8541666666666666,37,0.7708333333333334,0.7916666666666666,-0.1067884521875001,218,4.541666666666667,1.224770642201835,3.6041666666666665,-42,3,No,No,17,0.3541666666666667,-0.07132083333333335,Yes,1,0.5833333333333334,3.0416666666666665,2.5,-0.875,76.6,No,No,8,True,-2,0.020833333333333332,0.14583333333333334,,1,,0.020833333333333332
12,Green Bay,Packers,CHI,NFC,NFC North,Closed,Open,Cover 2,17,41,41,0.926829268292683,35,0.8536585365853658,0.9024390243902439,0.029108693975609667,220,5.365853658536586,0.85,5.365853658536586,44,3,No,No,20,0.4878048780487805,0.06866341463414637,No,1,0.5365853658536586,3.004878048780488,2.54,1.0731707317073171,89,No,Yes,5,True,1,0.04878048780487805,0.07317073170731707,,,,0.024390243902439025
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 2 Man,17,37,37,0.918918918918919,31,0.8378378378378378,0.8918918918918919,0.00408669027027031,184,4.972972972972973,1.1358695652173914,4.972972972972973,-11,1,Yes,Yes,15,0.40540540540540543,-0.04646216216216219,Yes,1,0.6216216216216216,3.194594594594595,2.6199999999999997,-0.2972972972972973,87.4,No,Yes,9,True,3,0.05405405405405406,0.08108108108108109,,,,
22,New England,Patriots,BUF,AFC,AFC East,Open,Open,Bracket,16,33,33,0.9090909090909091,29,0.8787878787878788,0.9090909090909091,0.014029828636363595,191,5.787878787878788,1.1047120418848169,5.787878787878788,-19,,No,No,11,0.3333333333333333,-0.09123939393939393,No,1,0.696969696969697,3.0363636363636366,2.618181818181818,-0.5757575757575758,90.8,No,Yes,5,True,4,0.030303030303030304,0.06060606060606061,,,,
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Open,Open,Cover 6,17,54,54,0.9074074074074074,44,0.8148148148148148,0.8888888888888888,0.0074778596851851065,326,6.037037037037037,0.901840490797546,6.777777777777778,29,2,Yes,Yes,21,0.3888888888888889,-0.03899444444444442,No,1,0.7407407407407407,3.0555555555555554,2.6285714285714286,0.5370370370370371,104.2,No,Yes,14,True,-2,0.07407407407407407,0.07407407407407407,2,,,
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 2 Man,16,37,37,0.918918918918919,32,0.8648648648648649,0.918918918918919,0.027725741675675764,267,7.216216216216216,1.0599250936329587,7.216216216216216,-16,1,Yes,Yes,18,0.4864864864864865,0.06557567567567565,Yes,1,0.6756756756756757,3.015135135135135,2.711111111111111,-0.43243243243243246,96.7,No,Yes,11,,-4,0.05405405405405406,0.08108108108108109,,,,
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 3,17,32,32,0.84375,25,0.78125,0.8709677419354839,-0.03194019393548386,141,4.40625,1.2553191489361701,5.03125,-42,3,No,Yes,15,0.46875,0.04344218750000001,No,1,0.59375,3.040625,2.6733333333333333,-1.25,95.4,No,No,5,True,-2,0.0625,0.125,1,,,
10,Denver,Broncos,KC,AFC,AFC West,Open,Open,Cover 2,17,52,52,0.8653846153846154,41,0.7884615384615384,0.8653846153846154,-0.03835306561538465,198,3.8076923076923075,1.202020202020202,3.8076923076923075,-49,3,Yes,No,19,0.36538461538461536,-0.03301153846153845,No,1,0.6153846153846154,2.8846153846153846,2.357894736842105,-0.9423076923076923,82.5,No,Yes,9,True,1,0.07692307692307693,0.1346153846153846,,,,
14,Indianapolis,Colts,JAX,AFC,AFC South,Open,Open,Cover 2,15,51,51,0.8235294117647058,39,0.7647058823529411,0.803921568627451,-0.08926426456862735,312,6.117647058823529,1,6.509803921568627,-12,1,No,Yes,19,0.37254901960784315,-0.01869215686274507,No,1,0.6274509803921569,2.843137254901961,2.431578947368421,-0.23529411764705882,97.8,No,Yes,13,True,-7,0.0392156862745098,0.17647058823529413,1,,,
4,Buffalo,Bills,NE,AFC,AFC East,Open,Open,Bracket,16,56,56,0.8571428571428571,47,0.8392857142857143,0.8571428571428571,-0.015620231107142946,265,4.732142857142857,0.9584905660377359,5.446428571428571,5,,No,No,25,0.44642857142857145,0.03829374999999998,No,1,0.6607142857142857,2.9410714285714286,2.492,0.08928571428571429,98.3,No,Yes,12,,-6,0.017857142857142856,0.14285714285714285,2,,,0.017857142857142856
1,Arizona,Cardinals,SF,NFC,NFC West,Closed,Open,Cover 2,17,51,51,0.9803921568627451,48,0.9411764705882353,0.9411764705882353,0.049685384215686246,374,7.333333333333333,1.0240641711229947,7.333333333333333,-14,2,Yes,Yes,13,0.2549019607843137,-0.19180980392156863,No,1,0.7254901960784313,3.1647058823529415,2.5153846153846158,-0.27450980392156865,97.2,No,No,18,True,,,0.0196078431372549,,,0.0196078431372549,
24,New York,Giants,PHI,NFC,NFC East,Open,Closed,Cover 3,16,38,38,0.9210526315789473,33,0.868421052631579,0.9210526315789473,0.03454985671052624,234,6.157894736842105,0.9957264957264957,6.157894736842105,9,,No,Yes,12,0.3157894736842105,-0.0734578947368421,No,1,0.7105263157894737,2.831578947368421,2.3916666666666666,0.23684210526315788,92.3,No,Yes,6,,1,0.05263157894736842,0.07894736842105263,,,,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Open,Cover 2,17,44,44,0.9318181818181818,39,0.8863636363636364,0.9090909090909091,0.014150134090908928,249,5.659090909090909,1.0682730923694779,4.636363636363637,-12,2,No,Yes,16,0.36363636363636365,-0.09700454545454545,No,1,0.6363636363636364,3.2454545454545456,2.71875,-0.2727272727272727,80.8,No,Yes,11,,-1,0.022727272727272728,0.06818181818181818,,1,,0.022727272727272728
6,Chicago,Bears,GB,NFC,NFC North,Closed,Open,Cover 2,16,47,47,0.9361702127659575,38,0.8085106382978723,0.9130434782608695,0.044188879000000014,290,6.170212765957447,1.0517241379310345,6.170212765957447,-31,,No,No,16,0.3404255319148936,-0.08668297872340429,No,1,0.723404255319149,3.051063829787234,2.53125,-0.6595744680851063,92.4,No,Yes,12,,-21,0.0851063829787234,0.06382978723404255,,,,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 6,17,47,47,0.9148936170212766,41,0.8723404255319149,0.8936170212765957,0.004843282851063724,298,6.340425531914893,1.016778523489933,5.382978723404255,-10,4,No,Yes,22,0.46808510638297873,0.06042872340425535,No,1,0.574468085106383,2.9382978723404256,2.540909090909091,-0.2127659574468085,84.2,Yes,Yes,12,True,-3,0.02127659574468085,0.06382978723404255,,1,,0.02127659574468085
16,Kansas City,Chiefs,DEN,AFC,AFC West,Open,Open,Cover 2,17,48,48,0.875,39,0.8125,0.8541666666666666,-0.04432631887500005,301,6.270833333333333,1.1561461794019934,5.333333333333333,-36,1,Yes,No,20,0.4166666666666667,0.015976041666666625,No,1,0.6041666666666666,2.8979166666666667,2.685,-0.75,84.1,No,Yes,13,,4,0.041666666666666664,0.125,,1,,
7,Cincinnati,Bengals,PIT,AFC,AFC North,Open,Open,Cover 6,17,52,52,0.9038461538461539,45,0.8653846153846154,0.8653846153846154,-0.016391228750000097,263,5.0576923076923075,1.1216730038022813,5.0576923076923075,-39,1,No,Yes,17,0.3269230769230769,-0.06848750000000002,No,1,0.7884615384615384,2.8673076923076923,2.3117647058823527,-0.75,87.7,Yes,Yes,10,,,,0.09615384615384616,,,,0.019230769230769232
8,Cleveland,Browns,BLT,AFC,AFC North,Open,Open,Cover 4,17,33,33,0.9090909090909091,26,0.7878787878787878,0.9090909090909091,0.009513048636363597,175,5.303030303030303,1.1142857142857143,5.303030303030303,-19,1,No,No,20,0.6060606060606061,0.1966469696969697,Yes,1,0.7272727272727273,2.9484848484848483,2.58,-0.5757575757575758,88.8,No,No,8,,-9,0.12121212121212122,0.09090909090909091,,,,
26,Philadelphia,Eagles,NYG,NFC,NFC East,Open,Closed,Cover 3,17,45,45,0.9111111111111111,39,0.8666666666666667,0.9111111111111111,0.013034771088888841,187,4.155555555555556,1.0909090909090908,4.155555555555556,-20,,No,Yes,11,0.24444444444444444,-0.1462555555555556,No,1,0.7111111111111111,2.84,2.6636363636363636,-0.4444444444444444,84,No,Yes,6,True,4,0.044444444444444446,0.06666666666666667,,,,0.022222222222222223
29,San Francisco,49ers,ARZ,NFC,NFC West,Closed,Open,Cover 2,16,40,40,0.85,34,0.85,0.85,-0.01396233935000013,238,5.95,1.0336134453781514,5.95,-3,,Yes,Yes,17,0.425,0.007131250000000033,No,1,0.675,2.9975,2.7705882352941176,-0.075,91.5,No,No,7,,,,0.15,,,0.025,
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Open,Cover 2,17,55,55,0.9090909090909091,47,0.8545454545454545,0.8727272727272727,-0.01776981436363645,203,3.690909090909091,1.0985221674876848,3.690909090909091,-16,1,No,Yes,15,0.2727272727272727,-0.13302727272727274,No,1,0.5454545454545454,2.9272727272727272,2.54,-0.2909090909090909,82,No,Yes,7,True,,0.01818181818181818,0.09090909090909091,,,,
