teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingIncompletionsBatted
3,Baltimore,Ravens,True,CLV,AFC,AFC North,Open,Closed,Cover 3,17,57,57,0.9649122807017544,51,0.8947368421052632,0.9473684210526315,0.012939308473684075,-18,0.05263157894736842,380,6.666666666666667,1.4710526315789474,7.368421052631579,-205,2,,No,No,-0.1592561403508772,Yes,0.19298245614035087,0.03508771929824561,,1,0.7368421052631579,1.6,-3.5964912280701755,106.1,No,Yes,15,1,0.017543859649122806,1.5,,1,
12,Green Bay,Packers,True,CHI,NFC,NFC North,Closed,Open,Cover 2,17,67,67,0.9402985074626866,60,0.8955223880597015,0.9242424242424242,-0.010899702787878884,-4,0.014925373134328358,460,6.865671641791045,1.4565217391304348,7.7611940298507465,-230,3,,No,No,-0.16793283582089552,No,0.14925373134328357,0.04477611940298507,,0.9850746268656716,0.8059701492537313,1.7164179104477613,-3.484848484848485,110.2,No,Yes,21,2,0.029850746268656716,1.9,1,,
25,New York,Jets,True,MIA,AFC,AFC East,Closed,Open,Cover 2,17,64,64,0.9375,56,0.875,0.90625,-0.029261106187499997,-3,0.03125,434,6.78125,1.412442396313364,7.09375,-194,1,,Yes,No,-0.1654203125,No,0.21875,0.0625,,1,0.703125,1.6234375,-3.03125,100.1,No,Yes,15,1,0.015625,2.1,,,
18,Los Angeles,Chargers,,LV,AFC,AFC West,Open,Open,Cover 0,17,55,55,0.9090909090909091,47,0.8545454545454545,0.9074074074074074,-0.02587260320370366,-3,0.03636363636363636,277,5.036363636363636,1.635379061371841,5.4,-195,1,,Yes,No,-0.15516818181818182,Yes,0.18181818181818182,0.07272727272727272,,0.9818181818181818,0.7090909090909091,1.58,-3.611111111111111,93.7,No,Yes,11,1,0.01818181818181818,2.4,,,1
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Closed,Closed,Cover 3,17,57,57,0.9824561403508771,53,0.9298245614035088,0.9824561403508771,0.0478322659999999,-16,0.05263157894736842,323,5.666666666666667,1.5820433436532508,6.017543859649122,-205,1,,Yes,No,-0.16334210526315787,No,0.12280701754385964,0.017543859649122806,,1,0.8245614035087719,1.6210526315789475,-3.5964912280701755,96.1,No,No,12,1,0.017543859649122806,2.4,,,
13,Houston,Texans,,TEN,AFC,AFC South,Open,Closed,Cover 1,17,75,75,0.96,69,0.92,0.96,0.023310541186666534,-22,0.04,437,5.826666666666667,1.551487414187643,6.36,-275,2,,No,No,-0.12944,No,0.21333333333333335,0.04,,1,0.8266666666666667,1.5573333333333332,-3.6666666666666665,99.8,No,No,21,3,0.04,1.8,,,
23,New Orleans,Saints,,TB,NFC,NFC South,Open,Open,Cover 6,17,59,59,0.9152542372881356,52,0.8813559322033898,0.9137931034482759,-0.021043699103448277,-6,0.01694915254237288,309,5.237288135593221,1.598705501618123,5.915254237288136,-209,2,,No,No,-0.15100677966101694,No,0.15254237288135594,0.05084745762711865,,0.9830508474576272,0.7796610169491526,1.547457627118644,-3.603448275862069,99.8,No,Yes,13,1,0.01694915254237288,1.8,,,1
11,Detroit,Lions,True,MIN,NFC,NFC North,Open,Open,Cover 2,17,53,53,0.9811320754716981,50,0.9433962264150944,0.9811320754716981,0.04901596167924527,-7,0.03773584905660377,303,5.716981132075472,1.5676567656765676,6.471698113207547,-184,2,,No,No,-0.12856792452830187,No,0.18867924528301888,0.018867924528301886,,1,0.8113207547169812,1.5377358490566038,-3.4716981132075473,103.1,No,Yes,13,2,0.03773584905660377,2.0999999999999996,,,
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 2,17,75,75,0.9466666666666667,64,0.8533333333333334,0.9333333333333333,0.007452511640000048,-33,0.08,386,5.1466666666666665,1.4870466321243523,5.08,-238,2,1,No,No,-0.12806,No,0.18666666666666668,0.05333333333333334,0.013333333333333334,1,0.7066666666666667,1.5493333333333335,-3.1733333333333333,91.4,No,Yes,17,3,0.04,2.3000000000000003,,,
19,Las Vegas,Raiders,True,LAC,AFC,AFC West,Open,Open,Cover 0,17,58,58,0.9655172413793104,53,0.9137931034482759,0.9310344827586207,-0.0007416446551724576,-3,0.017241379310344827,341,5.879310344827586,1.4838709677419355,5.448275862068965,-174,1,1,Yes,No,-0.1137655172413793,Yes,0.25862068965517243,0.034482758620689655,0.034482758620689655,1,0.7758620689655172,1.4344827586206896,-3,89.7,No,Yes,15,2,0.034482758620689655,1.95,,,
