teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingIncompletionsThrownAway,teamIsHomeTeam
14,Indianapolis,Colts,JAX,AFC,AFC South,Closed,Closed,Cover 3,16,15,15,0.4666666666666667,1,6,0.4,0.4,-0.07788688306666663,,,217,14.466666666666667,0.16129032258064516,11.466666666666667,382,,1,,Yes,Yes,2,0.13333333333333333,-0.29646666666666666,No,0.5333333333333333,7,0.4666666666666667,0.06666666666666667,0.2,0.8666666666666667,0.26666666666666666,3.066666666666667,2.75,25.466666666666665,59.7,No,Yes,5,,True
18,Los Angeles,Chargers,LV,AFC,AFC West,Open,Open,Cover 2,16,24,24,0.75,6,15,0.625,0.6666666666666666,0.21360853804166663,18,0.041666666666666664,406,16.916666666666668,0.10344827586206896,16.5,607,4,2,,No,No,7,0.2916666666666667,-0.12735208333333334,No,0.25,14,0.5833333333333334,0.08333333333333333,0.25,0.8333333333333334,0.5,3.0041666666666664,2.4,25.291666666666668,111.1,Yes,No,15,,
15,Jacksonville,Jaguars,IND,AFC,AFC South,Closed,Closed,Cover 3,17,31,31,0.5483870967741935,2,16,0.5161290322580645,0.5161290322580645,0.04533766499999997,,,519,16.741935483870968,0.34296724470134876,19.967741935483872,726,5,,2,Yes,Yes,9,0.2903225806451613,-0.12909032258064515,No,0.45161290322580644,17,0.5483870967741935,0.0967741935483871,0.12903225806451613,0.8064516129032258,0.3548387096774194,3.0064516129032257,2.6222222222222222,23.419354838709676,136.8,No,Yes,16,,
20,Miami,Dolphins,NYJ,AFC,AFC East,Closed,Open,Cover 2,17,19,19,0.631578947368421,1,10,0.5263157894736842,0.5789473684210527,0.06897336031578949,15,0.05263157894736842,261,13.736842105263158,0.1532567049808429,12.421052631578947,400,1,1,2,Yes,No,3,0.15789473684210525,-0.30852368421052634,No,0.3684210526315789,8,0.42105263157894735,0.10526315789473684,0.3157894736842105,0.631578947368421,0.42105263157894735,3.2789473684210524,2.1,21.05263157894737,93.6,No,Yes,8,,
3,Baltimore,Ravens,CLV,AFC,AFC North,Closed,Closed,Cover 3,16,25,25,0.72,1,16,0.64,0.64,0.14878112284,,,463,18.52,0.27213822894168466,19.12,583,3,1,1,No,No,3,0.12,-0.28863999999999995,Yes,0.24,9,0.36,0.12,0.24,0.8,0.36,2.944,2.4,23.32,130.4,No,No,15,,True
12,Green Bay,Packers,CHI,NFC,NFC North,Closed,Closed,Cover 3,16,28,28,0.6071428571428571,2,15,0.5357142857142857,0.5714285714285714,0.035115918321428574,14,0.03571428571428571,320,11.428571428571429,0.2,5.714285714285714,532,1,4,,Yes,Yes,7,0.25,-0.13379999999999997,Yes,0.35714285714285715,7,0.25,0.14285714285714285,0.14285714285714285,0.8214285714285714,0.39285714285714285,2.8000000000000003,2.557142857142857,19,66.7,No,Yes,15,,True
25,New York,Jets,MIA,AFC,AFC East,Closed,Open,Cover 2,17,17,17,0.5882352941176471,,9,0.5294117647058824,0.625,0.14361041937499996,21,0.058823529411764705,205,12.058823529411764,0.1902439024390244,9.411764705882353,363,,1,,Yes,No,7,0.4117647058823529,-0.05219705882352939,No,0.29411764705882354,8,0.47058823529411764,0.058823529411764705,0.11764705882352941,0.6470588235294118,0.29411764705882354,3.264705882352941,2.7142857142857144,22.6875,71.9,No,Yes,9,1,True
19,Las Vegas,Raiders,LAC,AFC,AFC West,Open,Open,Cover 2,15,18,18,0.7777777777777778,1,11,0.6111111111111112,0.6666666666666666,0.12424617344444433,20,0.05555555555555555,264,14.666666666666666,0.20454545454545456,15.777777777777779,320,1,,,No,No,3,0.16666666666666666,-0.20563333333333336,No,0.16666666666666666,6,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.7777777777777778,0.4444444444444444,2.7333333333333334,2.1,17.77777777777778,123.6,Yes,No,11,,True
9,Dallas,Cowboys,WAS,NFC,NFC East,Closed,Closed,Cover 3,12,15,15,0.4666666666666667,1,5,0.3333333333333333,0.4,-0.05463948566666671,18,0.06666666666666667,165,11,0.2606060606060606,0.3333333333333333,421,1,4,,Yes,No,3,0.2,-0.26315000000000005,No,0.4666666666666667,7,0.4666666666666667,0.2,0.2,0.8666666666666667,0.4,3.26,2.966666666666667,28.066666666666666,58.3,No,Yes,5,,True
13,Houston,Texans,TEN,AFC,AFC South,Open,Closed,Cover 3,17,23,23,0.4782608695652174,2,7,0.30434782608695654,0.43478260869565216,0.012328652695652143,79,0.13043478260869565,257,11.173913043478262,0.1245136186770428,9,696,2,2,,No,Yes,12,0.5217391304347826,0.0449391304347826,No,0.5217391304347826,15,0.6521739130434783,0.21739130434782608,0.13043478260869565,0.6521739130434783,0.21739130434782608,3.3391304347826085,2.658333333333333,30.26086956521739,66.8,No,Yes,7,,
23,New Orleans,Saints,LV,AFC,AFC West,Open,Closed,Cover 3,16,18,18,0.5555555555555556,2,5,0.2777777777777778,0.2777777777777778,-0.25374921438888887,,,107,5.944444444444445,0.09345794392523364,0.9444444444444444,366,,2,,No,Yes,5,0.2777777777777778,-0.14818888888888887,No,0.4444444444444444,7,0.3888888888888889,0.1111111111111111,0.05555555555555555,0.7222222222222222,0.1111111111111111,3.0444444444444443,3.02,20.333333333333332,12.3,Yes,Yes,5,,True
11,Detroit,Lions,MIN,NFC,NFC North,Open,Open,Cover 0,15,21,21,0.19047619047619047,2,4,0.19047619047619047,0.19047619047619047,-0.3260461191428571,,,97,4.619047619047619,0.16494845360824742,-0.8571428571428571,430,1,3,,No,Yes,7,0.3333333333333333,-0.12439523809523807,Yes,0.7619047619047619,9,0.42857142857142855,0.23809523809523808,,0.7619047619047619,0.14285714285714285,3.2285714285714286,3.0142857142857147,20.476190476190474,22.6,No,No,4,,True
