Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,CompletionsOverExpected,OpportunitiesTotal,IncompletionsBatted,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsAdjustedPercentage,DropsYardsLost,DropsPercentage,HeroThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,TargetedReadCheckdownPercentage,RunPassOptionPercentage,IncompletionsThrownAway
Anthony Richardson,IND,QB,12,12,12,-0.5543,12,1,-45,210,12,Yes,Yes,6,0.5,4.6056,0.1162,No,0.75,4,0.3333,0.9167,0.9167,2.8,2.6667,19.0909,No,No,-12,-12,-12,-12,-12,-12,-12,-24,-24,-24,-24,-12,-24,11,0.1667,,,,,,,,,
Daniel Jones,NYG,QB,7,7,7,-0.5287,7,1,-45,64,7,No,No,2,0.2857,2.7211,-0.103,Yes,0.5714,1,0.1429,0.7143,0.5714,2.8286,2.75,10.6667,No,Yes,-7,-7,-7,-7,-7,-7,-7,-14,-14,-14,-14,-7,-14,10,0.1429,1,0.2,-1,0.1429,,,0.1429,,
Joe Flacco,IND,QB,7,7,7,-0.4983,7,,-45,87,7,No,No,4,0.5714,2.3761,0.232,No,0.8571,2,0.2857,0.8571,0.8571,2.5429,2.5,12.4286,No,No,-7,-7,-7,-7,-7,-7,-7,-14,-14,-14,-14,-7,-14,8,0.1429,,0.1429,22,0.1429,,,,,
Jacoby Brissett,NE,QB,1,1,1,-0.5378,1,,-45,19,1,No,No,1,1,0.4701,0.5299,No,1,,,1,1,3.3,3.2,19,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,8,,,,,,,,,,
C.J. Stroud,HST,QB,12,12,12,-0.5332,12,1,-45,206,12,No,No,3,0.25,4.6574,-0.1381,No,0.8333,7,0.5833,0.8333,0.5833,2.825,2.4,18.7273,No,No,-12,-12,-12,-12,-12,-12,-12,-24,-24,-24,-24,-12,-24,17,0.0833,2,,,,,,,,
Jared Goff,DET,QB,12,12,12,-0.5218,12,2,-45,218,12,Yes,No,3,0.25,4.7505,-0.1459,Yes,0.4167,3,0.25,0.3333,0.6667,2.87,2.9333,21.8,No,No,-12,-12,-12,-12,-12,-12,-12,-24,-24,-24,-24,-12,-24,17,0.0833,,,,,,0.0833,,,
Kyler Murray,ARZ,QB,11,11,11,-0.4419,11,1,-45,205,11,No,No,4,0.3636,5.0671,-0.097,No,0.8182,6,0.5455,0.8182,0.6364,3.2455,2.25,20.5,No,No,-11,-11,-11,-11,-11,-11,-11,-22,-22,-22,-22,-11,-22,17,0.0909,2,0.1,5,0.0909,,0.0909,,,
Tua Tagovailoa,MIA,QB,7,7,7,-0.5575,7,,-45,103,7,No,No,1,0.1429,2.1519,-0.1646,No,0.5714,2,0.2857,0.8571,0.8571,2.3571,2.3,17.1667,No,No,-7,-7,-7,-7,-7,-7,-7,-14,-14,-14,-14,-7,-14,11,0.1429,,,,,,0.1429,,,1
Gardner Minshew,LV,QB,10,10,10,-0.6363,10,1,-45,120,10,No,Yes,3,0.3,4.3037,-0.1304,No,0.8,2,0.2,0.6,0.6,3.07,2.6333,13.3333,No,No,-10,-10,-10,-10,-10,-10,-10,-20,-20,-20,-20,-10,-20,10,,1,,,,,,,,
Caleb Williams,CHI,QB,7,6,6,-0.4991,6,,-45,108,6,Yes,No,4,0.6667,2.9583,0.1736,No,0.6667,4,0.6667,0.6667,0.5,3.4333,2.2,18,No,No,-6,-6,-6,-6,-6,-6,-6,-12,-12,-12,-12,-6,-12,17,0.1667,,,,,,,,,
Justin Fields,PIT,QB,1,1,1,-0.819,1,,-45,5,1,No,No,,,0.1941,-0.1941,No,,,,1,1,1.7,,5,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,10,1,,,,,,1,,,
Brock Purdy,SF,QB,12,12,12,-0.6165,12,1,-45,132,12,Yes,No,4,0.3333,4.4158,-0.0347,No,0.5833,2,0.1667,0.75,0.4167,2.7083,2.35,12.6364,No,No,-12,-12,-12,-12,-12,-12,-12,-24,-24,-24,-24,-12,-24,15,0.0833,2,,,,,0.0833,,,
