Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,OpportunitiesTotal,YardsAdjustedNetPercentage,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredOverExpected,BlitzedLabel,AverageTimeToSack,AverageTimeToPressure,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Davis Mills,HST,QB,2,2,2,-9,2,,1,-18,1,No,Yes,2,1,1,No,2.5,2.05,No,No,,,,,,,,,,,,,,4,
Desmond Ridder,LV,QB,11,10,10,-6.4,10,3,1,-64,1,No,No,10,1,1,No,3.06,2.4,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,5,
Will Levis,TEN,QB,41,41,41,-5.6829,41,16,1.025,-233,1,Yes,Yes,40,0.9756,0.9756,No,3.3415,2.6525,No,No,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-6,-3,-6,12,
Trey Lance,DAL,QB,4,4,4,-5.75,4,2,1,-23,1,No,Yes,4,1,1,No,4.075,2.25,No,No,,,,,,,,,,,,,,4,
Kenny Pickett,PHI,QB,5,4,4,-8.25,4,1,1,-33,1,No,No,4,1,1,Yes,2.425,2.1,No,No,,,,,,,,,,,,,,5,
Chris Oladokun,KC,QB,1,1,1,-5,1,1,1,-5,1,No,Yes,1,1,1,No,2.2,1.9,No,No,,,,,,,,,,,,,,1,
Lamar Jackson,BLT,QB,23,23,23,-6.4783,23,7,1,-149,1,No,No,23,1,1,No,3.6739,2.5696,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,17,0.0435
Dorian Thompson-Robinson,CLV,QB,8,8,8,-5.875,8,4,1,-47,1,No,Yes,8,1,1,Yes,3.6125,2.5875,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,7,
Bo Nix,DEN,QB,24,24,24,-8.25,24,9,1,-198,1,No,No,24,1,1,No,4.1458,2.75,No,No,,,,,,,,,,,,,,17,
Bailey Zappe,CLV,QB,1,1,1,-5,1,1,1,-5,1,No,Yes,1,1,1,Yes,4.3,1.4,No,No,,,,,,,,,,,,,,1,
