Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,OpportunitiesTotal,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredOverExpected,BlitzedLabel,AverageTimeToScramble,AverageTimeToPressure,AttemptsTotal,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,ScramblesTouchdowns,RunPassOptionPercentage
Gardner Minshew,LV,QB,11,11,11,11,60,Yes,Yes,7,0.6364,0.6364,Yes,4.7909,2.9286,11,No,No,6,6,6,6,6,6,6,6,6,6,6,6,6,10,,
Tyler Huntley,MIA,QB,15,15,15,15,109,No,Yes,13,0.8667,0.8667,Yes,4.3267,2.3923,15,No,No,16.9,16.9,16.9,16.9,16.9,19.9,19.9,16.9,16.9,16.9,16.9,16.9,16.9,5,1,0.0667
Marcus Mariota,WAS,QB,4,4,4,4,25,No,Yes,3,0.75,0.75,Yes,6.3,3.7667,4,No,No,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,,
Hendon Hooker,DET,QB,1,1,1,1,2,Yes,Yes,1,1,1,No,5.6,3.9,1,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3,,
Aidan O'Connell,LV,QB,3,3,3,3,26,Yes,Yes,3,1,1,No,4.8333,2.4667,3,No,No,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,9,,
Matthew Stafford,LA,QB,3,3,3,3,38,No,Yes,2,0.6667,0.6667,Yes,3.9,2.7,3,No,No,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,16,,
Patrick Mahomes,KC,QB,37,37,37,37,333,No,Yes,23,0.6216,0.6216,No,4.5027,2.5739,37,No,No,45.3,45.3,45.3,45.3,45.3,48.3,48.3,45.3,45.3,45.3,45.3,45.3,45.3,16,2,0.0541
Justin Herbert,LAC,QB,31,31,31,31,311,Yes,No,17,0.5484,0.5484,No,4.2161,2.6765,31,No,No,36.1,36.1,36.1,36.1,36.1,39.1,38.1,35.1,35.1,35.1,35.1,36.1,35.1,17,1,0.0323
Geno Smith,SEA,QB,24,24,24,24,256,No,No,17,0.7083,0.7083,No,4.225,2.4706,24,No,No,37.6,37.6,37.6,37.6,37.6,40.6,40.6,37.6,37.6,37.6,37.6,37.6,37.6,17,2,0.0417
Drake Maye,NE,QB,45,45,45,45,407,No,No,40,0.8889,0.8889,No,4.8244,2.4525,45,No,No,52.7,52.7,52.7,52.7,52.7,55.7,55.7,52.7,52.7,52.7,52.7,52.7,52.7,13,2,0.0222
