Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TowThrowPercentage
Drake Maye,NE,QB,225,225,225,1,8,225,1,1,0.2061,225,2276,10.1156,0.5334,11.4489,1078,15,No,No,47,0.2089,66.2415,-0.0855,No,0.0489,10,0.0444,0.0533,0.7422,0.1333,0.7333,2.2818,2.2936,4.7911,131,No,No,112,151.04,151.04,151.04,151.04,151.04,154.04,154.04,151.04,151.04,151.04,151.04,173.8,173.8,13,
Justin Herbert,LAC,QB,332,332,332,1,13,332,1,1,0.2408,332,3870,11.6566,0.4421,13.0422,2221,23,No,No,55,0.1657,108.1991,-0.1602,No,0.0271,30,0.0904,0.0813,0.6657,0.1084,0.7681,2.4638,2.5255,6.6898,138.3,No,Yes,175,246.8,246.8,246.8,246.8,246.8,249.8,249.8,246.8,246.8,246.8,246.8,285.5,285.5,17,
Tyler Huntley,MIA,QB,86,86,86,1,1,86,1,1,0.2195,86,829,9.6395,0.4355,10.3372,468,3,No,No,17,0.1977,24.7958,-0.0906,No,0.0349,1,0.0116,,0.7558,0.0581,0.7442,2.2465,2.4235,5.4419,118.5,No,Yes,45,45.16,45.16,45.16,45.16,45.16,48.16,48.16,45.16,45.16,45.16,45.16,53.45,53.45,5,
Hendon Hooker,DET,QB,6,6,6,1,,6,1,1,0.2134,6,62,10.3333,0.4677,10.3333,33,,Yes,No,,,1.6473,-0.2746,No,,1,0.1667,,1,,0.5,2.1667,,5.5,109.7,No,Yes,3,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,3.1,3.1,3,
Marcus Mariota,WAS,QB,34,34,34,1,2,34,1,1,0.262,34,364,10.7059,0.3297,13.0588,256,4,No,No,1,0.0294,10.0822,-0.2671,Yes,0.1176,2,0.0588,0.0882,0.8235,,0.6176,2.2941,4.6,7.5294,150.5,Yes,Yes,22,30.56,30.56,30.56,30.56,30.56,33.56,33.56,30.56,30.56,30.56,30.56,34.2,34.2,3,
Carson Wentz,KC,QB,12,12,12,1,,12,1,1,0.1797,12,118,9.8333,0.6186,9.8333,45,,Yes,No,1,0.0833,2.4148,-0.1179,No,0.1667,,,0.0833,0.75,0.0833,0.6667,1.7417,2.6,3.75,107.6,No,Yes,5,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,5.9,5.9,3,
Dak Prescott,DAL,QB,185,185,185,1,7,185,1,1,0.2273,185,1978,10.6919,0.4833,11.8811,1049,11,No,No,39,0.2108,58.9108,-0.1076,No,0.027,13,0.0703,0.0595,0.7622,0.0919,0.6432,2.4211,2.4,5.6703,131,No,Yes,87,123.12,123.12,123.12,123.12,123.12,126.12,126.12,123.12,123.12,123.12,123.12,142.9,142.9,8,
Deshaun Watson,CLV,QB,137,137,137,1,5,137,1,1,0.1914,137,1148,8.3796,0.5331,9.1095,550,5,Yes,No,36,0.2628,47.3539,-0.0829,No,0.0146,4,0.0292,0.0146,0.7372,0.1168,0.6496,2.5788,2.3306,4.0146,113.7,No,Yes,49,65.92,65.92,65.92,65.92,65.92,68.92,68.92,65.92,65.92,65.92,65.92,77.4,77.4,7,
Spencer Rattler,NO,QB,131,130,130,1,4,130,1,1,0.2152,130,1317,10.1308,0.4913,10.7462,684,4,No,No,26,0.2,40.3203,-0.1102,No,0.0077,5,0.0385,0.0462,0.6846,0.1615,0.7462,2.3731,2.3731,5.2615,119.1,No,Yes,62,68.68,68.68,68.68,68.68,68.68,71.68,71.68,68.68,68.68,68.68,68.68,81.85,81.85,7,
Aaron Rodgers,NYJ,QB,368,368,368,1,15,368,1,1,0.2048,368,3897,10.5897,0.5584,12.1114,1788,28,Yes,Yes,59,0.1603,109.6536,-0.1376,No,0.0815,22,0.0598,0.0598,0.7038,0.106,0.7717,2.3024,2.4729,4.8587,136.2,No,Yes,192,267.88,267.88,267.88,267.88,267.88,270.88,270.88,267.88,267.88,267.88,267.88,306.85,306.85,17,
Mason Rudolph,TEN,QB,146,146,146,1,5,146,1,1,0.2254,146,1530,10.4795,0.4444,11.7123,883,9,Yes,No,34,0.2329,50.2561,-0.1113,No,0.0342,8,0.0548,0.0342,0.6781,0.1096,0.6781,2.5705,2.3794,6.0479,130.9,No,Yes,78,97.2,97.2,97.2,97.2,97.2,100.2,100.2,97.2,97.2,97.2,97.2,112.5,112.5,8,
Baker Mayfield,TB,QB,408,407,407,1,25,407,1,1,0.2191,407,4500,11.0565,0.5487,13.0713,2133,41,No,No,50,0.1229,127.0153,-0.1892,Yes,0.0246,21,0.0516,0.0442,0.715,0.1007,0.7494,2.3838,2.58,5.2408,146.3,No,Yes,224,344,344,344,344,344,347,347,344,344,344,344,389,389,17,
Tim Boyle,NYG,QB,27,27,27,1,1,27,1,1,0.2052,27,276,10.2222,0.558,10.963,123,1,No,No,2,0.0741,4.4976,-0.0925,No,0.0741,2,0.0741,,0.8148,,0.5185,1.5407,1.55,4.5556,121.6,No,Yes,11,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,17.8,17.8,3,
Mitchell Trubisky,BUF,QB,19,19,19,1,,19,1,1,0.1491,19,179,9.4211,0.8436,11.5263,28,2,Yes,No,4,0.2105,4.5495,-0.0289,No,0.0526,,,,0.8421,,0.8421,1.9632,2.3,1.4737,141,No,Yes,7,15.16,15.16,15.16,15.16,15.16,15.16,15.16,15.16,15.16,15.16,15.16,16.95,16.95,9,
Jordan Love,GB,QB,268,268,268,1,13,268,1,1,0.2302,268,3389,12.6455,0.5063,14.5112,1717,25,No,Yes,57,0.2127,84.6079,-0.103,No,0.0634,29,0.1082,0.0522,0.7127,0.1194,0.6567,2.4052,2.4754,6.4067,149.8,No,Yes,151,235.56,235.56,235.56,235.56,235.56,238.56,238.56,235.56,235.56,235.56,235.56,269.45,269.45,15,
Bryce Young,CAR,QB,235,234,234,1,11,234,1,1,0.2343,234,2403,10.2692,0.4128,11.5513,1458,15,No,Yes,41,0.1752,69.5577,-0.122,No,0.0214,21,0.0897,0.0641,0.7564,0.0726,0.735,2.2983,2.3,6.2308,130.8,No,Yes,117,156.12,156.12,156.12,156.12,156.12,159.12,159.12,156.12,156.12,156.12,156.12,180.15,180.15,14,
Derek Carr,NO,QB,190,189,189,1,8,189,1,1,0.2151,189,2145,11.3492,0.51,12.9365,1087,15,Yes,No,29,0.1534,59.8422,-0.1632,Yes,0.0159,13,0.0688,0.0529,0.6931,0.1429,0.7196,2.4106,2.5655,5.7513,140.4,No,Yes,93,145.8,145.8,145.8,145.8,145.8,148.8,148.8,145.8,145.8,145.8,145.8,167.25,167.25,10,
Tommy DeVito,NYG,QB,31,31,31,1,,31,1,1,0.1987,31,257,8.2903,0.4669,8.2903,137,,No,No,7,0.2258,8.1028,-0.0356,No,0.0323,,,,0.8065,0.129,0.6774,2.0903,2.4429,4.4194,101.2,No,Yes,15,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,12.85,12.85,3,
Joe Milton,NE,QB,22,22,22,1,,22,1,1,0.2656,22,241,10.9545,0.2822,11.8636,173,1,Yes,No,4,0.1818,8.2194,-0.1918,Yes,0.1364,1,0.0455,0.0455,0.8182,0.0909,0.8182,2.7409,2.975,7.8636,127.5,No,Yes,14,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,16.05,16.05,1,
Jameis Winston,CLV,QB,181,181,181,1,7,181,1,1,0.2557,181,2121,11.7182,0.3692,13.1547,1371,13,No,No,20,0.1105,53.9945,-0.1878,No,0.0276,12,0.0663,0.0773,0.7459,0.0663,0.674,2.3044,2.315,7.5746,139.4,No,Yes,103,136.84,136.84,136.84,136.84,136.84,139.84,139.84,136.84,136.84,136.84,136.84,158.05,158.05,12,
Sam Howell,SEA,QB,5,5,5,1,,5,1,1,0.1675,5,24,4.8,0.4167,4.8,14,,No,Yes,1,0.2,1.367,-0.0734,Yes,0.2,,,,0.6,0.2,1,2.16,2.8,2.8,86.7,No,Yes,1,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.2,1.2,2,
Clayton Tune,ARZ,QB,2,2,2,1,,2,1,1,0.1579,2,8,4,0.5,4,4,,No,No,,,0.2501,-0.125,No,,,,,1,,1,1.3,,2,83.3,No,No,,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,6,
