id,name,pos,team,catchableTargets,contestedReceptions,contestedTargets,createdCatches,drops,explosiveReceptions,explosiveTouchdowns,explosiveYards,firstReadTargets,missedTackles,success,dvoa,dyar,epa,endZoneTargets,endZoneTouchdowns,redZoneTargets,redZoneTouchdowns,airYards,catchableAirYards,droppedAirYards,prayerYards,deepReceptions,deepTargets,deepTouchdowns,deepYards,backfieldRoutes,backfieldYards,closingCoverage,emptyRouteCoverage,emptyRouteYards,inlineRoutes,inlineYards,manCoverage,manYards,offlineRoutes,offlineYards,openCoverage,outWideRoutes,outWideYards,singleHighRoutes,singleHighYards,slotRoutes,slotYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards
00-0038559,Michael Wilson,WR,ARI,52,7,14,2,3,10,1,282,51,1,36,-0.0264,57.038000000000004,10.123,7,3,8,3,0,492,26,313,7,15,1,198,0,0,9,0,0,0,0,230,315,0,0,24,312,426,278,356,158,122,10,27,173,178,1,19,14,240,233
00-0033555,Mack Hollins,WR,NE,34,2,9,1,0,4,1,109,33,0,29,0.1131,90.72800000000004,24.44299999999999,6,4,7,4,0,320,0,329,1,8,0,44,0,0,6,0,0,1,0,217,152,15,0,22,245,271,224,157,116,107,4,16,132,201,2,21,20,160,226
00-0038705,,,,16,0,0,0,0,1,0,24,1,3,6,-0.1139,2.294999999999999,-3.35,0,0,4,0,0,9,0,17,0,0,0,0,97,88,2,0,0,0,0,49,12,0,0,10,7,13,61,56,2,3,3,1,42,48,4,3,0,57,92
00-0037744,Trey McBride,TE,ARI,119,6,15,6,3,10,0,267,96,10,92,0.0483,123.41799999999995,49.075000000000024,11,1,22,2,0,680,6,222,3,7,0,78,3,0,12,0,0,140,462,239,435,67,103,68,34,70,288,649,263,511,21,32,190,465,10,29,32,268,711
00-0039041,,,,20,1,2,0,0,1,0,23,12,5,16,0.1218,33.336000000000006,9.531000000000002,2,2,3,2,0,82,0,26,0,0,0,0,4,1,2,0,0,25,50,69,66,68,65,14,18,18,81,62,49,38,0,5,68,82,3,15,28,95,106
00-0035689,Dawson Knox,TE,BUF,24,3,5,1,0,7,0,193,16,0,18,0.1618,52.79600000000001,10.104999999999997,2,1,5,1,0,243,0,73,4,5,0,124,3,0,3,0,0,106,207,166,177,34,5,13,40,40,174,236,106,59,4,11,90,63,2,25,12,123,134
00-0039921,Trey Benson,RB,ARI,6,0,0,0,0,0,0,0,0,3,4,0.6711,29.108000000000004,3.1029999999999998,0,0,0,0,0,-19,0,0,0,0,0,0,46,41,0,0,0,0,0,21,0,0,0,3,6,18,32,29,0,0,0,0,17,30,3,3,0,31,59
00-0033282,,,,31,4,9,1,0,2,0,59,25,2,17,-0.3337,-72.62400000000001,-10.303999999999998,4,1,6,1,0,93,0,119,2,4,0,59,12,9,4,0,0,0,0,113,141,0,0,16,99,166,116,152,93,78,7,10,78,88,9,10,13,91,112
00-0037261,Khalil Shakir,WR,BUF,77,3,9,3,0,9,2,292,39,13,57,-0.0134,85.52500000000006,44.17199999999999,3,0,10,2,0,220,0,328,3,10,0,121,15,37,8,0,0,0,0,194,399,2,3,53,84,233,211,516,250,548,8,18,123,284,12,17,21,157,422
00-0039901,Kevin Coleman Jr.,WR,MIA,38,4,17,4,5,12,2,398,41,4,27,0.1106,100.509,24.218000000000004,9,2,11,2,0,507,101,357,6,18,0,183,1,0,6,0,0,0,0,179,371,0,0,16,271,507,200,427,31,49,9,23,82,78,2,21,51,124,185
00-0037248,James Cook III,RB,BUF,35,0,1,0,2,3,0,77,9,2,19,0.2676,89.38800000000003,12.755999999999997,1,1,5,2,0,22,27,15,0,1,0,0,200,233,3,0,0,0,0,118,114,1,25,22,5,0,134,142,9,0,1,2,71,99,10,10,17,97,144
00-0039875,Ray Davis,RB,BUF,17,1,1,1,0,2,1,105,6,3,12,0.605,86.60799999999998,14.882000000000001,2,2,2,2,0,25,0,-9,1,1,0,42,93,189,2,0,0,0,0,66,164,1,0,10,3,0,63,126,5,0,1,1,30,56,4,9,7,36,25
00-0038933,Dalton Kincaid,TE,BUF,49,2,5,1,2,5,0,133,49,6,36,-0.1857,-54.002,14.80700000000001,4,1,10,2,0,234,25,339,2,11,0,54,5,4,6,0,0,19,39,149,188,52,125,41,38,53,161,270,157,227,11,13,93,178,4,17,0,122,260
00-0034272,,,,25,1,6,1,1,8,3,312,33,1,16,-0.0796,16.031999999999975,10.253999999999996,5,3,2,1,0,343,6,422,4,17,2,174,1,0,5,0,0,0,0,133,165,1,0,12,209,286,158,284,61,125,9,17,108,125,1,6,2,139,246
00-0035537,Ty Johnson,RB,BUF,19,0,1,1,0,5,1,162,3,1,14,0.7911,146.20499999999998,23.399,3,2,7,2,0,117,0,87,3,5,0,90,138,220,2,0,0,0,0,102,163,7,0,9,13,24,120,170,33,40,5,4,66,114,5,5,0,89,121
00-0035261,Tony Pollard,RB,TEN,49,2,3,1,8,2,0,52,13,4,17,-0.3352,-57.755,-14.433,0,0,3,0,0,4,-13,4,2,2,0,52,309,125,18,0,0,0,0,155,67,2,0,22,17,36,199,103,26,77,4,7,146,135,6,9,0,199,171
00-0033009,,,,41,7,12,2,1,4,0,117,33,3,27,-0.1405,-6.129999999999997,3.8290000000000015,3,0,7,0,0,213,0,207,1,4,0,27,5,0,11,0,0,0,0,191,204,0,0,18,68,100,207,222,336,290,6,20,194,168,1,8,0,218,186
00-0034827,,,,102,8,18,4,5,11,4,335,63,18,63,-0.1373,-11.423000000000021,16.389999999999997,10,4,21,2,0,437,55,612,7,20,3,218,23,33,25,3,8,0,0,283,343,0,0,48,454,729,342,555,137,204,11,36,245,356,19,24,47,328,615
00-0039032,Tyjae Spears,RB,TEN,30,1,1,0,1,2,0,72,5,11,13,0.0986,44.66299999999999,-1.5180000000000007,0,0,3,1,0,-31,-7,-10,0,0,0,0,161,225,13,0,0,0,0,89,31,7,0,14,4,0,95,94,8,-1,3,1,82,130,4,3,0,91,193
00-0030279,,,,80,13,27,4,5,9,2,252,77,3,53,-0.1382,-10.981000000000005,23.162999999999993,14,4,15,5,0,565,25,550,6,19,2,169,9,0,29,3,0,0,0,232,294,1,0,30,272,463,271,411,218,281,9,42,204,302,8,22,31,265,450
00-0039919,Rome Odunze,WR,CHI,59,12,22,7,2,8,0,253,63,4,45,-0.1238,2.1939999999999893,16.067000000000004,17,3,17,3,0,535,23,863,5,23,0,169,10,81,11,3,0,0,0,274,348,0,0,25,410,469,321,425,155,184,10,44,228,286,10,23,23,298,386
00-0033895,,,,9,0,1,0,1,0,0,0,6,2,2,-0.6364,-43.736,-1.4740000000000004,2,0,2,0,0,0,5,35,0,0,0,0,16,18,2,0,0,6,0,61,23,49,14,5,16,5,71,23,35,-1,0,2,47,13,3,4,0,61,13
00-0032394,,,,17,1,1,0,0,1,0,24,9,0,13,0.1455,31.533,1.826,2,1,5,3,0,25,0,-3,0,0,0,0,3,9,2,0,0,64,88,58,62,56,38,10,4,0,80,104,3,0,0,3,45,23,5,5,8,72,73
00-0034837,Calvin Ridley,WR,TEN,72,11,22,8,3,19,3,579,96,8,54,-0.0722,47.81599999999999,28.176999999999996,5,2,8,1,0,936,53,947,11,32,3,388,3,4,15,0,0,0,0,236,578,0,0,38,402,787,270,659,107,218,13,51,233,350,2,9,0,276,431
00-0031763,,,,9,0,0,1,0,0,0,0,9,1,6,-0.3627,-23.357999999999997,-4.0360000000000005,1,0,3,0,0,40,0,115,0,3,0,0,1,0,2,0,0,0,0,36,18,0,0,5,26,21,46,37,55,51,3,3,34,35,1,2,0,46,54
00-0037742,Treylon Burks,WR,WAS,6,0,1,0,1,0,0,0,7,1,3,-0.28,-9.614999999999998,0.17099999999999982,0,0,0,0,0,43,11,92,0,2,0,0,2,0,4,0,0,0,0,38,34,0,0,0,62,23,42,22,13,11,2,2,34,2,0,1,10,39,0
00-0037809,Chig Okonkwo,TE,WAS,56,7,11,1,2,4,1,139,42,9,35,-0.1758,-44.32599999999999,-8.401000000000002,4,1,5,1,0,259,6,156,1,5,0,26,15,8,19,0,0,28,75,178,163,117,127,26,66,24,197,156,155,249,3,14,171,306,7,13,21,203,320
00-0036290,Cole Kmet,TE,CHI,48,6,7,0,1,7,1,176,28,2,37,0.2203,107.53899999999997,27.909000000000006,3,3,8,3,0,298,5,95,3,5,0,69,17,13,13,2,0,80,80,251,155,103,134,18,67,25,300,220,280,222,3,12,223,253,9,22,1,294,319
00-0036275,D'Andre Swift,RB,CHI,45,2,3,0,3,5,0,152,2,7,26,0.0547,55.63999999999999,1.8089999999999984,0,0,0,0,0,-19,0,21,1,1,0,30,326,355,6,2,0,0,0,165,160,1,0,16,42,27,202,224,10,4,4,3,163,162,22,12,0,212,226
00-0030564,DeAndre Hopkins,WR,FA,60,10,22,3,1,6,0,174,67,4,47,0.0579,111.542,19.208000000000006,9,3,11,5,0,586,15,310,4,11,0,112,1,0,15,1,0,0,0,153,278,0,0,28,242,428,192,385,90,186,5,28,130,229,4,10,0,179,336
00-0037745,,,,1,0,0,0,0,0,0,0,0,0,1,0.2191,2.756,0.565,0,0,0,0,0,-5,0,0,0,0,0,0,2,8,0,0,0,0,0,2,8,0,0,0,1,0,2,8,0,0,0,0,1,0,1,0,0,1,0
00-0034829,Mike Gesicki,TE,CIN,73,6,11,3,5,5,1,152,68,3,53,0.1011,92.174,33.76900000000001,6,1,10,1,0,507,40,108,0,1,0,0,1,0,19,2,0,14,0,220,385,19,-9,34,93,192,211,410,288,482,17,9,186,196,4,16,59,193,280
00-0033090,Hunter Henry,TE,NE,70,7,16,2,2,4,0,122,58,5,53,0.0046,49.85000000000002,23.250999999999998,9,1,19,2,0,429,13,257,2,5,0,57,10,0,27,1,0,66,36,265,369,104,228,21,29,0,271,329,252,410,14,30,176,333,4,13,12,195,305
00-0036345,,,,9,1,4,0,1,1,1,22,8,0,4,-0.5264,-54.778000000000006,-7.305999999999999,2,1,3,0,0,52,6,55,1,1,1,22,1,4,3,0,0,0,0,74,18,1,0,2,81,24,71,21,39,29,2,9,50,36,1,1,0,48,39
00-0034613,,,,21,0,0,0,2,0,0,0,17,3,14,-0.0644,1.2919999999999998,6.327000000000002,1,1,4,1,0,67,10,31,0,1,0,0,12,9,2,1,0,2,0,43,55,25,56,18,12,23,40,59,38,66,2,1,41,92,0,7,3,45,99
00-0032392,,,,46,6,10,2,0,5,1,142,40,5,35,0.0771,57.52599999999999,12.703000000000003,4,0,9,2,0,255,0,131,3,4,1,92,0,0,13,1,0,100,186,155,197,65,169,19,38,22,171,272,70,99,4,16,92,199,6,9,5,117,279
00-0038621,DeMario Douglas,WR,NE,70,3,8,2,3,8,2,211,47,9,48,-0.0827,28.853999999999992,22.589,4,2,6,1,0,274,15,241,1,5,1,36,12,17,16,0,0,0,0,229,357,0,0,37,88,112,238,348,310,493,10,15,165,274,8,7,0,181,265
00-0038104,Tyquan Thornton,WR,KC,4,1,2,0,0,0,0,0,5,2,3,-0.3613,-12.983999999999996,-4.849000000000001,1,0,1,0,0,23,0,103,0,3,0,0,0,0,1,0,0,0,0,35,16,0,0,1,49,41,36,20,10,6,0,4,21,27,2,2,0,24,31
00-0038597,Chase Brown,RB,CIN,62,2,9,0,3,2,0,54,13,12,29,0.0722,86.868,9.817000000000004,4,2,14,4,0,40,1,13,0,0,0,0,316,260,12,0,0,0,0,213,177,20,6,36,29,29,216,152,24,65,3,5,151,207,9,22,1,176,183
00-0036900,Ja'Marr Chase,WR,CIN,140,7,18,5,9,19,9,757,126,21,108,0.1918,448.5360000000001,77.01000000000002,22,9,36,8,0,1029,76,497,8,20,5,325,17,1,18,2,0,0,0,361,879,0,0,86,437,1183,336,940,229,524,23,44,310,747,4,35,21,320,829
00-0038619,Andrei Iosivas,WR,CIN,44,7,14,6,4,7,0,205,39,1,31,0.0791,99.02900000000001,23.963,9,5,10,6,0,492,24,200,6,11,0,182,1,0,8,2,0,0,0,304,267,1,0,19,269,227,274,178,287,252,10,21,250,277,3,32,24,252,212
00-0036251,,,,25,0,1,0,2,1,0,21,2,4,16,0.3077,70.828,12.668,0,0,3,1,0,-10,-3,13,0,0,0,0,167,143,4,0,0,0,0,102,56,17,21,14,6,4,88,57,4,19,3,0,99,130,6,7,0,92,131
00-0038576,,,,1,0,0,0,0,0,0,0,1,0,1,-0.1642,-0.296,0.164,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,6,0,7,0,10,5,0,0,9,5,0,0,0,10,5
00-0035341,,,,6,0,3,0,1,0,0,0,4,0,3,-0.8069,-60.832,-6.571,5,0,6,0,0,38,12,24,0,1,0,0,0,0,2,0,0,0,0,40,4,0,0,4,33,9,31,6,36,6,0,4,30,5,0,8,4,29,11
00-0036875,Rhamondre Stevenson,RB,NE,33,1,2,0,1,0,0,0,9,7,19,-0.2783,-32.221000000000004,5.278,2,1,11,1,0,-69,-6,28,0,0,0,0,261,132,6,1,0,0,0,180,72,11,18,18,27,14,191,77,11,0,3,5,111,87,9,7,0,129,92
00-0039907,,,,18,3,13,1,2,1,0,21,29,0,9,-0.6588,-136.57,-19.805,4,2,4,2,0,151,17,244,0,7,0,0,0,0,8,0,0,0,0,126,50,0,0,5,184,87,134,50,46,0,2,17,91,35,1,5,2,104,37
