id,name,pos,team,accurateThrows,adjustedCompletionPercentage,battedPasses,cleanPocketDropbacks,drops,explosiveInterceptions,explosiveThrows,explosiveTouchdowns,explosiveYards,highlightThrows,qbHits,spikes,successfulPlays,throwaways,yardsAfterCatch,dvoa,dyar,epa,turnover_battedPasses,brokenPasses,intWorthyThrows,pickSixes,turnover_throwaways,endZoneCompletions,endZoneInterceptions,endZoneThrows,endZoneTouchdowns,redZoneCompletions,redZoneInterceptions,redZoneThrows,redZoneTouchdowns,airYards,alex,catchableAirYards,droppedAirYards,prayerYards,twentyPlusCompletions,twentyPlusPassingYards,twentyPlusThrows,twentyPlusTouchdowns,closingCoverage,emptyRouteCoverage,manCoverage,manYards,openCoverage,singleHighRoutes,singleHighYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards,adjustedSackRate,avoidedSacks,blitzes,pressures,qbFaultSacks,pressure_qbHits,sacks,scrambles,timeToPressure,timeToThrow
00-0036880,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2533,-7.619,-0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,,0,0,1,0,0,1,0,4,0
00-0034162,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,-1.4386,-11.371,-2.707,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-8,-4,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2.5
00-0036928,,,,1,1,0,1,0,0,0,0,0,0,0,0,1,0,8,0.1004,1.711,0.298,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-9,-3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1.1
00-0038416,,,,2,1,0,2,0,0,0,0,0,0,0,0,1,0,10,0.3239,6.324,0.319,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,1,0,0,0,0,0,0,0,0,1,6,2,1,6,0,0,1,5,0,0,0,1,5,0,0,0,0,0,0,0,0,0,2.83
00-0032950,,,,12,0.7059,1,12,0,0,2,0,48,0,9,0,6,0,68,-0.3245,-30.891,-6.066000000000001,1,1,0,0,0,0,0,0,0,0,0,0,0,125,-2.0526,50,0,75,0,0,1,0,1,0,13,47,10,14,53,5,3,9,31,0,1,12,11,49,0.2105,0,1,12,3,9,4,1,21.3,47
00-0034418,,,,1,1,0,1,0,0,1,1,21,0,1,0,1,0,1,0.9339,14.111999999999998,1.1510000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,20,0,0,1,21,1,1,0,0,1,21,1,2,18,0,0,0,0,0,0,0,1,-3,1,0,1,1,0,1,1,0,0,3.9000000000000004
00-0038582,,,,2,1,0,2,0,0,0,0,0,0,0,0,1,0,4,-0.6502,-6.422000000000001,-1.1280000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-5.5,4,0,0,0,0,0,0,0,0,2,8,1,2,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.8
00-0037077,,,,6,0.5,1,9,1,0,0,0,0,0,5,0,2,0,7,-1.5128,-144.134,-15.572999999999999,1,4,1,0,0,0,0,0,0,0,0,0,0,83,-3.7143,23,6,60,0,0,1,0,2,0,2,-2,3,5,10,0,8,14,-7,0,0,0,17,5,0.2857,0,2,10,4,5,4,1,27.4,40.1
00-0034960,Jakobi Meyers,WR,JAX,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.9872,-19.633,-1.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-10,0,1,-10,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,3.9,0
00-0034844,Saquon Barkley,RB,PHI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.6685,-14.276,-1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,-2,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,1,0,4,0
