teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingTowThrowPercentage
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 0,17,342,342,1,17,342,1,1,0.2514862732953217,4027,11.774853801169591,0.37546560715172583,13.587719298245615,2564,31,9,Yes,Yes,87,0.2543859649122807,-0.08693216374269007,Yes,0.04678362573099415,31,0.09064327485380116,0.0847953216374269,0.7543859649122807,0.09941520467836257,0.7660818713450293,2.5535087719298244,2.5310344827586206,7.497076023391813,145.9,No,Yes,193,
13,Houston,Texans,True,IND,AFC,AFC South,Open,Open,Prevent,17,319,319,1,13,319,1,1,0.22673386114420058,3486,10.927899686520377,0.4736087205966724,12.181818181818182,1876,20,6,No,No,74,0.23197492163009403,-0.08189231974921629,No,0.03761755485893417,24,0.07523510971786834,0.09717868338557993,0.7147335423197492,0.11912225705329153,0.8181818181818182,2.3940438871473355,2.408108108108108,5.8808777429467085,133.1,No,Yes,162,
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Prevent,17,336,336,1,9,336,1,1,0.22130574922321433,3657,10.883928571428571,0.4774405250205086,12.074404761904763,1948,20,6,No,No,64,0.19047619047619047,-0.1347970238095238,No,0.047619047619047616,15,0.044642857142857144,0.0625,0.6696428571428571,0.13690476190476192,0.8363095238095238,2.4607142857142854,2.559375,5.7976190476190474,131.9,No,Yes,180,
6,Chicago,Bears,True,DET,NFC,NFC North,Open,Open,Cover 0,17,355,355,1,14,355,1,1,0.2397047366084507,4067,11.456338028169014,0.42168674698795183,13.259154929577464,2405,32,1,Yes,Yes,75,0.2112676056338028,-0.1305007042253521,Yes,0.028169014084507043,31,0.08732394366197183,0.07042253521126761,0.7211267605633803,0.10140845070422536,0.8140845070422535,2.556338028169014,2.64,6.774647887323944,144.4,No,Yes,190,
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 4,17,375,375,1,15,375,1,1,0.22954776235999996,4128,11.008,0.46632751937984496,12.661333333333333,2274,31,4,No,No,77,0.20533333333333334,-0.11811466666666669,No,0.018666666666666668,23,0.06133333333333333,0.056,0.7173333333333334,0.088,0.8266666666666667,2.450133333333333,2.5233766233766235,6.064,140.1,No,Yes,215,
4,Buffalo,Bills,True,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,277,277,1,14,277,1,1,0.22578938381949465,2894,10.447653429602887,0.4823773324118867,11.819494584837544,1550,19,7,Yes,No,54,0.19494584837545126,-0.1280120938628159,No,0.02888086642599278,19,0.06859205776173286,0.05415162454873646,0.7111913357400722,0.09025270758122744,0.7942238267148014,2.4472924187725633,2.4592592592592593,5.595667870036101,133.1,No,Yes,144,
24,New York,Giants,True,DAL,NFC,NFC East,Closed,Closed,Cover 1,17,358,358,1,11,358,1,1,0.23132626171787707,3908,10.916201117318435,0.46289662231320367,12.312849162011172,2144,25,4,No,No,72,0.2011173184357542,-0.12611424581005587,No,0.05027932960893855,29,0.08100558659217877,0.06424581005586592,0.7430167597765364,0.09217877094972067,0.8016759776536313,2.4720670391061454,2.6458333333333335,5.988826815642458,135.4,No,Yes,195,0.002793296089385475
27,Pittsburgh,Steelers,True,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,396,396,1,12,396,1,1,0.2251198565732323,4437,11.204545454545455,0.4798287130944332,12.719696969696969,2352,30,4,No,Yes,87,0.2196969696969697,-0.10155000000000002,Yes,0.045454545454545456,23,0.05808080808080808,0.027777777777777776,0.702020202020202,0.11616161616161616,0.8585858585858586,2.4373737373737376,2.3931034482758617,5.9393939393939394,138.6,Yes,Yes,202,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 0,17,340,340,1,10,340,1,1,0.20302912017941177,3487,10.255882352941176,0.5500430169199886,11.314705882352941,1627,18,8,No,No,79,0.2323529411764706,-0.08990514705882353,No,0.07058823529411765,23,0.06764705882352941,0.05588235294117647,0.7147058823529412,0.1,0.7941176470588235,2.443235294117647,2.608860759493671,4.785294117647059,127,No,Yes,158,
29,San Francisco,49ers,True,SEA,NFC,NFC West,Open,Open,Cover 4,17,398,398,1,15,398,1,1,0.21830175319095468,4110,10.326633165829145,0.46982968369829686,11.78391959798995,2243,29,7,No,No,69,0.17336683417085427,-0.14919133165829146,No,0.03768844221105527,29,0.0728643216080402,0.05025125628140704,0.6859296482412061,0.15326633165829145,0.7914572864321608,2.4449748743718596,2.4652173913043476,5.635678391959799,134,No,Yes,199,
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 6,17,309,309,1,5,309,1,1,0.21975621594498385,3476,11.249190938511326,0.4853279631760644,12.155339805825243,1811,14,2,No,No,73,0.23624595469255663,-0.08625792880258899,No,0.042071197411003236,20,0.06472491909385113,0.045307443365695796,0.6990291262135923,0.10032362459546926,0.7831715210355987,2.444660194174757,2.4273972602739726,5.86084142394822,128.6,No,Yes,157,
7,Cincinnati,Bengals,True,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,348,348,1,17,348,1,1,0.20865198845689648,4175,11.99712643678161,0.6069461077844311,13.89367816091954,1711,33,12,No,No,78,0.22413793103448276,-0.1253603448275862,Yes,0.06321839080459771,17,0.04885057471264368,0.04310344827586207,0.6810344827586207,0.11781609195402298,0.8189655172413793,2.6011494252873564,2.626923076923077,4.916666666666667,148.3,Yes,Yes,201,
8,Cleveland,Browns,,CIN,AFC,AFC North,Closed,Closed,Cover 1,17,308,308,1,13,308,1,1,0.21493075213961044,3220,10.454545454545455,0.5304347826086957,12.077922077922079,1583,25,4,No,No,75,0.2435064935064935,-0.06989334415584418,Yes,0.03896103896103896,17,0.05519480519480519,0.06168831168831169,0.7337662337662337,0.11363636363636363,0.7792207792207793,2.391883116883117,2.3946666666666667,5.1396103896103895,137.3,Yes,Yes,161,0.003246753246753247
2,Atlanta,Falcons,True,NO,NFC,NFC South,Open,Open,Cover 4,17,331,331,1,12,331,1,1,0.2381539085135952,3773,11.3987915407855,0.4386429896633978,13.030211480362539,2175,27,8,No,Yes,82,0.24773413897280966,-0.08801601208459216,No,0.02416918429003021,23,0.06948640483383686,0.04833836858006042,0.7099697885196374,0.08459214501510574,0.8006042296072508,2.521450151057402,2.4597560975609754,6.570996978851964,141.4,No,Yes,179,0.0030211480362537764
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,17,350,350,1,16,350,1,1,0.2285787248714286,4371,12.48857142857143,0.5207046442461679,14.374285714285714,2138,33,8,No,No,73,0.20857142857142857,-0.09808414285714284,No,0.04857142857142857,22,0.06285714285714286,0.05142857142857143,0.7514285714285714,0.08571428571428572,0.8257142857142857,2.3525714285714283,2.5273972602739727,6.1085714285714285,150.1,No,Yes,216,
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,354,354,1,18,354,1,1,0.23462396402542374,4221,11.923728813559322,0.47879649372186683,13.61864406779661,2281,30,3,No,No,73,0.2062146892655367,-0.1270292372881356,No,0.02824858757062147,31,0.08757062146892655,0.07062146892655367,0.7231638418079096,0.09887005649717515,0.847457627118644,2.506497175141243,2.4986301369863013,6.443502824858757,144.6,No,Yes,195,
22,New England,Patriots,True,MIA,AFC,AFC East,Open,Closed,Cover 3,17,350,350,1,16,350,1,1,0.2206568578,3512,10.034285714285714,0.4803530751708428,11.462857142857143,1902,25,4,Yes,No,86,0.24571428571428572,-0.0926442857142857,Yes,0.025714285714285714,20,0.05714285714285714,0.03428571428571429,0.6514285714285715,0.10857142857142857,0.7571428571428571,2.5365714285714285,2.579069767441861,5.434285714285714,132.3,No,Yes,171,0.002857142857142857
30,Tampa Bay,Buccaneers,True,CAR,NFC,NFC South,Closed,Closed,Prevent,17,380,380,1,14,379,0.9973684210526316,0.9973684210526316,0.2226598748026315,4332,11.4,0.4997691597414589,12.978947368421053,2255,30,11,No,No,99,0.26052631578947366,-0.0731578947368421,No,0.02894736842105263,16,0.042105263157894736,0.042105263157894736,0.6736842105263158,0.11052631578947368,0.8052631578947368,2.5094736842105263,2.467676767676768,5.934210526315789,140.5,No,Yes,206,0.002631578947368421
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Open,Open,Cover 4,17,377,377,1,14,377,1,1,0.23303739863660478,3988,10.578249336870027,0.4380641925777332,11.957559681697612,2258,26,5,No,No,90,0.23872679045092837,-0.07683965517241377,No,0.023872679045092837,24,0.0636604774535809,0.04774535809018567,0.6710875331564987,0.10610079575596817,0.8063660477453581,2.4039787798408487,2.493333333333333,5.989389920424403,133.7,No,Yes,192,
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Cover 4,17,375,375,1,12,375,1,1,0.2014283267946666,3619,9.650666666666666,0.5603757944183476,10.717333333333332,1633,20,8,No,No,89,0.23733333333333334,-0.07673066666666667,No,0.042666666666666665,22,0.058666666666666666,0.06133333333333333,0.6533333333333333,0.136,0.816,2.3957333333333333,2.4280898876404495,4.354666666666667,124.7,No,Yes,176,
14,Indianapolis,Colts,,HST,AFC,AFC South,Open,Open,Prevent,17,397,397,1,17,397,1,1,0.23816214518891687,4462,11.239294710327457,0.45024652622142536,12.448362720403022,2511,24,7,No,No,80,0.20151133501259447,-0.13188564231738034,No,0.030226700251889168,30,0.07556675062972293,0.05793450881612091,0.6977329974811083,0.10075566750629723,0.818639798488665,2.507808564231738,2.6350000000000002,6.324937027707809,133.6,No,Yes,216,
10,Denver,Broncos,True,LAC,AFC,AFC West,Open,Open,Red Zone,17,343,343,1,10,343,1,1,0.22201932097084542,3606,10.513119533527696,0.44675540765391014,11.56268221574344,2032,18,13,No,No,83,0.24198250728862974,-0.07266661807580174,No,0.07580174927113703,20,0.05830903790087463,0.052478134110787174,0.7725947521865889,0.0728862973760933,0.8104956268221575,2.399125364431487,2.355421686746988,5.924198250728863,128,No,Yes,171,
