teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsFirstDownsPassing,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 4,11,18,No,Yes,No,84,18,No,3,No,11,0.6111,0.2143,10,0.5556,310,55,501,2,0.6667,14,0.7778,27.8333,137.5,3.6905,17.2222,4.9114,31,5.5,10,1,2,1,12,1,,0.3333,,1.2,,,,,
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Open,Cover 4,10,18,No,Yes,No,82,18,No,4,Yes,6,0.3333,0.2195,4,0.2222,88,6,517,2,0.6667,16,0.8889,28.7222,44.9,1.0732,4.8889,-7.5768,22,1.5,4,4,1,2,1,1,,0.2778,,0.25,3,0.0556,,,
7,Cincinnati,Bengals,1,ARZ,NFC,NFC West,Closed,Closed,Cover 1,12,9,No,No,No,41,9,No,3,Yes,6,0.6667,0.2195,4,0.4444,113,16,212,1,0.5556,8,0.8889,23.5556,88.7,2.7561,12.5556,0.9758,28.25,4,4,2,2,,9,1,1,0.4444,0.1111,2.25,2,,,,
8,Cleveland,Browns,,CHI,NFC,NFC North,Closed,Closed,Cover 1,9,14,No,Yes,Yes,65,14,No,5,Yes,9,0.6429,0.2154,6,0.4286,196,16,415,2,0.7857,14,1,29.6429,129.5,3.0154,14,1.0529,32.6667,2.6667,6,2,2,2,5,1,1,0.2143,0.0714,0.8333,,,,,
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 4,9,12,No,Yes,No,55,12,No,2,No,6,0.5,0.2182,3,0.25,88,7,340,1,0.6667,9,0.75,28.3333,85.4,1.6,7.3333,-4.6846,29.3333,2.3333,3,2,,,4,,1,0.25,0.0833,1.3333,2,,0.0833,,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Closed,Cover 1,11,13,Yes,Yes,Yes,53,13,Yes,5,Yes,9,0.6923,0.2453,8,0.6154,228,38,332,2,0.6923,10,0.7692,25.5385,145,4.3019,17.5385,5.2734,28.5,4.75,8,2,4,,22,1,,0.2308,,2.75,2,,0.0769,,
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Open,Closed,Cover 1,9,12,No,No,No,58,12,No,1,Yes,6,0.5,0.2069,5,0.4167,208,79,324,2,0.8333,8,0.6667,27,128.5,3.5862,17.3333,5.5487,41.6,15.8,5,3,,,12,,,0.1667,,2.4,1,,,1,0.2
1,Arizona,Cardinals,,CIN,AFC,AFC North,Closed,Closed,Cover 1,13,13,No,No,No,46,13,No,3,Yes,8,0.6154,0.2826,6,0.4615,200,21,360,2,0.6923,12,0.9231,27.6923,132.2,4.3478,15.3846,3.9618,33.3333,3.5,6,3,1,2,6,,1,0.1538,0.0769,1,3,,0.1538,,
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Open,Open,Cover 0,9,19,No,No,No,83,19,Yes,6,Yes,12,0.6316,0.2289,8,0.4211,250,48,558,3,0.6842,15,0.7895,29.3684,89.3,3.012,13.1579,1.31,31.25,6,8,5,3,2,15,1,,0.1579,,1.875,2,0.1053,0.0526,1,0.125
24,New York,Giants,1,DAL,NFC,NFC East,Open,Open,Cover 4,13,18,No,Yes,Yes,73,18,No,2,Yes,6,0.3333,0.2466,3,0.1667,69,1,534,2,0.7222,15,0.8333,29.6667,56.9,0.9452,3.8333,-8.5773,23,0.3333,3,6,1,,,2,2,0.2222,0.1111,,3,0.0556,,,
