teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsHero
24,New York,Giants,DAL,NFC,NFC East,Closed,Closed,Cover 3,17,102,No,No,Yes,472,102,No,23,No,87,0.8529,3,0.2161,72,12,0.7059,733,191,103,784,2,2,8,5,0.0694,0.0294,0.1275,0.2745,0.5686,72,0.7059,,,7.6863,93.3,1.553,7.1863,0.0084,0.0784,10.1806,2.6528,1.4306,37,11,1,
10,Denver,Broncos,LAC,AFC,AFC West,Open,Open,Cover 4,17,77,No,No,No,353,77,No,12,Yes,65,0.8442,1,0.2181,53,6,0.6883,480,140,65,544,,,5,6,0.1132,0.013,0.0909,0.3247,0.5714,62,0.8052,,,7.0649,80,1.3598,6.2338,-0.9987,0.0649,9.0566,2.6415,1.2264,24,8,1,
5,Carolina,Panthers,TB,NFC,NFC South,Open,Open,Cover 2,17,110,No,No,No,509,110,No,21,Yes,95,0.8636,1,0.2161,83,12,0.7545,882,311,152,846,1,,5,9,0.1084,0.0273,0.1182,0.3273,0.5273,75,0.6818,,,7.6909,93.8,1.7328,8.0182,0.5521,0.0455,10.6265,3.747,1.8313,43,11,,1
14,Indianapolis,Colts,HST,AFC,AFC South,Closed,Closed,Cover 1,17,99,Yes,No,Yes,461,99,No,15,Yes,87,0.8788,4,0.2148,75,7,0.7576,751,234,86,767,4,3,6,4,0.0533,0.0101,0.1919,0.2424,0.5556,56,0.5657,,,7.7475,106.1,1.6291,7.5859,0.2365,0.0606,10.0133,3.12,1.1467,40,12,,1
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Open,Cover 4,17,97,No,Yes,No,468,97,No,15,Yes,83,0.8557,1,0.2073,76,14,0.7835,632,160,77,678,,,4,8,0.1053,0.0103,0.1443,0.3299,0.5155,58,0.5979,,,6.9897,85.2,1.3504,6.5155,-0.6774,0.0412,8.3158,2.1053,1.0132,27,2,1,
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Open,Cover 4,17,88,No,Yes,No,404,88,No,14,Yes,77,0.875,1,0.2178,66,8,0.75,519,179,85,540,1,,5,8,0.1212,0.0795,0.0909,0.3068,0.5227,52,0.5909,,,6.1364,78.7,1.2847,5.8977,-1.0853,0.0568,7.8636,2.7121,1.2879,20,7,,
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Cover 2,17,121,No,No,No,567,121,No,22,Yes,101,0.8347,2,0.2134,89,12,0.7355,882,231,123,950,2,,3,9,0.1011,0.0496,0.1405,0.3636,0.4463,84,0.6942,,,7.8512,85.5,1.5556,7.2893,-0.1886,0.0248,9.9101,2.5955,1.382,56,8,1,
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Closed,Cover 1,17,102,No,No,No,464,102,Yes,12,Yes,89,0.8725,1,0.2198,80,5,0.7843,777,301,119,684,,,1,7,0.0875,0.0098,0.1765,0.3529,0.4608,71,0.6961,,,6.7059,94.3,1.6746,7.6176,0.5053,0.0098,9.7125,3.7625,1.4875,37,7,,
22,New England,Patriots,MIA,AFC,AFC East,Closed,Open,Cover 2,17,102,No,No,No,477,102,No,16,Yes,94,0.9216,,0.2138,85,8,0.8333,779,269,90,682,1,,4,8,0.0941,0.0196,0.1863,0.3529,0.4412,57,0.5588,,,6.6863,97.7,1.6331,7.6373,0.52,0.0392,9.1647,3.1647,1.0588,34,4,1,1
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Open,Open,Cover 2,17,104,No,No,No,469,104,No,20,Yes,86,0.8269,4,0.2217,78,13,0.75,661,184,75,726,2,2,,9,0.1154,0.0192,0.1923,0.2885,0.5,68,0.6538,1,0.0096,6.9808,77.4,1.4094,6.3558,-0.767,,8.4744,2.359,0.9615,39,8,1,
20,Miami,Dolphins,NE,AFC,AFC East,Closed,Open,Cover 2,17,107,No,No,No,495,107,No,11,Yes,95,0.8879,2,0.2162,87,4,0.8131,841,361,122,648,1,1,3,11,0.1264,0.0935,0.1215,0.3458,0.4393,68,0.6355,,,6.0561,98.6,1.699,7.8598,0.9984,0.028,9.6667,4.1494,1.4023,35,6,,
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Open,Cover 2,17,94,Yes,No,No,447,94,No,17,Yes,82,0.8723,3,0.2103,75,15,0.7979,672,199,87,648,1,1,4,5,0.0667,0.0532,0.1277,0.2553,0.5638,69,0.734,,,6.8936,95.6,1.5034,7.1489,0.0765,0.0426,8.96,2.6533,1.16,27,8,,
12,Green Bay,Packers,MIN,NFC,NFC North,Closed,Closed,Cover 3,17,133,No,No,No,618,133,Yes,21,Yes,114,0.8571,2,0.2152,104,17,0.782,877,255,103,854,1,1,4,11,0.1058,0.0451,0.1654,0.2932,0.4962,81,0.609,,,6.4211,93.5,1.4191,6.594,-0.3962,0.0301,8.4327,2.4519,0.9904,42,12,,1
25,New York,Jets,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,68,No,No,No,315,68,No,10,Yes,57,0.8382,3,0.2159,50,4,0.7353,431,154,55,462,,,2,4,0.08,0.0294,0.0441,0.4853,0.4412,42,0.6176,1,0.0147,6.7941,89.8,1.3683,6.3382,-0.8064,0.0294,8.62,3.08,1.1,23,9,,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Open,Open,Cover 4,17,94,No,No,No,434,94,No,11,Yes,75,0.7979,1,0.2166,69,8,0.734,656,190,105,688,,,3,9,0.1304,0.0319,0.0957,0.2553,0.617,74,0.7872,,,7.3191,74.6,1.5115,6.9787,-0.2434,0.0319,9.5072,2.7536,1.5217,32,6,,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Closed,Cover 1,17,121,No,No,No,554,121,Yes,32,Yes,109,0.9008,1,0.2184,96,23,0.7934,782,189,86,771,,,8,8,0.0833,0.0331,0.0992,0.3223,0.5455,90,0.7438,,,6.3719,86.7,1.4116,6.4628,-0.4665,0.0661,8.1458,1.9688,0.8958,36,7,1,
13,Houston,Texans,IND,AFC,AFC South,Closed,Closed,Cover 1,17,75,Yes,No,Yes,335,75,No,20,Yes,64,0.8533,,0.2239,50,10,0.6667,546,196,54,575,,,7,2,0.04,0.04,0.0933,0.4133,0.4533,50,0.6667,,,7.6667,71.3,1.6299,7.28,-0.1923,0.0933,10.92,3.92,1.08,21,1,1,
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 4,17,74,No,No,No,351,74,Yes,14,Yes,61,0.8243,,0.2108,52,7,0.7027,478,187,61,461,,,4,4,0.0769,0.0676,0.1351,0.3514,0.4459,45,0.6081,,,6.2297,87.6,1.3618,6.4595,-0.6259,0.0541,9.1923,3.5962,1.1731,24,4,,
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 2,17,79,Yes,No,No,356,79,No,18,Yes,69,0.8734,,0.2219,58,10,0.7342,560,127,41,675,,,3,9,0.1552,0.0127,0.1013,0.3165,0.5696,61,0.7722,,,8.5443,87.5,1.573,7.0886,-0.6075,0.038,9.6552,2.1897,0.7069,32,2,,1
21,Minnesota,Vikings,GB,NFC,NFC North,Closed,Closed,Cover 3,17,78,No,No,No,335,78,Yes,11,Yes,70,0.8974,,0.2328,61,6,0.7821,671,265,112,538,,,4,10,0.1639,0.0513,0.1282,0.3333,0.4872,45,0.5769,,,6.8974,91.8,2.003,8.6026,1.5255,0.0513,11,4.3443,1.8361,33,4,1,
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Open,Cover 0,17,124,No,No,No,569,124,No,16,Yes,108,0.871,3,0.2179,98,12,0.7903,890,254,111,913,1,1,6,19,0.1939,0.0484,0.0806,0.3387,0.5323,88,0.7097,,,7.3629,89.2,1.5641,7.1774,-0.0862,0.0484,9.0816,2.5918,1.1327,45,11,1,
