Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,DropsYardsLost,DropsPercentage,TouchdownsTotal,OffTargetThrowAttemptsPercentage,TowThrowPercentage,InterceptionsTotal
Cam Ward,TEN,QB,22,22,22,0.7273,14,0.6364,0.6818,0.0332,22,182,8.2727,0.1319,10.0909,271,No,No,22,1,19.7768,0.1011,No,4,0.1818,0.1818,0.4545,5.7864,2.8682,12.3182,119.9,No,No,10,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,17.1,17.1,17,3,11,0.0455,2,0.2273,,
Caleb Williams,CHI,QB,41,41,41,0.5122,12,0.2927,0.4146,-0.1816,41,215,5.2439,0.214,4.6341,617,Yes,Yes,40,0.9756,39.1958,0.0196,Yes,11,0.2683,0.1463,0.3171,6.1171,2.9475,15.0488,46.9,No,No,12,11.6,11.6,11.6,11.6,11.6,11.6,11.6,10.6,10.6,10.6,10.6,13.75,12.75,17,4,62,0.122,1,0.4878,0.0732,1
Tua Tagovailoa,MIA,QB,14,14,14,0.5714,7,0.5,0.5,-0.161,14,103,7.3571,0.4563,5.5714,161,No,Yes,13,0.9286,10.3239,0.1911,No,2,0.1429,0.0714,0.4286,4.85,2.5,11.5,68.5,No,Yes,6,7.12,7.12,7.12,7.12,7.12,7.12,7.12,6.12,6.12,6.12,6.12,8.15,7.15,14,,,,1,0.4286,0.0714,1
Brock Purdy,SF,QB,9,9,9,0.6667,4,0.4444,0.4444,-0.1555,9,51,5.6667,,10.1111,129,No,No,9,1,10.3025,-0.1447,No,1,0.1111,0.3333,0.4444,7.2111,3.3556,14.3333,102.3,No,No,4,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.55,10.55,9,4,,,2,0.3333,0.1111,
Justin Fields,NYJ,QB,7,7,7,0.7143,3,0.4286,0.5714,-0.0882,7,53,7.5714,0.3585,7.5714,80,No,No,6,0.8571,5.3086,0.0988,No,,,,0.7143,4.9714,2.4667,11.4286,69.3,No,No,2,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.65,2.65,9,,6,0.1429,,0.2857,0.1429,
Dillon Gabriel,CLV,QB,5,5,5,0.6,3,0.6,0.6,0.036,5,60,12,0.2667,12,81,No,No,5,1,3.2817,0.3437,No,2,0.4,,0.6,4.38,2.42,16.2,102.1,No,No,2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3,3,10,2,,,,0.4,,
Patrick Mahomes,KC,QB,33,33,33,0.8182,22,0.6667,0.7273,0.1273,33,419,12.697,0.2339,11.9394,526,No,Yes,31,0.9394,25.3441,0.1714,No,8,0.2424,0.2121,0.4848,5.0273,2.8419,15.9394,107.2,No,Yes,19,19.76,19.76,19.76,19.76,19.76,22.76,22.76,18.76,18.76,18.76,18.76,23.95,22.95,14,3,38,0.0606,1,0.1818,0.0303,1
J.J. McCarthy,MIN,QB,10,10,10,0.5,5,0.5,0.5,-0.0969,10,93,9.3,0.129,9.3,145,Yes,Yes,10,1,8.7715,0.1229,No,2,0.2,0.2,0.4,5.66,2.55,14.5,82.5,Yes,Yes,5,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,4.65,4.65,10,1,,,,0.5,,
Matthew Stafford,LA,QB,6,6,6,0.6667,1,0.1667,0.3333,-0.2838,6,18,3,0.2778,3,93,No,No,6,1,4.4418,0.2597,No,1,0.1667,,0.1667,4.8667,2.45,15.5,39.6,No,No,1,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,17,,18,0.1667,,0.3333,,
Aidan O'Connell,LV,QB,1,1,1,1,1,1,1,0.453,1,23,23,0.2174,23,18,Yes,Yes,1,1,0.4528,0.5472,Yes,,,1,1,3.2,3.1,18,118.8,Yes,Yes,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.15,1.15,1,,,,,,,
Drake Maye,NE,QB,15,15,15,0.6,7,0.4667,0.4667,-0.171,15,134,8.9333,0.2985,5.9333,190,No,No,15,1,11.829,0.2114,No,3,0.2,,0.3333,5.1467,2.7267,12.6667,50.4,No,No,5,4.36,4.36,4.36,4.36,4.36,4.36,4.36,3.36,3.36,3.36,3.36,5.7,4.7,17,3,,,,0.4,0.0667,1
Geno Smith,LV,QB,14,14,14,0.7143,9,0.6429,0.6923,0.0625,14,93,6.6429,0.1613,4.8571,205,No,Yes,14,1,10.2722,0.2663,No,3,0.2143,,0.4286,4.8286,2.4786,14.8571,77.4,No,Yes,6,6.72,6.72,6.72,6.72,6.72,6.72,6.72,5.72,5.72,5.72,5.72,7.65,6.65,15,1,,,1,0.2857,0.0714,1
Justin Herbert,LAC,QB,41,41,41,0.6341,21,0.5122,0.575,-0.0253,41,285,6.9512,0.1474,9.878,612,No,Yes,37,0.9024,28.7423,0.2014,No,13,0.3171,0.122,0.4146,4.639,2.5135,14.9756,113.3,No,Yes,17,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,38.25,38.25,16,13,26,0.0488,6,0.3415,0.0488,
