Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,TowThrowPercentage,AverageTimeToPressure,AttemptsInEndzoneTotal,YardsAfterCatchPercentage,ThrowAccuracyHighlyAccuratePercentage,playerStatsFirstDownsPassing,DropsYardsLost,DropsPercentage,TouchdownsTotal,InterceptionsTotal,HeroThrowPercentage,RunPassOptionPercentage
Patrick Mahomes,KC,QB,65,65,65,0.8,44,0.6769,0.7385,0.0247,65,585,9,9.1538,601,No,No,30.398,0.117,No,7,0.1077,3.2862,9.2462,108.8,No,Yes,41.4,41.4,41.4,41.4,41.4,44.4,44.4,39.4,39.4,39.4,39.4,47.25,45.25,14,38,0.5846,0.2,0.0462,2.7947,5,0.4,0.6,25,26,0.0615,5,2,,
J.J. McCarthy,MIN,QB,30,30,30,0.8333,24,0.8,0.8333,0.0908,30,232,7.7333,6.9,249,No,No,13.6013,0.0466,No,2,0.0667,3.2033,8.3,96.1,No,Yes,12.28,12.28,12.28,12.28,12.28,12.28,12.28,11.28,11.28,11.28,11.28,14.6,13.6,10,15,0.5,0.1667,0.0333,2.7533,1,0.3448,0.6,11,3,0.0333,1,1,0.0333,
Marcus Mariota,WAS,QB,32,32,32,0.7188,21,0.6562,0.6875,0.0101,32,259,8.0938,6.5312,350,No,No,15.2486,-0.0703,No,2,0.0625,3.3375,10.9375,85.3,No,No,16.36,16.36,16.36,16.36,16.36,16.36,16.36,14.36,14.36,14.36,14.36,18.95,16.95,11,13,0.4062,0.2812,0.0625,2.8615,5,0.2934,0.6562,14,18,0.0312,2,2,0.0312,
Aidan O'Connell,LV,QB,2,2,2,1,2,1,1,0.0889,2,8,4,4,-3,Yes,No,0.8883,-0.4442,No,,,3.15,-1.5,83.3,No,Yes,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,1,,,,,,,1.375,1,,,,,,,
Tyler Huntley,BLT,QB,4,4,4,1,2,0.5,0.75,-0.1286,4,5,1.25,1.25,5,No,No,1.3972,-0.0993,No,,,2.6,1.25,56.3,No,Yes,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,5,1,0.25,,,2.3,,0.6,0.5,,-2,0.25,,,,
Mason Rudolph,PIT,QB,6,6,6,1,6,1,1,0.2049,6,72,12,12,33,No,No,2.5443,-0.0907,No,,,3.0333,5.5,116.7,No,No,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,3.6,3.6,5,2,0.3333,,,3.1,,0.5417,0.8333,4,,,,,,
Aaron Rodgers,PIT,QB,52,52,52,0.7308,31,0.5962,0.6346,-0.1162,52,286,5.5,6.6538,389,No,Yes,22.8728,-0.0745,No,5,0.0962,3.125,7.4808,93.9,No,No,23.44,23.44,23.44,23.44,23.44,23.44,23.44,23.44,23.44,23.44,23.44,26.3,26.3,16,19,0.3654,0.2692,0.0192,2.7421,7,0.5664,0.5962,12,8,0.0385,3,,0.0192,
Baker Mayfield,TB,QB,84,84,84,0.7738,55,0.6548,0.6988,-0.0298,84,661,7.869,7.6905,711,Yes,No,35.7409,-0.0802,Yes,6,0.0714,3.0417,8.6071,98.4,No,Yes,47.44,47.44,47.44,47.44,47.44,50.44,50.44,44.44,44.44,44.44,44.44,54.05,51.05,17,29,0.3452,0.2024,0.0714,2.6793,4,0.4327,0.5952,29,14,0.0357,6,3,0.0476,
Dak Prescott,DAL,QB,115,115,115,0.8348,76,0.6609,0.7478,0.0441,115,962,8.3652,8.2348,1155,No,No,49.519,-0.0393,No,18,0.1565,3.0713,10.0435,98.5,No,No,59.48,59.48,59.48,59.48,59.48,62.48,62.48,56.48,56.48,56.48,56.48,69.1,66.1,17,45,0.3913,0.1391,0.0435,2.6089,7,0.4231,0.5565,41,142,0.087,6,3,0.0261,
Carson Wentz,MIN,QB,29,29,29,0.8621,23,0.7931,0.7931,0.0935,29,336,11.5862,10.7241,307,No,No,11.5615,-0.0194,No,6,0.2069,2.8862,10.5862,112.1,No,Yes,16.44,16.44,16.44,16.44,16.44,19.44,19.44,15.44,15.44,15.44,15.44,19.8,18.8,5,11,0.3793,0.1379,0.0345,2.5,2,0.5387,0.6207,13,,,1,1,0.0345,
