teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsInside20ReceivingTargetsTotal
10,Denver,Broncos,1,KC,AFC,AFC West,Closed,Open,Cover 4,17,197,No,No,No,874,154,No,23,Yes,48,0.3117,15,0.1762,1762,26,0.0909,0.0779,0.3571,0.4675,110,0.7143,2,0.013,11.4416,39.6,-8.3978,0.1688,22
6,Chicago,Bears,,GB,NFC,NFC North,Open,Open,Miscellaneous,17,167,No,No,No,748,125,No,18,No,40,0.32,18,0.1671,1619,20,0.08,0.096,0.256,0.568,87,0.696,2,0.016,12.952,39.6,-8.8043,0.16,27
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Open,Closed,Cover 1,17,151,No,Yes,No,647,115,Yes,19,Yes,33,0.287,14,0.1777,1357,15,0.1739,0.0957,0.2435,0.487,82,0.713,8,0.0696,11.8,39.6,-8.7339,0.1304,18
29,San Francisco,49ers,,ARZ,NFC,NFC West,Closed,Closed,Cover 1,17,167,No,Yes,No,737,133,No,34,No,58,0.4361,20,0.1805,1946,21,0.0526,0.0977,0.2782,0.5714,101,0.7594,3,0.0226,14.6316,39.6,-9.1023,0.1579,22
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2 Man,17,185,No,No,No,813,148,No,22,No,44,0.2973,25,0.182,1680,21,0.1081,0.0743,0.3581,0.4595,95,0.6419,8,0.0541,11.3514,39.6,-8.3355,0.1419,35
17,Los Angeles,Rams,1,SEA,NFC,NFC West,Open,Open,Cover 2 Man,17,175,No,No,No,771,134,No,24,No,45,0.3358,19,0.1738,1928,21,0.0522,0.0896,0.3358,0.5224,101,0.7537,2,0.0149,14.3881,39.6,-8.9071,0.1567,22
31,Tennessee,Titans,1,HST,AFC,AFC South,Open,Open,Cover 4,17,148,No,Yes,No,624,121,No,18,No,42,0.3471,15,0.1939,1540,25,0.0909,0.0826,0.2893,0.5207,96,0.7934,7,0.0579,12.7273,39.6,-8.7663,0.2066,21
22,New England,Patriots,1,BUF,AFC,AFC East,Open,Closed,Cover 1,17,180,No,Yes,No,795,143,No,24,No,56,0.3916,26,0.1799,2205,32,0.0699,0.0769,0.3776,0.4685,106,0.7413,3,0.021,15.4196,39.6,-9.323,0.2238,20
30,Tampa Bay,Buccaneers,1,NO,NFC,NFC South,Closed,Closed,Cover 3,17,205,No,Yes,Yes,854,153,No,29,Yes,63,0.4118,18,0.1792,2053,29,0.085,0.0784,0.2353,0.6013,116,0.7582,6,0.0392,13.4183,39.6,-9.0525,0.1895,17
20,Miami,Dolphins,,NYJ,AFC,AFC East,Open,Open,Cover 6,17,197,No,Yes,No,833,141,No,20,No,48,0.3404,19,0.1693,1567,29,0.156,0.1135,0.3262,0.4043,94,0.6667,5,0.0355,11.1135,39.6,-8.3519,0.2057,27
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Open,Closed,Cover 1,17,217,No,No,Yes,971,168,No,38,No,67,0.3988,28,0.173,2244,29,0.131,0.0476,0.2738,0.5476,120,0.7143,6,0.0357,13.3571,39.6,-8.9252,0.1726,31
12,Green Bay,Packers,1,CHI,NFC,NFC North,Open,Open,Miscellaneous,17,167,No,No,No,730,127,No,17,No,37,0.2913,12,0.174,1542,17,0.1417,0.063,0.315,0.4803,86,0.6772,6,0.0472,12.1417,39.6,-8.6364,0.1339,18
25,New York,Jets,1,MIA,AFC,AFC East,Open,Open,Cover 6,17,187,No,Yes,No,787,150,No,33,No,56,0.3733,24,0.1906,2049,26,0.0867,0.1067,0.2667,0.54,109,0.7267,8,0.0533,13.66,39.6,-8.6806,0.1733,31
18,Los Angeles,Chargers,,LV,AFC,AFC West,Closed,Open,Cover 0,17,183,No,No,Yes,816,142,No,32,No,53,0.3732,20,0.174,1858,23,0.1197,0.0915,0.2676,0.5211,110,0.7746,7,0.0493,13.0845,39.6,-8.8181,0.162,22
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Open,Closed,Cover 1,17,185,No,Yes,No,831,149,Yes,27,Yes,57,0.3826,19,0.1793,1961,27,0.094,0.1074,0.3289,0.4698,103,0.6913,4,0.0268,13.1611,39.6,-8.912,0.1812,24
13,Houston,Texans,,TEN,AFC,AFC South,Open,Open,Cover 4,17,209,No,Yes,No,927,175,No,28,No,57,0.3257,16,0.1888,2705,30,0.0914,0.0857,0.3371,0.48,130,0.7429,6,0.0343,15.4571,39.6,-9.3193,0.1714,18
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 3,17,211,No,Yes,Yes,886,158,No,34,Yes,59,0.3734,20,0.1783,2358,22,0.0886,0.0633,0.3861,0.462,118,0.7468,6,0.038,14.9241,39.6,-9.3302,0.1392,26
11,Detroit,Lions,1,MIN,NFC,NFC North,Open,Open,Cover 0,17,221,No,Yes,Yes,947,178,No,28,No,54,0.3034,31,0.188,2577,25,0.0337,0.1067,0.3427,0.5112,124,0.6966,3,0.0169,14.4775,39.6,-9.1192,0.1404,38
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 0,17,198,No,Yes,Yes,809,155,No,25,No,59,0.3806,19,0.1916,1958,32,0.0968,0.071,0.3613,0.471,125,0.8065,10,0.0645,12.6323,39.6,-8.8558,0.2065,23
19,Las Vegas,Raiders,1,LAC,AFC,AFC West,Closed,Open,Cover 0,17,181,No,No,Yes,724,133,No,34,No,60,0.4511,17,0.1837,1686,25,0.0827,0.0526,0.3308,0.5338,92,0.6917,4,0.0301,12.6767,39.6,-8.7497,0.188,21
