teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingReceptionsHero,opponentStatsReceivingTouchdownsInEndzone
27,Pittsburgh,Steelers,1,KC,AFC,AFC West,Open,Open,Cover 4,12,10,Yes,No,No,38,9,No,2,Yes,8,0.8889,0.2368,6,1,0.6667,61,22,3,104,1,1,1,0.1667,,0.4444,0.2222,0.3333,8,0.8889,11.5556,122.9,1.6053,6.7778,-0.3165,0.1111,10.1667,3.6667,0.5,3,3,2,1,0.1111,1,1
29,San Francisco,49ers,1,DET,NFC,NFC North,Open,Open,Cover 2,14,10,Yes,No,No,37,10,No,,Yes,7,0.7,0.2703,7,,0.7,76,54,15,60,2,,,,,0.8,0.2,,8,0.8,6,92.1,2.0541,7.6,0.3766,,10.8571,7.7143,2.1429,5,4,1,,,,1
6,Chicago,Bears,1,DET,NFC,NFC North,Open,Open,Goal Line,10,12,Yes,No,No,44,10,No,1,Yes,5,0.5,0.2273,4,1,0.4,60,22,7,112,,1,,,0.1,0.3,0.3,0.3,9,0.9,11.2,60.4,1.3636,6,-2.1649,0.1,15,5.5,1.75,2,1,,,,,
10,Denver,Broncos,1,KC,AFC,AFC West,Open,Open,Cover 4,14,10,Yes,No,No,36,9,No,,Yes,5,0.5556,0.25,4,,0.4444,57,16,4,61,,1,,,0.1111,0.3333,0.2222,0.3333,9,1,6.7778,25.9,1.5833,6.3333,-1.3029,0.1111,14.25,4,1,3,4,3,,,,
14,Indianapolis,Colts,,NYG,NFC,NFC East,Closed,Closed,Cover 1,11,9,Yes,No,No,34,8,No,,No,6,0.75,0.2353,6,,0.75,42,9,3,50,2,,,,,0.375,0.25,0.375,7,0.875,6.25,126,1.2353,5.25,-1.9544,,7,1.5,0.5,5,3,2,,,,2
17,Los Angeles,Rams,1,SEA,NFC,NFC West,Open,Open,Cover 2,15,11,Yes,No,No,44,9,No,2,Yes,9,1,0.2045,9,2,1,108,43,12,65,,,,,,0.4444,,0.4444,6,0.6667,7.2222,116.7,2.4545,12,4.6875,,12,4.7778,1.3333,8,,,,,,
22,New England,Patriots,1,BUF,AFC,AFC East,Open,Closed,Cover 1,14,12,Yes,Yes,No,40,10,No,1,Yes,8,0.8,0.25,7,,0.7,73,39,15,74,1,1,,,,0.4,0.3,0.3,7,0.7,7.4,124.2,1.825,7.3,-0.4681,0.1,10.4286,5.5714,2.1429,4,2,1,,,,1
30,Tampa Bay,Buccaneers,1,NO,NFC,NFC South,Closed,Open,Cover 0,7,8,Yes,No,Yes,32,7,No,1,No,6,0.8571,0.2188,6,1,0.8571,112,64,24,61,,,4,0.6667,0.1429,0.4286,,0.4286,5,0.7143,8.7143,118.8,3.5,16,8.3241,,18.6667,10.6667,4,4,,,,,,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2,12,16,Yes,No,No,66,14,No,2,Yes,13,0.9286,0.2121,13,2,0.9286,117,62,16,58,2,,1,0.0769,0.2143,0.3571,0.2143,0.2143,12,0.8571,4.1429,141.1,1.7727,8.3571,2.4137,,9,4.7692,1.2308,4,5,1,,,1,1
31,Tennessee,Titans,1,HST,AFC,AFC South,Open,Open,Cover 0,13,11,Yes,No,No,43,11,No,,No,6,0.5455,0.2558,5,,0.4545,65,35,28,72,,1,1,0.2,0.0909,0.1818,0.3636,0.3636,8,0.7273,6.5455,64.6,1.5116,5.9091,-1.3579,0.0909,13,7,5.6,4,3,1,,,,
