teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero
26,Philadelphia,Eagles,WAS,NFC,NFC East,Closed,Open,Cover 2,15,29,No,No,No,131,8,Yes,2,Yes,4,0.5,,0.0611,3,0.375,104,9,7,182,,,1,3,1,0.125,,0.25,0.625,,,22.75,85.4,0.7939,13,2.9238,0.125,34.6667,3,2.3333,3,,,1,1
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Open,Red Zone,15,38,No,Yes,No,179,12,No,1,Yes,8,0.6667,2,0.067,7,0.5833,86,39,21,108,1,1,,2,0.2857,0.0833,0.0833,0.5833,0.25,1,0.0833,9,108.3,0.4804,7.1667,-0.8633,,12.2857,5.5714,3,5,3,1,,1
7,Cincinnati,Bengals,PIT,AFC,AFC North,Open,Closed,Cover 1,17,50,No,Yes,No,236,18,No,2,No,12,0.6667,2,0.0763,12,0.6667,122,41,11,176,2,2,,,,0.0556,0.1111,0.4444,0.3333,,,9.7778,122.9,0.5169,6.7778,-1.7489,,10.1667,3.4167,0.9167,9,2,,2,
32,Washington,Commanders,DAL,NFC,NFC East,Open,Closed,Cover 1,17,42,No,Yes,Yes,194,15,No,2,No,8,0.5333,4,0.0773,6,0.4,82,10,1,201,,,2,,,0.0667,,0.4667,0.4667,1,0.0667,13.4,30.4,0.4227,5.4667,-3.3792,0.1333,13.6667,1.6667,0.1667,3,6,,2,
22,New England,Patriots,BUF,AFC,AFC East,Open,Open,Cover 4,17,30,No,Yes,No,139,11,No,1,Yes,6,0.5455,2,0.0791,4,0.3636,68,31,20,165,,,,1,0.25,0.1818,0.1818,0.3636,0.2727,1,0.0909,15,58.1,0.4892,6.1818,-2.9621,,17,7.75,5,3,2,1,,
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Open,Closed,Cover 3,17,33,No,Yes,No,143,4,No,,No,3,0.75,1,0.028,3,0.75,28,3,1,53,1,1,,,,,0.5,0.25,0.25,,,13.25,133.3,0.1958,7,-2.0686,,9.3333,1,0.3333,1,1,1,,1
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 4,16,30,No,Yes,No,143,11,No,3,No,7,0.6364,2,0.0769,7,0.6364,169,19,8,238,2,2,,,,,0.0909,0.1818,0.7273,1,0.0909,21.6364,107.2,1.1818,15.3636,4.7046,,24.1429,2.7143,1.1429,7,2,1,2,1
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 3,17,29,No,Yes,No,132,5,No,,No,3,0.6,1,0.0379,3,0.6,67,18,,110,1,1,,,,,0.2,0.2,0.6,,,22,143.8,0.5076,13.4,2.6718,,22.3333,6,,3,1,1,,
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 4,17,34,No,Yes,No,155,13,No,2,No,7,0.5385,2,0.0839,6,0.4615,112,24,8,205,,,,1,0.1667,,,0.3846,0.6154,1,0.0769,15.7692,76.4,0.7226,8.6154,-0.6449,,18.6667,4,1.3333,6,2,,1,1
14,Indianapolis,Colts,JAX,AFC,AFC South,Closed,Closed,Cover 1,17,40,No,Yes,Yes,182,13,No,,No,8,0.6154,1,0.0714,7,0.5385,147,59,23,222,,,,1,0.1429,0.1538,0.1538,0.4615,0.2308,,,17.0769,62,0.8077,11.3077,1.4773,,21,8.4286,3.2857,6,1,1,,
10,Denver,Broncos,KC,AFC,AFC West,Open,Open,Cover 2 Man,16,39,No,Yes,No,175,14,No,,No,11,0.7857,1,0.08,10,0.7143,175,47,12,165,1,1,,1,0.1,0.0714,0.0714,0.4286,0.4286,,,11.7857,137.5,1,12.5,3.9671,,17.5,4.7,1.2,9,3,1,,2
15,Jacksonville,Jaguars,IND,AFC,AFC South,Closed,Closed,Cover 1,16,38,No,Yes,Yes,181,12,No,2,No,11,0.9167,1,0.0663,9,0.75,101,14,5,123,1,1,1,,,0.25,0.0833,0.3333,0.3333,,,10.25,127.4,0.558,8.4167,-0.1003,0.0833,11.2222,1.5556,0.5556,6,2,,1,
18,Los Angeles,Chargers,LV,AFC,AFC West,Closed,Closed,Cover 1,17,48,Yes,Yes,No,224,12,No,1,No,7,0.5833,2,0.0536,7,0.5833,159,44,4,222,1,,,,,0.1667,0.25,0.25,0.3333,1,0.0833,18.5,130.6,0.7098,13.25,3.5714,,22.7143,6.2857,0.5714,6,1,,1,
25,New York,Jets,MIA,AFC,AFC East,Open,Closed,Cover 3,17,40,No,Yes,No,187,13,No,1,No,9,0.6923,3,0.0695,8,0.6154,127,14,3,216,1,1,1,,,0.2308,,0.3077,0.4615,1,0.0769,16.6154,119.7,0.6791,9.7692,0.7711,0.0769,15.875,1.75,0.375,6,4,1,1,
3,Baltimore,Ravens,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,38,No,Yes,No,176,8,No,1,No,6,0.75,1,0.0455,5,0.625,76,13,,103,,,,2,0.4,0.125,0.125,0.125,0.625,,,12.875,93.8,0.4318,9.5,1.5844,,15.2,2.6,,4,1,1,,1
12,Green Bay,Packers,CHI,NFC,NFC North,Closed,Closed,Cover 1,15,33,No,Yes,Yes,157,10,No,,No,7,0.7,,0.0637,5,0.5,31,5,2,106,,,1,,,0.4,,0.2,0.4,1,0.1,10.6,56.7,0.1975,3.1,-4.176,0.1,6.2,1,0.4,2,1,1,,
20,Miami,Dolphins,NYJ,AFC,AFC East,Open,Closed,Cover 3,17,23,No,Yes,No,98,4,No,1,No,2,0.5,1,0.0408,1,0.25,6,,,76,1,1,,,,0.25,,0.5,0.25,1,0.25,19,79.2,0.0612,1.5,-7.9326,,6,,,1,1,,,
9,Dallas,Cowboys,WAS,NFC,NFC East,Open,Closed,Cover 1,16,40,No,Yes,Yes,181,14,No,3,No,10,0.7143,1,0.0773,7,0.5,108,34,8,255,1,1,,,,,0.2143,0.2143,0.5714,2,0.1429,18.2143,99.7,0.5967,7.7143,-2.2208,,15.4286,4.8571,1.1429,5,1,1,,
19,Las Vegas,Raiders,LAC,AFC,AFC West,Closed,Closed,Cover 1,17,35,Yes,Yes,No,150,12,No,2,No,10,0.8333,2,0.08,9,0.75,172,59,1,164,3,2,,,,0.0833,,0.4167,0.5,,,13.6667,156.3,1.1467,14.3333,4.8227,,19.1111,6.5556,0.1111,8,2,1,1,
21,Minnesota,Vikings,DET,NFC,NFC North,Closed,Closed,Cover 3,17,31,Yes,Yes,No,128,12,No,1,No,6,0.5,2,0.0938,6,0.5,40,12,-2,138,1,1,,,,0.1667,0.0833,0.4167,0.3333,1,0.0833,11.5,50.7,0.3125,3.3333,-4.5065,,6.6667,2,-0.3333,3,2,,,
11,Detroit,Lions,MIN,NFC,NFC North,Closed,Closed,Cover 3,16,35,Yes,Yes,No,153,11,No,1,No,8,0.7273,,0.0719,8,0.7273,115,41,9,133,,,,,,0.2727,,0.4545,0.2727,1,0.0909,12.0909,106.3,0.7516,10.4545,1.7088,,14.375,5.125,1.125,5,1,1,1,1
23,New Orleans,Saints,TB,NFC,NFC South,Open,Closed,Cover 3,16,59,No,Yes,No,271,20,No,3,No,14,0.7,2,0.0738,14,0.7,262,122,11,251,3,2,,4,0.2857,0.05,0.1,0.4,0.4,3,0.15,12.55,131.3,0.9668,13.1,4.267,,18.7143,8.7143,0.7857,10,2,,3,
