"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","Boom%","Bust%"
"[object Object]","2024","Ben Wooldridge","Louisiana","291","72.57","0.237","29.24","0.096","58.77","50.3%","32.0%","17.6%"
"[object Object]","2024","Payton Thorne","Auburn","317","72.08","0.210","21.65","0.063","31.15","41.9%","27.0%","20.1%"
"[object Object]","2024","Gio Lopez","South Alabama","312","71.33","0.218","26.04","0.080","46.07","49.5%","28.1%","17.1%"
"[object Object]","2024","Athan Kaliakmanis","Rutgers","394","70.79","0.171","14.65","0.035","34.30","44.4%","30.4%","20.3%"
"[object Object]","2024","Jaylen Raynor","Arkansas State","421","70.47","0.156","11.06","0.024","-3.72","41.4%","24.6%","22.8%"
"[object Object]","2024","Darian Mensah","Tulane","288","69.48","0.228","23.42","0.077","79.76","50.2%","34.8%","18.7%"
"[object Object]","2024","Kaidon Salter","Liberty","261","68.82","0.246","32.67","0.117","1.07","42.1%","25.4%","21.8%"
"[object Object]","2024","Garrett Greene","West Virginia","315","68.66","0.206","23.81","0.071","35.64","43.7%","27.8%","17.7%"
"[object Object]","2024","CJ Bailey","NC State","302","67.46","0.207","17.49","0.054","5.28","46.3%","29.4%","24.5%"
"[object Object]","2024","Mikey Keene","Fresno State","393","65.84","0.157","8.37","0.020","8.79","43.7%","26.0%","22.2%"
"[object Object]","2024","Brady Cook","Missouri","321","64.94","0.188","19.75","0.057","48.48","43.2%","27.2%","18.8%"
"[object Object]","2024","Noah Fifita","Arizona","430","64.00","0.140","0.77","0.002","-6.34","43.0%","23.4%","23.1%"
"[object Object]","2024","Fernando Mendoza","California","351","62.48","0.162","12.22","0.032","37.76","47.7%","28.0%","19.7%"
"[object Object]","2024","Sawyer Robertson","Baylor","358","62.37","0.168","11.60","0.031","86.68","51.1%","33.3%","17.5%"
"[object Object]","2024","Hudson Card","Purdue","248","62.32","0.232","20.02","0.074","-55.82","39.8%","22.7%","29.0%"
"[object Object]","2024","Luke Altmyer","Illinois","347","61.67","0.163","4.03","0.011","37.32","44.7%","29.1%","21.7%"
"[object Object]","2024","Joey Aguilar","Appalachian State","388","60.34","0.150","9.13","0.023","37.85","43.3%","30.3%","21.6%"
"[object Object]","2024","Miller Moss","USC","362","58.77","0.158","11.99","0.032","30.22","47.6%","27.4%","21.2%"
"[object Object]","2024","Tucker Gleason","Toledo","385","58.17","0.146","5.45","0.014","18.72","45.2%","27.1%","21.6%"
"[object Object]","2024","Walker Eget","San Jose State","328","57.58","0.173","12.68","0.038","24.25","45.8%","29.2%","21.7%"
"[object Object]","2024","Braylon Braxton","Marshall","206","56.50","0.260","24.50","0.113","29.31","41.0%","25.3%","21.2%"
"[object Object]","2024","Maalik Murphy","Duke","421","55.90","0.129","0.11","0.000","-21.05","43.3%","23.3%","26.5%"
"[object Object]","2024","Ben Finley","Akron","387","55.84","0.136","-1.84","-0.004","-40.15","37.0%","22.9%","24.8%"
"[object Object]","2024","Hayden Wolff","Western Michigan","315","54.68","0.162","5.71","0.017","21.54","47.2%","30.0%","25.5%"
"[object Object]","2024","Hajj-Malik Williams","UNLV","252","54.44","0.194","7.86","0.028","5.66","42.0%","27.4%","24.6%"
"[object Object]","2024","Spencer Petras","Utah State","326","53.12","0.157","15.65","0.046","24.12","46.4%","24.0%","21.0%"
"[object Object]","2024","E.J. Warner","Rice","438","52.75","0.118","-8.48","-0.019","-49.43","38.9%","22.6%","19.7%"
"[object Object]","2024","Will Rogers III","Washington","311","49.70","0.151","5.07","0.015","30.08","51.2%","29.1%","19.4%"
"[object Object]","2024","Connor Bazelak","Bowling Green","402","49.35","0.115","-8.85","-0.021","55.10","47.9%","27.1%","16.6%"
"[object Object]","2024","Nicholas Vattiato","Middle Tennessee","417","49.00","0.110","-15.28","-0.034","-9.72","45.1%","25.1%","24.2%"
"[object Object]","2024","Ethan Vasko","Coastal Carolina","272","48.93","0.175","10.28","0.037","22.19","40.5%","26.5%","25.1%"
"[object Object]","2024","Brendan Sorsby","Cincinnati","388","48.91","0.120","-4.63","-0.011","33.83","49.0%","27.1%","17.7%"
"[object Object]","2024","Alonza Barnett III","James Madison","353","48.19","0.125","-1.20","-0.003","-8.39","42.2%","23.1%","22.3%"
"[object Object]","2024","Brett Gabbert","Miami OH","378","47.33","0.117","-16.87","-0.042","10.69","43.1%","26.4%","23.6%"
"[object Object]","2024","Brayden Schager","Hawaii","403","46.87","0.106","-16.41","-0.037","-61.00","39.5%","22.1%","24.8%"
"[object Object]","2024","Evan Simon","Temple","308","46.82","0.140","0.92","0.003","-50.67","36.4%","22.7%","26.6%"
"[object Object]","2024","Tyler Huff","Jacksonville State","293","46.23","0.148","2.94","0.009","42.18","44.7%","31.0%","24.0%"
"[object Object]","2024","Taisun Phommachanh","UMASS","233","46.08","0.179","10.18","0.040","-33.96","38.5%","24.5%","25.7%"
"[object Object]","2024","Michael Hawkins Jr.","Oklahoma","120","45.48","0.337","23.60","0.175","-41.18","38.5%","17.8%","28.9%"
"[object Object]","2024","Jack Lausch","Northwestern","296","43.96","0.138","-3.94","-0.012","-67.55","36.2%","20.1%","29.2%"
"[object Object]","2024","Jacolby Criswell","North Carolina","319","43.50","0.127","-1.90","-0.006","-5.16","40.9%","27.2%","23.7%"
"[object Object]","2024","Kyron Drones","Virginia Tech","224","43.50","0.182","8.32","0.035","-11.61","38.5%","23.0%","23.8%"
"[object Object]","2024","Eli Holstein","Pittsburgh","263","43.45","0.155","5.60","0.020","-5.97","44.5%","27.4%","22.8%"
"[object Object]","2024","Marcel Reed","Texas A&M","240","43.42","0.171","5.90","0.023","38.92","45.7%","27.6%","18.1%"
"[object Object]","2024","DJ Uiagalelei","Florida State","155","43.31","0.259","17.53","0.105","-18.23","35.3%","24.0%","26.3%"
"[object Object]","2024","Brayden Fowler-Nicolosi","Colorado State","379","43.26","0.111","-10.15","-0.026","2.58","42.2%","27.8%","24.9%"
"[object Object]","2024","Michael Van Buren Jr.","Mississippi State","256","42.40","0.150","2.03","0.007","-23.96","38.5%","25.8%","26.1%"
"[object Object]","2024","Gevani McCoy","Oregon State","203","42.38","0.194","14.53","0.067","-11.60","44.0%","22.9%","21.1%"
"[object Object]","2024","Dylan Raiola","Nebraska","410","42.18","0.097","-14.50","-0.033","-40.38","42.0%","23.6%","23.4%"
"[object Object]","2024","Alan Bowman","Oklahoma State","339","41.59","0.120","-2.09","-0.006","30.18","45.2%","27.4%","21.6%"
"[object Object]","2024","Hank Bachmeier","Wake Forest","357","41.37","0.105","-11.04","-0.028","-11.64","43.7%","25.1%","22.1%"
"[object Object]","2024","Nate Yarnell","Pittsburgh","167","40.15","0.218","16.49","0.090","-15.71","40.8%","26.6%","22.3%"
"[object Object]","2024","DJ Lagway","Florida","192","39.33","0.192","7.18","0.035","9.36","44.4%","26.3%","23.4%"
"[object Object]","2024","Davis Warren","Michigan","211","38.95","0.177","5.47","0.025","-32.14","42.3%","24.1%","24.1%"
"[object Object]","2024","Caden Veltkamp","Western Kentucky","389","38.81","0.094","-21.09","-0.051","53.20","48.4%","27.2%","22.2%"
"[object Object]","2024","Keyone Jenkins","FIU","304","37.73","0.118","-8.86","-0.028","22.53","45.6%","31.9%","23.4%"
"[object Object]","2024","JC French IV","Georgia Southern","410","37.44","0.086","-23.91","-0.055","-13.14","41.9%","25.2%","22.0%"
"[object Object]","2024","Jayden Maiava","USC","169","36.09","0.207","13.03","0.075","-9.92","47.7%","27.6%","24.1%"
"[object Object]","2024","Katin Houser","East Carolina","246","35.99","0.141","1.44","0.006","4.11","43.5%","27.5%","23.1%"
"[object Object]","2024","Ethan Hampton","Northern Illinois","247","35.75","0.138","2.01","0.008","-18.21","38.8%","26.2%","22.3%"
"[object Object]","2024","Braedyn Locke","Wisconsin","296","35.71","0.117","-6.55","-0.021","-38.69","38.9%","24.5%","24.8%"
"[object Object]","2024","Joe Fagnano","UCONN","206","35.60","0.169","8.26","0.039","37.90","44.5%","26.1%","19.9%"
"[object Object]","2024","Colton Joseph","Old Dominion","222","35.05","0.145","2.11","0.009","11.26","41.9%","25.3%","22.4%"
"[object Object]","2024","Ashton Daniels","Stanford","271","34.86","0.120","-6.16","-0.021","-23.83","44.0%","24.4%","22.0%"
"[object Object]","2024","Kaden Anderson","Wyoming","120","31.58","0.261","16.88","0.140","29.44","46.3%","32.2%","18.2%"
"[object Object]","2024","Demond Williams Jr.","Washington","105","31.02","0.246","8.99","0.071","21.06","44.4%","31.7%","20.6%"
"[object Object]","2024","Jackson Arnold","Oklahoma","246","30.97","0.110","-8.13","-0.029","-78.07","35.2%","19.6%","30.6%"
"[object Object]","2024","Cam Fancher","Florida Atlantic","212","30.57","0.129","-4.77","-0.020","-31.52","40.9%","27.8%","30.0%"
"[object Object]","2024","CJ Ogbonna","Buffalo","336","30.37","0.085","-17.35","-0.049","-31.93","39.2%","23.0%","26.3%"
"[object Object]","2024","Thomas Castellanos","Boston College","161","30.12","0.166","2.23","0.012","11.28","41.8%","30.2%","29.1%"
"[object Object]","2024","Brock Vandagriff","Kentucky","219","29.59","0.121","-4.53","-0.019","-40.02","38.1%","23.8%","25.8%"
"[object Object]","2024","Skyler Locklear","UTEP","233","27.49","0.111","-7.34","-0.030","-30.16","39.3%","20.2%","23.5%"
"[object Object]","2024","Grayson James","Boston College","166","27.45","0.154","2.39","0.013","3.37","41.6%","27.5%","28.1%"
"[object Object]","2024","Arch Manning","Texas","90","26.11","0.275","13.73","0.144","27.33","46.3%","32.6%","18.9%"
"[object Object]","2024","Bryson Daily","Army","103","25.74","0.241","10.34","0.097","30.94","41.1%","34.6%","26.2%"
"[object Object]","2024","Blake Horvath","Navy","139","25.22","0.169","1.01","0.007","36.65","44.3%","30.9%","21.5%"
"[object Object]","2024","Emmett Brown","San Jose State","217","24.10","0.106","-4.91","-0.022","11.46","46.3%","30.8%","17.6%"
"[object Object]","2024","Brock Glenn","Florida State","114","22.69","0.180","3.28","0.026","-40.01","29.4%","20.6%","27.0%"
"[object Object]","2024","Parker Navarro","Ohio","295","22.44","0.072","-23.59","-0.076","14.69","50.6%","27.6%","21.2%"
"[object Object]","2024","Kirk Francis","Tulsa","253","22.09","0.083","-11.82","-0.044","-50.88","37.1%","23.2%","26.2%"
"[object Object]","2024","Zach Gibson","Georgia State","151","22.05","0.134","-1.65","-0.010","8.72","47.6%","27.4%","22.0%"
"[object Object]","2024","Dylan Rizk","UCF","117","21.73","0.175","5.35","0.043","14.65","46.8%","31.5%","24.2%"
"[object Object]","2024","Matthew Caldwell","Troy","224","21.12","0.090","-9.64","-0.041","29.41","49.6%","29.5%","20.9%"
"[object Object]","2024","Danny O'Neil","San Diego State","329","21.03","0.059","-28.30","-0.079","-6.08","39.8%","24.6%","26.1%"
"[object Object]","2024","Kadin Semonza","Ball State","429","20.37","0.044","-41.11","-0.089","-25.53","43.1%","23.4%","23.2%"
"[object Object]","2024","Pierce Holley","Eastern Illinois","63","19.87","0.297","8.17","0.122","-19.80","38.8%","22.4%","31.3%"
"[object Object]","2024","Ben Gulbranson","Oregon State","128","19.77","0.149","2.67","0.020","12.84","45.1%","33.8%","22.6%"
"[object Object]","2024","Aaron Philo","Georgia Tech","74","19.44","0.263","10.27","0.139","6.09","41.9%","27.0%","28.4%"
"[object Object]","2024","Anthony Colandrea","Virginia","320","17.55","0.049","-30.67","-0.085","-70.92","36.2%","22.8%","25.1%"
"[object Object]","2024","Christian Veilleux","Georgia State","293","16.95","0.056","-21.73","-0.071","-18.85","39.5%","24.3%","24.0%"
"[object Object]","2024","Graham Mertz","Florida","94","16.69","0.170","1.32","0.014","14.37","54.1%","32.7%","17.3%"
"[object Object]","2024","Cade McNamara","Iowa","172","15.95","0.089","-10.81","-0.060","-23.54","42.5%","25.7%","26.3%"
"[object Object]","2024","Goose Crowder","Troy","63","15.89","0.237","5.66","0.085","28.16","52.2%","32.8%","11.9%"
"[object Object]","2024","Bryson Barnes","Utah State","126","14.74","0.111","-3.80","-0.029","-22.88","41.4%","24.1%","28.6%"
"[object Object]","2024","Nick Evers","UCONN","180","14.68","0.076","-11.15","-0.058","-48.05","35.4%","19.3%","24.5%"
"[object Object]","2024","TJ Finley","Western Kentucky","76","13.49","0.173","3.26","0.042","-7.13","41.0%","26.9%","19.2%"
"[object Object]","2024","Jake Garcia","East Carolina","182","13.48","0.069","-10.81","-0.055","-15.88","44.6%","25.1%","23.6%"
"[object Object]","2024","John Alan Richter","Toledo","67","13.15","0.180","2.65","0.036","6.23","39.7%","28.8%","20.5%"
"[object Object]","2024","Joe Labas","Central Michigan","160","12.79","0.076","-8.99","-0.054","-36.75","38.7%","22.0%","20.2%"
"[object Object]","2024","Blake Shapen","Mississippi State","108","12.69","0.107","-5.06","-0.043","9.17","47.9%","31.1%","21.8%"
"[object Object]","2024","Isaac Wilson","Utah","225","11.85","0.049","-21.47","-0.088","-45.11","37.0%","22.2%","30.0%"
"[object Object]","2024","Kasen Weisman","Florida Atlantic","73","11.72","0.156","1.55","0.021","-2.10","42.7%","30.7%","21.3%"
"[object Object]","2024","Bishop Davenport","South Alabama","79","11.65","0.142","-1.66","-0.020","17.16","46.3%","30.5%","19.5%"
"[object Object]","2024","Nathan Lamb","Western Illinois","58","11.38","0.178","0.50","0.008","-15.57","35.9%","20.3%","29.7%"
"[object Object]","2024","Stone Earle","Marshall","120","11.06","0.088","-7.07","-0.056","-18.04","36.5%","22.2%","24.6%"
"[object Object]","2024","Evan Bullock","Louisiana Tech","301","10.74","0.032","-33.11","-0.099","-22.90","42.5%","23.7%","24.6%"
"[object Object]","2024","Eli Sawyer","Southeastern Louisiana","58","10.72","0.170","2.71","0.043","-32.85","36.5%","20.6%","28.6%"
"[object Object]","2024","Daniel Richardson","Florida A&M","56","10.64","0.166","1.07","0.017","-1.62","35.9%","21.9%","21.9%"
"[object Object]","2024","Chandler Fields","Louisiana","87","10.61","0.117","-3.54","-0.039","32.72","52.7%","33.0%","13.2%"
"[object Object]","2024","Tyler Riddell","Gardner-Webb","68","10.38","0.144","0.31","0.004","-0.79","41.7%","26.4%","26.4%"
"[object Object]","2024","Tony Muskett","Virginia","76","10.36","0.123","-0.83","-0.010","-0.48","44.0%","21.4%","22.6%"
"[object Object]","2024","Cade McConnell","UTEP","71","10.16","0.134","-0.54","-0.007","-3.84","36.8%","21.1%","26.3%"
"[object Object]","2024","Micah Alejado","Hawaii","70","10.05","0.138","1.59","0.022","31.74","52.1%","28.8%","16.4%"
"[object Object]","2024","Mike Wright Jr.","Northwestern","67","9.52","0.142","0.51","0.008","-12.71","35.8%","17.9%","23.9%"
"[object Object]","2024","Jalen Kitna","UAB","316","9.37","0.028","-33.51","-0.099","-41.06","41.4%","24.6%","24.9%"
"[object Object]","2024","Cameron Rising","Utah","66","8.74","0.127","-0.42","-0.006","6.07","39.1%","27.5%","17.4%"
"[object Object]","2024","Tyler Van Dyke","Wisconsin","67","8.66","0.122","0.28","0.004","2.52","43.7%","23.9%","21.1%"
"[object Object]","2024","Jase Bauer","Sam Houston State","65","8.33","0.122","-1.83","-0.027","-15.13","38.2%","23.5%","27.9%"
"[object Object]","2024","MJ Morris","Maryland","61","7.12","0.103","-3.86","-0.056","-28.31","33.3%","20.3%","31.9%"
"[object Object]","2024","Davis Bryson","Kennesaw State","261","6.92","0.025","-32.22","-0.117","-65.68","35.1%","20.7%","27.9%"
"[object Object]","2024","Hunter Watson","Sam Houston State","280","6.37","0.021","-34.65","-0.113","-24.02","39.2%","23.9%","25.8%"
"[object Object]","2024","Gunner Stockton","Georgia","64","6.11","0.086","-6.17","-0.087","-8.89","43.7%","28.2%","25.4%"
"[object Object]","2024","Aiden Armenta","Louisiana-Monroe","190","5.90","0.028","-25.10","-0.121","-30.08","35.7%","24.2%","30.4%"
"[object Object]","2024","Josh Holst","Northern Illinois","111","5.62","0.048","-9.89","-0.085","-1.51","43.6%","20.5%","18.8%"
"[object Object]","2024","Ethan Crawford","Southern Mississippi","120","5.35","0.037","-14.53","-0.102","-72.87","26.6%","18.2%","39.2%"
"[object Object]","2024","Conner Weigman","Texas A&M","114","5.26","0.043","-13.06","-0.106","-5.57","41.5%","23.6%","19.5%"
"[object Object]","2024","Donovan Smith","Houston","133","5.06","0.034","-17.65","-0.118","-40.93","38.3%","19.5%","30.9%"
"[object Object]","2024","AJ Hairston","UMASS","73","4.76","0.060","-5.94","-0.075","-2.87","40.5%","22.8%","26.6%"
"[object Object]","2024","Trexler Ivey","Charlotte","59","4.47","0.073","-4.20","-0.069","-17.85","37.7%","21.3%","29.5%"
"[object Object]","2024","Forrest Brock","Temple","102","4.36","0.039","-10.75","-0.097","-47.42","32.4%","18.9%","35.1%"
"[object Object]","2024","Cole Snyder","Eastern Michigan","401","4.29","0.010","-47.53","-0.110","-31.00","40.4%","22.4%","22.4%"
"[object Object]","2024","Jack Turner","Louisiana Tech","76","3.59","0.045","-7.60","-0.096","-15.64","34.2%","21.5%","24.1%"
"[object Object]","2024","Bryce Archie","South Florida","289","3.21","0.010","-38.25","-0.123","-53.46","38.9%","22.2%","25.7%"
"[object Object]","2024","Drew Pyne","Missouri","82","3.02","0.035","-7.28","-0.085","-24.62","33.7%","15.1%","23.3%"
"[object Object]","2024","William Watson III","Virginia Tech","58","2.84","0.039","-8.38","-0.115","-21.81","38.4%","21.9%","34.2%"
"[object Object]","2024","Grayson McCall","NC State","80","2.60","0.031","-9.50","-0.113","-8.34","46.4%","28.6%","17.9%"
"[object Object]","2024","Zach Pyron","Georgia Tech","65","2.02","0.030","-6.97","-0.102","-13.39","38.2%","27.9%","27.9%"
"[object Object]","2024","Jacurri Brown","UCF","67","1.89","0.026","-9.70","-0.135","-23.05","33.3%","16.7%","27.8%"
"[object Object]","2024","Will Hammond","Texas Tech","57","1.65","0.028","-6.62","-0.112","7.77","50.8%","27.1%","20.3%"
"[object Object]","2024","Tate Rodemaker","Southern Mississippi","165","1.54","0.009","-27.39","-0.153","-48.61","33.5%","21.8%","31.8%"
"[object Object]","2024","Zeon Chriss","Houston","130","1.40","0.010","-23.08","-0.159","-50.26","35.9%","24.8%","33.1%"
"[object Object]","2024","Jacob Zeno","UAB","118","1.16","0.009","-16.04","-0.126","1.57","48.0%","26.0%","22.0%"
"[object Object]","2024","Byrum Brown","South Florida","132","1.02","0.007","-17.95","-0.121","-16.12","37.8%","20.9%","23.0%"
"[object Object]","2024","John Busha","Air Force","80","0.08","0.001","-11.37","-0.132","-27.70","30.2%","14.0%","34.9%"
"[object Object]","2024","Tyriq Starks","Florida Atlantic","63","-0.10","-0.001","-9.19","-0.135","6.56","42.6%","29.4%","25.0%"
"[object Object]","2024","Tyler Jefferson","Central Michigan","58","-0.13","-0.002","-12.48","-0.192","-30.90","30.8%","13.8%","29.2%"
"[object Object]","2024","Maealiuaki Smith","Oklahoma State","74","-0.40","-0.005","-10.19","-0.131","-18.68","39.7%","17.9%","28.2%"
"[object Object]","2024","Ryan Browne","Purdue","76","-4.37","-0.050","-19.67","-0.226","-19.31","36.8%","26.4%","33.3%"
"[object Object]","2024","Grant Wilson","Old Dominion","86","-4.73","-0.049","-17.40","-0.179","-23.07","32.0%","16.5%","25.8%"
"[object Object]","2024","KJ Jefferson","UCF","108","-5.64","-0.047","-20.38","-0.168","-3.89","45.5%","27.3%","27.3%"
"[object Object]","2024","Jadyn Glasser","Central Michigan","76","-5.75","-0.068","-18.28","-0.215","-33.91","36.5%","22.4%","27.1%"
"[object Object]","2024","Santino Marucci","New Mexico State","112","-9.01","-0.076","-27.55","-0.233","-40.27","32.2%","20.3%","30.5%"
"[object Object]","2024","Parker Awad","New Mexico State","162","-9.59","-0.053","-32.43","-0.180","-43.41","32.8%","22.8%","31.7%"
"[object Object]","2024","Max Brown","Charlotte","93","-10.54","-0.102","-26.34","-0.256","-42.67","32.0%","22.3%","33.0%"
"[object Object]","2024","Devin Kargman","Kent State","82","-10.84","-0.120","-24.29","-0.270","-20.03","37.8%","16.7%","28.9%"
"[object Object]","2024","Luke Kromenhoek","Florida State","84","-14.70","-0.135","-32.79","-0.301","-31.07","33.9%","21.1%","32.1%"
"[object Object]","2024","Evan Svoboda","Wyoming","225","-16.75","-0.067","-50.57","-0.201","-73.25","29.5%","20.7%","27.9%"
"[object Object]","2024","DeShawn Purdie","Charlotte","202","-17.05","-0.075","-50.41","-0.223","-21.37","36.7%","25.7%","28.8%"
"[object Object]","2024","Cooper Legas","Tulsa","161","-19.94","-0.115","-39.94","-0.230","-42.35","33.3%","24.7%","31.6%"
"[object Object]","2024","Tommy Ulatowski","Kent State","175","-32.04","-0.159","-64.03","-0.317","-50.68","30.7%","21.8%","31.7%"
