"Rank","Season","Player","Team","Pos.","Snaps","Rush Snaps","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","Positive%"
"[object Object]","2025","KT Seay","Delaware","S","839","362","6.53","0.018","-7.10","-0.020","40.1%"
"[object Object]","2025","Ian Foster","Southern Mississippi","CB","792","368","6.40","0.017","-6.15","-0.017","44.3%"
"[object Object]","2025","Blayne Myrick","South Alabama","LB","576","282","6.10","0.022","-4.64","-0.016","50.7%"
"[object Object]","2025","Kalib Fortner","Army","LB","779","406","5.73","0.014","-9.83","-0.024","49.0%"
"[object Object]","2025","Jayden Wilson","UTEP","LB","671","344","5.63","0.016","-5.88","-0.017","41.9%"
"[object Object]","2025","Jacob Fields","Louisiana Tech","S","732","290","5.62","0.019","-4.98","-0.017","37.2%"
"[object Object]","2025","Naeten Mitchell","New Mexico State","S","815","377","4.52","0.012","-8.59","-0.023","44.3%"
"[object Object]","2025","Chris Rodgers","Tulane","LB","745","310","3.50","0.011","-7.33","-0.024","45.2%"
"[object Object]","2025","Brendan Harrington","Georgia Southern","LB","778","390","3.32","0.009","-10.30","-0.026","52.8%"
"[object Object]","2025","Khmori House","North Carolina","S","744","342","3.07","0.009","-8.88","-0.026","46.8%"
"[object Object]","2025","Darius Malcolm Jr.","Wofford","CB","800","340","1.94","0.006","1.08","0.003","35.0%"
"[object Object]","2025","Antavious Fish","Sam Houston State","LB","732","343","1.00","0.003","-11.61","-0.034","47.2%"
"[object Object]","2025","Noah Avinger","Utah State","S","865","376","0.77","0.002","-11.65","-0.031","48.1%"
"[object Object]","2025","Jalen Rambert","Wofford","LB","638","278","-0.15","-0.001","-0.36","-0.001","34.9%"
"[object Object]","2025","Maximus Pulley","Wofford","S","722","324","-0.86","-0.003","-1.76","-0.005","33.0%"
"[object Object]","2025","Bronson Olevao Jr.","Utah State","LB","847","367","-2.11","-0.006","-14.20","-0.039","48.8%"
