"Rank","Season","Player","Team","Pos.","Pass Snaps","Pass Rushes","Points Saved","PS Per Rush","Points Above Avg","PAA Per Play","Positive%"
"[object Object]","2025","Kenyatta Jackson Jr.","Ohio State","DE","302","273","21.43","0.079","10.02","0.037","35.8%"
"[object Object]","2025","Martez Poynter","Toledo","DT","263","261","21.29","0.082","11.78","0.045","30.4%"
"[object Object]","2025","J'Mond Tapp","Southern Mississippi","DE","337","322","21.19","0.066","11.43","0.036","39.2%"
"[object Object]","2025","Jack Kelly","BYU","LB","372","101","21.18","0.210","17.80","0.176","9.7%"
"[object Object]","2025","Joshua Josephs","Tennessee","LB","200","164","21.05","0.128","16.25","0.099","41.0%"
"[object Object]","2025","Eddie Walls III","Houston","DE","414","405","20.83","0.051","6.27","0.015","42.2%"
"[object Object]","2025","Xavier Holmes","James Madison","DE","272","240","20.80","0.087","11.63","0.048","25.4%"
"[object Object]","2025","Yhonzae Pierre","Alabama","LB","340","229","20.40","0.089","12.07","0.053","30.7%"
"[object Object]","2025","Tunmise Adeleye","UNLV","DE","301","293","20.17","0.069","10.00","0.034","40.3%"
"[object Object]","2025","Taylor Wein","Oklahoma","DE","277","242","20.08","0.083","11.83","0.049","29.6%"
"[object Object]","2025","Darryl Peterson III","Wisconsin","DE","219","213","19.94","0.094","11.97","0.056","40.2%"
"[object Object]","2025","Anthony Smith","Minnesota","DE","375","369","19.93","0.054","6.32","0.017","44.3%"
"[object Object]","2025","Jay Crable","Ohio","DE","305","250","19.91","0.080","10.38","0.042","35.7%"
"[object Object]","2025","Isaac Terrell","Washington State","DE","220","217","19.74","0.091","11.35","0.052","38.3%"
"[object Object]","2025","Clay Patterson","Stanford","DT","255","255","19.49","0.076","11.20","0.044","47.5%"
"[object Object]","2025","Ethan Hassler","Arkansas State","DE","308","256","19.37","0.076","10.86","0.042","33.7%"
"[object Object]","2025","AJ Green","Louisville","DE","208","184","18.98","0.103","12.59","0.068","34.0%"
"[object Object]","2025","Tony Anyanwu","Rice","LB","346","295","18.95","0.064","8.49","0.029","35.5%"
"[object Object]","2025","Aidan Hubbard","Northwestern","DE","191","170","18.61","0.109","12.13","0.071","40.6%"
"[object Object]","2025","Trey White","San Diego State","DE","340","304","18.33","0.060","7.69","0.025","31.0%"
"[object Object]","2025","Cody Sigler","Arkansas State","DT","274","272","18.18","0.067","9.00","0.033","45.8%"
"[object Object]","2025","Cam'Ron Stewart","Temple","LB","139","135","18.09","0.134","13.45","0.100","48.9%"
"[object Object]","2025","Gabe Jacas","Illinois","LB","313","282","18.05","0.064","8.31","0.029","44.1%"
"[object Object]","2025","Cameron Robertson","SMU","LB","364","339","17.96","0.053","7.50","0.022","44.1%"
"[object Object]","2025","Bryan Thomas Jr.","South Carolina","DE","315","310","17.91","0.058","7.68","0.025","46.1%"
"[object Object]","2025","Keyron Crawford","Auburn","LB","331","218","17.70","0.081","10.57","0.048","28.4%"
"[object Object]","2025","William Echoles","Ole Miss","DT","394","392","17.23","0.044","3.84","0.010","43.7%"
"[object Object]","2025","Melkart Abou-Jaoude","North Carolina","DE","346","311","17.15","0.055","6.62","0.021","41.0%"
"[object Object]","2025","Myles Bradley","Bowling Green","DE","184","170","17.02","0.100","10.60","0.062","36.2%"
"[object Object]","2025","Braxton Fely","Boise State","DT","305","298","16.90","0.057","5.62","0.019","35.1%"
"[object Object]","2025","T.J. Parker","Clemson","DE","345","313","16.55","0.053","5.71","0.018","33.6%"
"[object Object]","2025","Karter Menz","Minnesota","LB","226","194","16.51","0.085","9.30","0.048","39.4%"
"[object Object]","2025","Boubacar Traore","Notre Dame","DE","282","266","16.23","0.061","7.65","0.029","39.2%"
"[object Object]","2025","CJ Nunnally IV","Purdue","LB","262","203","16.19","0.080","9.39","0.046","36.5%"
"[object Object]","2025","Dylan Labarbera","Nevada","LB","348","315","16.05","0.051","5.23","0.017","40.8%"
"[object Object]","2025","Drue Watts","Memphis","LB","401","99","15.92","0.161","12.85","0.130","9.2%"
"[object Object]","2025","Nuer Gatkuoth","Wake Forest","DE","232","194","15.92","0.082","9.55","0.049","30.2%"
"[object Object]","2025","Isaiah Smith","SMU","DE","456","405","15.87","0.039","3.63","0.009","42.3%"
"[object Object]","2025","Rodney McGraw","Western Michigan","LB","283","266","15.56","0.058","5.11","0.019","33.6%"
"[object Object]","2025","Harvey Dyson III","Tulane","LB","243","183","15.35","0.084","8.94","0.049","35.1%"
"[object Object]","2025","Zion Wilson","East Carolina","DT","263","261","15.21","0.058","6.34","0.024","41.1%"
"[object Object]","2025","Tyrique Tucker","Indiana","DT","360","349","15.17","0.043","0.53","0.002","36.4%"
"[object Object]","2025","Zach Durfee","Washington","LB","250","201","15.14","0.075","7.84","0.039","31.2%"
"[object Object]","2025","Dylan Stewart","South Carolina","DE","241","237","15.05","0.064","7.22","0.030","44.0%"
"[object Object]","2025","Princewill Umanmielen","Ole Miss","DE","288","250","15.03","0.060","6.54","0.026","36.0%"
"[object Object]","2025","Cam Rice","Maryland","DT","277","268","14.93","0.056","6.58","0.025","40.4%"
"[object Object]","2025","Donnie Smith","Troy","LB","252","211","14.85","0.070","7.37","0.035","31.6%"
"[object Object]","2025","Anto Saka","Northwestern","DE","204","189","14.84","0.078","7.62","0.040","48.0%"
"[object Object]","2025","Julien Laventure","Akron","DT","332","331","14.72","0.044","3.03","0.009","39.9%"
"[object Object]","2025","Landon Robinson","Navy","DT","344","343","14.59","0.043","2.33","0.007","45.9%"
"[object Object]","2025","Jack Bousum","Army","DE","289","287","14.56","0.051","3.40","0.012","44.1%"
"[object Object]","2025","Michael Kilbane","Northwestern","DE","249","245","14.52","0.059","5.06","0.021","45.6%"
"[object Object]","2025","Devean Deal","TCU","LB","407","334","14.32","0.043","3.19","0.010","37.3%"
"[object Object]","2025","Udoka Ezeani","UTEP","LB","301","203","14.23","0.070","7.73","0.038","28.9%"
"[object Object]","2025","De'Jon Benton","Hawaii","DT","295","292","14.14","0.048","3.57","0.012","35.8%"
"[object Object]","2025","Mikail Kamara","Indiana","DE","395","320","13.57","0.042","0.45","0.001","30.6%"
"[object Object]","2025","Damonte Smith","Middle Tennessee","DT","274","271","13.50","0.050","4.27","0.016","47.8%"
"[object Object]","2025","Elijah Hill","Kennesaw State","DE","194","193","13.46","0.070","7.06","0.037","42.1%"
"[object Object]","2025","Mac Harris","South Florida","LB","451","100","13.45","0.135","10.60","0.106","10.6%"
"[object Object]","2025","Brett Karhu","New Mexico","DE","325","304","13.44","0.044","2.34","0.008","41.9%"
"[object Object]","2025","Suntarine Perkins","Ole Miss","LB","418","172","13.43","0.078","7.70","0.045","16.7%"
"[object Object]","2025","Marquise Lightfoot","Miami FL","DE","211","156","13.41","0.086","7.66","0.049","23.9%"
"[object Object]","2025","Wesley Williams","Duke","DE","360","331","13.26","0.040","1.93","0.006","45.6%"
"[object Object]","2025","Jordan Lawson","Louisiana","DE","281","264","13.26","0.050","4.35","0.016","44.1%"
"[object Object]","2025","Prince Dorbah","Arizona State","DE","221","212","13.23","0.062","6.15","0.029","41.4%"
"[object Object]","2025","Zahir Mathis","Maryland","LB","246","228","13.16","0.058","5.98","0.026","41.1%"
"[object Object]","2025","Zeke Durham-Campbell","Coastal Carolina","DE","308","308","13.01","0.042","3.19","0.010","45.0%"
"[object Object]","2025","Nyjalik Kelly","UCF","DE","247","200","12.95","0.065","6.17","0.031","31.0%"
"[object Object]","2025","Elijah O'Neal","Arizona State","DE","266","261","12.85","0.049","4.15","0.016","45.3%"
"[object Object]","2025","Emmanuel Oybadejo","Jacksonville State","DE","349","338","12.83","0.038","1.20","0.004","42.3%"
"[object Object]","2025","Payton Zdroik","Air Force","DT","274","273","12.81","0.047","2.06","0.008","58.5%"
"[object Object]","2025","Jimmy Scott","Pittsburgh","DE","299","293","12.77","0.044","3.19","0.011","38.8%"
"[object Object]","2025","KD Johnson","UTEP","DT","403","399","12.76","0.032","-0.02","-0.000","44.8%"
"[object Object]","2025","Sifa Leota","Louisiana Tech","LB","368","151","12.74","0.084","7.72","0.051","13.0%"
"[object Object]","2025","Kam Franklin","Ole Miss","DT","349","345","12.73","0.037","0.81","0.002","42.3%"
"[object Object]","2025","Andrew Simpson","North Carolina","LB","379","127","12.67","0.100","8.45","0.067","12.9%"
"[object Object]","2025","Sebastian Cheeks","Wisconsin","LB","237","198","12.64","0.064","5.02","0.025","39.7%"
"[object Object]","2025","Williams Nwaneri","Nebraska","DE","232","226","12.58","0.056","4.21","0.019","41.4%"
"[object Object]","2025","Marco Notarainni","Boise State","LB","382","121","12.56","0.104","8.40","0.069","10.7%"
"[object Object]","2025","Vincent Anthony Jr.","Duke","DE","324","295","12.54","0.043","2.44","0.008","42.9%"
"[object Object]","2025","TJ Bush Jr.","California","DE","380","326","12.49","0.038","0.61","0.002","38.4%"
"[object Object]","2025","Niles King","San Diego State","DE","200","192","12.33","0.064","5.95","0.031","38.8%"
"[object Object]","2025","Bruno Dall","Akron","LB","310","213","12.29","0.058","4.60","0.022","29.7%"
"[object Object]","2025","Stephen Daley","Indiana","DE","322","315","12.24","0.039","-0.56","-0.002","40.1%"
"[object Object]","2025","Darris Smith","Missouri","LB","212","185","12.23","0.066","5.31","0.029","31.6%"
"[object Object]","2025","Bryce Young","Notre Dame","DE","198","191","12.22","0.064","5.89","0.031","32.3%"
"[object Object]","2025","Anthony Bynum","Middle Tennessee","LB","400","394","12.17","0.031","-1.63","-0.004","48.3%"
