"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","Boom%","Bust%"
"[object Object]","2025","Gabriel Benyard","Kennesaw State","WR","99","26.97","0.075","18.53","0.051","25.59","0.258","45.5%","29.3%","19.2%"
"[object Object]","2025","Eli Heidenreich","Navy","RB","80","26.48","0.147","21.64","0.120","49.40","0.617","55.0%","38.8%","11.3%"
"[object Object]","2025","Ted Hurst","Georgia State","WR","133","26.22","0.066","17.15","0.043","16.05","0.121","47.4%","27.8%","16.5%"
"[object Object]","2025","Eli Stowers","Vanderbilt","TE","85","26.13","0.089","18.48","0.063","39.27","0.462","57.6%","34.1%","7.1%"
"[object Object]","2025","Mario Craver","Texas A&M","WR","88","25.76","0.094","19.77","0.072","26.52","0.301","56.8%","29.5%","15.9%"
"[object Object]","2025","Cameron Dorner","North Texas","WR","74","25.54","0.083","17.88","0.058","51.88","0.701","70.3%","37.8%","6.8%"
"[object Object]","2025","Yamir Knight","SMU","WR","73","25.51","0.096","19.17","0.072","35.39","0.485","58.9%","28.8%","13.7%"
"[object Object]","2025","Dae'Quan Wright","Ole Miss","TE","65","25.29","0.090","18.29","0.065","15.24","0.234","52.3%","30.8%","16.9%"
"[object Object]","2025","Jordan Shipp","North Carolina","WR","82","25.15","0.076","15.99","0.048","28.36","0.346","54.9%","26.8%","11.0%"
"[object Object]","2025","Kam Perry","Miami OH","WR","96","25.04","0.074","15.19","0.045","24.45","0.255","38.5%","28.1%","14.6%"
"[object Object]","2025","Isaiah Sategna III","Oklahoma","WR","106","24.92","0.064","15.26","0.039","36.76","0.347","49.1%","27.4%","15.1%"
"[object Object]","2025","Trell Harris","Virginia","WR","83","24.54","0.070","16.52","0.047","38.67","0.466","60.2%","34.9%","12.0%"
"[object Object]","2025","Javen Nicholas","Charlotte","WR","87","24.04","0.068","14.81","0.042","8.56","0.098","44.8%","25.3%","27.6%"
"[object Object]","2025","Iverson Hooks","UAB","WR","111","23.68","0.068","15.46","0.045","35.26","0.318","54.1%","27.0%","13.5%"
"[object Object]","2025","Josh Cameron","Baylor","WR","107","23.54","0.052","14.28","0.031","18.70","0.175","52.3%","25.2%","20.6%"
"[object Object]","2025","Que'Sean Brown","Duke","WR","90","23.50","0.064","14.70","0.040","35.32","0.392","52.2%","32.2%","11.1%"
"[object Object]","2025","CJ Williams","Stanford","WR","99","23.37","0.061","13.46","0.035","27.46","0.277","52.5%","33.3%","18.2%"
"[object Object]","2025","Cyrus Allen","Cincinnati","WR","72","23.21","0.089","15.94","0.061","26.67","0.370","56.9%","27.8%","11.1%"
"[object Object]","2025","Wyatt Young","North Texas","WR","99","22.82","0.070","15.39","0.047","64.54","0.652","55.6%","34.3%","12.1%"
"[object Object]","2025","Carlos Hernandez","Wake Forest","WR","72","22.69","0.101","17.18","0.077","2.68","0.037","41.7%","22.2%","18.1%"
"[object Object]","2025","Tre Richardson","Vanderbilt","WR","75","22.42","0.068","13.62","0.041","33.57","0.448","53.3%","29.3%","10.7%"
"[object Object]","2025","Carnell Tate","Ohio State","WR","67","22.40","0.088","15.14","0.059","55.03","0.821","65.7%","38.8%","6.0%"
"[object Object]","2025","Junior Sherrill","Vanderbilt","WR","73","22.27","0.064","12.67","0.036","36.30","0.497","67.1%","37.0%","8.2%"
"[object Object]","2025","Chase Hendricks","Ohio","WR","111","22.17","0.060","12.58","0.034","41.25","0.372","56.8%","33.3%","15.3%"
"[object Object]","2025","Jordan Dwyer","TCU","WR","85","22.08","0.059","12.96","0.035","28.11","0.331","51.8%","27.1%","14.1%"
"[object Object]","2025","Braden Pegan","Utah State","WR","96","21.84","0.054","11.61","0.028","40.76","0.425","53.1%","30.2%","7.3%"
"[object Object]","2025","Hank Beatty","Illinois","WR","92","21.67","0.069","13.84","0.044","30.24","0.329","58.7%","29.3%","12.0%"
"[object Object]","2025","Jaden Bradley","UNLV","WR","99","21.60","0.063","12.70","0.037","35.89","0.362","51.5%","29.3%","11.1%"
"[object Object]","2025","Omar Cooper Jr.","Indiana","WR","94","21.57","0.066","13.34","0.041","49.43","0.526","58.5%","35.1%","11.7%"
"[object Object]","2025","Ja'Kobi Lane","USC","WR","76","21.10","0.078","14.75","0.055","39.19","0.516","57.9%","32.9%","9.2%"
"[object Object]","2025","Jordan Faison","Notre Dame","WR","65","20.78","0.082","14.38","0.057","32.01","0.492","66.2%","33.8%","7.7%"
"[object Object]","2025","Kole Wilson","Baylor","WR","77","20.67","0.066","14.18","0.045","5.52","0.072","49.4%","20.8%","19.5%"
"[object Object]","2025","Anthony Smith","East Carolina","WR","103","20.55","0.064","13.86","0.043","34.23","0.332","55.3%","31.1%","10.7%"
"[object Object]","2025","Lewis Bond","Boston College","WR","116","20.30","0.045","9.55","0.021","40.75","0.351","62.1%","29.3%","12.1%"
"[object Object]","2025","Beau Sparks","Texas State","WR","110","20.26","0.053","12.21","0.032","56.61","0.515","60.9%","30.9%","10.0%"
"[object Object]","2025","Zachariah Branch","Georgia","WR","99","20.19","0.066","13.93","0.045","45.45","0.459","50.5%","33.3%","9.1%"
"[object Object]","2025","Griffin Wilde","Northwestern","WR","112","19.76","0.056","10.30","0.029","24.88","0.222","56.3%","30.4%","16.1%"
"[object Object]","2025","Devin McCuin","UTSA","WR","97","19.72","0.069","13.47","0.047","19.57","0.202","56.7%","22.7%","16.5%"
"[object Object]","2025","Alex Perry","FIU","WR","96","19.12","0.054","10.58","0.030","31.60","0.329","50.0%","34.4%","15.6%"
"[object Object]","2025","Anthony Evans III","Mississippi State","WR","100","19.08","0.045","9.48","0.023","3.53","0.035","48.0%","23.0%","20.0%"
"[object Object]","2025","Elijah Sarratt","Indiana","WR","92","19.01","0.062","10.60","0.035","32.79","0.356","65.2%","34.8%","16.3%"
"[object Object]","2025","Kyre Duplessis","Delaware","WR","101","18.88","0.044","8.67","0.020","32.77","0.324","52.5%","26.7%","9.9%"
"[object Object]","2025","Shaleak Knotts","Maryland","WR","81","18.81","0.051","9.82","0.027","29.61","0.366","46.9%","24.7%","14.8%"
"[object Object]","2025","Dominique Henry","Florida Atlantic","WR","68","18.79","0.049","10.52","0.027","0.54","0.008","44.1%","25.0%","14.7%"
"[object Object]","2025","Dallen Bentley","Utah","TE","77","18.68","0.070","12.23","0.046","33.44","0.434","54.5%","29.9%","15.6%"
"[object Object]","2025","Tony Freeman","Washington State","WR","74","18.56","0.070","11.90","0.045","27.67","0.374","58.1%","25.7%","12.2%"
"[object Object]","2025","O'Mega Blake","Arkansas","WR","91","18.51","0.047","8.07","0.020","15.01","0.165","54.9%","27.5%","16.5%"
"[object Object]","2025","Marcus Sanders Jr.","Georgia Southern","WR","81","18.43","0.050","9.50","0.026","37.28","0.460","56.8%","34.6%","11.1%"
"[object Object]","2025","Na'eem Abdul-Rahim Gladding","Old Dominion","WR","89","18.35","0.059","10.88","0.035","22.62","0.254","52.8%","31.5%","12.4%"
"[object Object]","2025","Jordan Hudson","SMU","WR","92","18.28","0.057","10.93","0.034","16.92","0.184","52.2%","25.0%","19.6%"
"[object Object]","2025","Skyler Bell","UCONN","WR","144","18.04","0.047","9.52","0.025","52.75","0.366","55.6%","27.1%","12.5%"
"[object Object]","2025","Michael Trigg","Baylor","TE","88","17.99","0.068","12.21","0.046","15.73","0.179","50.0%","30.7%","17.0%"
"[object Object]","2025","Ja'Cory Thomas","Old Dominion","WR","72","17.80","0.068","11.56","0.044","20.36","0.283","50.0%","33.3%","15.3%"
"[object Object]","2025","Chase Roberts","BYU","WR","95","17.31","0.059","9.86","0.034","25.22","0.265","51.6%","33.7%","15.8%"
"[object Object]","2025","Marcel Williams","Akron","WR","73","17.22","0.062","10.54","0.038","23.99","0.329","57.5%","28.8%","11.0%"
"[object Object]","2025","Demarcus Lacey","Marshall","WR","95","17.20","0.063","11.24","0.041","22.04","0.232","51.6%","25.3%","21.1%"
"[object Object]","2025","Reed Harris","Boston College","WR","72","16.92","0.038","5.83","0.013","29.72","0.413","51.4%","31.9%","8.3%"
"[object Object]","2025","Cole Weaver","Miami OH","WR","75","16.84","0.045","5.73","0.015","24.33","0.324","56.0%","34.7%","10.7%"
"[object Object]","2025","Ayden Greene","Virginia Tech","WR","65","16.79","0.056","9.09","0.030","7.13","0.110","40.0%","26.2%","12.3%"
"[object Object]","2025","CJ Daniels","Miami FL","WR","68","16.64","0.063","9.59","0.036","25.45","0.374","60.3%","30.9%","10.3%"
"[object Object]","2025","Germie Bernard","Alabama","WR","108","16.27","0.037","4.36","0.010","19.37","0.179","49.1%","29.6%","21.3%"
"[object Object]","2025","Antonio Williams","Clemson","WR","73","16.24","0.067","11.14","0.046","26.16","0.358","56.2%","28.8%","16.4%"
"[object Object]","2025","Denzel Boston","Washington","WR","96","16.15","0.048","7.68","0.023","29.54","0.308","58.3%","30.2%","11.5%"
"[object Object]","2025","Keelan Marion","Miami FL","WR","82","16.03","0.050","7.44","0.023","32.27","0.394","56.1%","28.0%","13.4%"
"[object Object]","2025","Nick Marsh","Michigan State","WR","97","16.01","0.044","6.73","0.019","7.95","0.082","48.5%","21.6%","16.5%"
"[object Object]","2025","T.J. Moore","Clemson","WR","84","15.97","0.043","7.15","0.019","25.80","0.307","53.6%","25.0%","10.7%"
"[object Object]","2025","Barion Brown","LSU","WR","83","15.93","0.056","9.25","0.033","11.00","0.133","49.4%","20.5%","10.8%"
"[object Object]","2025","Devin Voisin","South Alabama","WR","105","15.82","0.056","10.54","0.037","17.15","0.163","44.8%","26.7%","9.5%"
"[object Object]","2025","Ian Strong","Rutgers","WR","86","15.75","0.046","7.41","0.022","25.32","0.294","57.0%","29.1%","7.0%"
"[object Object]","2025","Cameron Ross","Virginia","WR","80","15.44","0.051","8.41","0.028","16.75","0.209","45.0%","26.3%","15.0%"
"[object Object]","2025","Ryan Davis","Utah","WR","83","15.21","0.058","9.13","0.035","36.51","0.440","65.1%","27.7%","7.2%"
"[object Object]","2025","Keshaun Singleton","South Florida","WR","73","15.18","0.051","8.50","0.029","37.42","0.513","57.5%","34.2%","11.0%"
"[object Object]","2025","Omarion Miller","Colorado","WR","77","15.11","0.054","8.30","0.029","9.23","0.120","45.5%","29.9%","22.1%"
"[object Object]","2025","Deuce Alexander","Ole Miss","WR","71","15.07","0.051","7.75","0.026","16.51","0.232","53.5%","25.4%","15.5%"
"[object Object]","2025","Jaden Barnes","Appalachian State","WR","90","15.05","0.052","8.52","0.030","5.00","0.056","45.6%","23.3%","18.9%"
"[object Object]","2025","Jayce Brown","Kansas State","WR","69","15.05","0.064","8.53","0.036","23.05","0.334","42.0%","29.0%","11.6%"
"[object Object]","2025","Braylon Staley","Tennessee","WR","100","14.96","0.041","6.89","0.019","27.52","0.275","48.0%","22.0%","6.0%"
"[object Object]","2025","Carl Chester","Southern Mississippi","WR","66","14.84","0.040","5.88","0.016","0.70","0.011","42.4%","28.8%","18.2%"
"[object Object]","2025","Easton Messer","Florida Atlantic","WR","136","14.71","0.031","5.60","0.012","35.62","0.262","51.5%","27.2%","14.0%"
"[object Object]","2025","Terrance Carter Jr.","Texas Tech","TE","77","14.61","0.054","8.50","0.031","12.39","0.161","58.4%","31.2%","16.9%"
"[object Object]","2025","Kevin Coleman Jr.","Missouri","WR","85","14.60","0.047","7.39","0.024","29.91","0.352","56.5%","28.2%","9.4%"
"[object Object]","2025","Josh Meredith","Washington State","WR","90","14.36","0.044","5.67","0.017","16.15","0.179","51.1%","33.3%","18.9%"
"[object Object]","2025","Corey Rucker","Arkansas State","WR","131","14.23","0.029","2.95","0.006","17.37","0.133","45.0%","24.4%","17.6%"
"[object Object]","2025","Sean Wilson","Delaware","WR","98","14.19","0.038","5.27","0.014","31.71","0.324","53.1%","29.6%","9.2%"
"[object Object]","2025","Dalton Stroman","Appalachian State","WR","65","13.93","0.040","5.28","0.015","19.11","0.294","50.8%","32.3%","10.8%"
"[object Object]","2025","Pofele Ashlock","Hawaii","WR","118","13.92","0.028","1.44","0.003","28.78","0.244","47.5%","24.6%","10.2%"
"[object Object]","2025","Jacquon Gibson","UMASS","WR","102","13.77","0.050","6.37","0.023","-3.41","-0.033","45.1%","17.6%","17.6%"
"[object Object]","2025","Shelton Sampson Jr.","Louisiana","WR","71","13.65","0.056","6.86","0.028","16.55","0.233","42.3%","26.8%","16.9%"
"[object Object]","2025","Brady Boyd","Utah State","WR","95","13.64","0.032","2.38","0.006","16.38","0.172","43.2%","29.5%","14.7%"
"[object Object]","2025","Justin Joly","NC State","TE","69","13.61","0.053","6.85","0.026","10.59","0.153","56.5%","24.6%","13.0%"
"[object Object]","2025","Darrell Gill Jr.","Syracuse","WR","67","13.52","0.036","5.00","0.013","-11.89","-0.177","35.8%","29.9%","16.4%"
"[object Object]","2025","Michael Jackson III","Purdue","WR","81","13.45","0.039","5.24","0.015","12.28","0.152","58.0%","27.2%","12.3%"
"[object Object]","2025","Raphael Williams Jr.","Pittsburgh","WR","82","13.44","0.031","2.31","0.005","10.81","0.132","48.8%","29.3%","17.1%"
"[object Object]","2025","Keagan Johnson","New Mexico","WR","97","13.31","0.040","4.62","0.014","25.01","0.258","48.5%","27.8%","12.4%"
"[object Object]","2025","Kenny Johnson","Pittsburgh","WR","80","13.30","0.033","3.36","0.008","25.46","0.318","56.3%","35.0%","16.3%"
"[object Object]","2025","Trebor Pena","Penn State","WR","68","13.26","0.052","7.03","0.028","20.95","0.308","54.4%","27.9%","14.7%"
"[object Object]","2025","Christian Moss","Kennesaw State","WR","68","13.19","0.040","4.83","0.015","15.57","0.229","55.9%","27.9%","13.2%"
"[object Object]","2025","Reggie Virgil","Texas Tech","WR","93","13.15","0.031","3.97","0.010","19.79","0.213","47.3%","22.6%","10.8%"
"[object Object]","2025","Octavian Smith Jr.","Maryland","WR","78","13.10","0.032","2.99","0.007","0.50","0.006","41.0%","21.8%","16.7%"
"[object Object]","2025","DeJuan Williams","Maryland","RB","65","12.92","0.054","7.20","0.030","4.27","0.066","47.7%","20.0%","12.3%"
"[object Object]","2025","Donovan Faupel","New Mexico State","WR","101","12.75","0.036","4.08","0.012","13.61","0.135","48.5%","27.7%","15.8%"
"[object Object]","2025","Aaron Turner","Rice","WR","79","12.68","0.067","8.79","0.047","5.54","0.070","44.3%","21.5%","20.3%"
"[object Object]","2025","Chris Dawn Jr.","Texas State","WR","91","12.63","0.040","6.19","0.020","39.22","0.431","51.6%","31.9%","8.8%"
"[object Object]","2025","Anthony Brown-Stephens","Tulane","WR","66","12.60","0.049","5.86","0.023","21.40","0.324","54.5%","31.8%","9.1%"
"[object Object]","2025","RaRa Thomas","Troy","WR","73","12.49","0.043","4.96","0.017","19.47","0.267","45.2%","26.0%","17.8%"
"[object Object]","2025","Miles Coleman","North Texas","WR","66","12.48","0.064","7.94","0.041","16.97","0.257","51.5%","25.8%","15.2%"
"[object Object]","2025","Kwazi Gilmer","UCLA","WR","88","12.31","0.032","1.79","0.005","-4.08","-0.046","48.9%","20.5%","20.5%"
"[object Object]","2025","Sam Roush","Stanford","TE","83","12.29","0.032","2.29","0.006","-14.55","-0.175","44.6%","10.8%","15.7%"
"[object Object]","2025","Gavin Freeman","Oklahoma State","WR","71","11.96","0.050","6.15","0.026","5.23","0.074","49.3%","26.8%","11.3%"
"[object Object]","2025","Kenyon Sadiq","Oregon","TE","70","11.63","0.038","3.80","0.013","31.71","0.453","57.1%","32.9%","10.0%"
"[object Object]","2025","Gavin Harris","New Mexico State","TE","69","11.55","0.033","2.73","0.008","11.08","0.161","44.9%","23.2%","10.1%"
"[object Object]","2025","Jahmal Edrine","Virginia","WR","72","11.44","0.030","2.17","0.006","16.62","0.231","55.6%","26.4%","15.3%"
"[object Object]","2025","Nitro Tuggle","Purdue","WR","73","11.27","0.032","2.85","0.008","-5.47","-0.075","43.8%","27.4%","20.5%"
"[object Object]","2025","Tanner Koziol","Houston","TE","94","11.23","0.037","3.57","0.012","28.79","0.306","60.6%","29.8%","11.7%"
"[object Object]","2025","Dane Key","Nebraska","WR","65","11.12","0.038","3.50","0.012","16.53","0.254","52.3%","27.7%","12.3%"
"[object Object]","2025","Mike Matthews","Tennessee","WR","73","10.93","0.028","2.52","0.006","44.15","0.605","64.4%","34.2%","6.8%"
"[object Object]","2025","Caleb Douglas","Texas Tech","WR","97","10.79","0.026","1.45","0.004","31.95","0.329","47.4%","26.8%","15.5%"
"[object Object]","2025","Kenny Odom","UTEP","WR","103","10.72","0.034","3.33","0.011","-9.66","-0.094","33.0%","14.6%","18.4%"
"[object Object]","2025","Kris Hutson","Arizona","WR","93","10.55","0.033","2.49","0.008","39.79","0.428","53.8%","34.4%","8.6%"
"[object Object]","2025","Trond Grizzell","California","WR","86","10.47","0.024","-0.51","-0.001","21.54","0.250","51.2%","29.1%","11.6%"
"[object Object]","2025","Josiah Freeman","Fresno State","WR","88","10.30","0.036","2.80","0.010","3.62","0.041","43.2%","27.3%","19.3%"
"[object Object]","2025","Jordan Napier","San Diego State","WR","68","10.18","0.060","6.23","0.037","21.60","0.318","55.9%","30.9%","7.4%"
"[object Object]","2025","Jordyn Tyson","Arizona State","WR","100","10.02","0.036","4.17","0.015","20.53","0.205","53.0%","25.0%","19.0%"
"[object Object]","2025","Donaven McCulley","Michigan","WR","81","9.85","0.031","1.37","0.004","9.84","0.122","44.4%","28.4%","14.8%"
"[object Object]","2025","Chris Durr Jr.","Wyoming","WR","69","9.81","0.046","4.60","0.022","1.35","0.020","42.0%","23.2%","18.8%"
"[object Object]","2025","Eric Rivers","Georgia Tech","WR","68","9.75","0.036","3.10","0.011","27.73","0.408","50.0%","27.9%","4.4%"
"[object Object]","2025","Latrell Caples","Boise State","WR","92","9.60","0.025","0.26","0.001","4.15","0.045","47.8%","27.2%","17.4%"
"[object Object]","2025","Le'Meke Brockington","Minnesota","WR","67","9.50","0.034","1.98","0.007","15.56","0.232","52.2%","28.4%","14.9%"
"[object Object]","2025","Dash Luke","Missouri State","WR","70","9.39","0.028","0.32","0.001","5.06","0.072","47.1%","34.3%","15.7%"
"[object Object]","2025","Omari Kelly","Michigan State","WR","73","9.35","0.025","-0.10","-0.000","32.34","0.443","52.1%","27.4%","5.5%"
"[object Object]","2025","Cam Vaughn","West Virginia","WR","75","9.08","0.032","2.49","0.009","-23.10","-0.308","37.3%","18.7%","26.7%"
"[object Object]","2025","Duane Thomas Jr.","UCF","WR","74","8.87","0.032","2.36","0.009","11.80","0.160","50.0%","21.6%","17.6%"
"[object Object]","2025","Jayshon Platt","Florida Atlantic","WR","80","8.71","0.021","-0.24","-0.001","13.88","0.174","48.8%","28.7%","16.3%"
"[object Object]","2025","Myles Butler","Middle Tennessee","WR","78","8.52","0.026","0.33","0.001","4.36","0.056","55.1%","25.6%","17.9%"
"[object Object]","2025","Colin Chase","Temple","WR","66","8.25","0.024","-1.09","-0.003","9.34","0.142","48.5%","27.3%","19.7%"
"[object Object]","2025","Jaron Tibbs","Kansas State","WR","82","8.13","0.025","-0.80","-0.002","9.96","0.121","48.8%","22.0%","12.2%"
"[object Object]","2025","Leland Smith","San Jose State","WR","82","8.04","0.016","-4.16","-0.009","1.47","0.018","45.1%","26.8%","15.9%"
"[object Object]","2025","Cam Pickett","Kansas","WR","65","7.80","0.036","2.58","0.012","3.82","0.059","52.3%","33.8%","10.8%"
"[object Object]","2025","Elijah Metcalf","Southern Mississippi","WR","80","7.77","0.025","0.68","0.002","18.95","0.237","48.8%","27.5%","15.0%"
"[object Object]","2025","Emmanuel Henderson Jr.","Kansas","WR","72","7.70","0.025","-0.01","-0.000","24.93","0.346","51.4%","27.8%","11.1%"
"[object Object]","2025","TK King","New Mexico State","WR","64","7.66","0.034","2.51","0.011","12.65","0.198","53.1%","31.3%","12.5%"
"[object Object]","2025","Jacob De Jesus","California","WR","157","7.52","0.017","-2.92","-0.007","22.47","0.143","51.0%","26.1%","13.4%"
"[object Object]","2025","Israel Polk","Akron","WR","66","7.48","0.024","0.13","0.000","17.29","0.262","43.9%","28.8%","12.1%"
"[object Object]","2025","Jeremiah Franklin","Boston College","TE","76","7.19","0.023","-0.50","-0.002","2.07","0.027","52.6%","19.7%","11.8%"
"[object Object]","2025","Cam Coleman","Auburn","WR","89","7.18","0.019","-1.92","-0.005","14.47","0.163","51.7%","24.7%","6.7%"
"[object Object]","2025","Deion Burks","Oklahoma","WR","88","7.15","0.019","-2.39","-0.006","10.58","0.120","47.7%","25.0%","11.4%"
"[object Object]","2025","Danny Scudero","San Jose State","WR","162","6.95","0.014","-5.01","-0.010","3.49","0.022","41.4%","21.6%","18.5%"
"[object Object]","2025","David Wells Jr.","Oregon State","WR","75","6.83","0.022","-0.18","-0.001","3.33","0.044","41.3%","22.7%","13.3%"
"[object Object]","2025","Hunter Summers","Arkansas State","WR","77","6.72","0.018","-1.84","-0.005","9.26","0.120","53.2%","26.0%","15.6%"
"[object Object]","2025","Dorian Thomas","New Mexico","TE","82","6.58","0.023","-0.84","-0.003","-3.06","-0.037","45.1%","20.7%","13.4%"
"[object Object]","2025","Johntay Cook II","Syracuse","WR","76","6.11","0.019","-1.22","-0.004","4.75","0.062","44.7%","25.0%","18.4%"
"[object Object]","2025","Kyri Shoels","San Jose State","WR","94","5.95","0.014","-4.98","-0.011","12.84","0.137","55.3%","24.5%","13.8%"
"[object Object]","2025","K.D. Hutchinson","Western Kentucky","WR","85","5.83","0.022","0.39","0.002","1.85","0.022","52.9%","27.1%","16.5%"
"[object Object]","2025","Chauncy Cobb","Arkansas State","WR","95","5.64","0.013","-4.56","-0.010","16.67","0.175","56.8%","30.5%","17.9%"
"[object Object]","2025","Nahzae Cox","Middle Tennessee","WR","76","5.55","0.016","-3.02","-0.009","-1.49","-0.020","40.8%","21.1%","19.7%"
"[object Object]","2025","Romello Brinson","SMU","WR","70","4.92","0.014","-3.05","-0.009","7.84","0.112","47.1%","20.0%","15.7%"
"[object Object]","2025","Caullin Lacy","Louisville","WR","85","4.38","0.012","-4.38","-0.012","11.92","0.140","48.2%","16.5%","10.6%"
"[object Object]","2025","Asaad Waseem","Florida Atlantic","WR","89","4.23","0.012","-2.49","-0.007","16.52","0.186","50.6%","23.6%","14.6%"
"[object Object]","2025","Malik McClain","Arizona State","WR","72","4.17","0.010","-5.63","-0.014","-5.29","-0.073","37.5%","22.2%","22.2%"
"[object Object]","2025","Zion Booker","Tulsa","WR","67","3.70","0.016","-1.16","-0.005","4.42","0.066","52.2%","20.9%","10.4%"
"[object Object]","2025","Victor Snow","Buffalo","WR","91","3.64","0.008","-6.96","-0.016","33.20","0.365","49.5%","28.6%","12.1%"
"[object Object]","2025","Javon Robinson","Georgia State","WR","87","3.47","0.009","-5.05","-0.013","5.22","0.060","49.4%","20.7%","14.9%"
"[object Object]","2025","Eric Singleton Jr.","Auburn","WR","82","3.42","0.010","-4.41","-0.013","13.42","0.164","48.8%","18.3%","11.0%"
"[object Object]","2025","Ryan Wingo","Texas","WR","97","3.18","0.010","-4.26","-0.013","19.15","0.197","41.2%","24.7%","18.6%"
"[object Object]","2025","Ronnel Johnson","Missouri State","WR","65","3.15","0.010","-5.33","-0.017","2.00","0.031","46.2%","27.7%","18.5%"
"[object Object]","2025","Nyziah Hunter","Nebraska","WR","65","2.69","0.009","-4.61","-0.016","19.91","0.306","58.5%","24.6%","9.2%"
"[object Object]","2025","Ivory Aikens","Wofford","WR","66","2.54","0.013","2.08","0.011","7.42","0.112","37.9%","21.2%","16.7%"
"[object Object]","2025","Ashtyn Hawkins","Baylor","WR","85","2.38","0.006","-6.14","-0.015","-0.01","-0.000","45.9%","20.0%","10.6%"
"[object Object]","2025","Trent Walker","Oregon State","WR","108","2.06","0.005","-6.87","-0.018","1.20","0.011","49.1%","27.8%","16.7%"
"[object Object]","2025","Jalil Farooq","Maryland","WR","84","2.03","0.006","-6.03","-0.017","10.62","0.126","48.8%","21.4%","16.7%"
"[object Object]","2025","DT Sheffield","Rutgers","WR","74","1.96","0.005","-7.78","-0.019","26.05","0.352","54.1%","28.4%","14.9%"
"[object Object]","2025","Donovan Brown","San Diego State","WR","64","1.76","0.006","-5.01","-0.018","-12.98","-0.203","37.5%","23.4%","26.6%"
"[object Object]","2025","DJ Epps","Troy","WR","74","1.42","0.004","-7.74","-0.022","1.59","0.022","44.6%","25.7%","20.3%"
"[object Object]","2025","Ryan Coleman-Williams","Alabama","WR","77","0.52","0.001","-8.84","-0.025","16.01","0.208","49.4%","31.2%","15.6%"
"[object Object]","2025","Nik McMillan","Buffalo","WR","100","0.13","0.000","-10.40","-0.025","28.61","0.286","56.0%","27.0%","10.0%"
"[object Object]","2025","Dorian Fleming","Maryland","TE","67","-0.23","-0.001","-7.71","-0.025","-5.72","-0.085","37.3%","23.9%","19.4%"
"[object Object]","2025","Grady O'Neill","Sam Houston State","WR","65","-0.31","-0.001","-7.08","-0.027","-13.58","-0.209","40.0%","23.1%","24.6%"
