"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","Boom%","Bust%"
"[object Object]","2025","Hollywood Smothers","NC State","160","37.55","0.235","32.55","0.203","-1.12","-0.007","37.5%","11.9%","6.9%"
"[object Object]","2025","Anthony Colandrea","UNLV","128","36.34","0.284","29.18","0.228","1.71","0.013","50.8%","26.6%","22.7%"
"[object Object]","2025","Jordan Marshall","Michigan","150","36.04","0.240","31.16","0.208","21.35","0.142","48.7%","10.7%","4.7%"
"[object Object]","2025","Jai'Den Thomas","UNLV","148","35.11","0.237","29.25","0.198","33.75","0.228","55.4%","12.2%","7.4%"
"[object Object]","2025","Rayshon Luke","Fresno State","112","33.98","0.303","30.24","0.270","13.47","0.120","42.0%","12.5%","5.4%"
"[object Object]","2025","Diego Pavia","Vanderbilt","168","33.29","0.198","22.84","0.136","2.27","0.013","51.8%","20.8%","17.9%"
"[object Object]","2025","Raleek Brown","Arizona State","185","32.22","0.174","26.97","0.146","12.54","0.068","43.2%","10.3%","6.5%"
"[object Object]","2025","Wayshawn Parker","Utah","148","32.17","0.217","27.25","0.184","14.93","0.101","48.0%","11.5%","6.8%"
"[object Object]","2025","J'Koby Williams","Texas Tech","155","31.99","0.206","26.53","0.171","11.44","0.074","45.2%","14.2%","7.7%"
"[object Object]","2025","Jaylen Raynor","Arkansas State","154","31.91","0.206","25.40","0.164","-34.22","-0.222","42.2%","12.3%","25.3%"
"[object Object]","2025","Jamal Roberts","Missouri","124","31.67","0.255","27.55","0.222","16.94","0.137","52.4%","16.9%","6.5%"
"[object Object]","2025","Mark Fletcher Jr.","Miami FL","216","30.70","0.141","21.03","0.097","25.22","0.117","51.9%","14.4%","5.6%"
"[object Object]","2025","Chavon Wright","Northern Illinois","197","30.40","0.154","23.98","0.122","-10.08","-0.051","42.1%","12.7%","8.1%"
"[object Object]","2025","Devon Dampier","Utah","145","30.39","0.210","24.01","0.166","28.27","0.195","54.5%","20.7%","11.7%"
"[object Object]","2025","Chase Belcher","Kennesaw State","107","28.82","0.269","25.08","0.234","17.74","0.166","53.3%","14.0%","14.0%"
"[object Object]","2025","Cam Cook","Jacksonville State","296","27.99","0.095","18.39","0.062","20.77","0.070","49.0%","16.2%","11.1%"
"[object Object]","2025","DeSean Bishop","Tennessee","182","27.21","0.149","20.83","0.114","46.37","0.255","55.5%","18.1%","4.4%"
"[object Object]","2025","Wayne Knight","James Madison","206","26.95","0.131","18.97","0.092","37.78","0.183","49.0%","13.6%","6.3%"
"[object Object]","2025","Jackson Arnold","Auburn","112","26.81","0.239","21.53","0.192","-21.63","-0.193","43.8%","15.2%","31.3%"
"[object Object]","2025","Zevi Eckhaus","Washington State","114","26.33","0.231","20.57","0.180","-18.10","-0.159","43.0%","16.7%","15.8%"
"[object Object]","2025","Alonza Barnett III","James Madison","127","26.17","0.206","20.72","0.163","-7.59","-0.060","47.2%","18.9%","24.4%"
"[object Object]","2025","Trinidad Chambliss","Ole Miss","133","25.23","0.190","18.96","0.143","1.43","0.011","45.1%","18.0%","13.5%"
"[object Object]","2025","Sire Gaines","Boise State","162","25.21","0.156","20.07","0.124","12.23","0.076","51.9%","13.6%","6.2%"
"[object Object]","2025","Noah Whittington","Oregon","129","25.14","0.195","20.28","0.157","16.24","0.126","51.9%","10.1%","7.0%"
"[object Object]","2025","Tawee Walker","Cincinnati","120","25.02","0.208","20.87","0.174","17.01","0.142","54.2%","14.2%","4.2%"
"[object Object]","2025","Abu Sama III","Iowa State","141","24.72","0.175","20.57","0.146","-2.04","-0.014","45.4%","13.5%","10.6%"
"[object Object]","2025","Zach Palmer-Smith","Louisiana-Monroe","117","24.60","0.210","20.74","0.177","0.82","0.007","46.2%","12.0%","7.7%"
"[object Object]","2025","J'Mari Taylor","Virginia","222","23.10","0.104","16.48","0.074","13.77","0.062","45.0%","11.3%","9.0%"
"[object Object]","2025","Adam Mohammed","Washington","106","23.03","0.217","19.66","0.185","10.71","0.101","52.8%","9.4%","6.6%"
"[object Object]","2025","Robert Henry","UTSA","151","22.61","0.150","17.73","0.117","21.78","0.144","41.7%","14.6%","11.3%"
"[object Object]","2025","Brad Jackson","Texas State","173","22.30","0.129","12.54","0.072","1.24","0.007","42.2%","22.0%","17.3%"
"[object Object]","2025","Bear Bachmeier","BYU","146","21.99","0.151","14.98","0.103","-5.47","-0.037","46.6%","19.2%","16.4%"
"[object Object]","2025","Bam McReynolds","Louisiana-Monroe","123","21.84","0.178","17.37","0.141","-9.23","-0.075","35.8%","12.2%","11.4%"
"[object Object]","2025","Jonah Coleman","Washington","156","21.57","0.138","15.99","0.102","22.05","0.141","49.4%","12.8%","5.8%"
"[object Object]","2025","Noah Fifita","Arizona","114","20.79","0.182","14.81","0.130","-32.50","-0.285","41.2%","13.2%","28.9%"
"[object Object]","2025","Rashod Dubinion","Appalachian State","174","20.49","0.118","15.49","0.089","7.48","0.043","48.9%","10.9%","7.5%"
"[object Object]","2025","Jeffery Pittman","Southern Mississippi","156","20.45","0.131","15.49","0.099","3.13","0.020","45.5%","10.3%","7.1%"
"[object Object]","2025","Mark Gronowski","Iowa","130","20.04","0.154","12.97","0.100","10.56","0.081","51.5%","15.4%","15.4%"
"[object Object]","2025","Colton Joseph","Old Dominion","157","19.51","0.124","13.19","0.084","1.74","0.011","50.3%","22.9%","19.1%"
"[object Object]","2025","Justice Haynes","Michigan","121","19.51","0.161","15.41","0.127","26.85","0.222","52.1%","14.9%","9.1%"
"[object Object]","2025","Broc Lowry","Western Michigan","205","18.95","0.092","9.72","0.047","10.32","0.050","53.2%","16.6%","13.2%"
"[object Object]","2025","Quintrevion Wisner","Texas","131","18.95","0.145","14.62","0.112","-6.84","-0.052","44.3%","6.1%","6.9%"
"[object Object]","2025","Dontae McMillan","Eastern Michigan","177","18.81","0.106","13.24","0.075","16.97","0.096","46.9%","13.0%","6.8%"
"[object Object]","2025","Will Henderson III","UTSA","125","18.73","0.150","14.35","0.115","26.31","0.210","52.8%","16.0%","8.8%"
"[object Object]","2025","CharMar Brown","Miami FL","122","18.57","0.152","14.17","0.116","11.17","0.092","50.0%","9.0%","4.9%"
"[object Object]","2025","Bo Jackson","Ohio State","178","18.02","0.101","10.81","0.061","16.35","0.092","52.2%","12.4%","6.7%"
"[object Object]","2025","Jadarian Price","Notre Dame","113","17.48","0.155","13.80","0.122","4.83","0.043","50.4%","17.7%","11.5%"
"[object Object]","2025","Jordon Davison","Oregon","113","17.15","0.152","12.67","0.112","31.16","0.276","60.2%","18.6%","4.4%"
"[object Object]","2025","Lunch Winfield","Louisiana","153","16.72","0.109","9.62","0.063","-10.62","-0.069","41.8%","15.7%","17.0%"
"[object Object]","2025","Carlos Del Rio-Wilson","Marshall","161","16.24","0.101","9.46","0.059","-19.29","-0.120","44.1%","13.7%","17.4%"
"[object Object]","2025","Gunner Stockton","Georgia","129","16.19","0.126","7.40","0.057","-3.72","-0.029","47.3%","17.8%","18.6%"
"[object Object]","2025","Micah Ford","Stanford","144","15.67","0.109","11.06","0.077","-6.15","-0.043","40.3%","13.9%","6.3%"
"[object Object]","2025","Nate Frazier","Georgia","173","15.34","0.089","9.16","0.053","9.89","0.057","54.3%","9.8%","5.2%"
"[object Object]","2025","Mike Washington Jr.","Arkansas","168","15.20","0.090","9.80","0.058","10.31","0.061","47.0%","13.1%","10.7%"
"[object Object]","2025","Tommy Castellanos","Florida State","137","15.05","0.110","7.09","0.052","-12.23","-0.089","46.0%","18.2%","20.4%"
"[object Object]","2025","Telly Johnson Jr.","Northern Illinois","124","14.28","0.115","10.03","0.081","-3.40","-0.027","31.5%","9.7%","9.7%"
"[object Object]","2025","King Miller","USC","156","14.12","0.091","7.94","0.051","8.28","0.053","41.0%","12.8%","7.1%"
"[object Object]","2025","Cam Edwards","UCONN","209","14.02","0.067","6.49","0.031","33.41","0.160","52.2%","12.9%","5.3%"
"[object Object]","2025","Lucky Sutton","San Diego State","254","13.97","0.055","4.72","0.019","26.08","0.103","51.2%","11.0%","4.3%"
"[object Object]","2025","Jalon Daniels","Kansas","116","13.58","0.117","7.27","0.063","-7.21","-0.062","54.3%","19.0%","22.4%"
"[object Object]","2025","Shomari Lawrence","Missouri State","199","13.56","0.068","6.40","0.032","-10.58","-0.053","39.7%","10.1%","10.1%"
"[object Object]","2025","Kendrick Raphael","California","229","13.50","0.059","6.02","0.026","-8.67","-0.038","47.6%","9.6%","6.1%"
"[object Object]","2025","Coleman Bennett","Kennesaw State","159","12.87","0.081","7.06","0.044","4.73","0.030","44.0%","10.1%","5.7%"
"[object Object]","2025","Sedrick Alexander","Vanderbilt","105","12.49","0.119","8.72","0.083","15.93","0.152","46.7%","13.3%","7.6%"
"[object Object]","2025","Dylan Riley","Boise State","194","12.41","0.064","5.27","0.027","12.63","0.065","42.3%","10.8%","6.7%"
"[object Object]","2025","Blake Horvath","Navy","224","11.97","0.053","2.07","0.009","17.05","0.076","52.7%","17.9%","12.9%"
"[object Object]","2025","Clay Thevenin","Louisiana Tech","129","11.76","0.091","7.22","0.056","-3.28","-0.025","41.9%","12.4%","7.0%"
"[object Object]","2025","OJ Arnold","Georgia Southern","144","11.12","0.077","6.28","0.044","13.09","0.091","47.9%","11.8%","4.2%"
"[object Object]","2025","Kyron Drones","Virginia Tech","170","11.10","0.065","1.95","0.011","-24.46","-0.144","45.3%","15.9%","20.6%"
"[object Object]","2025","Adam Randall","Clemson","168","10.95","0.065","5.33","0.032","3.81","0.023","50.6%","9.5%","7.1%"
"[object Object]","2025","Angel Flores","Central Michigan","107","10.58","0.099","6.73","0.063","-2.44","-0.023","50.5%","15.9%","14.0%"
"[object Object]","2025","Jayden Scott","NC State","106","10.42","0.098","5.98","0.056","4.17","0.039","43.4%","4.7%","1.9%"
"[object Object]","2025","T.J. Harden","SMU","171","10.40","0.061","4.67","0.027","7.36","0.043","48.5%","9.9%","10.5%"
"[object Object]","2025","Evan Dickens","Liberty","229","10.36","0.045","3.15","0.014","30.56","0.133","48.0%","11.8%","5.7%"
"[object Object]","2025","Bishop Davenport","South Alabama","116","10.23","0.088","5.43","0.047","-27.26","-0.235","43.1%","24.1%","27.6%"
"[object Object]","2025","Kentrel Bullock","South Alabama","218","10.06","0.046","3.50","0.016","16.33","0.075","52.8%","9.6%","7.8%"
"[object Object]","2025","Daniel Hishaw Jr.","Kansas","123","9.78","0.079","5.90","0.048","-1.20","-0.010","48.0%","8.9%","6.5%"
"[object Object]","2025","Seth McGowan","Kentucky","165","9.75","0.059","4.67","0.028","2.16","0.013","49.1%","9.1%","4.2%"
"[object Object]","2025","Roman Hemby","Indiana","230","9.63","0.042","-0.68","-0.003","-0.45","-0.002","46.5%","7.8%","7.4%"
"[object Object]","2025","Cameron Dickey","Texas Tech","209","9.21","0.044","2.29","0.011","7.54","0.036","47.4%","13.4%","5.7%"
"[object Object]","2025","Joe Jackson","Kansas State","169","9.15","0.054","3.26","0.019","4.49","0.027","40.2%","11.8%","8.9%"
"[object Object]","2025","Ashten Emory","UTEP","119","8.85","0.074","4.98","0.042","-4.48","-0.038","42.0%","12.6%","10.1%"
"[object Object]","2025","Kirby Vorhees","Washington State","138","8.77","0.064","4.07","0.029","-10.84","-0.079","44.9%","8.0%","10.9%"
"[object Object]","2025","Alex Tecza","Navy","158","8.09","0.051","2.46","0.016","28.32","0.179","50.0%","13.9%","2.5%"
"[object Object]","2025","Amari Odom","Kennesaw State","120","7.95","0.066","1.87","0.016","-29.25","-0.244","38.3%","18.3%","22.5%"
"[object Object]","2025","Devin Roche","Old Dominion","111","7.90","0.071","3.71","0.033","3.86","0.035","48.6%","9.0%","5.4%"
"[object Object]","2025","Jeremy Payne","TCU","110","7.87","0.071","4.04","0.036","3.00","0.027","50.9%","10.9%","6.4%"
"[object Object]","2025","Conner Weigman","Houston","169","7.39","0.044","0.42","0.003","-13.81","-0.082","41.4%","16.0%","13.6%"
"[object Object]","2025","Ja'Kyrian Turner","Pittsburgh","138","7.17","0.052","2.45","0.018","8.11","0.059","43.5%","15.9%","9.4%"
"[object Object]","2025","Kaelon Black","Indiana","186","7.11","0.038","-1.50","-0.008","23.67","0.127","51.6%","14.5%","5.4%"
"[object Object]","2025","Gavin Sawchuk","Florida State","109","7.04","0.065","4.00","0.037","12.51","0.115","54.1%","9.2%","3.7%"
"[object Object]","2025","Rueben Owens II","Texas A&M","119","6.96","0.058","3.14","0.026","11.26","0.095","45.4%","16.0%","5.0%"
"[object Object]","2025","Haynes King","Georgia Tech","184","6.80","0.037","-0.42","-0.002","22.04","0.120","56.5%","14.1%","12.5%"
"[object Object]","2025","Devin Mockobee","Purdue","125","6.12","0.049","2.31","0.018","2.31","0.018","48.0%","12.8%","6.4%"
"[object Object]","2025","Miles Davis","Utah State","131","6.10","0.047","1.55","0.012","3.28","0.025","39.7%","11.5%","6.9%"
"[object Object]","2025","Jevon Jackson","UAB","167","5.81","0.035","0.62","0.004","5.65","0.034","45.5%","12.0%","8.4%"
"[object Object]","2025","Dominic Richardson","Tulsa","214","5.26","0.025","-0.96","-0.004","-9.28","-0.043","46.3%","9.3%","8.9%"
"[object Object]","2025","Dean Connors","Houston","199","4.41","0.022","-2.29","-0.012","-1.29","-0.006","44.7%","10.1%","8.0%"
"[object Object]","2025","Jeremiah Cobb","Auburn","175","4.07","0.023","-1.50","-0.009","8.17","0.047","50.3%","10.3%","6.9%"
"[object Object]","2025","Chase Jenkins","Rice","151","4.02","0.027","-1.99","-0.013","-40.94","-0.271","35.8%","13.2%","19.9%"
"[object Object]","2025","Marlon Gunn Jr.","East Carolina","113","3.93","0.035","-0.08","-0.001","12.99","0.115","49.6%","14.2%","8.0%"
"[object Object]","2025","Kejon Owens","FIU","212","3.47","0.016","-3.40","-0.016","29.81","0.141","45.3%","17.9%","9.0%"
"[object Object]","2025","Turbo Richard","Boston College","145","3.42","0.024","-1.22","-0.008","6.30","0.043","48.3%","10.3%","8.3%"
"[object Object]","2025","John Mateer","Oklahoma","150","3.37","0.022","-3.46","-0.023","-36.72","-0.245","39.3%","12.0%","22.7%"
"[object Object]","2025","Rodney Fields Jr.","Oklahoma State","122","3.16","0.026","-1.02","-0.008","-5.92","-0.049","43.4%","9.8%","9.0%"
"[object Object]","2025","Fluff Bothwell","Mississippi State","140","2.94","0.021","-1.83","-0.013","5.74","0.041","50.0%","9.3%","7.1%"
"[object Object]","2025","Landon Sims","Hawaii","122","2.83","0.023","-1.23","-0.010","-8.04","-0.066","45.1%","8.2%","9.0%"
"[object Object]","2025","Kamari Moulton","Iowa","170","2.79","0.016","-3.98","-0.023","21.62","0.127","54.1%","10.6%","3.5%"
"[object Object]","2025","Lincoln Pare","Texas State","210","2.24","0.011","-4.34","-0.021","33.38","0.159","53.3%","12.4%","6.2%"
"[object Object]","2025","Jordan Gant","Akron","212","1.93","0.009","-4.43","-0.021","1.96","0.009","47.6%","10.4%","7.1%"
"[object Object]","2025","Anderson Castle","Duke","115","1.75","0.015","-2.58","-0.022","15.69","0.136","53.0%","13.0%","8.7%"
"[object Object]","2025","Javin Gordon","Tulane","127","1.31","0.010","-3.64","-0.029","-12.83","-0.101","35.4%","4.7%","5.5%"
"[object Object]","2025","Avery Johnson","Kansas State","109","0.80","0.007","-4.79","-0.044","-7.25","-0.067","50.5%","17.4%","24.8%"
"[object Object]","2025","Jekail Middlebrook","Middle Tennessee","140","0.54","0.004","-3.97","-0.028","-6.96","-0.050","44.3%","11.4%","10.0%"
"[object Object]","2025","Kaden Feagin","Illinois","122","0.12","0.001","-4.07","-0.033","-2.89","-0.024","49.2%","9.0%","4.9%"
"[object Object]","2025","Keenan Phillips","South Alabama","126","-0.22","-0.002","-4.04","-0.032","-1.41","-0.011","39.7%","9.5%","4.0%"
"[object Object]","2025","Jalen Buckley","Western Michigan","178","-0.29","-0.002","-7.26","-0.041","6.08","0.034","47.8%","10.1%","7.9%"
"[object Object]","2025","Quinton Jackson","Rice","180","-0.37","-0.002","-6.91","-0.038","-0.89","-0.005","37.8%","11.1%","7.2%"
"[object Object]","2025","Davon Booth","Mississippi State","136","-0.43","-0.003","-4.21","-0.031","-9.03","-0.066","44.9%","10.3%","7.4%"
"[object Object]","2025","Trey Cornist","Central Michigan","105","-0.43","-0.004","-4.60","-0.044","-15.62","-0.149","37.1%","10.5%","9.5%"
"[object Object]","2025","Jay Ducker","Temple","157","-0.58","-0.004","-5.94","-0.038","12.75","0.081","49.0%","14.0%","5.1%"
"[object Object]","2025","Ismail Mahdi","Arizona","135","-0.98","-0.007","-5.56","-0.041","11.53","0.085","46.7%","12.6%","5.9%"
"[object Object]","2025","Liam Szarka","Air Force","189","-1.19","-0.006","-7.27","-0.038","33.12","0.175","54.5%","18.0%","8.5%"
"[object Object]","2025","Ihson Jackson-Anderson","Wofford","129","-2.27","-0.018","-2.62","-0.020","-11.44","-0.089","35.7%","7.8%","10.1%"
"[object Object]","2025","Darius Taylor","Minnesota","143","-2.70","-0.019","-9.01","-0.063","-5.43","-0.038","41.3%","10.5%","11.2%"
"[object Object]","2025","Owen Allen","Air Force","132","-2.90","-0.022","-6.92","-0.052","20.85","0.158","50.0%","12.1%","3.0%"
"[object Object]","2025","Caleb Komolafe","Northwestern","190","-2.93","-0.015","-10.01","-0.053","18.24","0.096","45.8%","14.2%","6.8%"
"[object Object]","2025","Duncan Brune","Ohio","120","-3.18","-0.027","-7.46","-0.062","5.15","0.043","39.2%","13.3%","5.0%"
"[object Object]","2025","Gerald Modest Jr.","Wofford","116","-3.58","-0.031","-3.93","-0.034","17.89","0.154","42.2%","17.2%","10.3%"
"[object Object]","2025","Jake Retzlaff","Tulane","129","-3.84","-0.030","-11.28","-0.087","2.29","0.018","48.1%","19.4%","20.2%"
"[object Object]","2025","Dante Dowdell","Kentucky","112","-3.91","-0.035","-7.52","-0.067","-8.38","-0.075","44.6%","5.4%","8.0%"
"[object Object]","2025","Ja'Vin Simpkins","Coastal Carolina","123","-4.04","-0.033","-8.53","-0.069","-4.32","-0.035","43.1%","10.6%","8.1%"
"[object Object]","2025","Tucker Kilcrease","Troy","116","-4.45","-0.038","-11.60","-0.100","-55.74","-0.480","33.6%","9.5%","29.3%"
"[object Object]","2025","Gavin Garcia","Kent State","145","-5.39","-0.037","-10.89","-0.075","-5.29","-0.036","44.8%","9.0%","7.6%"
"[object Object]","2025","Caleb Ramseur","Nevada","140","-5.39","-0.038","-10.51","-0.075","-4.13","-0.029","40.7%","13.6%","5.7%"
"[object Object]","2025","London Montgomery","East Carolina","156","-5.52","-0.035","-9.78","-0.063","15.16","0.097","48.7%","10.3%","1.3%"
"[object Object]","2025","Cole Tabb","Stanford","115","-5.83","-0.051","-9.63","-0.084","-11.62","-0.101","39.1%","7.0%","5.2%"
"[object Object]","2025","Caden Durham","LSU","111","-5.94","-0.054","-10.04","-0.090","-8.59","-0.077","39.6%","8.1%","10.8%"
"[object Object]","2025","Bryson Washington","Baylor","154","-5.99","-0.039","-10.08","-0.065","-8.38","-0.054","43.5%","13.0%","9.1%"
"[object Object]","2025","Austyn Dendy","Bowling Green","108","-6.16","-0.057","-9.90","-0.092","-0.74","-0.007","42.6%","13.0%","11.1%"
"[object Object]","2025","Nahree Biggins","Central Michigan","105","-6.19","-0.059","-9.95","-0.095","-4.04","-0.038","43.8%","12.4%","7.6%"
"[object Object]","2025","Yasin Willis","Syracuse","128","-7.05","-0.055","-10.96","-0.086","-3.26","-0.025","43.8%","14.1%","12.5%"
"[object Object]","2025","Zylan Perry","Louisiana","138","-7.34","-0.053","-12.26","-0.089","-2.67","-0.019","37.7%","10.1%","12.3%"
"[object Object]","2025","Nicholas Singleton","Penn State","123","-7.41","-0.060","-11.65","-0.095","17.81","0.145","48.8%","14.6%","5.7%"
"[object Object]","2025","Robby Ashford","Wake Forest","130","-7.67","-0.059","-15.31","-0.118","-1.69","-0.013","46.2%","18.5%","14.6%"
"[object Object]","2025","D.J. McKinney","New Mexico","111","-7.84","-0.071","-11.89","-0.107","5.46","0.049","43.2%","11.7%","9.0%"
"[object Object]","2025","Marvis Parrish","Western Kentucky","105","-7.86","-0.075","-11.51","-0.110","-7.89","-0.075","36.2%","6.7%","8.6%"
"[object Object]","2025","Jam Miller","Alabama","130","-7.89","-0.061","-12.14","-0.093","-9.93","-0.076","36.2%","9.2%","5.4%"
"[object Object]","2025","Harrison Waylee","Virginia","118","-8.34","-0.071","-12.86","-0.109","-2.33","-0.020","39.0%","9.3%","9.3%"
"[object Object]","2025","Kadarius Calloway","New Mexico State","115","-8.70","-0.076","-12.42","-0.108","-14.85","-0.129","37.4%","7.8%","7.0%"
"[object Object]","2025","JC French IV","Georgia Southern","133","-8.88","-0.067","-17.06","-0.128","-26.41","-0.199","39.8%","15.0%","24.8%"
"[object Object]","2025","Jordan Brunson","Miami OH","166","-8.92","-0.054","-15.33","-0.092","-4.20","-0.025","44.6%","10.8%","10.2%"
"[object Object]","2025","Ca'Lil Valentine","Illinois","131","-9.13","-0.070","-14.09","-0.108","-7.28","-0.056","49.6%","7.6%","12.2%"
"[object Object]","2025","Myles Montgomery","UCF","143","-9.69","-0.068","-14.35","-0.100","-3.52","-0.025","43.4%","12.6%","9.8%"
"[object Object]","2025","Anthony Hankerson","Oregon State","247","-9.82","-0.040","-17.39","-0.070","-13.67","-0.055","41.3%","6.9%","5.3%"
"[object Object]","2025","Damon Bankston","New Mexico","114","-10.62","-0.093","-15.04","-0.132","0.62","0.005","50.9%","10.5%","8.8%"
"[object Object]","2025","Chip Trayanum","Toledo","182","-11.34","-0.062","-18.12","-0.100","8.79","0.048","44.5%","10.4%","8.2%"
"[object Object]","2025","Nick Minicucci","Delaware","112","-11.48","-0.102","-15.96","-0.142","-26.34","-0.235","37.5%","15.2%","23.2%"
"[object Object]","2025","Devin Spencer","Arkansas State","107","-11.77","-0.110","-15.22","-0.142","-4.15","-0.039","49.5%","5.6%","3.7%"
"[object Object]","2025","Jamal Haynes","Georgia Tech","124","-12.19","-0.098","-16.71","-0.135","-10.42","-0.084","41.1%","4.0%","9.7%"
"[object Object]","2025","Jo Silver","Delaware","119","-12.71","-0.107","-16.94","-0.142","-4.70","-0.039","45.4%","11.8%","12.6%"
"[object Object]","2025","Bill Davis","Louisiana","158","-13.75","-0.087","-19.57","-0.124","-9.09","-0.058","40.5%","7.0%","11.4%"
"[object Object]","2025","Makhi Frazier","Michigan State","117","-13.82","-0.118","-17.84","-0.152","-16.72","-0.143","40.2%","6.0%","13.7%"
"[object Object]","2025","Tavierre Dunlap","Eastern Michigan","106","-14.37","-0.136","-17.81","-0.168","-4.88","-0.046","42.5%","8.5%","7.5%"
"[object Object]","2025","Demond Claiborne","Wake Forest","179","-14.66","-0.082","-20.66","-0.115","-22.37","-0.125","38.5%","8.9%","12.3%"
"[object Object]","2025","Will Nixon","Syracuse","107","-15.25","-0.143","-18.64","-0.174","-9.63","-0.090","44.9%","7.5%","8.4%"
"[object Object]","2025","Jaquari Lewis","Appalachian State","140","-16.89","-0.121","-21.95","-0.157","-5.59","-0.040","40.7%","9.3%","6.4%"
"[object Object]","2025","DeJuan Williams","Maryland","128","-17.34","-0.136","-21.61","-0.169","-20.57","-0.161","35.9%","7.0%","11.7%"
"[object Object]","2025","Carson Hansen","Iowa State","188","-17.37","-0.092","-23.49","-0.125","12.48","0.066","48.4%","6.9%","4.3%"
"[object Object]","2025","Blake Shapen","Mississippi State","111","-17.69","-0.159","-22.69","-0.204","-76.79","-0.692","26.1%","5.4%","34.2%"
"[object Object]","2025","Tory Blaylock","Oklahoma","119","-20.21","-0.170","-24.56","-0.206","-13.81","-0.116","40.3%","5.9%","10.1%"
"[object Object]","2025","Qua Ashley","Ball State","119","-20.55","-0.173","-25.18","-0.212","-20.79","-0.175","35.3%","6.7%","6.7%"
"[object Object]","2025","Viron Ellison Jr.","Delaware","118","-21.72","-0.184","-25.64","-0.217","-21.61","-0.183","42.4%","7.6%","12.7%"
"[object Object]","2025","Bryson Donelson","Fresno State","139","-21.75","-0.156","-26.96","-0.194","-20.30","-0.146","40.3%","6.5%","5.8%"
"[object Object]","2025","Tae Meadows","Troy","159","-23.64","-0.149","-29.12","-0.183","-11.76","-0.074","42.8%","8.8%","6.3%"
"[object Object]","2025","Kenyon Clay","Arkansas State","139","-26.48","-0.190","-31.30","-0.225","-19.90","-0.143","41.0%","7.9%","11.5%"
"[object Object]","2025","Al-Jay Henderson","Buffalo","180","-37.51","-0.208","-43.47","-0.241","-30.77","-0.171","41.1%","8.3%","12.8%"
"[object Object]","2025","Cale Hellums","Army","305","-37.84","-0.124","-51.41","-0.169","33.10","0.109","49.5%","16.1%","8.9%"
