"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","Boom%","Bust%"
"[object Object]","2024","LaNorris Sellers","South Carolina","166","25.43","0.153","17.54","0.106","-43.26","-0.261","43.4%","16.9%","24.1%"
"[object Object]","2024","Terion Stewart","Bowling Green","167","25.32","0.151","20.76","0.124","-11.63","-0.070","37.1%","15.0%","13.2%"
"[object Object]","2024","DJ Giddens","Kansas State","205","25.23","0.123","19.75","0.096","18.22","0.089","43.9%","19.0%","9.8%"
"[object Object]","2024","Dylan Sampson","Tennessee","258","24.90","0.097","19.39","0.075","27.93","0.108","50.8%","15.1%","8.5%"
"[object Object]","2024","Kalel Mullings","Michigan","185","24.05","0.130","19.12","0.103","28.09","0.152","49.7%","17.3%","8.6%"
"[object Object]","2024","Jordan James","Oregon","233","23.20","0.100","17.19","0.074","45.86","0.197","51.5%","20.2%","6.0%"
"[object Object]","2024","Jalen Milroe","Alabama","168","23.15","0.138","16.89","0.101","-34.79","-0.207","39.9%","25.6%","25.0%"
"[object Object]","2024","Eli Sanders","New Mexico","146","22.98","0.157","19.34","0.132","33.32","0.228","43.8%","21.2%","4.1%"
"[object Object]","2024","Durell Robinson","UCONN","107","22.88","0.214","20.86","0.195","23.58","0.220","49.5%","22.4%","5.6%"
"[object Object]","2024","Fluff Bothwell","South Alabama","111","22.77","0.205","20.21","0.182","31.86","0.287","48.6%","27.0%","9.9%"
"[object Object]","2024","Anthony Tyus III","Ohio","237","22.65","0.096","14.81","0.062","-5.84","-0.025","45.1%","13.1%","10.5%"
"[object Object]","2024","Floyd Chalk IV","San Jose State","153","22.31","0.146","17.75","0.116","-3.35","-0.022","39.2%","13.1%","11.1%"
"[object Object]","2024","Kentrel Bullock","South Alabama","152","22.13","0.146","17.70","0.116","8.11","0.053","47.4%","20.4%","13.8%"
"[object Object]","2024","Ja'Quinden Jackson","Arkansas","149","21.98","0.147","19.21","0.129","14.13","0.095","50.3%","20.1%","9.4%"
"[object Object]","2024","Taylen Green","Arkansas","154","21.58","0.140","14.77","0.096","-32.79","-0.213","44.2%","21.4%","28.6%"
"[object Object]","2024","Garrett Greene","West Virginia","134","21.45","0.160","15.60","0.116","-0.80","-0.006","44.8%","21.6%","18.7%"
"[object Object]","2024","Braydon Bennett","Coastal Carolina","134","21.34","0.159","17.38","0.130","12.77","0.095","43.3%","19.4%","10.4%"
"[object Object]","2024","LJ Martin","BYU","136","21.31","0.157","17.39","0.128","17.55","0.129","56.6%","19.9%","14.0%"
"[object Object]","2024","Keyon Mozee","Miami OH","178","21.17","0.119","14.43","0.081","16.25","0.091","42.1%","15.2%","8.4%"
"[object Object]","2024","Trevor Etienne","Georgia","122","20.89","0.171","16.98","0.139","11.95","0.098","48.4%","18.9%","9.8%"
"[object Object]","2024","Tahj Brooks","Texas Tech","287","20.72","0.072","15.15","0.053","21.68","0.076","47.0%","17.8%","9.8%"
"[object Object]","2024","Bryson Daily","Army","310","20.50","0.066","10.62","0.034","76.63","0.247","54.5%","24.8%","8.7%"
"[object Object]","2024","Jahiem White","West Virginia","148","20.08","0.136","16.30","0.110","8.21","0.055","42.6%","15.5%","8.8%"
"[object Object]","2024","Jaylen Raynor","Arkansas State","136","20.00","0.147","13.27","0.098","-49.25","-0.362","34.6%","16.2%","32.4%"
"[object Object]","2024","Anthony Hankerson","Oregon State","232","19.79","0.085","14.69","0.063","-1.05","-0.005","39.2%","16.4%","12.1%"
"[object Object]","2024","Zeon Chriss","Houston","114","19.64","0.172","14.18","0.124","-40.80","-0.358","34.2%","13.2%","29.8%"
"[object Object]","2024","Micah Bernard","Utah","198","19.43","0.098","13.68","0.069","4.71","0.024","39.9%","14.6%","10.1%"
"[object Object]","2024","Quinshon Judkins","Ohio State","193","18.92","0.098","11.63","0.060","13.56","0.070","40.4%","20.2%","9.8%"
"[object Object]","2024","Le'Veon Moss","Texas A&M","121","18.66","0.154","15.63","0.129","18.92","0.156","42.1%","19.8%","2.5%"
"[object Object]","2024","Damien Taylor","Troy","169","17.29","0.102","12.91","0.076","18.52","0.110","44.4%","19.5%","10.7%"
"[object Object]","2024","Avery Johnson","Kansas State","113","16.62","0.147","11.75","0.104","12.41","0.110","52.2%","27.4%","20.4%"
"[object Object]","2024","Jaxson Dart","Ole Miss","124","16.49","0.133","9.74","0.079","-20.56","-0.166","41.9%","20.2%","25.0%"
"[object Object]","2024","Caden Durham","LSU","140","15.62","0.112","11.85","0.085","9.42","0.067","39.3%","12.9%","9.3%"
"[object Object]","2024","Savion Red","Nevada","116","14.93","0.129","11.62","0.100","14.06","0.121","44.8%","19.8%","10.3%"
"[object Object]","2024","Darius Taylor","Minnesota","204","14.85","0.073","8.55","0.042","6.52","0.032","43.1%","16.2%","15.7%"
"[object Object]","2024","Devin Mockobee","Purdue","138","14.74","0.107","10.26","0.074","-14.95","-0.108","39.1%","13.0%","10.9%"
"[object Object]","2024","Lee Beebe Jr.","UAB","168","14.46","0.086","10.34","0.061","5.65","0.034","45.8%","11.3%","11.9%"
"[object Object]","2024","Colton Joseph","Old Dominion","114","14.12","0.124","9.27","0.081","-7.82","-0.069","46.5%","26.3%","24.6%"
"[object Object]","2024","Aaron Young","Old Dominion","171","13.84","0.081","9.50","0.056","16.29","0.095","43.3%","16.4%","7.6%"
"[object Object]","2024","Marion Lukes","Central Michigan","161","13.71","0.085","8.96","0.056","-2.29","-0.014","39.8%","19.3%","14.3%"
"[object Object]","2024","Kelley Joiner Jr.","South Florida","121","13.67","0.113","10.59","0.087","23.30","0.193","43.0%","19.8%","12.4%"
"[object Object]","2024","Sedrick Alexander","Vanderbilt","164","13.16","0.080","7.74","0.047","-12.85","-0.078","39.6%","9.8%","5.5%"
"[object Object]","2024","Ashton Daniels","Stanford","148","13.05","0.088","6.15","0.042","-25.20","-0.170","42.6%","16.2%","22.3%"
"[object Object]","2024","Freddie Brock","Georgia State","148","12.95","0.087","9.37","0.063","-2.67","-0.018","41.9%","11.5%","8.1%"
"[object Object]","2024","LeQuint Allen","Syracuse","228","12.87","0.056","7.60","0.033","-4.36","-0.019","39.9%","13.2%","6.6%"
"[object Object]","2024","Kay'Ron Lynch-Adams","Michigan State","133","12.62","0.095","8.95","0.067","-5.06","-0.038","42.9%","14.3%","12.8%"
"[object Object]","2024","Emmett Johnson","Nebraska","117","12.25","0.105","8.86","0.076","6.08","0.052","41.9%","15.4%","8.5%"
"[object Object]","2024","Quintrevion Wisner","Texas","226","12.04","0.053","4.09","0.018","1.87","0.008","45.6%","11.9%","9.3%"
"[object Object]","2024","Cartevious Norton","Charlotte","128","11.86","0.093","8.03","0.063","-16.05","-0.125","43.8%","10.2%","12.5%"
"[object Object]","2024","CJ Campbell Jr.","Florida Atlantic","166","11.68","0.070","7.47","0.045","0.52","0.003","38.0%","15.1%","10.8%"
"[object Object]","2024","Jaydon Blue","Texas","133","11.66","0.088","7.79","0.059","-5.68","-0.043","43.6%","14.3%","15.0%"
"[object Object]","2024","Rahjai Harris","East Carolina","206","11.55","0.056","5.41","0.026","24.98","0.121","46.6%","13.1%","9.2%"
"[object Object]","2024","Josh McCray","Illinois","117","11.52","0.098","7.81","0.067","3.21","0.027","48.7%","17.9%","12.0%"
"[object Object]","2024","Brayden Schager","Hawaii","137","11.17","0.082","3.68","0.027","-51.33","-0.375","39.4%","18.2%","33.6%"
"[object Object]","2024","Nicholas Singleton","Penn State","173","11.08","0.064","4.77","0.027","39.09","0.226","49.7%","19.1%","4.0%"
"[object Object]","2024","Dean Connors","Rice","159","11.08","0.070","6.95","0.044","2.78","0.018","40.3%","15.1%","9.4%"
"[object Object]","2024","Kaytron Allen","Penn State","219","10.86","0.050","2.68","0.012","2.93","0.013","47.9%","14.6%","11.0%"
"[object Object]","2024","Desmond Reid","Pittsburgh","168","10.84","0.065","5.65","0.034","2.53","0.015","38.7%","16.1%","11.3%"
"[object Object]","2024","Kaidon Salter","Liberty","114","10.64","0.093","6.11","0.054","-15.07","-0.132","51.8%","21.9%","25.4%"
"[object Object]","2024","Josh Williams","LSU","117","10.08","0.086","6.75","0.058","-1.62","-0.014","43.6%","12.8%","8.5%"
"[object Object]","2024","Alonza Barnett III","James Madison","137","9.74","0.071","4.75","0.035","-35.63","-0.260","40.1%","24.8%","30.7%"
"[object Object]","2024","Justice Ellison","Indiana","159","9.64","0.061","5.28","0.033","26.44","0.166","56.0%","16.4%","6.9%"
"[object Object]","2024","Johnnie Daniels","Mississippi State","108","9.62","0.089","6.98","0.065","3.16","0.029","38.0%","20.4%","10.2%"
"[object Object]","2024","Jackson Arnold","Oklahoma","150","8.78","0.059","1.89","0.013","-54.18","-0.361","36.7%","18.7%","30.0%"
"[object Object]","2024","Mark Fletcher Jr.","Miami FL","112","8.78","0.078","5.84","0.052","21.32","0.190","50.0%","18.8%","4.5%"
"[object Object]","2024","Nate Carter","Michigan State","116","8.60","0.074","5.36","0.046","-8.78","-0.076","36.2%","15.5%","15.5%"
"[object Object]","2024","Marquez Cooper","San Diego State","293","8.56","0.029","0.53","0.002","-19.25","-0.066","39.9%","12.3%","11.3%"
"[object Object]","2024","Dawson Pendergrass","Baylor","121","8.43","0.070","4.93","0.041","10.05","0.083","43.8%","17.4%","12.4%"
"[object Object]","2024","Woody Marks","USC","198","7.17","0.036","2.18","0.011","27.04","0.137","44.4%","17.2%","6.1%"
