"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","Boom%","Bust%"
"[object Object]","2025","Avery Johnson","Kansas State","341","93.90","0.265","39.67","0.112","5.95","41.8%","22.3%","17.2%"
"[object Object]","2025","Cade Klubnik","Clemson","392","92.52","0.226","34.78","0.085","23.94","46.0%","20.8%","16.4%"
"[object Object]","2025","Devon Dampier","Utah","333","92.12","0.268","46.03","0.134","79.16","50.9%","25.9%","16.0%"
"[object Object]","2025","Gunner Stockton","Georgia","386","91.96","0.228","31.95","0.079","77.99","49.4%","24.8%","13.2%"
"[object Object]","2025","Jalon Daniels","Kansas","319","91.07","0.269","39.22","0.116","17.31","46.4%","25.4%","17.5%"
"[object Object]","2025","Bear Bachmeier","BYU","387","87.92","0.218","26.59","0.066","36.51","47.6%","24.3%","16.1%"
"[object Object]","2025","Kevin Jennings","SMU","455","87.31","0.184","19.82","0.042","35.49","46.4%","21.7%","17.7%"
"[object Object]","2025","Micah Alejado","Hawaii","430","87.22","0.192","23.03","0.051","44.49","46.4%","21.8%","16.5%"
"[object Object]","2025","Ryan Browne","Purdue","338","86.20","0.244","34.16","0.097","-39.23","42.8%","20.7%","17.3%"
"[object Object]","2025","Tommy Castellanos","Florida State","310","85.10","0.259","37.72","0.115","32.08","42.9%","24.6%","18.2%"
"[object Object]","2025","Taylen Green","Arkansas","326","85.03","0.241","31.17","0.088","12.39","46.7%","26.3%","19.0%"
"[object Object]","2025","Caden Veltkamp","Florida Atlantic","512","84.08","0.157","21.32","0.040","16.92","44.8%","22.7%","18.0%"
"[object Object]","2025","Mason Heintschel","Pittsburgh","316","83.79","0.239","33.44","0.096","-8.05","44.6%","24.6%","21.7%"
"[object Object]","2025","John Mateer","Oklahoma","398","83.35","0.197","21.27","0.050","0.29","44.6%","20.8%","18.4%"
"[object Object]","2025","Josh Hoover","TCU","413","82.24","0.191","23.46","0.054","82.04","49.2%","25.5%","16.7%"
"[object Object]","2025","Jaylen Raynor","Arkansas State","502","81.19","0.152","11.15","0.021","-7.64","47.2%","21.0%","21.0%"
"[object Object]","2025","CJ Bailey","NC State","397","80.14","0.191","16.27","0.039","51.24","47.9%","25.2%","16.9%"
"[object Object]","2025","Braylon Braxton","Southern Mississippi","399","79.78","0.190","21.01","0.050","18.58","42.2%","23.6%","18.9%"
"[object Object]","2025","CJ Carr","Notre Dame","293","79.62","0.261","35.47","0.116","78.37","51.8%","32.1%","14.4%"
"[object Object]","2025","Nick Minicucci","Delaware","511","79.15","0.147","9.29","0.017","37.50","46.8%","22.5%","14.9%"
"[object Object]","2025","Drake Lindsey","Minnesota","389","75.27","0.183","10.85","0.026","-9.86","42.3%","19.7%","17.0%"
"[object Object]","2025","Marcel Reed","Texas A&M","377","75.00","0.190","14.63","0.037","31.73","50.0%","23.9%","16.5%"
"[object Object]","2025","Bryce Underwood","Michigan","335","72.85","0.205","15.78","0.044","14.45","46.8%","24.8%","19.2%"
"[object Object]","2025","Alonza Barnett III","James Madison","370","72.80","0.187","19.36","0.050","21.43","44.9%","24.6%","21.3%"
"[object Object]","2025","Mark Gronowski","Iowa","263","71.05","0.254","25.96","0.093","-16.23","40.7%","24.6%","22.1%"
"[object Object]","2025","Kaidon Salter","Colorado","204","70.03","0.314","33.84","0.152","-12.30","42.6%","21.1%","22.9%"
"[object Object]","2025","Katin Houser","East Carolina","408","68.90","0.163","18.87","0.045","73.72","50.5%","25.8%","17.8%"
"[object Object]","2025","Sawyer Robertson","Baylor","504","68.16","0.130","4.22","0.008","-6.69","45.4%","20.9%","18.3%"
"[object Object]","2025","Athan Kaliakmanis","Rutgers","368","67.75","0.167","12.58","0.031","39.16","50.2%","26.8%","18.2%"
"[object Object]","2025","Noah Kim","Eastern Michigan","402","66.21","0.160","6.93","0.017","9.12","44.6%","19.6%","16.0%"
"[object Object]","2025","Luke Altmyer","Illinois","365","65.62","0.165","4.40","0.011","45.75","50.0%","25.9%","16.8%"
"[object Object]","2025","Conner Weigman","Houston","355","62.55","0.167","11.03","0.029","26.32","47.2%","25.1%","17.9%"
"[object Object]","2025","Jack Layne","New Mexico","326","62.34","0.174","5.86","0.016","-6.75","42.6%","20.6%","18.9%"
"[object Object]","2025","Cameran Brown","Georgia State","185","62.08","0.325","36.33","0.190","16.64","46.1%","24.1%","17.3%"
"[object Object]","2025","Maddux Madsen","Boise State","302","61.73","0.194","17.58","0.055","29.20","45.5%","27.6%","17.2%"
"[object Object]","2025","Dequan Finn","Miami OH","179","60.56","0.319","27.65","0.146","11.62","46.8%","24.7%","18.4%"
"[object Object]","2025","Baylor Hayes","Tulsa","315","60.43","0.178","17.79","0.052","-11.41","40.7%","22.1%","20.4%"
"[object Object]","2025","Gio Lopez","North Carolina","261","58.03","0.206","11.13","0.039","-32.21","42.6%","19.9%","20.9%"
"[object Object]","2025","Carlos Del Rio-Wilson","Marshall","256","57.50","0.215","21.51","0.081","61.43","50.6%","26.2%","15.7%"
"[object Object]","2025","Dylan Raiola","Nebraska","250","57.11","0.206","16.88","0.061","19.33","47.7%","23.1%","18.4%"
"[object Object]","2025","Owen McCown","UTSA","410","56.49","0.132","-2.21","-0.005","9.75","46.4%","22.4%","17.0%"
"[object Object]","2025","Caden Creel","Jacksonville State","211","54.40","0.237","17.36","0.075","-21.25","40.9%","19.6%","23.0%"
"[object Object]","2025","Nicholas Vattiato","Middle Tennessee","356","53.98","0.144","0.13","0.000","-32.76","44.9%","18.7%","19.0%"
"[object Object]","2025","Jalen Kitna","UAB","336","53.66","0.151","8.20","0.023","12.79","44.2%","22.0%","19.4%"
"[object Object]","2025","Evan Simon","Temple","314","53.00","0.160","2.50","0.008","36.50","46.5%","26.9%","18.1%"
"[object Object]","2025","Amari Odom","Kennesaw State","291","52.14","0.167","5.68","0.018","22.93","45.7%","22.4%","18.2%"
"[object Object]","2025","Joe Labas","Central Michigan","208","52.09","0.229","18.05","0.080","32.98","50.2%","22.5%","18.1%"
"[object Object]","2025","Blake Horvath","Navy","160","49.34","0.295","22.57","0.135","36.51","47.3%","29.3%","17.4%"
"[object Object]","2025","Ta'Quan Roberson","Buffalo","357","49.18","0.129","-3.41","-0.009","-36.43","40.6%","19.6%","18.6%"
"[object Object]","2025","Skyler Locklear","UTEP","211","48.65","0.215","14.26","0.063","-41.37","33.6%","16.8%","21.7%"
"[object Object]","2025","Tayven Jackson","UCF","315","48.06","0.145","-1.50","-0.005","-26.12","43.8%","19.3%","22.7%"
"[object Object]","2025","Dru DeShields","Kent State","240","48.00","0.185","4.74","0.018","0.45","39.4%","22.0%","22.4%"
"[object Object]","2025","Alessio Milivojevic","Michigan State","173","47.62","0.252","18.89","0.100","-0.24","47.1%","20.6%","20.6%"
"[object Object]","2025","Ethan Grunkemeyer","Penn State","178","47.19","0.247","16.73","0.088","10.69","45.0%","25.7%","19.9%"
"[object Object]","2025","Jacob Clark","Missouri State","375","46.79","0.111","-18.10","-0.043","35.96","46.7%","28.0%","21.8%"
"[object Object]","2025","Aidan Chiles","Michigan State","203","46.25","0.206","12.20","0.054","-16.46","45.5%","19.2%","20.1%"
"[object Object]","2025","Preston Stone","Northwestern","370","45.94","0.118","-11.80","-0.030","-15.79","44.6%","20.6%","19.3%"
"[object Object]","2025","Lunch Winfield","Louisiana","213","45.58","0.198","11.00","0.048","10.79","41.7%","22.6%","15.7%"
"[object Object]","2025","Jeff Sims","Arizona State","188","45.20","0.231","16.49","0.084","-1.42","38.8%","20.4%","20.9%"
"[object Object]","2025","Garrett Nussmeier","LSU","288","44.91","0.148","0.11","0.000","3.10","46.5%","18.8%","18.2%"
"[object Object]","2025","Ben Finley","Akron","362","44.81","0.114","-6.70","-0.017","-30.77","40.1%","23.0%","19.9%"
"[object Object]","2025","Maverick McIvor","Western Kentucky","273","44.73","0.157","5.79","0.020","0.16","45.4%","25.4%","18.3%"
"[object Object]","2025","Maalik Murphy","Oregon State","277","44.34","0.153","6.83","0.024","-21.23","46.0%","22.5%","20.1%"
"[object Object]","2025","Keyone Jenkins","FIU","263","43.39","0.156","5.11","0.018","-14.44","43.2%","23.7%","20.5%"
"[object Object]","2025","Sam Leavitt","Arizona State","238","43.29","0.168","8.35","0.032","-6.43","44.7%","19.5%","19.5%"
"[object Object]","2025","JC French IV","Georgia Southern","388","43.08","0.103","-17.75","-0.043","11.52","46.0%","24.9%","18.5%"
"[object Object]","2025","Colton Joseph","Old Dominion","289","42.16","0.137","-2.78","-0.009","43.78","46.3%","28.0%","19.2%"
"[object Object]","2025","DJ Lagway","Florida","337","41.91","0.117","-11.70","-0.033","-49.37","42.1%","20.3%","20.9%"
"[object Object]","2025","Rodney Tisdale Jr.","Western Kentucky","214","41.53","0.183","10.17","0.045","-7.88","47.1%","26.0%","19.4%"
"[object Object]","2025","Kamario Taylor","Mississippi State","77","41.27","0.486","26.93","0.317","1.03","41.2%","20.0%","23.5%"
"[object Object]","2025","Ethan Vasko","Liberty","265","41.08","0.146","2.67","0.009","-10.45","45.0%","22.7%","18.1%"
"[object Object]","2025","Cutter Boley","Kentucky","302","37.95","0.116","-8.68","-0.026","-7.96","46.0%","23.2%","19.5%"
"[object Object]","2025","Miller Moss","Louisville","379","37.80","0.094","-18.65","-0.047","-7.62","46.1%","18.0%","16.0%"
"[object Object]","2025","Broc Lowry","Western Michigan","264","37.35","0.133","-4.45","-0.016","-14.22","41.3%","20.6%","19.6%"
"[object Object]","2025","Robby Ashford","Wake Forest","322","35.28","0.105","-15.48","-0.046","4.09","41.2%","23.6%","18.8%"
"[object Object]","2025","Roman Gagliano","Middle Tennessee","136","33.90","0.234","13.89","0.096","17.42","43.4%","22.8%","17.9%"
"[object Object]","2025","Rocco Becht","Iowa State","338","33.16","0.092","-15.99","-0.044","12.90","44.4%","24.7%","17.5%"
"[object Object]","2025","Ashton Daniels","Auburn","119","33.12","0.257","15.04","0.117","-11.13","40.3%","16.3%","17.1%"
"[object Object]","2025","Kyron Drones","Virginia Tech","315","32.81","0.096","-20.41","-0.060","-47.03","38.1%","17.9%","19.4%"
"[object Object]","2025","Jackson Brousseau","Colorado State","201","32.69","0.147","-3.39","-0.015","-17.14","41.9%","18.5%","19.4%"
"[object Object]","2025","Goose Crowder","Troy","195","32.46","0.148","-1.19","-0.005","-21.50","37.4%","19.6%","25.6%"
"[object Object]","2025","Rickie Collins","Syracuse","181","31.94","0.163","2.54","0.013","-59.71","37.8%","17.3%","24.0%"
"[object Object]","2025","E.J. Warner","Fresno State","278","31.57","0.107","-12.39","-0.042","16.95","47.8%","25.1%","21.0%"
"[object Object]","2025","Grayson James","Boston College","151","30.98","0.186","9.36","0.056","17.13","41.9%","22.8%","18.6%"
"[object Object]","2025","Behren Morton","Texas Tech","332","27.74","0.079","-18.35","-0.052","51.80","47.3%","24.4%","15.9%"
"[object Object]","2025","Dylan Lonergan","Boston College","283","27.61","0.093","-13.42","-0.045","-3.41","48.3%","22.1%","16.8%"
"[object Object]","2025","Blake Shapen","Mississippi State","302","27.16","0.081","-17.61","-0.052","-16.12","43.0%","20.5%","22.0%"
"[object Object]","2025","JJ Kohl","Appalachian State","215","27.16","0.120","-2.60","-0.012","19.86","43.4%","22.6%","15.5%"
"[object Object]","2025","Conner Harrell","Charlotte","95","25.93","0.267","12.06","0.124","13.59","48.5%","22.7%","15.5%"
"[object Object]","2025","Christian Veilleux","Georgia State","86","25.03","0.288","13.69","0.157","-16.12","35.6%","20.7%","21.8%"
"[object Object]","2025","Kiael Kelly","Ball State","274","24.98","0.078","-27.37","-0.086","-104.61","33.8%","17.2%","30.6%"
"[object Object]","2025","Liam Szarka","Air Force","120","22.70","0.176","5.05","0.039","36.08","49.6%","34.9%","20.9%"
"[object Object]","2025","Cam Fancher","UCF","72","22.61","0.301","13.18","0.176","-14.93","34.7%","13.3%","22.7%"
"[object Object]","2025","Drew Allar","Penn State","159","21.50","0.130","-4.72","-0.029","0.75","45.5%","23.0%","15.8%"
"[object Object]","2025","Cale Hellums","Army","87","21.14","0.232","4.36","0.048","-0.32","41.8%","28.6%","26.4%"
"[object Object]","2025","Joe Pesansky","FIU","160","20.96","0.123","-4.24","-0.025","-25.68","42.1%","20.5%","18.1%"
"[object Object]","2025","Bishop Davenport","South Alabama","295","20.54","0.065","-21.18","-0.067","-14.27","42.3%","23.7%","18.3%"
"[object Object]","2025","Chase Jenkins","Rice","173","20.33","0.110","-2.94","-0.016","-14.21","40.5%","21.1%","22.7%"
"[object Object]","2025","AJ Swann","Appalachian State","223","20.23","0.087","-10.08","-0.043","-29.80","40.8%","20.2%","21.0%"
"[object Object]","2025","TJ Finley","Georgia State","200","19.88","0.093","-9.33","-0.044","-18.32","42.5%","19.2%","17.8%"
"[object Object]","2025","Beau Pribula","Missouri","270","19.66","0.067","-17.58","-0.060","11.96","48.5%","22.5%","16.0%"
"[object Object]","2025","Adam Damante","New Mexico State","104","19.42","0.177","6.34","0.058","1.62","48.2%","21.8%","16.4%"
"[object Object]","2025","Grant Jordan","UMASS","108","19.33","0.161","0.66","0.005","-40.98","34.2%","10.8%","22.5%"
"[object Object]","2025","Jackson Arnold","Auburn","215","19.31","0.079","-17.14","-0.070","-48.91","40.2%","15.6%","20.5%"
"[object Object]","2025","Tad Hudson","Coastal Carolina","254","19.25","0.071","-20.48","-0.076","-72.95","33.0%","17.4%","23.7%"
"[object Object]","2025","Steve Angeli","Syracuse","156","18.75","0.112","-0.77","-0.005","22.87","47.6%","28.6%","14.3%"
"[object Object]","2025","Hunter Watson","Sam Houston State","182","18.65","0.093","-13.28","-0.066","-57.20","38.5%","16.5%","25.5%"
"[object Object]","2025","Will Hammond","Texas Tech","109","18.21","0.163","2.34","0.021","-2.56","45.5%","19.6%","19.6%"
"[object Object]","2025","Trey Kukuk","Louisiana Tech","107","18.16","0.157","-1.53","-0.013","-31.33","34.5%","17.2%","24.1%"
"[object Object]","2025","Max Johnson","North Carolina","87","17.91","0.201","3.53","0.040","-11.35","40.4%","11.2%","13.5%"
"[object Object]","2025","Ryder Burton","UAB","98","16.71","0.153","1.04","0.010","1.97","50.5%","22.9%","21.1%"
"[object Object]","2025","TJ Lateef","Nebraska","123","16.45","0.126","-5.48","-0.042","3.35","44.3%","22.1%","20.6%"
"[object Object]","2025","Christopher Vizzina","Clemson","71","16.12","0.215","5.94","0.079","-2.23","38.7%","17.3%","17.3%"
"[object Object]","2025","Zane Flores","Oklahoma State","266","15.94","0.056","-24.70","-0.087","-60.32","38.0%","18.0%","19.0%"
"[object Object]","2025","Luke Weaver","Hawaii","105","15.73","0.142","1.00","0.009","-2.05","39.6%","20.7%","17.1%"
"[object Object]","2025","Darius Curry","Colorado State","108","14.05","0.124","-2.23","-0.020","-7.14","40.7%","19.5%","17.7%"
"[object Object]","2025","William Atkins IV","South Carolina State","76","13.97","0.168","7.50","0.090","-5.96","42.2%","18.1%","21.7%"
"[object Object]","2025","Henry Hesson","Miami OH","98","13.96","0.129","-2.41","-0.022","-27.74","33.3%","14.8%","24.1%"
"[object Object]","2025","Jase Bauer","UT Martin","76","13.56","0.160","0.25","0.003","-17.93","36.5%","15.3%","24.7%"
"[object Object]","2025","Michael Van Buren Jr.","LSU","152","13.52","0.081","-13.26","-0.080","-10.03","39.2%","21.1%","20.5%"
"[object Object]","2025","Malachi Singleton","Purdue","64","12.99","0.191","1.90","0.028","-6.02","42.6%","19.1%","22.1%"
"[object Object]","2025","AJ Hairston","UMASS","217","12.82","0.055","-21.75","-0.093","-74.08","31.9%","14.0%","24.3%"
"[object Object]","2025","Thomas Gotkowski","Miami OH","86","12.14","0.132","-5.10","-0.055","-8.05","33.7%","21.7%","18.5%"
"[object Object]","2025","Samari Collier","Coastal Carolina","79","12.09","0.147","0.69","0.008","-15.49","30.5%","20.7%","20.7%"
"[object Object]","2025","Dexter Williams II","Kennesaw State","126","11.90","0.092","-6.20","-0.048","-0.08","39.2%","21.5%","18.5%"
"[object Object]","2025","Elijah Brown","Stanford","127","11.88","0.084","-7.17","-0.051","-23.57","39.7%","19.9%","26.2%"
"[object Object]","2025","Braden Atkinson","Mercer","68","11.58","0.168","7.44","0.108","-0.54","53.6%","21.7%","18.8%"
"[object Object]","2025","Tucker Kilcrease","Troy","223","11.18","0.044","-29.64","-0.117","-15.58","39.4%","22.8%","24.4%"
"[object Object]","2025","DeShawn Purdie","Wake Forest","83","11.05","0.127","-1.85","-0.021","-5.83","37.9%","24.1%","20.7%"
"[object Object]","2025","Gavin Wimsatt","Jacksonville State","110","9.11","0.079","-5.83","-0.051","-4.19","39.1%","20.0%","21.7%"
"[object Object]","2025","Landyn Locke","Sam Houston State","141","8.41","0.057","-12.66","-0.086","-30.77","36.5%","16.9%","25.0%"
"[object Object]","2025","Brayden Fowler-Nicolosi","Colorado State","82","8.36","0.095","-4.12","-0.047","-11.70","37.5%","19.3%","22.7%"
"[object Object]","2025","Jaxon Potter","Washington State","95","7.29","0.077","-5.22","-0.055","2.99","49.5%","20.0%","15.8%"
"[object Object]","2025","Dean Denobile","Lafayette","68","7.08","0.101","-2.95","-0.042","-16.16","28.6%","14.3%","21.4%"
"[object Object]","2025","Kirk Francis","Tulsa","89","6.21","0.068","-5.18","-0.057","-13.57","39.6%","17.6%","20.9%"
"[object Object]","2025","Scotty Fox Jr.","West Virginia","170","5.70","0.031","-18.16","-0.098","-23.75","34.6%","20.0%","22.2%"
"[object Object]","2025","Kaden Anderson","Wyoming","337","5.36","0.015","-44.30","-0.126","-56.17","39.2%","19.0%","19.9%"
"[object Object]","2025","Gabarri Johnson","Oregon State","100","5.26","0.049","-8.85","-0.083","-33.53","33.6%","15.0%","22.4%"
"[object Object]","2025","Chubba Purdy","Nevada","86","4.65","0.051","-10.39","-0.114","-35.98","38.5%","15.4%","27.5%"
"[object Object]","2025","Josh Holst","Northern Illinois","129","4.40","0.031","-19.77","-0.141","-34.62","33.6%","17.9%","25.0%"
"[object Object]","2025","Hunter Simmons","Wisconsin","118","4.25","0.035","-16.48","-0.135","-47.29","37.7%","12.3%","24.6%"
"[object Object]","2025","Jayden Denegal","San Diego State","243","4.00","0.015","-34.33","-0.132","-40.75","39.2%","20.8%","23.8%"
"[object Object]","2025","Nicco Marchiol","West Virginia","98","3.61","0.034","-10.82","-0.102","-19.20","45.3%","13.2%","24.5%"
"[object Object]","2025","Aiden Armenta","Louisiana-Monroe","256","2.83","0.010","-38.50","-0.139","-51.30","37.2%","21.3%","26.0%"
"[object Object]","2025","Grayson Loftis","Charlotte","232","2.81","0.011","-37.13","-0.146","-71.95","32.5%","17.3%","26.7%"
"[object Object]","2025","Carson Conklin","Fresno State","94","2.58","0.027","-10.57","-0.110","-29.61","35.4%","8.3%","22.9%"
"[object Object]","2025","Brennan Myer","Bryant University","77","2.38","0.029","-8.60","-0.105","-10.59","37.8%","18.3%","24.4%"
"[object Object]","2025","Julian Lewis","Colorado","95","1.92","0.018","-12.75","-0.119","-34.01","32.7%","15.9%","29.0%"
"[object Object]","2025","Eli Holstein","Pittsburgh","125","1.66","0.012","-18.75","-0.140","-9.01","41.0%","23.9%","23.1%"
"[object Object]","2025","J.T. Fayard","Wofford","206","0.00","0.000","0.00","0.000","-11.17","40.8%","22.0%","18.8%"
"[object Object]","2025","Blake Baker","Louisiana Tech","154","-1.66","-0.010","-25.03","-0.154","4.68","43.8%","24.7%","18.5%"
"[object Object]","2025","Danny O'Neil","Wisconsin","89","-1.85","-0.018","-18.16","-0.176","-24.55","43.7%","18.4%","25.2%"
"[object Object]","2025","Austin Simmons","Ole Miss","75","-2.28","-0.029","-11.97","-0.152","2.68","50.6%","29.1%","20.3%"
"[object Object]","2025","Trey Hedden","Furman","77","-2.78","-0.033","-7.93","-0.094","-24.14","34.5%","19.0%","19.0%"
"[object Object]","2025","Brady Davidson","Northern Illinois","88","-4.73","-0.050","-19.93","-0.210","-37.43","30.5%","13.7%","26.3%"
"[object Object]","2025","Malachi Nelson","UTEP","190","-5.01","-0.025","-33.43","-0.167","-56.65","34.0%","16.0%","23.5%"
"[object Object]","2025","Sam Jackson V","Oklahoma State","66","-5.15","-0.075","-15.93","-0.231","-29.92","29.0%","15.9%","23.2%"
"[object Object]","2025","Jayden Whitaker","Wofford","74","-6.81","-0.080","-12.50","-0.147","-18.44","34.1%","21.2%","24.7%"
"[object Object]","2025","Daniel Beale","Louisiana","86","-6.83","-0.075","-20.72","-0.228","-26.20","35.2%","14.3%","20.9%"
"[object Object]","2025","Joseph Filardi","Syracuse","64","-7.35","-0.101","-19.18","-0.263","-52.06","23.3%","15.1%","35.6%"
"[object Object]","2025","Brandon Rose","UMASS","88","-7.59","-0.081","-21.82","-0.232","-23.27","37.2%","18.1%","17.0%"
"[object Object]","2025","Matt Zollers","Missouri","88","-9.98","-0.107","-24.84","-0.267","-15.57","36.6%","20.4%","22.6%"
"[object Object]","2025","Carter Jones","Nevada","172","-11.13","-0.062","-38.78","-0.215","-29.87","41.1%","20.0%","25.6%"
"[object Object]","2025","Ben Gulbranson","Stanford","259","-11.47","-0.040","-52.02","-0.183","-64.81","38.9%","18.9%","23.5%"
"[object Object]","2025","Hunter Najm","Bowling Green","65","-11.52","-0.162","-22.77","-0.321","-0.22","42.3%","22.5%","23.9%"
"[object Object]","2025","Drew Pyne","Bowling Green","151","-11.59","-0.069","-36.31","-0.217","-42.52","37.1%","19.8%","22.2%"
"[object Object]","2025","Max Cutforth","Boise State","167","-12.52","-0.070","-35.07","-0.197","-39.27","40.4%","18.0%","22.5%"
"[object Object]","2025","Logan Fife","New Mexico State","362","-25.72","-0.066","-81.77","-0.209","-69.99","38.3%","18.1%","23.0%"
