Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,DropsYardsLost,DropsPercentage,TouchdownsTotal,PressuredTotal,PressuredPercentage,RunPassOptionPercentage,TargetedReadCheckdownPercentage,AverageTimeToPressure,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,InterceptionsTotal,TowThrowPercentage
Jimmy Garoppolo,LA,QB,3,3,3,1,2,0.6667,0.6667,-0.133,3,5,1.6667,0.8,1.6667,12,Yes,No,0.9617,-0.3206,No,0.6667,2.4333,4,70.1,Yes,Yes,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,1,,,,,,,0.3333,,,,,,,
Joe Burrow,CIN,QB,10,10,10,1,5,0.5,0.9,0.0626,10,31,3.1,0.2581,3.1,31,No,No,2.7858,-0.1786,Yes,0.6,2.19,3.1,56.7,Yes,Yes,1,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.55,1.55,17,,2,0.4,,1,0.1,,0.3,2.8,,,,,
Russell Wilson,PIT,QB,16,16,16,1,13,0.8125,1,0.24,16,137,8.5625,0.3869,9.8125,104,No,No,4.2606,-0.2038,No,0.75,2.1187,6.5,123.2,No,Yes,6,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,10.85,10.85,11,,20,0.1875,1,1,0.0625,,0.0625,1.6,2,0.125,,,
Anthony Richardson,IND,QB,10,10,10,1,7,0.7,0.8,0.0768,10,68,6.8,0.0882,6.8,82,No,No,3.3032,-0.0303,No,0.8,2.49,8.2,88.7,No,No,4,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,3.4,3.4,11,,3,0.1,,3,0.3,0.1,,2.0667,,,,,
Daniel Jones,NYG,QB,19,19,19,1,13,0.6842,0.8947,0.1408,19,94,4.9474,0.1809,4.9474,137,No,No,5.6017,-0.1896,No,0.7895,2.2842,7.2105,79.7,No,Yes,7,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,4.7,4.7,10,,40,0.2105,,2,0.1053,0.1579,0.1053,2.3,1,0.0526,,,
Joe Flacco,IND,QB,7,7,7,1,6,0.8571,0.8571,0.0987,7,41,5.8571,0.1951,8.7143,46,No,No,2.1346,0.2665,No,0.8571,2.3429,6.5714,130.7,No,No,3,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,6.05,6.05,8,1,,,1,4,0.5714,,0.1429,2.225,,,,,
Jacoby Brissett,NE,QB,3,3,3,1,3,1,1,0.4022,3,48,16,,16,48,No,No,1.2376,-0.0792,No,0.6667,2.9667,16,118.8,No,No,1,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,2.4,2.4,8,,,,,1,0.3333,,,2.4,1,0.3333,0.3333,,
C.J. Stroud,HST,QB,30,30,30,1,23,0.7667,0.9,0.1832,30,240,8,0.1208,6.5,273,Yes,No,10.4962,-0.0499,Yes,0.6,2.6033,9.1,85.4,No,Yes,15,8.6,8.6,8.6,8.6,8.6,8.6,8.6,7.6,7.6,7.6,7.6,11,10,17,1,22,0.1333,,9,0.3,,0.1,2.6778,1,0.0333,,1,
Jared Goff,DET,QB,20,20,20,1,17,0.85,0.95,0.1945,20,160,8,0.275,8,137,No,No,6.7445,-0.1372,No,0.6,2.53,6.85,100,No,No,7,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,8,8,17,,18,0.1,,4,0.2,,0.1,2.6,1,0.05,0.05,,
Kyler Murray,ARZ,QB,14,14,14,1,13,0.9286,0.9286,0.1348,14,130,9.2857,0.4923,9.2857,73,No,No,5.3387,-0.0242,No,0.5,2.7857,5.2143,105.4,No,Yes,3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,6.5,6.5,17,1,,,,5,0.3571,,0.1429,2.6,1,0.0714,,,
Tanner McKee,PHI,QB,1,1,1,1,,,,-0.8739,1,,,,,2,Yes,Yes,0.2803,0.7197,No,1,2.2,2,39.6,Yes,Yes,,,,,,,,,,,,,,,2,,,,,1,1,,,2,,,,,
Tua Tagovailoa,MIA,QB,10,10,10,1,8,0.8,1,0.2434,10,85,8.5,0.4353,10.5,67,No,No,3.9588,-0.0959,No,0.6,2.87,6.7,135.4,No,No,4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,8.25,8.25,11,,19,0.2,1,3,0.3,,0.2,2.6667,,,,,
Gardner Minshew,LV,QB,13,13,13,1,9,0.6923,0.9231,0.1113,13,43,3.3077,0.7209,3.3077,35,No,Yes,4.7996,-0.0615,No,0.5385,2.7154,2.6923,73.6,No,Yes,2,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,2.15,2.15,10,1,27,0.2308,,4,0.3077,,0.2308,2.475,1,0.0769,,,
Caleb Williams,CHI,QB,19,19,19,1,17,0.8947,1,0.2317,19,196,10.3158,0.449,11.3684,123,No,No,7.9356,-0.1019,No,0.5263,2.9963,6.4737,127.2,No,No,10,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84,13.8,13.8,17,1,8,0.1053,1,6,0.3158,,0.1053,2.7833,,,,,
Justin Fields,PIT,QB,4,4,4,1,3,0.75,1,0.2777,4,44,11,0.1591,11,34,No,No,1.7249,0.3188,No,0.25,3.075,8.5,110.4,No,No,2,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.2,2.2,10,,-3,0.25,,3,0.75,,0.25,2.8,1,0.25,,,
Brock Purdy,SF,QB,21,21,21,1,15,0.7143,0.8571,0.1718,21,128,6.0952,0.1406,6.0952,231,Yes,No,8.0081,-0.0004,No,0.7143,2.7857,11,87,No,Yes,4,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,6.4,6.4,15,1,46,0.1429,,8,0.381,,0.0476,2.3,2,0.0952,0.0476,,
Justin Herbert,LAC,QB,12,12,12,1,10,0.8333,0.8333,0.0913,12,95,7.9167,0.2,7.9167,94,No,No,4.7954,-0.2329,No,0.5,2.8917,7.8333,99.7,No,No,4,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4.75,4.75,17,,,,,2,0.1667,,0.1667,2.35,,,,,
Geno Smith,SEA,QB,17,17,17,1,16,0.9412,0.9412,0.2089,17,176,10.3529,0.3693,10.3529,134,Yes,No,6.9558,-0.115,No,0.5294,2.9471,7.8824,109.8,No,Yes,6,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,8.8,8.8,17,,,,,5,0.2941,,0.0588,2.76,3,0.1765,,,
Drake Maye,NE,QB,8,8,8,1,5,0.625,1,0.2835,8,65,8.125,0.1692,-0.625,75,No,No,2.0872,0.1141,No,1,2.0875,9.375,88,No,No,3,4.6,4.6,4.6,4.6,4.6,4.6,4.6,2.6,2.6,2.6,2.6,5.25,3.25,13,2,19,0.375,1,3,0.375,0.125,,1.7333,1,0.125,0.125,2,
Aidan O'Connell,LV,QB,8,8,8,1,7,0.875,1,0.2432,8,48,6,-0.0208,8.5,47,No,No,2.9497,0.0063,No,0.5,2.7125,5.875,131.3,No,Yes,4,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,6.4,6.4,9,1,-6,0.125,1,3,0.375,,,2.1333,,,,,
Matthew Stafford,LA,QB,22,22,22,1,20,0.9091,0.9091,0.1568,22,156,7.0909,0.1154,7.0909,151,No,No,7.9951,-0.2271,No,0.6364,2.6818,6.8636,96.2,No,No,9,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,7.8,7.8,16,,,,,3,0.1364,0.0455,0.0455,2.3,,,,,
Patrick Mahomes,KC,QB,33,33,33,1,28,0.8485,0.9091,0.1581,33,240,7.2727,0.2667,7.8788,228,No,No,11.8374,-0.086,No,0.5758,2.6545,6.9091,107.1,No,Yes,17,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,16,16,16,,21,0.0606,1,9,0.2727,,0.0303,2.5667,,,,,
Marcus Mariota,WAS,QB,1,1,1,1,1,1,1,0.1202,1,1,1,,1,1,No,No,0.1941,-0.1941,No,1,1.7,1,79.2,No,No,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,3,,,,,,,,,,,,,,
Tyler Huntley,MIA,QB,10,10,10,1,8,0.8,0.9,0.1827,10,79,7.9,0.1899,7.9,90,No,No,2.9755,0.1024,No,0.7,2.3,9,99.6,No,Yes,4,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.95,3.95,5,1,7,0.1,,4,0.4,,0.1,2.05,,,,,
Mason Rudolph,TEN,QB,11,11,11,1,10,0.9091,1,0.2327,11,81,7.3636,0.3086,7.3636,73,No,No,3.9113,0.0081,No,0.7273,2.6364,6.6364,97.3,No,No,3,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,4.05,4.05,8,,17,0.0909,,4,0.3636,,0.1818,2.225,,,,,
Aaron Rodgers,NYJ,QB,25,25,25,1,20,0.8,0.88,0.0598,25,124,4.96,0.5565,5.76,87,No,No,8.4738,-0.019,No,0.6,2.54,3.48,100.7,No,No,6,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,10.2,10.2,17,2,16,0.08,1,8,0.32,0.12,0.2,2.2375,1,0.04,,,
Baker Mayfield,TB,QB,21,21,21,1,15,0.7143,0.8571,0.1233,21,175,8.3333,0.4686,9.0476,157,Yes,Yes,7.0593,-0.0981,No,0.6667,2.5238,7.4762,116.1,No,Yes,13,18,18,18,18,18,18,18,17,17,17,17,19.75,18.75,17,3,17,0.1429,3,5,0.2381,,0.1429,2.52,1,0.0476,,1,
Deshaun Watson,CLV,QB,13,13,13,1,9,0.6923,0.9231,0.1379,13,66,5.0769,0.2424,5.0769,70,No,No,4.3857,0.0473,No,0.8462,2.5308,5.3846,80.9,No,Yes,3,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,3.3,3.3,7,,16,0.2308,,5,0.3846,0.0769,0.0769,1.96,,,,,
Dak Prescott,DAL,QB,19,19,19,1,15,0.7895,0.8421,0.1321,19,172,9.0526,0.093,10.1053,173,No,No,7.5682,-0.0299,No,0.6316,2.8842,9.1053,121.9,No,Yes,8,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,12.6,12.6,8,1,3,0.0526,1,7,0.3684,,0.0526,2.7286,2,0.1053,0.0526,,
Spencer Rattler,NO,QB,9,9,9,1,7,0.7778,1,0.1914,9,45,5,0.3556,5,36,Yes,No,2.9194,0.009,No,0.5556,2.4556,4,87.5,No,Yes,2,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.25,2.25,7,,7,0.2222,,3,0.3333,0.1111,0.1111,1.8,,,,,
Carson Wentz,KC,QB,1,1,1,1,1,1,1,0.1756,1,5,5,0.2,5,4,No,No,0.1078,-0.1078,No,1,1.2,4,87.5,Yes,Yes,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,3,,,,,,,,,,,,,,
Joe Milton,NE,QB,2,2,2,1,2,1,1,0.3146,2,21,10.5,0.0476,10.5,20,No,Yes,0.9919,0.0041,No,0.5,3.45,10,110.4,No,Yes,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,1,,,,,1,0.5,,,3.6,,,,,
Tommy DeVito,NYG,QB,4,4,4,1,4,1,1,0.1757,4,33,8.25,0.5455,8.25,15,No,No,1.0522,-0.2631,No,0.75,2.1,3.75,101,No,No,2,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.65,1.65,3,,,,,,,,0.25,,,,,,
Bryce Young,CAR,QB,14,14,14,1,9,0.6429,0.7857,0.0957,14,76,5.4286,0.0921,6.8571,139,No,No,5.2352,-0.1597,No,0.5714,2.7429,9.9286,102.1,No,No,6,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.8,7.8,14,3,20,0.1429,1,3,0.2143,0.0714,0.0714,2.2667,2,0.1429,,,
Derek Carr,NO,QB,11,11,11,1,8,0.7273,0.9091,0.1086,11,53,4.8182,0.0755,4.8182,54,No,No,3.5491,0.041,No,0.3636,2.4455,4.9091,82.8,No,Yes,3,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.65,2.65,10,,3,0.1818,,4,0.3636,,0.2727,2.375,,,,,
Mitchell Trubisky,BUF,QB,1,1,1,1,1,1,1,0.1756,1,8,8,0.5,8,4,Yes,No,0.3148,-0.3148,No,1,2.4,4,100,No,Yes,,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,9,,,,,,,,,,,,,,
