Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadCheckdownPercentage,InterceptionsTotal,TowThrowPercentage
Deshaun Watson,CLV,QB,62,62,62,1,56,0.9032,0.9516,0.1488,62,444,7.1613,0.5495,6.7581,262,1,Yes,No,15,0.2419,22.9504,-0.1282,No,0.6935,1,2.721,2.4533,4.2258,95.2,No,Yes,18,20.76,20.76,20.76,20.76,20.76,23.76,23.76,19.76,19.76,19.76,19.76,25.2,24.2,7,1,36,0.0484,,2,0.0323,0.0484,0.0968,1,0.0161
Dak Prescott,DAL,QB,79,79,79,1,74,0.9367,0.9747,0.2025,79,753,9.5316,0.5857,10.038,435,2,No,No,12,0.1519,23.3167,-0.1432,Yes,0.7848,1,2.2861,2.325,5.5063,114.8,No,Yes,33,38.12,38.12,38.12,38.12,38.12,41.12,41.12,38.12,38.12,38.12,38.12,45.65,45.65,8,1,56,0.038,0.038,8,0.1013,0.0886,0.1013,,
Spencer Rattler,NO,QB,74,74,74,1,67,0.9054,0.9459,0.1207,74,585,7.9054,0.7026,8.1757,223,1,No,No,12,0.1622,22.45,-0.1412,No,0.6081,1,2.3338,2.5583,3.0135,104.1,No,Yes,27,27.4,27.4,27.4,27.4,27.4,30.4,30.4,27.4,27.4,27.4,27.4,33.25,33.25,7,2,5,0.0405,0.0135,2,0.027,,0.2162,,
Carson Wentz,KC,QB,7,7,7,1,7,1,1,0.1273,7,42,6,0.8333,6,7,,Yes,No,,,1.2376,-0.1768,No,0.8571,1,1.6,,1,91.7,No,Yes,2,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,2.1,2.1,3,,,,0.2857,,,,0.1429,,
Joe Milton,NE,QB,16,16,16,1,16,1,1,0.2528,16,171,10.6875,0.3158,11.9375,117,1,Yes,No,2,0.125,5.4853,-0.2178,Yes,0.875,1,2.5625,2.65,7.3125,132,No,Yes,9,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,12.55,12.55,1,,,,0.1875,1,0.0625,0.0625,0.0625,,
Mason Rudolph,TEN,QB,65,65,65,1,62,0.9538,0.9692,0.1405,65,541,8.3231,0.658,8.6308,204,1,Yes,No,15,0.2308,22.2905,-0.1122,No,0.6154,1,2.5631,2.4,3.1385,106.5,No,Yes,25,25.64,25.64,25.64,25.64,25.64,28.64,28.64,25.64,25.64,25.64,25.64,31.05,31.05,8,1,-5,0.0154,0.0615,,,,0.2,,
Aaron Rodgers,NYJ,QB,145,145,145,1,131,0.9034,0.9586,0.1315,145,1205,8.3103,0.7444,9.1379,427,6,Yes,Yes,24,0.1655,42.4203,-0.127,No,0.6897,1,2.271,2.7167,2.9448,115.1,No,Yes,55,72.2,72.2,72.2,72.2,72.2,75.2,75.2,72.2,72.2,72.2,72.2,84.25,84.25,17,3,45,0.0552,0.0966,6,0.0414,0.0207,0.1655,,
Baker Mayfield,TB,QB,209,208,208,1,194,0.9327,0.9519,0.1276,208,1868,8.9808,0.7254,9.9423,606,10,No,No,19,0.0913,61.8939,-0.2062,Yes,0.726,1,2.3001,2.6421,2.9135,120.1,Yes,Yes,84,114.72,114.72,114.72,114.72,114.72,117.72,117.72,114.72,114.72,114.72,114.72,133.4,133.4,17,7,23,0.0192,0.0385,3,0.0144,0.0048,0.1298,,
Tyrod Taylor,NYJ,QB,7,7,7,1,7,1,1,0.136,7,42,6,0.8333,6,7,,No,No,,,1.5826,-0.2261,Yes,1,1,1.8857,,1,91.7,No,Yes,3,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,2.1,2.1,2,,,,,,,,,,
Michael Penix,ATL,QB,25,25,25,1,22,0.88,0.96,0.1742,25,253,10.12,0.5771,10.12,139,,No,No,2,0.08,6.8178,-0.1927,No,0.64,1,2.156,2.55,5.56,108.8,No,Yes,12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,12.65,12.65,5,,19,0.08,0.12,1,0.04,,0.08,,
