Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,TouchdownsTotal,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,InterceptionsTotal
Patrick Mahomes,KC,QB,27,27,27,1,17,0.6296,0.963,0.1597,27,53,0.3333,152,5.6296,0.5197,6.3704,131,No,No,8,0.2963,8.3056,-0.0113,No,,0.7037,0.1111,2.3556,2.5,4.8519,90.4,No,Yes,7,10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.08,11.6,11.6,16,1,1,0.0741,1,0.037,,
Justin Herbert,LAC,QB,16,16,16,1,7,0.4375,0.6875,0.0258,16,14,0.25,123,7.6875,0.2846,10.1875,190,Yes,No,2,0.125,5.3507,-0.2094,Yes,,0.8125,,2.5137,2.6,11.875,110.2,Yes,Yes,4,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,14.15,14.15,17,3,2,,3,0.1875,0.125,
Geno Smith,SEA,QB,17,17,17,1,13,0.7647,0.8235,0.1369,17,22,0.0588,144,8.4706,0.4306,9.6471,188,No,No,6,0.3529,6.8868,-0.0522,No,0.1176,0.5882,0.0588,2.9235,2.45,11.0588,120.7,No,No,7,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,11.2,11.2,17,2,1,,3,0.1765,0.0588,
Drake Maye,NE,QB,18,18,18,1,17,0.9444,0.9444,0.129,18,,,115,6.3889,0.487,6.3889,67,No,No,2,0.1111,5.0799,-0.1711,No,,0.7778,0.1111,2.2111,3.05,3.7222,93.3,No,No,4,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.75,5.75,13,,,0.1111,,,0.1111,
Jordan Love,GB,QB,23,23,23,1,16,0.6957,0.9565,0.2566,23,56,0.2609,287,12.4783,0.3833,15.087,257,No,No,4,0.1739,7.4819,-0.1514,No,,0.6522,0.0435,2.4609,2.575,11.1739,151.6,No,Yes,9,23.48,23.48,23.48,23.48,23.48,23.48,23.48,23.48,23.48,23.48,23.48,26.35,26.35,15,3,3,0.1304,6,0.2609,0.2174,
Tim Boyle,NYG,QB,2,2,2,1,2,1,1,0.2085,2,,,16,8,0.625,8,6,No,No,,,0.3191,-0.1595,No,,1,,1.5,,3,100,No,No,1,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,3,,,,,,,
Derek Carr,NO,QB,10,10,10,1,8,0.8,0.8,0.066,10,,,94,9.4,0.3723,9.4,77,No,No,,,2.941,-0.2941,No,,0.8,,2.28,,7.7,105.8,Yes,Yes,2,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,4.7,4.7,10,1,,,,,,
Bryce Young,CAR,QB,14,14,14,1,10,0.7143,0.8571,0.0862,14,18,0.1429,95,6.7857,0.4,6.7857,84,No,No,4,0.2857,3.6482,0.0251,No,,0.7143,0.0714,2.0857,2.05,6,89.9,Yes,Yes,6,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4.75,4.75,14,,,0.0714,1,0.0714,0.0714,
Tommy DeVito,NYG,QB,1,1,1,1,,,,-0.9424,1,,,,,,,-4,No,No,,,0.2458,-0.2458,No,,1,,2,,-4,39.6,No,No,,,,,,,,,,,,,,,3,,,,,,,
Deshaun Watson,CLV,QB,10,10,10,1,7,0.7,1,0.2014,10,42,0.3,57,5.7,0.8947,5.7,48,No,No,4,0.4,2.9065,0.1094,No,,0.9,0.1,2.26,2.175,4.8,84.2,No,No,4,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.85,2.85,7,,,,1,0.1,0.1,
Dak Prescott,DAL,QB,14,14,14,1,11,0.7857,0.7857,-0.0468,14,,,76,5.4286,1.0132,6.8571,41,No,No,1,0.0714,4.2692,-0.2335,No,,0.7857,0.1429,2.3429,2,2.9286,113.1,No,No,3,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.8,7.8,8,1,1,0.0714,1,0.0714,0.0714,
Spencer Rattler,NO,QB,7,6,6,1,2,0.3333,0.8333,0.0622,6,28,0.5,11,1.8333,0.8182,1.8333,36,No,No,1,0.1667,1.8888,-0.1481,No,,0.6667,,2.4,2.3,6,42.4,No,No,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,7,,,,,,,
Carson Wentz,KC,QB,2,2,2,1,1,0.5,1,0.4039,2,12,0.5,23,11.5,0.2174,11.5,30,No,No,1,0.5,0.5433,0.2283,No,,,,2.15,2.6,15,91.7,No,Yes,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.15,1.15,3,,,,,,0.5,
Mason Rudolph,TEN,QB,8,8,8,1,4,0.5,0.75,0.0002,8,1,0.25,42,5.25,0.4524,5.25,46,No,No,3,0.375,3.2601,-0.0325,No,,0.625,0.125,2.9375,2.7667,5.75,65.6,No,No,3,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,2.1,2.1,8,,,,,,,
Aaron Rodgers,NYJ,QB,25,25,25,1,16,0.64,0.84,0.0281,25,3,0.2,144,5.76,0.5208,7.36,101,No,No,4,0.16,6.214,-0.0886,Yes,,0.8,0.04,2.016,2.025,4.04,106.1,No,Yes,7,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,15.2,15.2,17,2,2,0.12,1,0.04,,
Baker Mayfield,TB,QB,18,18,18,1,9,0.5,0.7222,-0.0012,18,33,0.2222,76,4.2222,0.6316,1.7222,151,No,No,3,0.1667,6.3564,-0.1865,No,0.0556,0.7778,0.0556,2.6222,2.9667,8.3889,38.2,No,Yes,4,2.04,2.04,2.04,2.04,2.04,2.04,2.04,1.04,1.04,1.04,1.04,2.8,1.8,17,,,0.0556,2,0.1111,,1
Tyrod Taylor,NYJ,QB,1,1,1,1,,,,-0.827,1,,,,,,,3,No,Yes,1,1,0.608,0.392,No,,,,4.1,2.5,3,39.6,No,Yes,,,,,,,,,,,,,,,2,,,,,,,
Michael Penix,ATL,QB,3,3,3,1,2,0.6667,1,0.119,3,,0.3333,16,5.3333,0.8125,5.3333,3,No,No,,,0.5994,-0.1998,No,,1,,1.7333,,1,79.9,No,No,1,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,5,,,,,,,
Skylar Thompson,MIA,QB,2,2,2,1,2,1,1,0.1756,2,,,11,5.5,0.2727,5.5,8,No,No,,,0.7849,-0.3924,No,,0.5,,2.85,,4,89.6,No,No,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,3,,,,,,,
Josh Allen,BUF,QB,19,19,19,1,12,0.6316,0.8421,0.1,19,57,0.2105,80,4.2105,0.4625,5.2632,150,No,No,4,0.2105,6.8092,-0.1479,No,,0.6316,0.0526,2.6526,2.675,7.8947,89.8,No,No,5,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,8,8,17,2,1,,4,0.2105,0.1053,
Jake Haener,NO,QB,1,1,1,1,1,1,1,0.0587,1,,,3,3,2,3,-3,No,No,,,0.0733,-0.0733,No,,1,,1,,-3,79.2,No,Yes,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,8,,,,,,,
Drew Lock,NYG,QB,6,6,6,1,3,0.5,1,0.3706,6,72,0.5,34,5.6667,0.3529,5.6667,94,No,No,1,0.1667,1.8888,-0.1481,No,,0.8333,,2.4,2.4,15.6667,67.4,No,No,2,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.7,1.7,7,,,,2,0.3333,0.1667,
Jameis Winston,CLV,QB,14,14,14,1,8,0.5714,0.7857,0.0582,14,50,0.2143,80,5.7143,0.2,5.7143,132,Yes,No,2,0.1429,4.4762,-0.1769,No,,0.8571,,2.4286,2.15,9.4286,73.5,Yes,Yes,4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,4,4,12,,,0.0714,1,0.0714,0.0714,
Desmond Ridder,LV,QB,2,2,2,1,2,1,1,0.1199,2,,,6,3,0.6667,3,2,No,No,1,0.5,0.5089,0.2456,No,,1,,2.05,2.5,1,79.2,No,No,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,5,,,,,,,
Trey Lance,DAL,QB,2,2,2,1,1,0.5,0.5,-0.3189,2,,,1,0.5,1,0.5,7,Yes,No,,,0.4571,-0.2286,No,,1,,1.9,,3.5,56.3,Yes,Yes,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,4,1,,0.5,,,,
Will Levis,TEN,QB,9,9,9,1,5,0.5556,0.7778,-0.027,9,13,0.2222,37,4.1111,0.5946,4.1111,37,No,No,2,0.2222,2.5227,-0.0581,Yes,,0.8889,0.1111,2.2,2.4,4.1111,65.5,No,Yes,1,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.85,1.85,12,,,0.2222,,,,
Malik Willis,GB,QB,1,1,1,1,1,1,1,0.0628,1,,,5,5,2,5,-5,No,No,,,0.125,-0.125,No,,1,,1.3,,-5,87.5,No,No,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,7,,,,,,,
Davis Mills,HST,QB,1,1,1,1,1,1,1,0.1756,1,,,4,4,,4,4,Yes,No,,,0.4011,-0.4011,No,,,,2.9,,4,83.3,No,Yes,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,4,,,,,,,
Jalen Hurts,PHI,QB,6,6,6,1,3,0.5,0.6667,-0.1342,6,2,0.1667,33,5.5,1,5.5,27,No,No,2,0.3333,1.7163,0.0473,No,,0.8333,,2.2333,2.35,4.5,66.7,No,No,1,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.65,1.65,15,,,,1,0.1667,,
Cooper Rush,DAL,QB,13,13,13,1,5,0.3846,0.9231,0.2515,13,63,0.5385,56,4.3077,0.1786,5.8462,144,No,No,2,0.1538,3.3506,-0.1039,No,,0.9231,,2.0692,2.55,11.0769,77.7,No,No,5,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.8,6.8,12,2,1,0.0769,3,0.2308,,
Lamar Jackson,BLT,QB,17,17,17,1,14,0.8235,1,0.2525,17,5,0.1765,160,9.4118,0.3063,9.4118,116,No,Yes,5,0.2941,5.5414,-0.0318,Yes,,0.8235,0.0588,2.4647,2.5,6.8235,105.9,No,Yes,10,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,8,8,17,,,0.1765,,,,
Dorian Thompson-Robinson,CLV,QB,5,5,5,1,2,0.4,0.6,-0.1548,5,-7,0.2,10,2,0.4,-7,28,No,No,2,0.4,1.5222,0.0956,No,,0.6,0.2,2.34,1.9,5.6,8.3,No,No,,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1.6,-1.6,-1.6,-1.6,-0.5,-1.5,7,1,,,1,0.2,,1
Mike White,BUF,QB,1,1,1,1,,,1,0.181,1,5,1,,,,,5,No,No,,,0.2975,-0.2975,No,,,,2.3,,5,39.6,No,Yes,,,,,,,,,,,,,,,1,,,,,,,
Kenny Pickett,PHI,QB,1,1,1,1,,,,-0.5704,1,,,,,,,16,No,No,,,0.2286,-0.2286,No,,1,,1.9,,16,39.6,No,No,,,,,,,,,,,,,,,5,1,,,,,,
Joe Burrow,CIN,QB,17,17,17,1,9,0.5294,0.7059,-0.0337,17,20,0.1765,75,4.4118,0.4133,5.5882,126,No,No,5,0.2941,5.7311,-0.043,No,,0.8235,0.0588,2.5294,3,7.4118,84.2,Yes,Yes,5,7,7,7,7,7,7,7,7,7,7,7,7.75,7.75,17,1,1,,1,0.0588,,
Russell Wilson,PIT,QB,13,13,13,1,10,0.7692,0.8462,0.0768,13,-1,0.0769,103,7.9231,0.4466,9.4615,81,No,No,4,0.3077,3.9889,0.0009,No,,0.6154,0.2308,2.3538,2.5,6.2308,124.8,No,No,6,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,9.15,9.15,11,1,1,,,,0.0769,
Anthony Richardson,IND,QB,18,18,18,1,8,0.4444,0.6111,0.0308,18,49,0.1667,144,8,0.4375,6.6111,310,No,No,5,0.2778,6.2529,-0.0696,No,0.0556,0.8889,,2.5889,2.48,17.2222,67.8,No,Yes,4,8.76,8.76,8.76,8.76,8.76,8.76,8.76,7.76,7.76,7.76,7.76,10.2,9.2,11,1,1,,7,0.3889,0.1111,1
Kirk Cousins,ATL,QB,16,16,16,1,8,0.5,0.6875,0.0263,16,34,0.1875,104,6.5,0.1154,6.5,188,No,No,3,0.1875,6.2961,-0.206,No,,0.75,,2.8563,2.9,11.75,70.8,No,No,6,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,5.2,5.2,14,,,0.0625,2,0.125,,
Mac Jones,JAX,QB,8,8,8,1,4,0.5,0.625,-0.1499,8,10,0.125,38,4.75,0.6053,4.75,43,No,No,3,0.375,2.2079,0.099,No,,0.875,,2.175,2.0667,5.375,63.5,No,Yes,2,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.9,1.9,10,,,,,,,
Joshua Dobbs,SF,QB,2,2,2,1,2,1,1,0.4039,2,,,35,17.5,0.1429,17.5,30,No,No,,,0.3881,-0.1941,No,,1,,1.7,,15,118.8,No,Yes,2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.75,1.75,2,,,,,,,
Jimmy Garoppolo,LA,QB,1,1,1,1,1,1,1,0.0689,1,,,9,9,1.6667,9,-6,Yes,Yes,1,1,0.2975,0.7025,No,,,1,2.3,2.1,-6,104.2,No,Yes,,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,1,,,,,,,
Andy Dalton,CAR,QB,6,6,6,1,4,0.6667,0.8333,0.2098,6,30,0.1667,47,7.8333,0.0426,11.1667,81,No,No,,,1.8198,-0.3033,No,,1,,2.3333,,13.5,129.9,Yes,Yes,3,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,6.35,6.35,6,1,1,,2,0.3333,0.3333,
Sam Darnold,MIN,QB,22,22,22,1,15,0.6818,0.8571,0.1387,22,22,0.1364,185,8.4091,0.3081,9.3182,186,No,Yes,8,0.3636,8.3746,-0.017,No,,0.6818,0.0909,2.7818,2.7625,8.3636,109.1,No,Yes,11,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,13.25,13.25,17,2,1,,2,0.0909,,
Jayden Daniels,WAS,QB,22,22,22,1,13,0.5909,0.7727,0.0168,22,4,0.1818,105,4.7727,0.5048,4.5455,135,Yes,No,2,0.0909,5.2351,-0.1471,No,,0.8182,,1.9545,2.4,6.1364,82.6,No,Yes,9,11.2,11.2,11.2,11.2,11.2,11.2,11.2,10.2,10.2,10.2,10.2,12.25,11.25,17,3,2,0.1364,1,0.0455,,1
Brandon Allen,SF,QB,1,1,1,1,1,1,1,0.181,1,,,9,9,0.4444,9,5,No,No,,,0.1423,-0.1423,No,,1,,1.4,,5,104.2,No,No,1,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,3,,,,,,,
Bo Nix,DEN,QB,24,24,24,1,15,0.625,0.8333,0.1,24,53,0.2083,102,4.25,0.3627,5.9167,210,No,No,3,0.125,7.3309,-0.1805,No,,0.6667,0.1667,2.3458,3.2,8.75,99.7,No,Yes,7,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,13.1,13.1,17,3,2,0.0417,4,0.1667,0.0417,
Trevor Lawrence,JAX,QB,10,10,10,1,6,0.6,0.9,0.0842,10,30,0.3,32,3.2,1.2188,3.2,31,No,No,2,0.2,2.458,-0.0458,No,,0.8,,2,2.6,3.1,65.4,No,No,3,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.6,1.6,10,,,0.1,,,,
