Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,DropsYardsLost,DropsPercentage,InterceptionsTotal,SackedFaultTotal,ScramblesTouchdowns,TowThrowPercentage,HeroThrowPercentage
Aidan O'Connell,LV,QB,63,63,2,0.6393,3,36,0.5902,0.6545,-0.0583,63,4,470,7.7049,0.5277,8.6885,557,3,,,,,2,13,Yes,Yes,17,0.2698,22.187,-0.0823,No,0.0952,0.2623,12,0.1967,0.7213,0.0164,0.5246,2.6836,,5.1,2.5882,9.9464,99.8,No,No,24,32.1,32.1,32.1,32.1,32.1,35.1,35.1,32.1,32.1,32.1,32.1,36.8,36.8,9,1,,,,,,0.0328,0.082
Tyson Bagent,CHI,QB,1,1,1,1,,1,1,1,0.0587,1,,5,5,1.6,5,-3,,,,,,,,Yes,No,,,0.1595,-0.1595,No,1,,,,1,,1,1.5,,,,-3,87.5,No,Yes,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,,,,,,,,
Hendon Hooker,DET,QB,7,7,1,0.8333,,5,0.8333,0.8333,0.0655,7,,58,9.6667,0.5,9.6667,37,,,,,,1,2,Yes,No,2,0.2857,1.8716,0.0183,No,,0.1667,1,0.1667,1,,0.5,2.3833,,5.6,3.55,6.1667,106.9,No,Yes,3,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,3.1,3.1,3,,,,,,,,
Marcus Mariota,WAS,QB,17,17,2,0.7692,,8,0.6154,0.75,0.1137,17,1,103,7.9231,0.2816,8.6,154,2,2,0.2857,-14,0.1176,2,18,Yes,Yes,7,0.4118,5.3171,0.099,No,0.2353,0.1538,2,0.1538,0.6923,,0.6154,2.9462,3.75,5.4,2.6286,12.8333,126,No,No,8,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,14.95,14.95,3,,13,0.0769,,2,,,
Tyler Huntley,MIA,QB,61,61,5,0.7255,2,32,0.6275,0.7778,0.0861,61,4,377,7.3922,0.3103,5.7143,451,1,5,0.2,-32,0.082,5,36,Yes,Yes,25,0.4098,19.3496,0.0926,Yes,0.082,0.1569,5,0.098,0.7059,0.0392,0.4118,2.7745,3.56,4.24,2.588,9.8043,83.5,No,No,21,27.68,27.68,27.68,27.68,27.68,30.68,30.68,26.68,26.68,26.68,26.68,31.45,30.45,5,1,17,0.0588,1,3,1,0.0784,
Aaron Rodgers,NYJ,QB,193,192,1,0.7647,13,126,0.6738,0.7557,-0.0376,192,9,1115,5.9626,0.7211,6.3665,838,11,4,0.0952,-29,0.0208,1,10,Yes,Yes,42,0.2188,68.2344,-0.1366,No,0.1823,0.1658,11,0.0588,0.6684,0.123,0.5775,2.6904,3.1,6.2,3.1643,4.7614,98.2,No,Yes,63,87.6,87.6,87.6,87.6,87.6,90.6,90.6,85.6,85.6,85.6,85.6,98.75,96.75,17,2,29,0.0374,2,1,,,0.0267
Mason Rudolph,TEN,QB,59,59,3,0.7547,2,35,0.6604,0.8511,0.0493,59,2,356,6.717,0.7444,5.75,189,4,3,0.1364,-24,0.0508,3,17,Yes,No,22,0.3729,20.7382,0.0214,No,0.1017,0.1321,2,0.0377,0.5849,0.1509,0.4906,2.8434,3.0667,3.9333,2.7273,3.76,94.5,No,Yes,21,35.94,35.94,35.94,35.94,35.94,38.94,38.94,33.94,33.94,33.94,33.94,39.5,37.5,8,1,19,0.0943,2,1,1,0.0566,
Baker Mayfield,TB,QB,150,150,5,0.8394,8,101,0.7372,0.8308,0.0687,150,3,1264,9.2263,0.678,8.6069,783,8,8,0.2857,-41,0.0533,5,37,Yes,Yes,28,0.1867,48.8374,-0.1389,Yes,0.1067,0.0949,13,0.0949,0.7153,0.1241,0.562,2.6416,3.4875,4.76,2.8643,5.9771,112.3,No,No,62,83.26,83.26,83.26,83.26,83.26,86.26,86.26,80.26,80.26,80.26,80.26,95.9,92.9,17,3,68,0.0511,3,3,,0.0219,0.0292
Jarrett Stidham,DEN,QB,1,1,1,,,,,,,1,,,,,,,,,,,,1,8,Yes,No,,,,,No,,,,,,,,,,2.6,,,,No,No,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,3,,,,,,,,
Carson Wentz,KC,QB,5,5,5,0.8,,4,0.8,0.8,0.0094,5,,42,8.4,0.6905,8.4,22,,,,,,,,Yes,No,,,0.815,-0.163,No,0.4,0.2,,,1,,0.8,1.52,,,,4.4,101.7,No,Yes,2,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,2.1,2.1,3,,,,,,,,
Dak Prescott,DAL,QB,64,63,2,0.8136,2,43,0.7288,0.7719,-0.0007,63,2,473,8.0169,0.6702,8.2623,381,2,2,0.1,-9,0.0317,2,11,Yes,Yes,20,0.3175,20.6605,-0.0105,No,0.0794,0.1525,6,0.1017,0.661,0.0508,0.4746,2.6051,3.95,4.7,2.5,6.6842,107.5,No,No,15,28.02,28.02,28.02,28.02,28.02,31.02,31.02,28.02,28.02,28.02,28.02,32.75,32.75,8,,24,0.0169,,1,,,0.0508
Deshaun Watson,CLV,QB,76,76,8,0.6949,4,39,0.661,0.7547,0.0268,76,4,303,5.1356,0.5116,3.8824,482,2,9,0.2308,-34,0.1184,8,42,Yes,No,39,0.5132,27.7675,0.1478,No,0.0395,0.2034,9,0.1525,0.5932,0.1186,0.5085,3.3034,3.8111,5.075,2.6897,8.9259,82.8,No,Yes,12,21.32,21.32,21.32,21.32,21.32,24.32,22.32,18.32,18.32,18.32,18.32,24.35,21.35,7,1,18,0.0169,1,2,,0.0339,0.0339
Spencer Rattler,NO,QB,48,48,3,0.6829,3,22,0.5366,0.7027,-0.0075,48,4,341,8.3171,0.5279,5.3556,331,3,4,0.2,-25,0.0833,3,39,Yes,No,20,0.4167,18.1853,0.0378,Yes,0.0417,0.1951,6,0.1463,0.7317,0.0488,0.4634,3.1463,3.525,5.2,3.255,8.9459,75.4,No,No,16,25.54,25.54,25.54,25.54,25.54,28.54,27.54,21.54,21.54,21.54,21.54,28.95,24.95,7,,7,0.0976,3,3,,0.0732,0.0488
Tommy DeVito,NYG,QB,15,15,1,0.8182,,8,0.7273,0.7273,-0.0587,15,,77,7,0.4805,4,56,,3,0.4286,-21,0.2,1,6,Yes,No,7,0.4667,3.2731,0.2485,Yes,0.1333,0.1818,,,0.9091,0.0909,0.3636,2.3,2.3333,5.5,2.4714,5.0909,91.9,Yes,Yes,4,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,4.45,4.45,3,,,,,,,0.0909,
Joe Milton,NE,QB,7,7,7,1,,7,1,1,0.2862,7,,83,11.8571,0.2892,11.8571,59,,,,,,,,Yes,No,2,0.2857,2.4451,-0.0636,Yes,0.4286,,,,0.8571,,0.7143,2.6,,,3.3,8.4286,116.1,No,Yes,6,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,4.15,4.15,1,,,,,,,,
Tim Boyle,NYG,QB,12,12,1,0.5455,,5,0.4545,0.625,-0.0929,12,2,43,3.9091,0.7442,-0.1818,70,,,,,,1,6,Yes,No,3,0.25,3.4973,-0.0414,No,0.1667,0.1818,2,0.1818,0.6364,,0.4545,2.4182,,4.8,2.4333,7.7778,18.4,No,No,2,1.32,1.32,1.32,1.32,1.32,1.32,1.32,0.32,0.32,0.32,0.32,1.75,0.75,3,,,,1,,,0.0909,
Mitchell Trubisky,BUF,QB,7,7,7,1,,7,1,1,0.1441,7,,30,4.2857,0.7667,7.1429,7,1,,,,,,,Yes,No,2,0.2857,2.3243,-0.0463,No,0.1429,,,,0.7143,,0.7143,2.5,,,2.35,1,124.1,No,Yes,3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.5,5.5,9,,,,,,,,
Derek Carr,NO,QB,88,85,5,0.7105,7,50,0.6579,0.7727,0.0585,85,8,758,9.9737,0.566,9.8,647,5,4,0.1429,-29,0.0471,5,29,Yes,No,28,0.3294,31.7736,-0.0444,Yes,0.0471,0.1579,13,0.1711,0.6447,0.0789,0.5,2.9987,3.775,5.78,3.15,9.803,114.9,No,No,29,52.22,52.22,52.22,52.22,52.22,55.22,55.22,51.22,51.22,51.22,51.22,59.8,58.8,10,2,30,0.0132,1,2,,0.0263,0.0395
Jordan Love,GB,QB,122,122,3,0.7119,4,74,0.6271,0.7453,-0.0115,122,6,1021,8.6525,0.6151,9.1513,823,6,1,0.0263,-7,0.0082,3,21,Yes,No,38,0.3115,43.3736,-0.044,Yes,0.1885,0.1864,15,0.1271,0.6186,0.1441,0.4831,2.7059,4,4.8333,2.7842,7.6204,103.8,No,No,44,65.94,65.94,65.94,65.94,65.94,68.94,68.94,64.94,64.94,64.94,64.94,76.15,75.15,15,4,13,0.0424,1,1,,0.0339,0.0169
Clayton Tune,ARZ,QB,1,1,1,1,,1,1,1,0.0587,1,,1,1,4,1,-3,,,,,,,,No,No,,,0.0906,-0.0906,No,,,,,1,,1,1.1,,,,-3,79.2,No,No,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,6,,,,,,,,
Bryce Young,CAR,QB,108,108,13,0.7011,5,55,0.6322,0.725,-0.0486,108,7,562,6.4598,0.6299,4.6105,503,3,8,0.186,-49,0.0741,13,93,Yes,No,43,0.3981,32.4936,0.0973,No,0.0741,0.2184,11,0.1264,0.7356,0.0575,0.5632,2.7402,4.2,5.2154,2.6023,6.2875,78.8,No,Yes,27,52.78,52.78,52.78,52.78,52.78,55.78,55.78,49.78,49.78,49.78,49.78,58.4,55.4,14,,60,0.0345,3,2,2,0.0345,0.0805
Jameis Winston,CLV,QB,66,66,61,0.6885,6,37,0.6066,0.7018,0.0489,66,2,710,11.6393,0.4197,9.7424,755,5,5,0.2941,-32,0.0758,,,Yes,No,17,0.2576,23.4118,-0.0971,No,0.1364,0.2131,12,0.1967,0.7377,0.0492,0.4262,2.8,3.08,,2.4,13.2456,108,No,Yes,28,44.4,44.4,44.4,44.4,44.4,47.4,46.4,40.4,40.4,40.4,40.4,51.5,47.5,12,2,46,0.0492,3,2,,0.0492,0.1311
Sam Howell,SEA,QB,6,6,4,0.75,,2,0.5,1,0.1499,6,,3,0.75,0.6667,-1.6667,7,,2,0.5,-13,0.3333,,,Yes,Yes,4,0.6667,1.6042,0.3993,No,0.1667,,,,0.25,,0.5,2.9,3.15,,2.525,1.75,56.3,No,No,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,2,,6,0.25,,,,,
Jake Haener,NO,QB,5,5,3,1,,1,0.3333,0.6667,-0.0457,5,,3,1,1.6667,-3.2,26,,2,0.6667,-19,0.4,,,Yes,No,3,0.6,1.0307,0.3939,No,,,1,0.3333,1,,0.6667,2.5667,3.3,,2.9333,8.6667,42.4,No,Yes,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,8,,20,0.3333,,1,,0.3333,
Josh Allen,BUF,QB,124,124,9,0.7478,5,80,0.6957,0.7981,0.0317,124,9,981,8.5304,0.63,8.1826,643,7,,,,,9,87,No,No,38,0.3065,43.033,-0.0406,No,0.2177,0.1304,11,0.0957,0.5652,0.1391,0.6261,2.7443,,4.9667,2.7263,6.1827,101.4,No,No,51,78.64,78.64,78.64,78.64,78.64,81.64,81.64,74.64,74.64,74.64,74.64,88.45,84.45,17,2,27,0.0261,4,,,0.0261,0.0783
