teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone
6,Chicago,Bears,GB,NFC,NFC North,Closed,Closed,Cover 3,16,18,Yes,No,No,79,18,No,2,Yes,18,1,0.2278,16,,2,0.8889,185,25,8,170,,,,0.1667,0.1667,0.2222,0.4444,11,0.6111,1,0.0556,9.4444,109.5,2.3418,10.2778,2.8358,,11.5625,1.5625,0.5,8,1,,1,,
4,Buffalo,Bills,NE,AFC,AFC East,Open,Open,Cover 4,16,24,No,Yes,No,100,24,No,2,Yes,24,1,0.24,21,1,,0.875,183,82,42,99,2,3,0.1429,0.2083,0.0833,0.4167,0.2917,15,0.625,4,0.1667,4.125,98.4,1.83,7.625,0.7232,0.0833,8.7143,3.9048,2,8,6,,1,,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 4,15,25,No,No,No,107,25,No,4,Yes,25,1,0.2336,20,1,1,0.8,226,80,25,206,3,2,0.1,0.12,0.16,0.2,0.52,15,0.6,2,0.08,8.24,101,2.1121,9.04,1.025,0.12,11.3,4,1.25,12,3,1,1,1,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Closed,Cover 1,17,25,No,Yes,Yes,108,25,No,,Yes,25,1,0.2315,24,,,0.96,250,79,14,178,,,,0.08,0.04,0.32,0.56,19,0.76,3,0.12,7.12,118.3,2.3148,10,2.4129,,10.4167,3.2917,0.5833,15,4,,2,2,2
24,New York,Giants,PHI,NFC,NFC East,Closed,Closed,Cover 3,15,19,Yes,Yes,No,79,19,Yes,4,Yes,19,1,0.2405,12,1,,0.6316,85,33,14,100,4,,,0.2105,0.1053,0.4737,0.2105,12,0.6316,2,0.1053,5.2632,108.4,1.0759,4.4737,-2.6258,0.2105,7.0833,2.75,1.1667,6,3,,2,2,2
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Closed,Cover 1,15,21,No,Yes,Yes,89,21,No,2,Yes,21,1,0.236,16,1,1,0.7619,151,43,6,158,2,,,0.2381,0.0952,0.1905,0.4762,14,0.6667,2,0.0952,7.5238,111.4,1.6966,7.1905,0.0687,0.0952,9.4375,2.6875,0.375,5,1,1,,1,
32,Washington,Commanders,ATL,NFC,NFC South,Open,Closed,Cover 1,16,16,No,No,No,74,16,Yes,4,Yes,16,1,0.2162,12,3,1,0.75,124,13,3,160,2,,,0.0625,0.0625,0.3125,0.5625,10,0.625,,,10,117.7,1.6757,7.75,-0.326,0.125,10.3333,1.0833,0.25,9,3,1,1,1,1
7,Cincinnati,Bengals,PIT,AFC,AFC North,Open,Open,Cover 2,16,27,No,No,No,116,27,No,2,Yes,27,1,0.2328,18,,,0.6667,191,37,14,215,6,2,0.1111,0.037,0.0741,0.4074,0.4815,22,0.8148,1,0.037,7.963,87.1,1.6466,7.0741,-0.6236,0.2222,10.6111,2.0556,0.7778,9,1,,,,
26,Philadelphia,Eagles,NYG,NFC,NFC East,Closed,Closed,Cover 3,15,21,Yes,Yes,No,85,21,Yes,3,Yes,21,1,0.2471,15,1,1,0.7143,225,71,19,183,4,1,0.0667,0.1429,,0.3333,0.5238,15,0.7143,3,0.1429,8.7143,122.1,2.6471,10.7143,2.8151,0.1905,15,4.7333,1.2667,10,5,1,,1,
8,Cleveland,Browns,MIA,AFC,AFC East,Open,Open,Cover 6,16,21,No,Yes,No,89,21,No,4,Yes,21,1,0.236,17,1,1,0.8095,158,55,20,108,2,1,0.0588,0.1429,0.0952,0.2857,0.4762,12,0.5714,1,0.0476,5.1429,113.9,1.7753,7.5238,0.3348,0.0952,9.2941,3.2353,1.1765,9,5,1,,1,
9,Dallas,Cowboys,PHI,NFC,NFC East,Open,Open,Cover 4,16,18,No,Yes,No,83,18,No,3,Yes,18,1,0.2169,12,,,0.6667,98,15,6,150,3,,,0.0556,0.1111,0.2778,0.5556,13,0.7222,,,8.3333,98.8,1.1807,5.4444,-1.7958,0.1667,8.1667,1.25,0.5,8,2,,1,1,1
19,Las Vegas,Raiders,LAC,AFC,AFC West,Closed,Open,Cover 2,17,21,No,No,No,82,21,No,1,Yes,21,1,0.2561,18,1,3,0.8571,210,95,40,158,2,4,0.2222,0.0952,0.0952,0.5238,0.2857,16,0.7619,3,0.1429,7.5238,124.2,2.561,10,2.5538,0.0952,11.6667,5.2778,2.2222,10,1,1,1,1,1
13,Houston,Texans,TEN,AFC,AFC South,Open,Closed,Cover 1,17,20,Yes,No,Yes,88,20,No,3,Yes,20,1,0.2273,14,1,,0.7,148,40,19,157,4,2,0.1429,0.1,0.1,0.35,0.45,15,0.75,2,0.1,7.85,124.6,1.6818,7.4,-0.1448,0.2,10.5714,2.8571,1.3571,7,2,,,2,
21,Minnesota,Vikings,DET,NFC,NFC North,Open,Closed,Cover 3,16,26,Yes,Yes,No,102,26,No,2,Yes,26,1,0.2549,19,,1,0.7308,224,103,41,173,6,2,0.1053,0.0385,0.1538,0.3846,0.4231,19,0.7308,5,0.1923,6.6538,124.5,2.1961,8.6154,1.1852,0.2308,11.7895,5.4211,2.1579,13,8,,2,2,2
11,Detroit,Lions,MIN,NFC,NFC North,Open,Closed,Cover 3,16,19,Yes,Yes,No,86,19,No,1,Yes,19,1,0.2209,17,1,1,0.8947,178,49,14,139,2,2,0.1176,0.1053,0.1579,0.3158,0.4211,12,0.6316,,,7.3158,105.7,2.0698,9.3684,2.0804,0.1053,10.4706,2.8824,0.8235,7,,1,,,
23,New Orleans,Saints,TB,NFC,NFC South,Open,Open,Cover 6,16,28,Yes,Yes,No,113,28,No,4,Yes,28,1,0.2478,18,1,,0.6429,172,36,13,227,7,2,0.1111,0.25,0.0714,0.25,0.4286,18,0.6429,2,0.0714,8.1071,78.3,1.5221,6.1429,-1.6116,0.25,9.5556,2,0.7222,11,3,,3,1,1
18,Los Angeles,Chargers,LV,AFC,AFC West,Closed,Open,Cover 2,16,13,No,No,No,54,13,No,2,Yes,13,1,0.2407,12,1,,0.9231,84,9,3,71,,2,0.1667,0.3077,,0.3077,0.3846,5,0.3846,2,0.1538,5.4615,93.6,1.5556,6.4615,-0.6892,,7,0.75,0.25,6,3,,,,
15,Jacksonville,Jaguars,IND,AFC,AFC South,Closed,Closed,Prevent,16,25,No,No,No,112,25,Yes,2,Yes,25,1,0.2232,23,1,2,0.92,214,67,15,160,1,1,0.0435,0.32,0.16,0.2,0.32,15,0.6,1,0.04,6.4,129,1.9107,8.56,1.0996,0.04,9.3043,2.913,0.6522,14,4,,2,2,2
3,Baltimore,Ravens,HST,AFC,AFC South,Closed,Closed,Cover 3,15,24,Yes,No,No,107,24,No,3,Yes,24,1,0.2243,20,,,0.8333,188,69,9,175,2,2,0.1,0.1667,0.0833,0.2917,0.4583,15,0.625,1,0.0417,7.2917,99.3,1.757,7.8333,0.5874,0.0833,9.4,3.45,0.45,11,,,1,,
12,Green Bay,Packers,CHI,NFC,NFC North,Closed,Closed,Cover 3,16,22,Yes,No,No,103,22,No,1,Yes,22,1,0.2136,17,,,0.7727,136,39,16,138,4,2,0.1176,0.2273,0.0455,0.2727,0.4545,13,0.5909,,,6.2727,92.2,1.3204,6.1818,-1.133,0.1818,8,2.2941,0.9412,8,5,1,,,
20,Miami,Dolphins,NYJ,AFC,AFC East,Open,Open,Cover 4,16,24,No,No,No,109,24,No,1,Yes,24,1,0.2202,19,1,2,0.7917,174,21,10,216,5,1,0.0526,0.0833,0.0833,0.2083,0.625,15,0.625,1,0.0417,9,96.9,1.5963,7.25,-0.8956,0.2083,9.1579,1.1053,0.5263,6,4,,1,,
25,New York,Jets,MIA,AFC,AFC East,Open,Open,Cover 4,17,19,No,No,No,75,19,No,2,Yes,19,1,0.2533,18,2,3,0.9474,229,53,16,205,1,,,0.1053,0.1579,0.3158,0.4211,16,0.8421,2,0.1053,10.7895,134.4,3.0533,12.0526,3.8005,0.0526,12.7222,2.9444,0.8889,12,1,1,,1,
