teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Closed,Cover 3,16,39,No,No,No,160,39,Yes,11,Yes,39,1,0.2437,30,4,1,0.7692,317,147,62,313,1,8,0.2667,0.1795,0.1538,0.2564,0.4103,29,0.7436,5,0.1282,8.0256,125.7,1.9812,8.1282,0.1755,0.0256,10.5667,4.9,2.0667,19,9,,5,3,2
4,Buffalo,Bills,NE,AFC,AFC East,Open,Closed,Cover 1,17,52,Yes,Yes,No,215,52,No,15,Yes,52,1,0.2419,38,10,2,0.7308,412,156,33,489,7,3,0.0789,0.1923,0.1731,0.3654,0.2692,36,0.6923,6,0.1154,9.4038,120,1.9163,7.9231,-0.4194,0.1346,10.8421,4.1053,0.8684,20,8,,6,5,4
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Closed,Cover 3,17,55,No,No,No,228,55,Yes,10,Yes,55,1,0.2412,49,6,2,0.8909,526,226,100,343,3,7,0.1429,0.0727,0.0727,0.4909,0.3636,34,0.6182,7,0.1273,6.2364,118.6,2.307,9.5636,2.275,0.0545,10.7347,4.6122,2.0408,32,7,1,3,2,2
24,New York,Giants,PHI,NFC,NFC East,Closed,Closed,Cover 1,17,51,No,Yes,No,204,51,No,5,Yes,51,1,0.25,47,3,4,0.9216,548,250,85,354,2,4,0.0851,0.1765,0.2157,0.1373,0.4706,38,0.7451,7,0.1373,6.9412,118,2.6863,10.7451,3.4316,0.0392,11.6596,5.3191,1.8085,31,3,,2,1,1
6,Chicago,Bears,GB,NFC,NFC North,Closed,Closed,Cover 3,15,42,Yes,No,No,161,42,No,4,Yes,42,1,0.2609,34,3,1,0.8095,412,132,42,341,6,5,0.1471,0.0952,0.0476,0.4524,0.4048,29,0.6905,5,0.119,8.119,139.3,2.559,9.8095,2.1809,0.1429,12.1176,3.8824,1.2353,16,3,,3,4,2
10,Denver,Broncos,KC,AFC,AFC West,Closed,Closed,Cover 1,16,44,No,No,Yes,192,44,No,8,Yes,44,1,0.2292,37,5,,0.8409,474,184,68,339,4,3,0.0811,0.0682,0.1818,0.3182,0.4318,34,0.7727,3,0.0682,7.7045,141.9,2.4688,10.7727,3.2246,0.0909,12.8108,4.973,1.8378,21,3,1,2,4,2
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Closed,Cover 3,17,58,No,No,No,249,58,Yes,14,Yes,58,1,0.2329,48,6,2,0.8276,543,218,60,461,3,3,0.0625,0.1034,0.1034,0.3103,0.4828,40,0.6897,6,0.1034,7.9483,145.3,2.1807,9.3621,1.6421,0.0517,11.3125,4.5417,1.25,30,11,,7,7,6
14,Indianapolis,Colts,JAX,AFC,AFC South,Open,Closed,Cover 1,16,42,No,Yes,No,162,42,Yes,5,Yes,42,1,0.2593,37,2,1,0.881,353,162,68,278,2,5,0.1351,0.2143,0.119,0.2619,0.4048,30,0.7143,8,0.1905,6.619,107.6,2.179,8.4048,1.1255,0.0476,9.5405,4.3784,1.8378,18,4,1,2,2,2
28,Seattle,Seahawks,LA,NFC,NFC West,Closed,Closed,Cover 3,16,40,No,No,Yes,158,40,Yes,8,Yes,40,1,0.2532,34,5,6,0.85,406,181,55,295,3,3,0.0882,0.125,0.05,0.4,0.425,35,0.875,6,0.15,7.375,134,2.5696,10.15,2.6935,0.075,11.9412,5.3235,1.6176,20,6,,3,3,2
17,Los Angeles,Rams,SEA,NFC,NFC West,Closed,Closed,Cover 3,17,29,No,No,Yes,125,29,Yes,9,Yes,29,1,0.232,23,5,,0.7931,249,85,22,269,3,1,0.0435,0.1034,0.2069,0.1724,0.4828,23,0.7931,1,0.0345,9.2759,125.4,1.992,8.5862,0.5907,0.1034,10.8261,3.6957,0.9565,14,4,1,3,2,1
22,New England,Patriots,BUF,AFC,AFC East,Open,Closed,Cover 1,17,42,Yes,Yes,No,175,42,No,6,Yes,42,1,0.24,32,2,1,0.7619,314,103,36,323,8,7,0.2188,0.0714,0.0714,0.4048,0.4524,27,0.6429,5,0.119,7.6905,110.6,1.7943,7.4762,-0.0503,0.1905,9.8125,3.2188,1.125,16,7,1,3,3,1
