Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TargetsInEndzone,ReceptionsHero,TouchdownsInEndzone,AlignmentInlineRoutesPercentage
Equanimeous St. Brown,NO,WR,2,Yes,No,No,1,,No,Yes,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Sanders,CAR,RB,30,Yes,No,No,14,4,No,Yes,0.2857,9,0.1429,,4,2.25,1,0.7371,6.685,6.685,0.1538,11,,4,1,4,,1,37,28,12,,2,0.5,0.8571,2,0.5,144.8,2.6429,9.25,,9.25,7,3,1,9.7,13.7,11.7,15.7,13.7,13.7,11.7,13.7,13.7,13.7,11.7,13.7,13.7,1,1,,,,
Charlie Jones,CIN,WR,4,Yes,No,No,3,,No,Yes,,,0.6667,,,,,,,,,8,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,3,Yes,No,Yes,3,,No,Yes,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,98,Yes,No,Yes,77,23,Yes,Yes,0.2987,76,0.039,0.039,15,3.3043,1,3.1316,38.4536,38.4536,0.2911,15,,22,0.9565,22,,0.9565,229,168,64,,4,0.1818,0.013,5,0.2174,137.1,2.974,9.9565,,10.4091,7.6364,2.9091,13,34.9,56.9,45.9,56.9,67.9,59.9,48.9,56.9,56.9,56.9,45.9,67.9,56.9,2,2,1,,1,0.9091
KhaDarel Hodge,ATL,WR,17,Yes,No,No,14,3,No,Yes,0.2143,39,0.4286,0.5714,3,13,1,0.52,6.884,6.884,0.2,16,,2,0.6667,2,,0.6667,27,32,7,,4,2,,2,0.6667,95.1,1.9286,9,,13.5,16,3.5,2,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,,,,,,
Jamari Thrash,CLV,WR,19,Yes,No,Yes,15,2,No,Yes,0.1333,1,0.4667,0.5333,2,0.5,,0.0255,2.669,2.669,0.1333,9,,2,1,1,,0.5,11,8,2,1,,,,1,0.5,66.7,0.7333,5.5,0.5,11,8,2,1,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,,,
Saquon Barkley,PHI,RB,107,Yes,Yes,No,56,8,No,Yes,0.1429,47,,,3,5.875,1,2.0849,18.881,18.881,0.1,16,1,8,1,7,1,0.875,74,31,21,1,3,0.4286,1,,,144.8,1.3214,9.25,0.125,10.5714,4.4286,3,4,13.4,20.4,16.9,23.9,20.4,20.4,16.9,20.4,20.4,20.4,16.9,20.4,20.4,4,1,1,1,1,
Evan Engram,JAX,TE,49,Yes,No,No,37,12,No,Yes,0.3243,58,0.1622,0.0541,11,4.8333,1,-2.8435,18.3913,18.3913,0.2857,9,,11,0.9167,10,,0.8333,55,34,11,1,1,0.1,0.027,5,0.4167,85.8,1.4865,4.5833,0.0833,5.5,3.4,1.1,2,5.5,15.5,10.5,15.5,20.5,15.5,10.5,15.5,15.5,15.5,10.5,20.5,15.5,,,,,,0.7568
Jake Bobo,SEA,WR,46,Yes,No,No,34,4,No,Yes,0.1176,44,0.2353,0.7353,2,11,,0.7503,8.897,8.897,0.1,17,,4,1,3,,0.75,36,5,,1,,,0.0294,,,102.1,1.0588,9,0.25,12,1.6667,,3,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,1,,,,,
Brevyn Spann-Ford,DAL,TE,38,Yes,Yes,No,25,5,No,No,0.2,54,0.12,,5,10.8,,-2.7291,9.4882,9.4882,0.1389,17,2,5,1,3,,0.6,32,11,5,,,,0.04,,,78.8,1.28,6.4,,10.6667,3.6667,1.6667,2,3.2,6.2,4.7,6.2,7.7,6.2,4.7,6.2,6.2,6.2,4.7,7.7,6.2,1,,1,,,0.84
Tyler Higbee,LA,TE,12,Yes,No,No,9,6,No,Yes,0.6667,12,0.2222,,6,2,,0.9979,14.9329,14.9329,0.5455,3,,5,0.8333,5,,0.8333,41,38,13,,,,,1,0.1667,134.7,4.5556,6.8333,,8.2,7.6,2.6,4,16.1,21.1,18.6,21.1,23.6,21.1,18.6,21.1,21.1,21.1,18.6,23.6,21.1,3,2,1,,,0.7778
Parris Campbell,PHI,WR,19,Yes,No,No,14,1,No,Yes,0.0714,9,0.4286,0.5714,,9,,-6.4539,4.3427,4.3427,0.0667,5,,1,1,1,,1,1,,,,,,,,,118.8,0.0714,1,,1,,,1,6.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,1,1,1,,1,
Connor Heyward,PIT,TE,44,Yes,No,No,26,5,No,No,0.1923,43,,0.0769,2,8.6,1,-4.7878,6.4575,6.4575,0.1562,16,1,5,1,3,,0.6,13,4,-2,,,,0.4615,,,64.6,0.5,2.6,,4.3333,1.3333,-0.6667,,1.3,4.3,2.8,4.3,5.8,4.3,2.8,4.3,4.3,4.3,2.8,5.8,4.3,,,,,,0.4615
Adonai Mitchell,IND,WR,60,Yes,No,No,50,17,No,Yes,0.34,270,0.18,0.82,17,15.8824,5,-2.5103,34.8207,34.8207,0.3208,17,,11,0.6471,10,,0.5882,127,13,5,1,,,,1,0.0588,82.2,2.54,7.4706,0.0588,12.7,1.3,0.5,7,12.7,22.7,17.7,22.7,22.7,25.7,20.7,22.7,22.7,22.7,17.7,22.7,22.7,2,,1,2,,
Nick Westbrook-Ikhine,TEN,WR,107,Yes,No,No,85,6,No,No,0.0706,86,0.0824,0.9176,5,14.3333,1,-3.3149,13.4902,13.4902,0.0698,17,2,4,0.6667,4,1,0.6667,37,2,,,,,,,,122.9,0.4353,6.1667,,9.25,0.5,,4,21.7,25.7,23.7,25.7,25.7,25.7,23.7,25.7,25.7,25.7,23.7,25.7,25.7,3,3,3,,3,
Marquez Valdes-Scantling,NO,WR,72,Yes,Yes,Yes,64,15,No,No,0.2344,292,0.1719,0.8281,13,19.4667,7,5.1009,30.0631,30.0631,0.283,14,2,11,0.7333,8,,0.5333,230,103,23,1,1,0.125,,1,0.0667,110.4,3.5938,15.3333,0.0667,28.75,12.875,2.875,7,35,43,39,43,43,46,42,43,43,43,39,43,43,1,2,1,,1,
Hunter Long,LA,TE,55,Yes,No,No,29,5,No,Yes,0.1724,13,0.0345,,4,2.6,,-0.4202,9.1798,9.1798,0.1042,17,,3,0.6,3,,0.6,30,17,5,,,,,,,77.1,1.0345,6,,10,5.6667,1.6667,2,3,6,4.5,6,7.5,6,4.5,6,6,6,4.5,7.5,6,,,,,,0.9655
Kayshon Boutte,NE,WR,90,Yes,No,Yes,75,15,No,Yes,0.2,311,0.0667,0.9067,13,20.7333,5,-4.9527,34.4213,34.4213,0.2308,15,1,8,0.5333,7,,0.4667,77,25,20,,2,0.2857,,,,34.6,1.0267,5.1333,,11,3.5714,2.8571,6,7.7,14.7,11.2,14.7,14.7,14.7,11.2,14.7,14.7,14.7,11.2,14.7,14.7,,,,,,0.0267
Robbie Chosen,MIA,WR,4,Yes,Yes,No,4,,Yes,Yes,,,0.25,0.75,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Sims,GB,TE,42,Yes,No,No,26,2,No,Yes,0.0769,5,,,,2.5,,-0.346,3.9776,3.9776,0.0541,16,,2,1,2,,1,12,7,2,,,,0.0385,,,91.7,0.4615,6,,6,3.5,1,,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,1,,,,,0.9615
DeAndre Carter,CHI,WR,14,Yes,Yes,No,10,1,No,No,0.1,-2,0.5,0.5,1,-2,,1.5009,1.4365,1.4365,0.1111,13,,1,1,1,,1,7,9,7,,1,1,,1,1,95.8,0.7,7,,7,9,7,1,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,
Adam Trautman,DEN,TE,115,Yes,No,No,52,10,No,No,0.1923,53,0.0385,0.0769,6,5.3,,2.695,20.5618,20.5618,0.1124,17,1,9,0.9,8,,0.8,98,58,4,,,,,,,140.8,1.8846,9.8,,12.25,7.25,0.5,4,15.8,23.8,19.8,23.8,27.8,23.8,19.8,23.8,23.8,23.8,19.8,27.8,23.8,4,1,1,,1,0.8846
D'Andre Swift,CHI,RB,126,Yes,No,No,62,18,No,Yes,0.2903,-15,,0.0161,11,-0.8333,,3.8268,25.573,25.573,0.1935,17,,17,0.9444,14,,0.7778,175,197,63,3,2,0.1429,0.9839,9,0.5,84,2.8226,9.7222,0.1667,12.5,14.0714,4.5,8,17.5,31.5,24.5,38.5,31.5,34.5,27.5,31.5,31.5,31.5,24.5,31.5,31.5,,,,,,
Ja'Marr Chase,CIN,WR,146,Yes,No,No,142,47,No,Yes,0.331,398,0.2254,0.7606,36,8.4681,4,5.1951,85.5013,85.5013,0.3821,17,4,42,0.8936,40,1,0.8511,614,280,77,,6,0.15,0.0141,10,0.2128,129.4,4.3239,13.0638,,15.35,7,1.925,25,85.4,125.4,105.4,125.4,125.4,128.4,108.4,125.4,125.4,125.4,105.4,125.4,125.4,6,4,3,1,,
Steven Sims,BLT,WR,1,Yes,No,Yes,1,,No,Yes,,,,1,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,93,Yes,No,No,55,10,No,Yes,0.1818,39,0.0727,0.0364,8,3.9,,1.3878,18.9066,18.9066,0.137,12,,7,0.7,7,,0.7,78,61,32,,1,0.1429,0.0545,1,0.1,126.3,1.4182,7.8,,11.1429,8.7143,4.5714,5,13.8,20.8,17.3,20.8,24.3,20.8,17.3,20.8,20.8,20.8,17.3,24.3,20.8,1,1,1,,1,0.8364
Jonathan Mingo,DAL,WR,72,Yes,Yes,No,67,11,No,No,0.1642,86,0.4328,0.5522,6,7.8182,1,-2.2965,17.9261,17.9261,0.1746,17,1,8,0.7273,7,1,0.6364,63,26,10,1,2,0.2857,,,,79,0.9403,5.7273,0.0909,9,3.7143,1.4286,2,6.3,13.3,9.8,13.3,13.3,13.3,9.8,13.3,13.3,13.3,9.8,13.3,13.3,,,,,,0.0149
Cooper Kupp,LA,WR,90,Yes,No,No,73,21,No,No,0.2877,146,0.6027,0.3973,19,6.9524,3,2.961,36.0213,36.0213,0.2561,12,2,20,0.9524,19,1,0.9048,219,94,18,1,2,0.1053,,2,0.0952,126,3,10.4286,0.0476,11.5263,4.9474,0.9474,9,27.9,46.9,37.4,46.9,46.9,49.9,40.4,46.9,46.9,46.9,37.4,46.9,46.9,2,1,,1,,
James Conner,ARZ,RB,124,Yes,No,No,72,26,No,No,0.3611,-50,0.0278,,14,-1.9231,,5.5913,40.8807,40.8807,0.2476,16,,25,0.9615,25,,0.9615,300,347,148,,13,0.52,0.9722,13,0.5,127.6,4.1667,11.5385,,12,13.88,5.92,11,35,60,47.5,72.5,60,63,49.5,59,59,59,46.5,60,59,1,1,,,,
Sincere McCormick,LV,RB,16,Yes,Yes,Yes,9,1,No,No,0.1111,-3,,,1,-3,,-8.1191,1.5434,1.5434,0.1,4,,1,1,1,,1,-2,1,,,,,1,,,79.2,-0.2222,-2,,-2,1,,,-0.2,0.8,0.3,1.3,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,,,,,
K.J. Osborn,WAS,WR,22,Yes,No,No,18,2,No,Yes,0.1111,20,0.2222,0.7778,1,10,,-8.5576,3.3053,3.3053,0.1176,9,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Conklin,NYJ,TE,146,Yes,Yes,No,93,23,No,Yes,0.2473,110,0.086,0.0323,15,4.7826,1,-1.2904,45.4498,45.4498,0.1729,16,,20,0.8696,18,,0.7826,133,83,41,1,2,0.1111,0.0108,2,0.087,119.7,1.4301,5.7826,0.0435,7.3889,4.6111,2.2778,10,25.3,43.3,34.3,43.3,52.3,46.3,37.3,43.3,43.3,43.3,34.3,52.3,43.3,4,2,3,,2,0.871
Justice Hill,BLT,RB,26,Yes,No,No,14,5,No,Yes,0.3571,-10,0.0714,,4,-2,,-1.9066,11.5161,11.5161,0.2273,16,,4,0.8,4,,0.8,20,30,5,,,,0.9286,3,0.6,83.3,1.4286,4,,5,7.5,1.25,1,2,6,4,8,6,6,4,6,6,6,4,6,6,2,,,,,
Anthony Firkser,KC,TE,11,Yes,No,No,7,,No,Yes,,,,0.1429,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571
Jonathon Brooks,CAR,RB,7,Yes,Yes,Yes,6,2,No,No,0.3333,-6,0.1667,,1,-3,,6.0418,3.512,3.512,0.4,3,,2,1,2,,1,23,29,5,,3,1.5,0.8333,,,114.6,3.8333,11.5,,11.5,14.5,2.5,2,2.3,4.3,3.3,5.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,1,,,,,
Tom Kennedy,DET,WR,1,Yes,No,Yes,1,,No,Yes,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Watson,DEN,RB,6,Yes,Yes,No,3,1,No,No,0.3333,-5,,,1,-5,,7.1289,1.6815,1.6815,0.2,2,,1,1,1,,1,13,18,8,,1,1,1,1,1,118.8,4.3333,13,,13,18,8,,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,1,,,,,
Chris Brooks,GB,RB,14,Yes,No,No,6,2,No,Yes,0.3333,-12,0.1667,,1,-6,,-0.6999,4.0257,4.0257,0.1538,13,,2,1,2,,1,9,21,4,,,,0.8333,1,0.5,85.4,1.5,4.5,,4.5,10.5,2,,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,1,,,,,
Christian Watson,GB,WR,86,Yes,No,No,69,15,No,Yes,0.2174,274,0.2464,0.7246,12,18.2667,6,3.9043,32.5779,32.5779,0.1974,15,4,11,0.7333,10,3,0.6667,212,38,7,,,,,,,121.5,3.0725,14.1333,,21.2,3.8,0.7,9,33.2,43.2,38.2,43.2,43.2,46.2,41.2,43.2,43.2,43.2,38.2,43.2,43.2,3,2,1,,1,0.029
Dallin Holker,NO,TE,12,Yes,Yes,Yes,7,1,No,No,0.1429,-3,,0.1429,,-3,,4.1348,1.5263,1.5263,0.125,12,,1,1,1,,1,10,13,3,,,,,,,108.3,1.4286,10,,10,13,3,1,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,,,,,,0.8571
Audric Estime,DEN,RB,31,Yes,No,No,8,4,No,No,0.5,-11,,,,-2.75,,0.7482,6.1765,6.1765,0.1667,13,,4,1,4,,1,27,38,15,,,,1,,,94.8,3.375,6.75,,6.75,9.5,3.75,2,2.7,6.7,4.7,8.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,,,,,,
Charlie Kolar,BLT,TE,39,Yes,No,Yes,20,6,No,Yes,0.3,24,0.05,0.1,3,4,,3.7288,11.8086,11.8086,0.1667,13,1,5,0.8333,5,1,0.8333,61,46,5,,,,,,,148.6,3.05,10.1667,,12.2,9.2,1,3,12.1,17.1,14.6,17.1,19.6,17.1,14.6,17.1,17.1,17.1,14.6,19.6,17.1,1,1,1,,1,0.85
Darnell Washington,PIT,TE,130,Yes,No,No,60,12,No,Yes,0.2,47,0.0333,,10,3.9167,1,2.09,17.9144,17.9144,0.1333,17,,10,0.8333,10,,0.8333,106,78,45,,4,0.4,,1,0.0833,103.5,1.7667,8.8333,,10.6,7.8,4.5,4,10.6,20.6,15.6,20.6,25.6,23.6,18.6,20.6,20.6,20.6,15.6,25.6,20.6,,,,,,0.9667
Zach Ertz,WAS,TE,121,Yes,Yes,No,94,22,No,No,0.234,178,0.2128,0.0638,17,8.0909,,-0.1427,40.7882,40.7882,0.2418,17,1,17,0.7727,15,,0.6818,172,59,24,2,1,0.0667,0.0213,1,0.0455,102.8,1.8298,7.8182,0.0909,11.4667,3.9333,1.6,9,29.2,44.2,36.7,44.2,51.7,47.2,39.7,44.2,44.2,44.2,36.7,51.7,44.2,5,2,2,,1,0.7021
Davis Allen,LA,TE,53,Yes,No,No,30,5,No,Yes,0.1667,6,,0.0667,3,1.2,,-4.8448,10.8637,10.8637,0.1042,14,,2,0.4,1,,0.2,5,3,1,,,,0.0667,1,0.2,39.6,0.1667,1,,5,3,1,,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,3,,1,,,0.8667
John Samuel Shenker,LV,TE,11,Yes,No,No,6,,No,No,,,0.3333,,,,,,,,,7,,,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
River Cracraft,MIA,WR,13,Yes,Yes,No,9,,No,Yes,,,0.1111,0.8889,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams,DEN,RB,102,Yes,No,No,60,24,No,No,0.4,-22,,,9,-0.9167,,-1.6047,40.6327,40.6327,0.2927,17,,23,0.9583,20,,0.8333,102,132,32,2,3,0.15,1,7,0.2917,84.4,1.7,4.25,0.0833,5.1,6.6,1.6,6,10.2,30.2,20.2,40.2,30.2,33.2,23.2,30.2,30.2,30.2,20.2,30.2,30.2,1,,,,,
DJ Chark,LAC,WR,14,Yes,No,Yes,13,2,Yes,Yes,0.1538,23,0.0769,0.9231,1,11.5,,-8.5798,2.926,2.926,0.2,7,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Akers,MIN,RB,51,Yes,Yes,No,25,3,No,Yes,0.12,-5,,,1,-1.6667,,-1.4991,4.4579,4.4579,0.0769,16,1,3,1,3,1,1,13,18,,,1,0.3333,1,,,84.7,0.52,4.3333,,4.3333,6,,1,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,,,,,,
JaMycal Hasty,NE,RB,10,Yes,No,Yes,3,,No,Yes,,,,,,,,,,,,13,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,DEN,WR,150,Yes,No,No,111,33,No,No,0.2973,489,0.1171,0.8829,27,14.8182,4,-2.3243,69.2217,69.2217,0.264,17,4,23,0.697,18,4,0.5455,229,33,12,4,,,,,,81.5,2.0631,6.9394,0.1212,12.7222,1.8333,0.6667,11,44.98,62.98,53.98,62.98,62.98,65.98,56.98,62.98,62.98,62.98,53.98,63,63,4,3,5,2,3,
Greg Dortch,ARZ,WR,58,Yes,No,No,45,9,No,Yes,0.2,-17,0.6222,0.2889,6,-1.8889,,0.6952,13.7621,13.7621,0.18,17,1,9,1,7,,0.7778,50,70,21,1,2,0.2857,0.0889,3,0.3333,89.8,1.1111,5.5556,0.1111,7.1429,10,3,1,5,12,8.5,12,12,12,8.5,12,12,12,8.5,12,12,1,,,,,
Terrell Jennings,NE,RB,4,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tip Reiman,ARZ,TE,115,Yes,No,No,55,6,No,Yes,0.1091,7,0.0545,0.0182,,1.1667,,-0.9242,10.3092,10.3092,0.0638,17,,5,0.8333,5,,0.8333,28,25,6,,2,0.4,,,,86.1,0.5091,4.6667,,5.6,5,1.2,1,2.8,7.8,5.3,7.8,10.3,7.8,5.3,7.8,7.8,7.8,5.3,10.3,7.8,,,,,,0.9273
Michael Pittman,IND,WR,145,Yes,No,No,120,41,No,Yes,0.3417,528,0.2083,0.7917,37,12.878,9,-0.717,77.1338,77.1338,0.3388,16,8,31,0.7561,24,2,0.5854,337,108,48,1,,,,5,0.122,72.9,2.8083,8.2195,0.0244,14.0417,4.5,2,15,38.7,62.7,50.7,62.7,62.7,65.7,52.7,61.7,61.7,61.7,49.7,62.7,61.7,6,1,4,,1,
Tyrell Shavers,BUF,WR,4,Yes,Yes,No,3,,No,Yes,,,0.6667,0.3333,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Washington,MIA,WR,57,Yes,Yes,No,51,9,No,Yes,0.1765,44,0.3529,0.6078,8,4.8889,1,-0.5066,16.5756,16.5756,0.2,14,2,7,0.7778,6,2,0.6667,55,51,23,1,1,0.1667,,4,0.4444,83.1,1.0784,6.1111,0.1111,9.1667,8.5,3.8333,3,5.5,11.5,8.5,11.5,11.5,11.5,8.5,11.5,11.5,11.5,8.5,11.5,11.5,1,,1,,,0.0392
Tyler Goodson,IND,RB,21,Yes,No,No,12,4,No,Yes,0.3333,-5,,,3,-1.25,,-6.9298,7.9951,7.9951,0.2857,16,,3,0.75,3,,0.75,-4,,1,,,,1,2,0.5,116.7,-0.3333,-1,,-1.3333,,0.3333,1,5.6,8.6,7.1,10.1,8.6,8.6,7.1,8.6,8.6,8.6,7.1,8.6,8.6,1,1,1,,1,
Jordan Mason,SF,RB,43,Yes,No,No,20,4,Yes,Yes,0.2,10,,,,2.5,,-1.6364,5.9098,5.9098,0.1212,12,,3,0.75,3,,0.75,19,9,4,,1,0.3333,1,,,84.4,0.95,4.75,,6.3333,3,1.3333,1,1.9,4.9,3.4,6.4,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,1,,,,,
Grant DuBose,MIA,WR,6,Yes,No,Yes,6,1,No,Yes,0.1667,-6,0.3333,0.6667,1,-6,,-5.7419,2.0857,2.0857,0.1667,3,,1,1,1,,1,-2,4,,,,,,1,1,79.2,-0.3333,-2,,-2,4,,,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,,,,,
Tim Jones,JAX,WR,22,Yes,No,No,13,4,No,Yes,0.3077,28,0.2308,0.5385,2,7,,3.4118,5.6309,5.6309,0.2222,16,1,3,0.75,3,1,0.75,41,19,1,,,,,,,107.3,3.1538,10.25,,13.6667,6.3333,0.3333,3,4.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,,,,,,0.2308
Feleipe Franks,CAR,TE,8,Yes,No,No,4,,No,Yes,,,,,,,,,,,,15,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75
Tre Tucker,LV,WR,129,Yes,No,Yes,110,22,Yes,Yes,0.2,365,0.2636,0.7364,21,16.5909,9,-1.6623,46.9202,46.9202,0.2018,17,1,13,0.5909,11,,0.5,172,59,11,1,,,,5,0.2273,91.5,1.5636,7.8182,0.0455,15.6364,5.3636,1,6,23.2,34.2,28.7,34.2,34.2,37.2,31.7,34.2,34.2,34.2,28.7,34.2,34.2,,1,1,1,,
Jonathan Taylor,IND,RB,125,Yes,No,No,76,14,No,Yes,0.1842,-21,,,7,-1.5,,2.011,21.5869,21.5869,0.1273,14,,11,0.7857,11,,0.7857,112,126,60,,4,0.3636,1,7,0.5,70.2,1.4737,8,,10.1818,11.4545,5.4545,5,11.2,22.2,16.7,27.7,22.2,25.2,19.7,22.2,22.2,22.2,16.7,22.2,22.2,1,,,,,
Troy Franklin,DEN,WR,62,Yes,No,No,57,15,No,No,0.2632,96,0.3509,0.6491,11,6.4,3,-1.1302,25.9855,25.9855,0.3061,16,1,12,0.8,11,1,0.7333,88,83,29,1,1,0.0909,,5,0.3333,87.6,1.5439,5.8667,0.0667,8,7.5455,2.6364,4,8.8,19.8,14.3,19.8,19.8,19.8,14.3,19.8,19.8,19.8,14.3,19.8,19.8,2,,,,,
Javon Baker,NE,WR,12,Yes,No,Yes,6,1,No,Yes,0.1667,13,,1,,13,,3.0855,1.8574,1.8574,0.1,10,,1,1,1,,1,12,-1,,,,,,,,116.7,2,12,,12,-1,,1,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,,,,
Josh Reynolds,JAX,WR,37,Yes,No,No,29,2,No,Yes,0.069,9,0.1724,0.8276,2,4.5,,-5.1998,3.0057,3.0057,0.0625,9,,1,0.5,1,,0.5,3,7,3,,,,,1,0.5,56.3,0.1034,1.5,,3,7,3,,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,
Noah Gray,KC,TE,138,Yes,No,No,81,20,No,No,0.2469,134,0.0864,0.0494,16,6.7,2,1.797,39.4504,39.4504,0.16,17,1,18,0.9,17,1,0.85,185,100,21,1,2,0.1176,0.1111,2,0.1,138.5,2.284,9.25,0.05,10.8824,5.8824,1.2353,10,30.5,47.5,39,47.5,56,50.5,42,47.5,47.5,47.5,39,56,47.5,5,2,2,,2,0.7531
Brian Thomas,JAX,WR,119,Yes,No,No,108,35,No,Yes,0.3241,458,0.2685,0.7315,31,13.0857,6,2.2361,69.8599,69.8599,0.3302,17,3,31,0.8857,25,1,0.7143,382,140,46,5,2,0.08,,7,0.2,114.2,3.537,10.9143,0.1429,15.28,5.6,1.84,15,50.2,75.2,62.7,75.2,75.2,78.2,65.7,75.2,75.2,75.2,62.7,75.2,75.2,2,2,2,1,2,
DeAndre Hopkins,KC,WR,63,Yes,No,No,53,15,No,No,0.283,169,0.2075,0.7925,13,11.2667,1,2.6926,30.4794,30.4794,0.2542,16,1,12,0.8,12,1,0.8,169,30,13,,1,0.0833,,,,113.6,3.1887,11.2667,,14.0833,2.5,1.0833,9,16.9,28.9,22.9,28.9,28.9,31.9,25.9,28.9,28.9,28.9,22.9,28.9,28.9,1,,1,1,,
Tim Patrick,DET,WR,104,Yes,Yes,No,87,11,No,Yes,0.1264,101,0.1954,0.8046,8,9.1818,1,3.0239,21.6273,21.6273,0.1183,16,,10,0.9091,10,,0.9091,123,47,21,,2,0.2,,2,0.1818,143.6,1.4138,11.1818,,12.3,4.7,2.1,7,18.3,28.3,23.3,28.3,28.3,31.3,26.3,28.3,28.3,28.3,23.3,28.3,28.3,2,1,1,,1,
