Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone
Deonte Harty,BLT,WR,2,No,No,Yes,2,,Yes,Yes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
Kenny Yeboah,NYJ,TE,23,No,No,No,18,4,No,Yes,4,1,,0.2222,3,0.75,27,27,1,10,,,,,,0.1111,4,2.5,,132.3,1.5,6.75,0.3052,,9,9,0.3333,2,6.5058,6.5058,0.1739,8.7,11.7,10.2,11.7,13.2,11.7,10.2,11.7,11.7,11.7,10.2,13.2,11.7,9,1,,,1,0.8889,1,
A.J. Brown,PHI,WR,165,No,No,No,165,82,No,No,61,0.7439,10,0.497,57,0.6951,855,262,139,990,,13,0.2281,,0.1636,0.8364,82,12.0732,12,118.7,5.1818,10.4268,1.8879,,15,4.5965,2.4386,43,154.3546,154.3546,0.497,115.5,172.5,144,172.5,172.5,175.5,147,172.5,172.5,172.5,144,172.5,172.5,13,10,6,1,5,,9,4
Luke McCaffrey,WAS,WR,115,No,No,Yes,109,11,Yes,Yes,8,0.7273,,0.1009,8,0.7273,68,16,5,99,,,,,0.8349,0.1651,11,9,1,50.6,0.6239,6.1818,-1.2212,,8.5,2,0.625,4,20.102,20.102,0.0957,6.8,14.8,10.8,14.8,14.8,14.8,10.8,14.8,14.8,14.8,10.8,14.8,14.8,17,1,1,,,,2,
Brock Wright,DET,TE,126,No,Yes,Yes,85,11,No,No,8,0.7273,2,0.1294,8,0.7273,51,40,10,71,,,,0.0353,0.1412,0.0706,11,6.4545,1,83.7,0.6,4.6364,-2.917,,6.375,5,1.25,4,20.6381,20.6381,0.0873,17.1,25.1,21.1,25.1,29.1,25.1,21.1,25.1,25.1,25.1,21.1,29.1,25.1,17,,,,2,0.7529,4,1
Kylen Granson,IND,TE,145,No,Yes,No,137,18,Yes,Yes,13,0.7222,,0.1314,9,0.5,125,65,12,204,3,,,0.0073,0.4015,0.1241,18,11.3333,3,49.5,0.9124,6.9444,-1.4744,0.1667,13.8889,7.2222,1.3333,6,36.3976,36.3976,0.1241,12.5,21.5,17,21.5,26,24.5,20,21.5,21.5,21.5,17,26,21.5,17,1,,,,0.4672,4,
Brandin Cooks,DAL,WR,164,No,No,Yes,162,41,Yes,Yes,27,0.6585,6,0.2531,21,0.5122,229,47,5,574,,1,0.0476,,0.2716,0.7284,41,14,9,64,1.4136,5.5854,-3.3845,,10.9048,2.2381,0.2381,15,82.6992,82.6992,0.25,34.9,55.9,45.4,55.9,55.9,58.9,48.4,55.9,55.9,55.9,45.4,55.9,55.9,10,6,,,2,,6,1
John Ross,PHI,WR,3,No,No,Yes,3,1,No,No,,,1,0.3333,,,,,,48,,,,,,1,1,48,1,39.6,,,-15,,,,,,4.1091,4.1091,0.3333,,,,,,,,,,,,,,1,,,,,,,
Ryan Miller,TB,WR,67,No,No,Yes,64,15,No,Yes,14,0.9333,2,0.2344,8,0.5333,93,46,10,161,1,1,0.125,,0.5469,0.4531,15,10.7333,2,84.2,1.4531,6.2,-1.9662,0.0667,11.625,5.75,1.25,6,29.406,29.406,0.2239,21.3,29.3,25.3,29.3,29.3,29.3,25.3,29.3,29.3,29.3,25.3,29.3,29.3,11,5,2,,2,,3,2
Mike Williams,PIT,WR,168,No,Yes,No,163,29,No,No,22,0.7586,3,0.1779,19,0.6552,273,38,15,441,1,,,,0.2209,0.7791,29,15.2069,8,78.7,1.6748,9.4138,0.0749,0.0345,14.3684,2,0.7895,13,60.7442,60.7442,0.1726,33.3,52.3,42.8,52.3,52.3,55.3,45.8,52.3,52.3,52.3,42.8,52.3,52.3,18,7,4,2,1,,2,1
Devin Thompkins,CAR,WR,13,Yes,No,No,13,1,No,No,1,1,,0.0769,1,1,7,1,1,6,,,,,0.7692,0.2308,1,6,,95.8,0.5385,7,0.0509,,7,1,1,1,1.3128,1.3128,0.0769,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,7,,,,,,,
Terrace Marshall,LV,WR,41,No,No,No,41,4,No,Yes,3,0.75,,0.0976,3,0.75,41,5,3,33,,,,,0.122,0.878,4,8.25,1,107.3,1,10.25,2.8641,,13.6667,1.6667,1,1,7.9842,7.9842,0.0976,4.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,7,,,,,,,
Derius Davis,LAC,WR,23,No,No,No,23,4,No,Yes,2,0.5,1,0.1739,2,0.5,28,1,,80,,,,0.0435,0.5652,0.3913,4,20,3,112.5,1.2174,7,-3.5096,,14,0.5,,1,6.611,6.611,0.1739,8.8,10.8,9.8,10.8,10.8,10.8,9.8,10.8,10.8,10.8,9.8,10.8,10.8,15,,,1,1,,,1
Kimani Vidal,LAC,RB,63,No,No,No,42,4,No,Yes,4,1,,0.0952,3,0.75,50,29,5,20,1,,,0.881,0.0238,0.0714,4,5,,156.3,1.1905,12.5,5.6581,0.25,16.6667,9.6667,1.6667,2,6.2212,6.2212,0.0635,11,14,12.5,15.5,14,14,12.5,14,14,14,12.5,14,14,10,,,,1,0.0238,,
Mason Tipton,NO,WR,117,No,No,No,117,18,No,Yes,12,0.6667,,0.1538,10,0.5556,71,25,11,211,1,1,0.1,,0.1966,0.8034,18,11.7222,4,64.8,0.6068,3.9444,-3.9494,0.0556,7.1,2.5,1.1,2,33.3887,33.3887,0.1538,7.1,17.1,12.1,17.1,17.1,17.1,12.1,17.1,17.1,17.1,12.1,17.1,17.1,11,,,,,,1,
Zack Moss,CIN,RB,108,No,No,No,72,2,No,Yes,2,1,,0.0278,1,0.5,1,6,2,-9,1,,,0.9306,0.0278,0.0278,2,-4.5,,95.8,0.0139,0.5,-5.2205,0.5,1,6,2,1,2.2054,2.2054,0.0187,6.1,7.1,6.6,7.6,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,8,,,,1,0.0139,1,
Tyreek Hill,MIA,WR,262,No,No,No,252,88,No,Yes,68,0.7727,11,0.3492,58,0.6591,780,172,49,1208,2,8,0.1379,0.0079,0.3492,0.6389,88,13.7273,15,98.7,3.0952,8.8636,-0.2985,0.0227,13.4483,2.9655,0.8448,44,171.1499,171.1499,0.3359,108,166,137,166,166,169,140,166,166,166,137,166,166,17,10,2,,5,0.004,15,3
Demarcus Robinson,LA,WR,283,No,No,No,283,48,No,No,33,0.6875,6,0.1696,26,0.5417,419,70,31,779,2,1,0.0385,,0.3922,0.6078,48,16.2292,17,105.8,1.4806,8.7292,-0.8647,0.0417,16.1154,2.6923,1.1923,23,113.9152,113.9152,0.1696,77.9,103.9,90.9,103.9,103.9,106.9,93.9,103.9,103.9,103.9,90.9,103.9,103.9,17,7,4,2,6,,7,5
Travis Kelce,KC,TE,266,No,No,No,238,75,No,Yes,63,0.84,3,0.3151,56,0.7467,501,180,56,526,4,1,0.0179,0.0084,0.4328,0.2353,75,7.0133,3,84.4,2.105,6.68,-0.8181,0.0533,8.9464,3.2143,1,30,126.3209,126.3209,0.282,62.1,118.1,90.1,118.1,146.1,121.1,93.1,118.1,118.1,118.1,90.1,146.1,118.1,16,6,3,,2,0.3235,14,2
Cole Kmet,CHI,TE,232,No,No,No,193,28,No,Yes,23,0.8214,2,0.1451,22,0.7857,241,74,35,231,1,2,0.0909,0.0155,0.6321,0.1036,28,8.25,2,138.2,1.2487,8.6071,0.8188,0.0357,10.9545,3.3636,1.5909,12,49.18,49.18,0.1207,42.1,64.1,53.1,64.1,75.1,67.1,56.1,64.1,64.1,64.1,53.1,75.1,64.1,17,2,2,,3,0.2487,5,2
Brenton Strange,JAX,TE,185,No,Yes,No,164,45,Yes,Yes,40,0.8889,4,0.2744,35,0.7778,377,171,66,315,2,8,0.2286,0.0061,0.4634,0.1646,45,7,3,116.4,2.2988,8.3778,1.0023,0.0444,10.7714,4.8857,1.8857,20,79.784,79.784,0.2432,48.7,83.7,66.2,83.7,101.2,86.7,68.2,82.7,82.7,82.7,65.2,101.2,82.7,17,4,1,,2,0.3659,6,2
Rhamondre Stevenson,NE,RB,168,Yes,No,No,117,6,No,Yes,5,0.8333,,0.0513,5,0.8333,39,40,13,,,3,0.6,0.7265,0.0855,0.1538,6,,,93.8,0.3333,6.5,-0.6672,,7.8,8,2.6,2,9.0574,9.0574,0.0357,3.9,8.9,6.4,11.4,8.9,8.9,6.4,8.9,8.9,8.9,6.4,8.9,8.9,15,,,,,0.0342,1,
Pat Freiermuth,PIT,TE,204,No,Yes,No,194,53,No,No,49,0.9245,2,0.2732,46,0.8679,438,190,86,324,3,1,0.0217,,0.6186,0.1443,53,6.1132,1,118.4,2.2577,8.2642,1.1411,0.0566,9.5217,4.1304,1.8696,23,90.7799,90.7799,0.2598,66.8,112.8,89.8,112.8,135.8,115.8,91.8,111.8,111.8,111.8,88.8,135.8,111.8,17,5,5,2,4,0.2371,11,1
Cordarrelle Patterson,PIT,RB,30,No,Yes,No,25,6,No,No,6,1,1,0.24,4,0.6667,28,20,7,23,,1,0.25,0.52,0.2,0.28,6,3.8333,,77.1,1.12,4.6667,-2.0552,,7,5,1.75,2,9.9179,9.9179,0.2,8.8,12.8,10.8,14.8,12.8,12.8,10.8,12.8,12.8,12.8,10.8,12.8,12.8,13,2,,,1,,1,1
Isiah Pacheco,KC,RB,60,No,No,No,40,4,No,Yes,3,0.75,,0.1,2,0.5,21,22,4,10,1,,,0.75,0.1,0.15,4,2.5,,65.6,0.525,5.25,-1.1791,0.25,10.5,11,2,1,5.7407,5.7407,0.0667,2.1,4.1,3.1,5.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,7,,,,,,,
Bijan Robinson,ATL,RB,258,No,No,No,181,10,No,Yes,8,0.8,,0.0552,7,0.7,81,78,15,49,,2,0.2857,0.9061,0.0442,0.0497,10,4.9,1,94.2,0.4475,8.1,1.682,,11.5714,11.1429,2.1429,3,17.852,17.852,0.0388,8.1,15.1,11.6,18.6,15.1,15.1,11.6,15.1,15.1,15.1,11.6,15.1,15.1,17,2,1,,,,1,
Jaleel McLaughlin,DEN,RB,55,Yes,No,No,42,3,No,Yes,3,1,,0.0714,3,1,16,18,7,-2,,2,0.6667,0.6667,0.0476,0.2619,3,-0.6667,,128.5,0.381,5.3333,-0.4884,,5.3333,6,2.3333,1,5.1171,5.1171,0.0545,7.6,10.6,9.1,12.1,10.6,10.6,9.1,10.6,10.6,10.6,9.1,10.6,10.6,16,,,,1,0.0238,1,
Geoff Swaim,CLV,TE,38,No,No,No,22,,No,No,,,,,,,,,,,,,,,0.0909,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,0.8636,,
Jalen Virgil,BUF,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
Jacob Cowing,SF,WR,36,No,No,No,36,4,Yes,Yes,2,0.5,1,0.1111,2,0.5,55,5,,88,,,,,0.5556,0.4444,4,22,2,56.3,1.5278,13.75,3.4586,,27.5,2.5,,2,12.1172,12.1172,0.1111,5.5,7.5,6.5,7.5,7.5,7.5,6.5,7.5,7.5,7.5,6.5,7.5,7.5,15,,,,,,2,
Calvin Austin,PIT,WR,177,No,Yes,No,177,37,No,No,27,0.7297,3,0.209,24,0.6486,413,118,19,540,,1,0.0417,,0.6497,0.3503,37,14.5946,11,138.7,2.3333,11.1622,2.0371,,17.2083,4.9167,0.7917,14,71.4348,71.4348,0.209,65.3,89.3,77.3,89.3,89.3,92.3,80.3,89.3,89.3,89.3,77.3,89.3,89.3,17,5,3,2,4,,1,2
Ronnie Bell,SF,WR,36,No,No,Yes,36,3,No,Yes,3,1,,0.0833,2,0.6667,22,24,1,52,1,,,,0.25,0.75,3,17.3333,1,88.2,0.6111,7.3333,-1.5796,0.3333,11,12,0.5,2,7.065,7.065,0.0833,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,8,,,,,,1,
Kareem Hunt,KC,RB,109,No,No,No,74,4,No,Yes,4,1,,0.0541,4,1,72,74,42,-2,,3,0.75,0.8108,0.0405,0.1351,4,-0.5,,118.8,0.973,18,12.1243,,18,18.5,10.5,3,6.0709,6.0709,0.0367,7.2,11.2,9.2,13.2,11.2,11.2,9.2,11.2,11.2,11.2,9.2,11.2,11.2,13,,,,,0.0135,,
Brandon Powell,MIN,WR,44,No,Yes,Yes,43,7,No,No,5,0.7143,,0.1628,4,0.5714,45,9,,80,,,,,0.5116,0.4884,7,11.4286,1,76.5,1.0465,6.4286,-2.1041,,11.25,2.25,,3,11.5055,11.5055,0.1591,4.5,8.5,6.5,8.5,8.5,8.5,6.5,8.5,8.5,8.5,6.5,8.5,8.5,17,1,,,,,,
Derrick Henry,BLT,RB,109,No,No,No,72,6,No,Yes,4,0.6667,,0.0833,4,0.6667,23,23,13,3,,1,0.25,0.9583,0.0278,0.0139,6,0.5,,113.2,0.3194,3.8333,-2.431,,5.75,5.75,3.25,2,10.0169,10.0169,0.055,8.3,12.3,10.3,14.3,12.3,12.3,10.3,12.3,12.3,12.3,10.3,12.3,12.3,17,,,,1,,2,
Ty Johnson,BUF,RB,85,No,No,No,74,3,No,No,2,0.6667,,0.0405,2,0.6667,64,22,6,45,,,,0.7297,0.1351,0.1081,3,15,1,109.7,0.8649,21.3333,9.3201,,32,11,3,2,4.8344,4.8344,0.0353,6.4,8.4,7.4,9.4,8.4,8.4,7.4,8.4,8.4,8.4,7.4,8.4,8.4,17,,,,,0.027,,
Nick Muse,MIN,TE,5,No,No,Yes,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,
Van Jefferson,PIT,WR,182,No,Yes,No,177,29,No,No,21,0.7241,3,0.1638,19,0.6552,219,74,26,324,2,5,0.2632,,0.2034,0.7966,29,11.1724,6,99.6,1.2373,7.5517,-0.6595,0.069,11.5263,3.8947,1.3684,10,54.3685,54.3685,0.1593,27.9,46.9,37.4,46.9,46.9,49.9,40.4,46.9,46.9,46.9,37.4,46.9,46.9,17,4,3,,1,,6,1
Cam Grandy,CIN,TE,18,No,Yes,No,17,3,No,No,3,1,,0.1765,3,1,19,10,6,9,,,,0.0588,0.1765,0.1176,3,3,,93.1,1.1176,6.3333,0.1409,,6.3333,3.3333,2,1,4.3414,4.3414,0.1667,1.9,4.9,3.4,4.9,6.4,4.9,3.4,4.9,4.9,4.9,3.4,6.4,4.9,8,,,,,0.6471,2,
Malachi Corley,NYJ,WR,25,No,Yes,No,22,2,No,No,1,0.5,,0.0909,1,0.5,2,,,24,,,,,0.3636,0.6364,2,12,1,56.3,0.0909,1,-7.6293,,2,,,1,2.8193,2.8193,0.08,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,7,,,,,,,
Rachaad White,TB,RB,186,No,No,Yes,131,9,No,Yes,8,0.8889,,0.0687,7,0.7778,64,67,11,17,,2,0.2857,0.8321,0.084,0.084,9,1.8889,,96.3,0.4885,7.1111,1.1427,,9.1429,9.5714,1.5714,4,15.1219,15.1219,0.0484,6.4,13.4,9.9,16.9,13.4,13.4,9.9,13.4,13.4,13.4,9.9,13.4,13.4,16,,,,,,1,
Xavier Worthy,KC,WR,226,Yes,No,No,222,60,No,Yes,42,0.7,5,0.2703,32,0.5333,405,207,65,758,3,4,0.125,0.0135,0.3604,0.6261,60,12.6333,14,94.1,1.8243,6.75,-1.7095,0.05,12.6562,6.4688,2.0312,25,107.1046,107.1046,0.2655,76.5,108.5,92.5,108.5,108.5,111.5,95.5,108.5,108.5,108.5,92.5,108.5,108.5,17,5,,1,6,,9,1
Elijah Moore,CLV,WR,315,No,No,No,311,71,No,Yes,49,0.6901,4,0.2283,40,0.5634,340,71,27,743,5,2,0.05,0.0161,0.6013,0.3826,71,10.4648,10,29.4,1.0932,4.7887,-3.2729,0.0704,8.5,1.775,0.675,19,121.6007,121.6007,0.2254,34,74,54,74,74,77,57,74,74,74,54,74,74,17,4,,2,,,6,
Zach Charbonnet,SEA,RB,147,No,No,No,97,6,No,No,4,0.6667,,0.0619,4,0.6667,18,19,7,4,,,,0.7216,0.0825,0.1856,6,0.6667,,70.1,0.1856,3,-3.2579,,4.5,4.75,1.75,,8.393,8.393,0.0408,1.8,5.8,3.8,7.8,5.8,5.8,3.8,5.8,5.8,5.8,3.8,5.8,5.8,17,,,,,0.0103,,
Chuba Hubbard,CAR,RB,224,Yes,No,No,157,6,No,No,4,0.6667,,0.0382,3,0.5,13,19,6,-2,1,,,0.707,0.0637,0.2293,6,-0.3333,,56.3,0.0828,2.1667,-4.0307,0.1667,4.3333,6.3333,2,1,10.5799,10.5799,0.0268,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,15,,,,,,,
Jared Wayne,HST,WR,8,Yes,No,No,8,,No,Yes,,,,,,,,,,,,,,,0.125,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
AJ Barner,SEA,TE,101,No,No,No,81,18,No,No,16,0.8889,,0.2222,14,0.7778,130,68,33,106,1,5,0.3571,0.0123,0.4198,0.1358,18,5.8889,1,92.1,1.6049,7.2222,0.1399,0.0556,9.2857,4.8571,2.3571,9,30.6196,30.6196,0.1782,19,33,26,33,40,36,29,33,33,33,26,40,33,17,4,2,,1,0.4321,2,
Chris Manhertz,NYG,TE,62,No,No,No,23,2,No,No,2,1,1,0.087,2,1,18,14,4,12,,,,,0.3043,,2,6,,143.8,0.7826,9,1.9307,,9,7,2,2,6.3556,6.3556,0.0323,7.8,9.8,8.8,9.8,10.8,9.8,8.8,9.8,9.8,9.8,8.8,10.8,9.8,17,1,1,,1,0.6957,1,1
Blake Whiteheart,CLV,TE,42,No,No,No,38,5,No,Yes,4,0.8,1,0.1316,4,0.8,38,7,2,52,,,,0.0263,0.2105,0.1316,5,10.4,1,98.3,1,7.6,-0.1217,,9.5,1.75,0.5,2,10.9196,10.9196,0.119,9.8,13.8,11.8,13.8,15.8,13.8,11.8,13.8,13.8,13.8,11.8,15.8,13.8,11,1,1,1,1,0.6316,2,1
Erik Ezukanma,MIA,WR,6,No,Yes,Yes,5,1,No,No,,,,0.2,,,,,,16,,,,,0.2,0.8,1,16,,39.6,,,-10.0952,,,,,,1.269,1.269,0.1667,,,,,,,,,,,,,,2,,,,,,,
Emanuel Wilson,GB,RB,68,No,No,No,45,,No,Yes,,,,,,,,,,,,,,0.8222,0.0222,0.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.0222,,
Quentin Johnston,LAC,WR,194,No,No,No,192,59,No,Yes,47,0.7966,3,0.3073,35,0.5932,514,223,83,753,5,9,0.2571,,0.0938,0.9062,59,12.7627,14,109,2.6771,8.7119,0.2645,0.0847,14.6857,6.3714,2.3714,22,107.0349,107.0349,0.3041,81.4,116.4,98.9,116.4,116.4,119.4,101.9,116.4,116.4,116.4,98.9,116.4,116.4,15,13,6,1,5,,5,1
Johnny Wilson,PHI,WR,76,No,No,No,71,8,No,No,4,0.5,1,0.1127,2,0.25,15,4,2,78,1,,,0.0282,0.2394,0.7183,8,9.75,,39.6,0.2113,1.875,-6.223,0.125,7.5,2,1,1,18.7174,18.7174,0.1053,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,16,2,,,,0.0141,1,
Jeff Wilson,MIA,RB,23,No,No,No,17,,No,Yes,,,,,,,,,,,,,,0.6471,0.2353,0.1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
Kenny McIntosh,SEA,RB,21,No,No,No,17,2,No,No,2,1,,0.1176,2,1,20,15,7,5,,,,0.8235,,0.1765,2,2.5,,108.3,1.1765,10,3.548,,10,7.5,3.5,1,2.8572,2.8572,0.0952,2,4,3,5,4,4,3,4,4,4,3,4,4,11,,,,,,,
Deuce Vaughn,DAL,RB,12,No,No,Yes,5,,Yes,Yes,,,,,,,,,,,,,,0.8,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
Kameron Johnson,TB,WR,7,No,No,Yes,7,1,No,Yes,1,1,1,0.1429,,,,,,5,1,,,,0.4286,0.5714,1,5,,39.6,,,-6.3628,1,,,,,3.65,3.65,0.1429,,,,,,,,,,,,,,4,,,,,,1,
Dyami Brown,WAS,WR,100,No,No,Yes,97,15,Yes,Yes,11,0.7333,3,0.1546,8,0.5333,173,33,17,330,1,1,0.125,,0.1959,0.8041,15,22,6,116.8,1.7835,11.5333,0.6639,0.0667,21.625,4.125,2.125,6,39.4639,39.4639,0.1515,23.3,31.3,27.3,31.3,31.3,34.3,30.3,31.3,31.3,31.3,27.3,31.3,31.3,16,2,,,1,,2,1
Garrett Wilson,NYJ,WR,334,No,No,No,329,113,No,Yes,81,0.7168,9,0.3435,66,0.5841,825,315,118,1230,5,12,0.1818,0.0061,0.3374,0.6565,113,10.885,17,71.6,2.5076,7.3009,-0.9472,0.0442,12.5,4.7727,1.7879,43,213.5994,213.5994,0.3383,100.5,166.5,133.5,166.5,166.5,169.5,136.5,166.5,166.5,166.5,133.5,166.5,166.5,17,16,7,5,3,,13,2
Chris Moore,ARZ,WR,4,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
Tutu Atwell,LA,WR,145,No,No,No,144,49,No,No,42,0.8571,,0.3403,35,0.7143,515,89,10,664,4,,,,0.3611,0.6389,49,13.551,10,88.4,3.5764,10.5102,1.5258,0.0816,14.7143,2.5429,0.2857,26,87.2188,87.2188,0.3379,51.5,86.5,69,86.5,86.5,89.5,72,86.5,86.5,86.5,69,86.5,86.5,17,5,1,,,,2,
David Moore,CAR,WR,184,No,No,No,180,47,No,Yes,35,0.7447,4,0.2611,27,0.5745,311,49,39,565,4,1,0.037,,0.2333,0.7667,47,12.0213,7,98.8,1.7278,6.617,-2.1889,0.0851,11.5185,1.8148,1.4444,16,95.0576,95.0576,0.2554,49.1,76.1,62.6,76.1,76.1,79.1,65.6,76.1,76.1,76.1,62.6,76.1,76.1,17,9,5,1,3,,9,2
Justin Shorter,LV,TE,7,No,No,No,6,,No,No,,,,,,,,,,,,,,,0.3333,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,0.5,,
Amon-Ra St. Brown,DET,WR,287,No,Yes,Yes,283,108,No,No,97,0.8981,9,0.3816,88,0.8148,1041,344,106,1037,2,13,0.1477,0.0106,0.47,0.5194,108,9.6019,6,133.8,3.6784,9.6389,1.7142,0.0185,11.8295,3.9091,1.2045,57,186.985,186.985,0.3776,167.38,255.38,211.38,255.38,255.38,258.38,213.38,254.38,254.38,254.38,210.38,255.45,254.45,17,18,11,2,10,,16,5
Mason Kinsey,TEN,WR,22,No,Yes,No,22,2,No,Yes,2,1,,0.0909,2,1,17,,,17,,,,,0.9545,0.0455,2,8.5,,102.1,0.7727,8.5,0.8678,,8.5,,,1,5.1255,5.1255,0.0909,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,6,,,,,,,
Isaiah Williams,CIN,WR,5,No,Yes,No,5,2,No,No,1,0.5,,0.4,1,0.5,4,,,12,,,,,0.8,0.2,2,6,,56.3,0.8,2,-4.7802,,4,,,,2.9862,2.9862,0.4,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,8,,,,,,,
Charlie Woerner,ATL,TE,67,No,No,No,42,5,No,Yes,4,0.8,,0.119,3,0.6,19,12,3,20,,,,0.0238,0.3571,0.1429,5,4,,28.3,0.4524,3.8,-2.7576,,6.3333,4,1,1,7.5084,7.5084,0.0746,1.9,4.9,3.4,4.9,6.4,4.9,3.4,4.9,4.9,4.9,3.4,6.4,4.9,16,1,,,,0.4762,,
Josh Palmer,LAC,WR,194,Yes,No,No,188,47,No,Yes,33,0.7021,3,0.25,28,0.5957,412,58,16,740,,1,0.0357,,0.3617,0.6383,47,15.7447,15,86.5,2.1915,8.766,-0.7418,,14.7143,2.0714,0.5714,19,93.5829,93.5829,0.2423,47.2,75.2,61.2,75.2,75.2,78.2,64.2,75.2,75.2,75.2,61.2,75.2,75.2,15,8,2,,1,,2,1
Antonio Gibson,NE,RB,100,No,No,No,72,3,No,No,2,0.6667,,0.0417,1,0.3333,8,5,3,32,1,,,0.7778,0.0278,0.1389,3,10.6667,1,42.4,0.1111,2.6667,-9.6385,0.3333,8,5,3,1,4.999,4.999,0.03,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,17,,,,,0.0556,,
Jonnu Smith,MIA,TE,245,No,No,No,225,66,No,Yes,59,0.8939,3,0.2933,54,0.8182,515,213,85,426,2,5,0.0926,0.0311,0.5111,0.2133,66,6.4545,1,119.4,2.2889,7.803,0.6719,0.0303,9.537,3.9444,1.5741,35,110.5699,110.5699,0.2694,74.5,128.5,101.5,128.5,155.5,131.5,103.5,127.5,127.5,127.5,100.5,155.5,127.5,17,4,2,,4,0.2444,10,2
Harrison Bryant,LV,TE,52,No,No,No,40,6,No,Yes,6,1,,0.15,6,1,54,53,20,1,,1,0.1667,,0.35,0.05,6,0.1667,,104.2,1.35,9,3.2907,,9,8.8333,3.3333,3,8.1432,8.1432,0.1154,5.4,11.4,8.4,11.4,14.4,11.4,8.4,11.4,11.4,11.4,8.4,14.4,11.4,13,,,,,0.6,,
Tylan Wallace,BLT,WR,41,No,No,No,40,5,No,Yes,4,0.8,,0.125,4,0.8,120,92,84,36,,3,0.75,,0.3,0.675,5,7.2,,158.3,3,24,16.4915,,30,23,21,2,7.0906,7.0906,0.122,18,22,20,22,22,25,23,22,22,22,20,22,22,17,,,,1,0.025,,
