Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentSlotRoutesPercentage,DeepTargetTargetsTotal,TargetsInEndzone,ReceptionsContested,DropsTotal,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsTotal,TouchdownsInEndzone,ReceptionsHero
Jalen Moreno-Cropper,DAL,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
Ross Dwelley,ATL,TE,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.5,,0.5,,,,,,,,,
Parker Hesse,DET,TE,5,No,No,No,5,,No,Yes,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.4,,0.2,,,,,0.2,,,,
D'Wayne Eskridge,MIA,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,
Joshua Cephus,JAX,WR,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
Khalil Shakir,BUF,WR,60,No,No,No,60,23,Yes,Yes,19,0.8261,0.3833,16,0.6957,191,100,35,230,1,0.0625,0.0167,10,94.7,3.1833,8.3043,0.3239,11.9375,6.25,2.1875,11,47.6024,47.6024,0.3833,19.1,35.1,27.1,35.1,35.1,38.1,30.1,35.1,35.1,35.1,27.1,35.1,35.1,3,15,0.3333,4,0.65,3,2,2,,,,,,
Sterling Shepard,TB,WR,43,No,No,No,43,11,No,Yes,10,0.9091,0.2558,7,0.6364,63,18,3,79,1,0.1429,,7.1818,79,1.4651,5.7273,-1.3213,9,2.5714,0.4286,3,16.1882,16.1882,0.2558,6.3,13.3,9.8,13.3,13.3,13.3,9.8,13.3,13.3,13.3,9.8,13.3,13.3,,14,0.5349,,0.4651,,,,3,,0.2727,,,
Christian McCaffrey,SF,RB,9,No,No,No,7,4,Yes,Yes,4,1,0.5714,4,1,27,9,2,18,,,0.7143,4.5,94.8,3.8571,6.75,-0.3685,6.75,2.25,0.5,1,5.6555,5.6555,0.4444,2.7,6.7,4.7,8.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,1,4,0.1429,,,,,,,0.1429,,,,
Jonathan Ward,PIT,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Robert Woods,HST,WR,29,No,No,No,29,10,No,Yes,10,1,0.3448,8,0.8,91,15,3,101,,,,10.1,104.6,3.1379,9.1,1.012,11.375,1.875,0.375,5,16.8777,16.8777,0.3448,8.1,16.1,12.1,16.1,16.1,16.1,11.1,15.1,15.1,15.1,11.1,16.1,15.1,1,15,0.5172,1,0.4828,1,,,1,,0.1,,,
