Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentSlotRoutesPercentage,DeepTargetTargetsTotal,TargetsInEndzone,ReceptionsContested,DropsTotal,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsTotal,TouchdownsInEndzone,ReceptionsHero
Chuba Hubbard,CAR,RB,37,No,No,No,32,7,No,Yes,6,0.8571,0.2188,5,0.7143,25,21,3,6,1,0.2,0.6562,0.8571,76.5,0.7812,3.5714,-2.5152,5,4.2,0.6,1,11.0588,11.0588,0.1892,2.5,7.5,5,10,7.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,2,15,0.2188,,0.125,,,,1,,0.1429,,,
Jared Wayne,HST,WR,4,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.75,,0.25,,,,,,,,,
AJ Barner,SEA,TE,38,No,No,No,36,9,Yes,Yes,9,1,0.25,7,0.7778,57,38,14,37,1,0.1429,,4.1111,132.6,1.5833,6.3333,-0.1471,8.1429,5.4286,2,5,18.306,18.306,0.2368,17.7,24.7,21.2,24.7,28.2,24.7,21.2,24.7,24.7,24.7,21.2,28.2,24.7,3,17,0.0556,,0.3889,,2,,2,0.5556,0.2222,2,2,
Chris Manhertz,NYG,TE,19,No,Yes,No,8,2,No,Yes,1,0.5,0.25,1,0.5,12,5,3,12,,,,6,68.8,1.5,6,-0.8939,12,5,3,,2.9645,2.9645,0.1053,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,17,,,0.125,,,,,0.875,,,,
Blake Whiteheart,CLV,TE,8,No,No,No,7,2,No,Yes,1,0.5,0.2857,1,0.5,8,5,2,9,1,1,0.1429,4.5,60.4,1.1429,4,-2.7074,8,5,2,,4.3613,4.3613,0.25,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,11,0.2857,,0.1429,,,,,0.4286,,,,
Erik Ezukanma,MIA,WR,2,Yes,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
Emanuel Wilson,GB,RB,11,No,No,Yes,9,,No,Yes,,,,,,,,,,,,0.6667,,,,,,,,,,2.6065,2.6065,,,,,,,,,,,,,,,,17,0.2222,,0.1111,,,,,,,,,
Quentin Johnston,LAC,WR,67,No,No,Yes,67,15,No,No,12,0.8,0.2239,9,0.6,126,18,2,188,,,,12.5333,126.7,1.8806,8.4,-0.1589,14,2,0.2222,6,29.2442,29.2442,0.2239,30.6,39.6,35.1,39.6,39.6,42.6,38.1,39.6,39.6,39.6,35.1,39.6,39.6,4,15,0.9104,2,0.0896,3,3,,2,,0.1333,3,3,
Johnny Wilson,PHI,WR,18,No,Yes,No,18,4,No,Yes,3,0.75,0.2222,2,0.5,14,5,2,30,,,,7.5,97.9,0.7778,3.5,-3.6535,7,2.5,1,1,8.5623,8.5623,0.2222,7.4,9.4,8.4,9.4,9.4,9.4,8.4,9.4,9.4,9.4,8.4,9.4,9.4,1,16,0.6111,,0.3889,,1,,1,,0.25,1,1,
Jeff Wilson,MIA,RB,4,No,No,Yes,4,1,No,Yes,1,1,0.25,1,1,6,4,2,2,,,0.25,2,91.7,1.5,6,-0.3947,6,4,2,,1.3915,1.3915,0.25,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,9,0.5,,0.25,,,,,,,,,
Kenny McIntosh,SEA,RB,6,No,No,No,4,1,Yes,Yes,1,1,0.25,1,1,2,4,1,-2,,,0.75,-2,79.2,0.5,2,-4.198,2,4,1,,1.6098,1.6098,0.1667,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,11,0.25,,,,,,,,,,,
Deuce Vaughn,DAL,RB,5,Yes,Yes,No,4,1,No,No,1,1,0.25,1,1,8,3,1,5,,,1,5,100,2,8,0.767,8,3,1,,1.3755,1.3755,0.2,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,6,,,,,,,,,,,,
Kameron Johnson,TB,WR,6,No,Yes,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.8333,,0.1667,,,,,,,,,
Garrett Wilson,NYJ,WR,68,No,No,Yes,68,15,No,Yes,14,0.9333,0.2206,14,0.9333,170,33,13,141,2,0.1429,0.0294,9.4,153.5,2.5,11.3333,3.4179,12.1429,2.3571,0.9286,11,30.9193,30.9193,0.2206,35,49,42,49,49,52,45,49,49,49,42,49,49,4,17,0.6471,6,0.3235,3,1,6,,,,3,1,
Dyami Brown,WAS,WR,20,Yes,Yes,No,20,2,No,No,2,1,0.1,1,0.5,12,,,24,,,,12,68.8,0.6,6,-3.0461,12,,,,3.4736,3.4736,0.1,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,16,0.75,,0.25,,,,1,,0.5,,,
Tutu Atwell,LA,WR,48,No,No,No,48,9,Yes,Yes,7,0.7778,0.1875,4,0.4444,28,8,4,79,1,0.25,,8.7778,52.1,0.5833,3.1111,-4.6035,7,2,1,2,14.8646,14.8646,0.1875,2.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,1,17,0.6458,3,0.3542,,,1,2,,0.2222,,,
David Moore,CAR,WR,34,No,No,No,34,6,Yes,Yes,5,0.8333,0.1765,4,0.6667,37,3,2,51,,,,8.5,83.3,1.0882,6.1667,-1.3267,9.25,0.75,0.5,2,9.8878,9.8878,0.1765,3.7,7.7,5.7,7.7,7.7,7.7,5.7,7.7,7.7,7.7,5.7,7.7,7.7,1,17,0.5294,2,0.4706,,,1,,,,,,
Justin Shorter,LV,TE,2,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5,,,,,,,0.5,,,,
Amon-Ra St. Brown,DET,WR,80,No,No,No,80,19,Yes,Yes,17,0.8947,0.2375,15,0.7895,133,31,12,139,4,0.2667,0.0125,7.3158,95.8,1.6625,7,-0.397,8.8667,2.0667,0.8,8,32.7806,32.7806,0.2375,13.3,28.3,20.8,28.3,28.3,31.3,23.8,28.3,28.3,28.3,20.8,28.3,28.3,9,17,0.375,2,0.6125,,1,,,,,,,1
Mason Kinsey,TEN,WR,6,No,No,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,,,
Charlie Woerner,ATL,TE,21,No,No,No,12,4,Yes,Yes,2,0.5,0.3333,2,0.5,17,1,,19,,,,4.75,61.5,1.4167,4.25,-2.5914,8.5,0.5,,1,6.4026,6.4026,0.1905,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,,16,0.25,,0.4167,,,,,0.3333,,,,
Josh Palmer,LAC,WR,63,No,No,No,63,11,No,Yes,9,0.8182,0.1746,8,0.7273,147,22,10,201,,,,18.2727,114.8,2.3333,13.3636,3.2703,18.375,2.75,1.25,7,27.9803,27.9803,0.1746,14.7,22.7,18.7,22.7,22.7,25.7,21.7,22.7,22.7,22.7,18.7,22.7,22.7,2,15,0.746,2,0.254,3,1,2,1,,0.0909,,,1
Antonio Gibson,NE,RB,9,No,No,No,5,,No,Yes,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2,,,,,,,,,,,
Jonnu Smith,MIA,TE,42,No,No,Yes,36,10,No,Yes,9,0.9,0.2778,9,0.9,160,74,28,104,3,0.3333,,10.4,158.3,4.4444,16,7.1246,17.7778,8.2222,3.1111,9,18.7424,18.7424,0.2381,28,37,32.5,37,41.5,40,35.5,37,37,37,32.5,41.5,37,1,17,0.25,1,0.5278,1,1,1,,0.2222,,2,1,
Harrison Bryant,LV,TE,13,No,No,Yes,10,3,No,No,1,0.3333,0.3,1,0.3333,2,1,1,29,,,,9.6667,2.8,0.2,0.6667,-8.0156,2,1,1,,4.5883,4.5883,0.2308,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,13,0.2,,0.6,1,,,,0.2,,,,
Tylan Wallace,BLT,WR,17,No,No,No,17,5,No,Yes,5,1,0.2941,5,1,69,27,12,42,,,,8.4,118.8,4.0588,13.8,6.3772,13.8,5.4,2.4,3,7.2489,7.2489,0.2941,6.9,11.9,9.4,11.9,11.9,11.9,9.4,11.9,11.9,11.9,9.4,11.9,11.9,,17,0.6471,,0.3529,,,,,,,,,
Josiah Deguara,JAX,TE,6,No,No,No,6,1,Yes,Yes,1,1,0.1667,1,1,8,6,2,2,,,,2,100,1.3333,8,1.6299,8,6,2,,1.3189,1.3189,0.1667,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,1,13,0.1667,,0.5,,,,,0.3333,,,,
Braelon Allen,NYJ,RB,15,No,No,Yes,13,4,No,Yes,4,1,0.3077,4,1,33,41,10,-8,,,0.6154,-2,101,2.5385,8.25,2.5039,8.25,10.25,2.5,2,5.5949,5.5949,0.2667,3.3,7.3,5.3,9.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,,17,0.2308,,0.1538,,,,,,,,,
Elijah Higgins,ARZ,TE,21,No,No,No,19,4,No,No,3,0.75,0.2105,3,0.75,17,10,9,11,1,0.3333,,2.75,82.3,0.8947,4.25,-1.6925,5.6667,3.3333,3,1,5.5828,5.5828,0.1905,1.7,4.7,3.2,4.7,6.2,4.7,3.2,4.7,4.7,4.7,3.2,6.2,4.7,,17,0.2632,,0.2632,,,,,0.4737,,,,
Dan Chisena,CAR,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,
Adam Thielen,CAR,WR,31,No,No,No,31,5,Yes,Yes,4,0.8,0.1613,4,0.8,77,2,,94,,,,18.8,158.3,2.4839,15.4,5.1161,19.25,0.5,,3,11.7534,11.7534,0.1613,19.7,23.7,21.7,23.7,23.7,23.7,21.7,23.7,23.7,23.7,21.7,23.7,23.7,,10,0.2258,,0.7742,2,2,,,,,2,2,
Terry McLaurin,WAS,WR,59,Yes,Yes,No,59,13,No,No,9,0.6923,0.2203,7,0.5385,134,17,7,223,,,,17.1538,129.5,2.2712,10.3077,0.7641,19.1429,2.4286,1,6,28.239,28.239,0.2203,25.4,32.4,28.9,32.4,32.4,35.4,31.9,32.4,32.4,32.4,28.9,32.4,32.4,2,17,0.7627,,0.2373,4,2,,1,,0.0769,2,2,1
Ainias Smith,PHI,WR,2,No,Yes,No,2,1,No,Yes,1,1,0.5,1,1,8,3,2,5,,,,5,100,4,8,1.6372,8,3,2,,1.4538,1.4538,0.5,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,7,0.5,,0.5,,,,,,,,,
Chris Godwin,TB,WR,30,No,No,No,29,4,Yes,Yes,4,1,0.1379,3,0.75,33,10,3,32,,,,8,99,1.1379,8.25,0.83,11,3.3333,1,1,6.178,6.178,0.1333,3.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,,7,0.3448,3,0.6552,,,2,1,,0.25,,,
Brayden Willis,SF,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,
Kyle Pitts,ATL,TE,73,No,No,No,71,17,Yes,Yes,16,0.9412,0.2394,13,0.7647,195,88,38,146,2,0.1538,,8.5882,133.2,2.7465,11.4706,3.8748,15,6.7692,2.9231,5,28.3109,28.3109,0.2329,25.5,38.5,32,38.5,45,41.5,35,38.5,38.5,38.5,32,45,38.5,1,17,0.1408,2,0.4366,3,,,1,0.4225,0.0588,1,,
Dante Pettis,NO,WR,12,No,No,No,12,4,No,Yes,3,0.75,0.3333,3,0.75,36,2,3,37,1,0.3333,,9.25,102.1,3,9,1.2433,12,0.6667,1,2,6.7117,6.7117,0.3333,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,,8,0.6667,,0.3333,,,,,,,,,
Brevin Jordan,HST,TE,2,No,No,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,,,,0.5,,,,
Jayden Reed,GB,WR,41,No,No,Yes,41,4,No,Yes,2,0.5,0.0976,1,0.25,9,4,2,89,,,,22.25,39.6,0.2195,2.25,-8.7537,9,4,2,,9.8431,9.8431,0.0976,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,17,0.122,,0.878,2,,,1,,0.25,,,
Baylor Cupp,KC,TE,1,Yes,No,No,1,1,No,Yes,1,1,1,,,,,,-1,,,,-1,39.6,,,-4.9014,,,,,1.349,1.349,1,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,
Raheem Mostert,MIA,RB,22,No,No,Yes,18,2,No,Yes,2,1,0.1111,2,1,12,6,5,6,1,0.5,0.6667,3,91.7,0.6667,6,-0.5283,6,3,2.5,1,2.6987,2.6987,0.0909,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,13,0.1111,,0.2222,,,,,,,,,
Jalen Coker,CAR,WR,26,No,No,No,26,3,Yes,Yes,3,1,0.1154,3,1,35,13,11,22,1,0.3333,,7.3333,115.3,1.3462,11.6667,4.3635,11.6667,4.3333,3.6667,2,7.3026,7.3026,0.1154,3.5,6.5,5,6.5,6.5,6.5,5,6.5,6.5,6.5,5,6.5,6.5,,11,0.4231,1,0.5769,,,1,,,,,,
Marvin Mims,DEN,WR,29,No,No,No,29,6,No,Yes,4,0.6667,0.2069,4,0.6667,47,37,5,65,,,0.2414,10.8333,90.3,1.6207,7.8333,0.0719,11.75,9.25,1.25,1,11.3778,11.3778,0.2069,4.7,8.7,6.7,8.7,8.7,8.7,6.7,8.7,8.7,8.7,6.7,8.7,8.7,,17,0.4483,1,0.3103,1,,,,,,,,
Dallas Goedert,PHI,TE,20,No,Yes,No,20,5,No,Yes,5,1,0.25,5,1,58,19,7,39,,,,7.8,115,2.9,11.6,4.2569,11.6,3.8,1.4,3,7.1595,7.1595,0.25,5.8,10.8,8.3,10.8,13.3,10.8,8.3,10.8,10.8,10.8,8.3,13.3,10.8,,10,0.15,1,0.65,,,1,,0.2,,,,
Roschon Johnson,CHI,RB,24,No,No,Yes,17,1,No,Yes,1,1,0.0588,1,1,6,1,1,5,,,0.9412,5,91.7,0.3529,6,-1.233,6,1,1,1,1.3435,1.3435,0.0417,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,13,0.0588,,,,,,,,,,,
Cedric Tillman,CLV,WR,27,No,No,No,26,7,Yes,Yes,6,0.8571,0.2692,5,0.7143,70,21,7,57,1,0.2,,8.1429,63.7,2.6923,10,2.1526,14,4.2,1.4,2,11.7736,11.7736,0.2593,6,11,8.5,11,11,11,7.5,10,10,10,7.5,11,10,,11,0.6154,,0.3846,,,,1,,0.1429,,,
Calvin Ridley,TEN,WR,67,No,No,No,66,7,No,Yes,5,0.7143,0.1061,3,0.4286,38,18,18,82,2,0.6667,,11.7143,60.4,0.5758,5.4286,-2.7905,12.6667,6,6,2,12.9984,12.9984,0.1045,3.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,1,17,0.8939,1,0.1061,1,1,,,,,,,
Kyren Williams,LA,RB,82,Yes,No,No,60,5,Yes,Yes,5,1,0.0833,5,1,36,40,22,-4,2,0.4,0.9333,-0.8,96.7,0.6,7.2,1.2121,7.2,8,4.4,,6.8927,6.8927,0.061,3.6,8.6,6.1,11.1,8.6,8.6,6.1,8.6,8.6,8.6,6.1,8.6,8.6,1,16,0.0333,,0.0333,,,,,,,,,
Trey Palmer,TB,WR,25,No,No,No,25,5,No,Yes,4,0.8,0.2,4,0.8,67,12,1,76,,,,15.2,158.3,2.68,13.4,3.4256,16.75,3,0.25,3,10.9422,10.9422,0.2,12.7,16.7,14.7,16.7,16.7,16.7,14.7,16.7,16.7,16.7,14.7,16.7,16.7,2,15,0.64,1,0.36,1,1,1,,,,1,1,
Tucker Kraft,GB,TE,53,No,No,Yes,49,12,No,Yes,11,0.9167,0.2449,11,0.9167,143,85,43,68,3,0.2727,,5.6667,155.9,2.9184,11.9167,4.8264,13,7.7273,3.9091,8,20.4836,20.4836,0.2264,26.3,37.3,31.8,37.3,42.8,40.3,34.8,37.3,37.3,37.3,31.8,42.8,37.3,3,17,0.1429,,0.3061,1,2,,,0.551,,2,2,
Payne Durham,TB,TE,22,No,No,No,19,4,No,Yes,3,0.75,0.2105,2,0.5,11,5,-1,29,,,,7.25,56.3,0.5789,2.75,-4.6654,5.5,2.5,-0.5,,6.4061,6.4061,0.1818,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,,16,0.0526,,0.3684,,,,,0.5789,,,,
Will Shipley,PHI,RB,3,No,Yes,No,2,1,No,Yes,1,1,0.5,1,1,13,8,4,5,,,1,5,118.8,6.5,13,5.767,13,8,4,1,1.4992,1.4992,0.3333,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,13,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,30,No,No,Yes,30,11,No,Yes,6,0.5455,0.3667,4,0.3636,65,20,7,138,,,,12.5455,87.3,2.1667,5.9091,-2.7217,16.25,5,1.75,4,22.1493,22.1493,0.3667,12.5,16.5,14.5,16.5,16.5,16.5,14.5,16.5,16.5,16.5,14.5,16.5,16.5,4,17,0.6333,1,0.3667,2,3,,1,,0.0909,1,1,
Dawson Knox,BUF,TE,53,No,No,No,50,8,Yes,Yes,6,0.75,0.16,6,0.75,60,11,3,86,,,,10.75,56.3,1.2,7.5,0.4496,10,1.8333,0.5,2,12.049,12.049,0.1509,6,12,9,12,15,12,9,12,12,12,9,15,12,,16,0.16,3,0.36,1,,3,,0.48,,,,
Noah Brown,WAS,WR,26,No,Yes,No,26,6,No,Yes,4,0.6667,0.2308,4,0.6667,70,21,7,79,,,,13.1667,106.3,2.6923,11.6667,2.4594,17.5,5.25,1.75,3,10.7988,10.7988,0.2308,7,11,9,11,11,11,9,11,11,11,9,11,11,,11,0.8077,,0.1923,1,,,,,,,,
Jalen Reagor,LAC,WR,11,Yes,No,No,11,3,No,Yes,3,1,0.2727,2,0.6667,13,1,1,17,,,,5.6667,75.7,1.1818,4.3333,-2.0658,6.5,0.5,0.5,,4.3808,4.3808,0.2727,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,,8,0.6364,2,0.3636,,,1,,,,,,
Trey McBride,ARZ,TE,57,No,No,No,57,12,No,No,9,0.75,0.2105,9,0.75,99,50,9,105,1,0.1111,,8.75,99,1.7368,8.25,0.5217,11,5.5556,1,7,23.0375,23.0375,0.2105,9.9,18.9,14.4,18.9,23.4,18.9,14.4,18.9,18.9,18.9,14.4,23.4,18.9,2,16,0.1053,1,0.4035,1,1,1,,0.4912,,,,
Patrick Taylor,SF,RB,22,No,No,No,16,3,No,No,1,0.3333,0.1875,1,0.3333,12,8,3,3,,,0.9375,1,46.5,0.75,4,-2.3983,12,8,3,1,4.3742,4.3742,0.1364,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,9,,,,,,,,0.0625,,,,
Carson Steele,KC,RB,11,No,No,No,11,3,No,Yes,2,0.6667,0.2727,2,0.6667,13,17,4,4,,,1,1.3333,75.7,1.1818,4.3333,-2.4836,6.5,8.5,2,,4.1528,4.1528,0.2727,1.3,3.3,2.3,4.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,,16,,,,,,,,,,,,
John Bates,WAS,TE,13,Yes,Yes,No,8,4,No,No,4,1,0.5,3,0.75,23,14,3,41,,,,10.25,88.5,2.875,5.75,-2.1608,7.6667,4.6667,1,1,6.1444,6.1444,0.3077,2.3,5.3,3.8,5.3,6.8,5.3,3.8,5.3,5.3,5.3,3.8,6.8,5.3,,17,0.125,1,0.125,1,,,,0.75,,,,
Drew Sample,CIN,TE,50,No,No,No,37,5,No,Yes,5,1,0.1351,5,1,24,21,9,3,,,0.1351,0.6,86.7,0.6486,4.8,-0.617,4.8,4.2,1.8,1,7.4505,7.4505,0.1,2.4,7.4,4.9,7.4,9.9,7.4,4.9,7.4,7.4,7.4,4.9,9.9,7.4,,17,0.027,,0.027,,,,,0.8108,,,,
Daniel Bellinger,NYG,TE,17,No,Yes,No,14,4,No,Yes,4,1,0.2857,4,1,22,16,10,6,,,,1.5,89.6,1.5714,5.5,-0.0748,5.5,4,2.5,2,7.4658,7.4658,0.2353,2.2,6.2,4.2,6.2,8.2,6.2,4.2,6.2,6.2,6.2,4.2,8.2,6.2,1,17,0.1429,,0.2857,,,,,0.5714,,,,
Devontez Walker,BLT,WR,2,No,No,No,2,1,No,Yes,,,0.5,,,,,,29,,,,29,39.6,,,-11.4385,,,,,2.4647,2.4647,0.5,,,,,,,,,,,,,,,7,1,,,1,,,,,,,,
Austin Ekeler,WAS,RB,23,Yes,Yes,No,18,3,No,No,3,1,0.1667,2,0.6667,41,41,25,4,1,0.5,0.4444,1.3333,109.7,2.2778,13.6667,7.2485,20.5,20.5,12.5,1,4.3006,4.3006,0.1304,4.1,6.1,5.1,7.1,6.1,6.1,5.1,6.1,6.1,6.1,5.1,6.1,6.1,1,12,0.0556,,0.5,,,,1,,0.3333,,,
Jaheim Bell,NE,TE,3,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,0.3333,,,,,0.6667,,,,
Chase Brown,CIN,RB,59,Yes,Yes,No,53,13,Yes,Yes,12,0.9231,0.2453,11,0.8462,73,67,20,13,2,0.1818,0.8679,1,90.1,1.3774,5.6154,-0.6682,6.6364,6.0909,1.8182,4,19.6568,19.6568,0.2203,7.3,18.3,12.8,23.8,18.3,18.3,12.8,18.3,18.3,18.3,12.8,18.3,18.3,1,16,0.0943,1,0.0377,,,,,,,,,
Najee Harris,PIT,RB,19,No,No,No,17,4,No,Yes,4,1,0.2353,4,1,58,54,33,4,2,0.5,0.8235,1,118.8,3.4118,14.5,8.2737,14.5,13.5,8.25,3,5.5504,5.5504,0.2105,5.8,9.8,7.8,11.8,9.8,9.8,7.8,9.8,9.8,9.8,7.8,9.8,9.8,,17,,,0.0588,,,,,0.1176,,,,
Tanner Hudson,CIN,TE,6,No,No,No,6,5,No,Yes,5,1,0.8333,5,1,36,20,11,16,,,0.1667,3.2,96.7,6,7.2,0.9201,7.2,4,2.2,2,6.9498,6.9498,0.8333,3.6,8.6,6.1,8.6,11.1,8.6,6.1,8.6,8.6,8.6,6.1,11.1,8.6,1,11,0.3333,,0.3333,,,,,0.1667,,,,
Curtis Samuel,BUF,WR,31,No,No,No,31,7,No,Yes,4,0.5714,0.2258,4,0.5714,38,23,2,43,,,0.0323,6.1429,111.9,1.2258,5.4286,-1.5054,9.5,5.75,0.5,2,11.4648,11.4648,0.2258,9.8,13.8,11.8,13.8,13.8,13.8,11.8,13.8,13.8,13.8,11.8,13.8,13.8,2,14,0.4839,1,0.4839,,1,1,,,,1,,
Brandon Aiyuk,SF,WR,32,No,Yes,No,32,12,No,Yes,8,0.6667,0.375,5,0.4167,74,15,8,198,,,,16.5,27.8,2.3125,6.1667,-3.9154,14.8,3,1.6,4,24.9767,24.9767,0.375,7.4,12.4,9.9,12.4,12.4,12.4,9.9,12.4,12.4,12.4,9.9,12.4,12.4,1,7,0.7812,3,0.2188,3,3,1,2,,0.1667,,,
Allen Lazard,NYJ,WR,45,No,No,Yes,45,6,No,Yes,3,0.5,0.1333,3,0.5,51,12,4,108,,,,18,118.8,1.1333,8.5,-1.2338,17,4,1.3333,3,10.3529,10.3529,0.1333,11.1,14.1,12.6,14.1,14.1,14.1,12.6,14.1,14.1,14.1,12.6,14.1,14.1,1,12,0.5778,,0.3778,2,,,,0.0444,,1,,
Andrei Iosivas,CIN,WR,78,No,No,No,77,14,No,Yes,10,0.7143,0.1818,10,0.7143,129,23,9,149,,,,10.6429,109.8,1.6753,9.2143,1.0707,12.9,2.3,0.9,7,35.076,35.076,0.1795,24.9,34.9,29.9,34.9,34.9,37.9,32.9,34.9,34.9,34.9,29.9,34.9,34.9,3,17,0.4545,2,0.5325,2,2,2,,0.013,,2,1,1
Jeremy Ruckert,NYJ,TE,20,No,No,Yes,17,5,No,Yes,4,0.8,0.2941,3,0.6,10,11,2,19,,,,3.8,64.6,0.5882,2,-4.4346,3.3333,3.6667,0.6667,,7.3948,7.3948,0.25,1,4,2.5,4,5.5,4,2.5,4,4,4,2.5,5.5,4,1,17,0.1176,1,0.2353,,,,1,0.6471,0.2,,,
Kalif Raymond,DET,WR,15,No,No,No,15,2,Yes,Yes,1,0.5,0.1333,1,0.5,38,19,1,35,,,,17.5,95.8,2.5333,19,7.9863,38,19,1,1,3.1866,3.1866,0.1333,3.8,4.8,4.3,4.8,4.8,4.8,4.3,4.8,4.8,4.8,4.3,4.8,4.8,,12,0.6667,,0.3333,,,,,,,,,
Darnell Mooney,ATL,WR,83,No,No,No,83,11,No,No,9,0.8182,0.1325,8,0.7273,144,25,5,154,1,0.125,0.012,14,114.8,1.7349,13.0909,3.5741,18,3.125,0.625,8,23.2062,23.2062,0.1325,14.4,22.4,18.4,22.4,22.4,25.4,21.4,22.4,22.4,22.4,18.4,22.4,22.4,,16,0.5783,2,0.4096,2,,1,,,,,,
Ben Sinnott,WAS,TE,10,Yes,Yes,No,10,1,No,No,1,1,0.1,1,1,7,3,1,4,,,,4,95.8,0.7,7,0.9333,7,3,1,,1.3713,1.3713,0.1,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,17,,,0.4,,,,,0.6,,,,
