Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TouchdownsTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Darnell Washington,PIT,TE,84,No,No,No,55,12,No,2,Yes,11,0.9167,,0.2182,10,2,0.8333,106,67,35,55,2,0.2,0.6545,0.1273,0.2182,9,1,0.0833,4.5833,103.5,1.9273,8.8333,2.0606,10.6,6.7,3.5,5,19.9225,19.9225,0.1519,10.6,20.6,15.6,20.6,25.6,23.6,18.6,20.6,20.6,20.6,15.6,25.6,20.6,4,16,,1,,0.0833,,,
Davis Allen,LA,TE,57,No,No,No,41,10,No,1,Yes,10,1,1,0.2439,7,,0.7,83,61,10,28,1,0.1429,0.5854,0.1707,0.2439,7,2,0.2,2.8,128.3,2.0244,8.3,1.7753,11.8571,8.7143,1.4286,4,21.6509,21.6509,0.1754,14.3,21.3,17.8,21.3,24.8,21.3,17.8,21.3,21.3,21.3,17.8,24.8,21.3,3,17,1,2,,0.2,1,,
Coleman Owen,IND,WR,1,No,Yes,Yes,1,1,No,,No,,,,1,,,,,,,3,,,,1,,1,,,3,39.6,,,-5.4499,,,,,1.4333,1.4333,1,,,,,,,,,,,,,,,2,,,,,,,
Jakobie Keeney-James,GB,WR,1,No,No,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Jonathan Taylor,IND,RB,152,No,No,Yes,107,21,No,2,Yes,20,0.9524,,0.1963,18,1,0.8571,154,186,26,-30,4,0.2222,,0.0654,0.0841,6,4,0.1905,-1.4286,97.2,1.4393,7.3333,1.5592,8.5556,10.3333,1.4444,5,35.0212,35.0212,0.1489,15.4,33.4,24.4,42.4,33.4,36.4,27.4,33.4,33.4,33.4,24.4,33.4,33.4,,17,,2,0.8505,0.0952,,,
Troy Franklin,DEN,WR,140,Yes,No,No,130,26,No,2,Yes,24,0.9231,2,0.2,24,2,0.9231,187,64,38,155,6,0.25,,0.4154,0.5846,23,14,0.5385,5.9615,109.5,1.4385,7.1923,0.1498,7.7917,2.6667,1.5833,10,43.9544,43.9544,0.1955,24.7,48.7,36.7,48.7,48.7,51.7,39.7,48.7,48.7,48.7,36.7,48.7,48.7,9,17,1,,,,1,1,
Laquon Treadwell,IND,WR,6,No,No,Yes,5,,No,,Yes,,,,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
Michael Pittman,IND,WR,164,No,No,Yes,154,41,No,8,Yes,40,0.9756,2,0.2662,37,5,0.9024,326,140,52,223,2,0.0541,0.013,0.3377,0.6429,36,3,0.0732,5.439,97.8,2.1169,7.9512,1.3064,8.8108,3.7838,1.4054,18,65.3987,65.3987,0.2715,38.6,75.6,57.1,75.6,75.6,78.6,60.1,75.6,75.6,75.6,57.1,75.6,75.6,2,17,1,1,0.0065,0.0244,1,,
Malik Washington,MIA,WR,114,Yes,No,Yes,106,24,No,1,Yes,21,0.875,1,0.2264,21,1,0.875,127,133,63,31,5,0.2381,,0.4528,0.5094,18,12,0.5,1.2917,99.1,1.1981,5.2917,-0.6131,6.0476,6.3333,3,5,43.9471,43.9471,0.2286,24.7,45.7,35.2,45.7,45.7,48.7,38.2,45.7,45.7,45.7,35.2,45.7,45.7,4,17,2,,0.0377,,1,,
Tyler Goodson,IND,RB,7,No,No,Yes,7,2,No,,Yes,2,1,,0.2857,2,,1,8,10,2,-2,,,,,,1,,,-1,83.3,1.1429,4,-1.819,4,5,1,,3.0232,3.0232,0.2857,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,11,,,1,,,,
Jordan Mason,MIN,RB,44,No,No,Yes,26,5,No,,Yes,4,0.8,,0.1923,4,,0.8,5,21,10,-15,,,0.0769,,0.0769,3,3,0.6,-3,79.2,0.1923,1,-4.6776,1.25,5.25,2.5,,7.272,7.272,0.122,0.5,4.5,2.5,6.5,4.5,4.5,2.5,4.5,4.5,4.5,2.5,4.5,4.5,1,16,,,0.8462,,,,
Tre Tucker,LV,WR,156,No,No,No,150,26,No,2,No,21,0.8077,,0.1733,19,2,0.7308,184,103,31,120,2,0.1053,0.0133,0.1467,0.8333,24,3,0.1154,4.6154,105.3,1.2267,7.0769,0.4258,9.6842,5.4211,1.6316,10,44.8814,44.8814,0.1757,24.4,43.4,33.9,43.4,43.4,46.4,36.9,43.4,43.4,43.4,33.9,43.4,43.4,2,17,1,1,0.0067,0.0385,,,
DK Metcalf,PIT,WR,141,No,No,No,126,31,No,5,Yes,26,0.8387,,0.246,21,1,0.6774,206,133,43,141,4,0.1905,,0.2698,0.7302,29,7,0.2258,4.5484,72.8,1.6349,6.6452,0.055,9.8095,6.3333,2.0476,8,47.3965,47.3965,0.2422,20.6,41.6,31.1,41.6,41.6,44.6,34.1,41.6,41.6,41.6,31.1,41.6,41.6,3,15,,1,,0.0323,,,1
Mark Andrews,BLT,TE,86,No,Yes,No,71,25,No,3,No,22,0.88,1,0.3521,21,3,0.84,171,47,16,151,,,0.0563,0.7042,0.2394,23,,,6.04,121.8,2.4085,6.84,-0.2271,8.1429,2.2381,0.7619,8,39.2384,39.2384,0.3012,29.1,50.1,39.6,50.1,60.6,53.1,42.6,50.1,50.1,50.1,39.6,60.6,50.1,3,17,2,1,,0.04,,,
Parker Washington,JAX,WR,105,No,No,No,97,22,Yes,8,Yes,19,0.8636,4,0.2268,16,4,0.7273,135,37,10,169,,,,0.5567,0.4433,20,1,0.0455,7.6818,127.8,1.3918,6.1364,-1.322,8.4375,2.3125,0.625,8,40.2142,40.2142,0.2268,31.5,47.5,39.5,47.5,47.5,50.5,42.5,47.5,47.5,47.5,39.5,47.5,47.5,6,16,3,1,,0.0455,3,,2
Tim Jones,JAX,WR,3,No,Yes,No,2,,No,,No,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
Kendre Miller,NO,RB,15,No,No,No,7,1,Yes,,Yes,1,1,,0.1429,1,,1,5,9,8,-4,1,1,,,,1,1,1,-4,87.5,0.7143,5,-0.5699,5,9,8,,2.9164,2.9164,0.0667,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,7,,,1,,,,
Travis Hunter,JAX,WR,54,No,No,No,50,14,No,1,Yes,10,0.7143,1,0.28,7,,0.5,42,45,20,59,3,0.4286,,0.6,0.36,10,3,0.2143,4.2143,26.5,0.84,3,-3.5281,6,6.4286,2.8571,3,22.0928,22.0928,0.2692,4.2,11.2,7.7,11.2,11.2,11.2,7.7,11.2,11.2,11.2,7.7,11.2,11.2,1,7,,2,0.04,0.1429,,,
Braxton Berrios,HST,WR,15,No,Yes,No,14,3,No,,No,2,0.6667,,0.2143,2,,0.6667,5,8,2,-2,,,,0.7857,0.1429,1,,,-0.6667,70.1,0.3571,1.6667,-3.0081,2.5,4,1,1,4.0343,4.0343,0.2,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2,4,,,0.0714,,,,
Thomas Fidone,NYG,TE,4,No,Yes,No,4,,No,,No,,,,,,,,,,,,,,0.25,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Julian Hill,MIA,TE,61,Yes,No,Yes,34,11,No,,Yes,10,0.9091,,0.3235,9,,0.8182,95,79,25,23,1,0.1111,0.8235,0.1176,0.0294,9,1,0.0909,2.0909,102.7,2.7941,8.6364,2.628,10.5556,8.7778,2.7778,5,16.459,16.459,0.193,9.5,18.5,14,18.5,23,18.5,14,18.5,18.5,18.5,14,23,18.5,1,14,,1,0.0294,0.0909,,,
Dameon Pierce,KC,RB,2,No,No,No,2,1,No,,No,1,1,,0.5,,,,,,,-5,,,,,,1,,,-5,39.6,,,-5.8711,,,,,1.873,1.873,0.5,,,,,,,,,,,,,,,5,,1,1,1,,,
Blake Corum,LA,RB,40,No,No,No,19,6,No,,Yes,5,0.8333,,0.3158,2,,0.3333,8,17,3,-6,1,0.5,,0.0526,,2,2,0.3333,-1,42.4,0.4211,1.3333,-4.7157,4,8.5,1.5,,9.3287,9.3287,0.15,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,1,17,,3,0.9474,0.5,,,
Breece Hall,NYJ,RB,89,No,No,No,61,15,No,,Yes,13,0.8667,,0.2459,12,,0.8,105,62,16,52,2,0.1667,,0.0492,0.0328,7,2,0.1333,3.4667,95.8,1.7213,7,0.4659,8.75,5.1667,1.3333,2,22.3211,22.3211,0.1875,10.5,22.5,16.5,28.5,22.5,25.5,19.5,22.5,22.5,22.5,16.5,22.5,22.5,2,16,,1,0.918,0.0667,,1,
Trent Sherfield,ARZ,WR,28,No,No,No,18,1,No,,No,1,1,,0.0556,1,,1,15,9,9,6,1,1,0.0556,0.3333,0.6111,1,,,6,118.8,0.8333,15,8.0509,15,9,9,1,1.4645,1.4645,0.037,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,12,,,,,,,
Evan Hull,NO,RB,8,No,No,No,5,,No,,No,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0.8,,,,
Tyquan Thornton,KC,WR,69,No,No,Yes,55,5,No,,Yes,5,1,,0.0909,5,,1,39,14,2,25,,,,0.3091,0.6909,5,,,5,99.2,0.7091,7.8,1.3546,7.8,2.8,0.4,3,7.2883,7.2883,0.0769,3.9,8.9,6.4,8.9,8.9,8.9,6.4,8.9,8.9,8.9,6.4,8.9,8.9,,14,,,,,,,
Carter Runyon,LV,TE,3,No,No,No,2,1,No,,No,1,1,,0.5,1,,1,3,6,1,-3,,,0.5,,0.5,1,1,1,-3,79.2,1.5,3,-2.8652,3,6,1,,1.5134,1.5134,0.3333,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,10,,,,,,,
Malik Nabers,NYG,WR,41,No,Yes,Yes,37,13,No,1,No,11,0.8462,1,0.3514,9,,0.6923,88,29,9,93,2,0.2222,,0.1622,0.8378,13,,,7.1538,88,2.3784,6.7692,-0.4801,9.7778,3.2222,1,4,21.4396,21.4396,0.325,8.8,17.8,13.3,17.8,17.8,17.8,13.3,17.8,17.8,17.8,13.3,17.8,17.8,1,4,,1,,0.0769,,,
DeMario Douglas,NE,WR,62,Yes,No,Yes,58,14,No,1,Yes,12,0.8571,3,0.2414,12,1,0.8571,112,95,12,43,2,0.1667,,0.8448,0.1207,11,4,0.2857,3.0714,123.8,1.931,8,1.7911,9.3333,7.9167,1,5,30.7557,30.7557,0.2373,17.2,29.2,23.2,29.2,29.2,32.2,26.2,29.2,29.2,29.2,23.2,29.2,29.2,3,17,1,,0.0345,,1,,
James Mitchell,CAR,TE,5,No,No,No,5,1,Yes,,Yes,1,1,,0.2,1,,1,8,,,8,,,0.2,0.8,,,,,8,100,1.6,8,0.2795,8,,,,1.2318,1.2318,0.2,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,5,,,,,,,
Cade Otton,TB,TE,162,No,No,No,117,23,Yes,7,Yes,22,0.9565,,0.1966,20,5,0.8696,162,77,18,101,,,0.3333,0.4957,0.1709,16,1,0.0435,4.3913,96,1.3846,7.0435,0.5441,8.1,3.85,0.9,7,35.0504,35.0504,0.1465,16.2,36.2,26.2,36.2,46.2,39.2,29.2,36.2,36.2,36.2,26.2,46.2,36.2,1,16,,,,,,,
Xavier Weaver,ARZ,WR,49,No,No,No,45,1,No,,Yes,1,1,,0.0222,1,,1,9,5,1,4,,,,0.2,0.8,,,,4,104.2,0.2,9,2.9502,9,5,1,,3.0811,3.0811,0.0217,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1,9,,,,,,,
Taysom Hill,NO,TE,24,No,No,No,21,5,No,,No,5,1,,0.2381,4,,0.8,31,32,6,,,,0.1429,0.381,0.1905,2,1,0.2,,92.5,1.4762,6.2,0.269,7.75,8,1.5,,7.7369,7.7369,0.2174,3.1,7.1,5.1,7.1,9.1,7.1,5.1,7.1,7.1,7.1,5.1,9.1,7.1,,13,,1,0.2857,0.2,,,
Colson Yankoff,WAS,TE,9,No,Yes,No,5,2,No,,Yes,1,0.5,,0.4,1,,0.5,14,1,-1,18,,,0.6,,0.2,2,,,9,72.9,2.8,7,-1.2225,14,1,-1,1,3.3962,3.3962,0.25,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,14,,,0.2,,,,
Dylan Laube,LV,RB,6,No,No,No,6,1,No,,No,1,1,,0.1667,1,,1,13,17,12,-4,1,1,,,0.1667,,,,-4,118.8,2.1667,13,7.4301,13,17,12,1,1.5122,1.5122,0.25,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,17,,,0.8333,,,,
Jason Brownlee,KC,WR,4,No,No,No,2,1,No,,No,,,1,0.5,,,,,,,14,,,,,1,1,,,14,39.6,,,-9.8134,,,,,2.9306,2.9306,0.25,,,,,,,,,,,,,,1,6,,,,,,,
Tai Felton,MIN,WR,8,No,No,Yes,6,2,No,,Yes,2,1,,0.3333,2,,1,15,2,,13,,,,0.3333,0.6667,2,,,6.5,97.9,2.5,7.5,0.4932,7.5,1,,1,3.978,3.978,0.25,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,,14,,,,,,,
Tucker Fisk,LAC,TE,10,No,No,Yes,4,1,No,,Yes,1,1,,0.25,1,,1,7,9,2,-2,,,0.5,0.5,,1,1,1,-2,95.8,1.75,7,2.1489,7,9,2,,1.4987,1.4987,0.1111,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,10,,,,,,,
Brian Robinson,SF,RB,23,No,No,No,16,5,Yes,1,Yes,4,0.8,,0.3125,3,,0.6,7,17,9,-9,2,0.6667,,0.125,0.0625,,,,-1.8,64.6,0.4375,1.4,-4.3574,2.3333,5.6667,3,1,8.9231,8.9231,0.2273,0.7,3.7,2.2,5.2,3.7,3.7,2.2,3.7,3.7,3.7,2.2,3.7,3.7,3,17,,,0.8125,,,,
Alvin Kamara,NO,RB,70,No,No,No,47,13,No,,Yes,12,0.9231,,0.2766,12,,0.9231,53,78,13,-19,1,0.0833,,0.0638,0.0426,7,3,0.2308,-1.4615,83.7,1.1277,4.0769,-1.7168,4.4167,6.5,1.0833,1,19.9419,19.9419,0.1857,5.3,17.3,11.3,23.3,17.3,17.3,11.3,17.3,17.3,17.3,11.3,17.3,17.3,1,11,,,0.8936,,,,
Gunner Olszewski,NYG,WR,19,Yes,No,No,16,5,No,1,Yes,4,0.8,1,0.3125,4,,0.8,48,36,9,32,,,,0.625,0.375,3,1,0.2,6.4,106.7,3,9.6,2.5032,12,9,2.25,3,8.5277,8.5277,0.2941,10.12,14.12,12.12,14.12,14.12,14.12,12.12,14.12,14.12,14.12,12.12,14.45,14.45,1,16,,,,,,1,
Jimmy Horn,CAR,WR,26,No,No,No,24,5,Yes,,Yes,4,0.8,,0.2083,4,,0.8,33,20,6,24,1,0.25,,0.75,0.2083,3,,,4.8,94.2,1.375,6.6,0.0086,8.25,5,1.5,1,7.1865,7.1865,0.2273,3.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,2,13,,,0.0417,,,,
Ray-Ray McCloud,NYG,WR,44,No,No,No,42,5,No,,Yes,3,0.6,,0.119,2,,0.4,20,21,11,27,1,0.5,,0.3333,0.6667,5,1,0.2,5.4,12.5,0.4762,4,-3.339,10,10.5,5.5,1,8.5788,8.5788,0.125,2,4,3,4,4,4,3,4,4,4,3,4,4,,6,,1,,0.2,,,
Eric Saubert,SEA,TE,30,No,No,No,19,1,Yes,,Yes,1,1,,0.0526,1,,1,9,1,1,8,,,0.8421,0.1053,0.0526,,,,8,104.2,0.4737,9,1.2795,9,1,1,1,1.1343,1.1343,0.037,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,11,,,,,,,
D'Ernest Johnson,NE,RB,5,Yes,No,Yes,3,,No,,Yes,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0.6667,,,,
Theo Johnson,NYG,TE,124,No,No,Yes,95,19,No,4,Yes,16,0.8421,1,0.2,13,3,0.6842,81,45,15,69,,,0.2947,0.5053,0.1684,14,3,0.1579,3.6316,72.5,0.8526,4.2632,-2.3484,6.2308,3.4615,1.1538,5,34.3637,34.3637,0.1667,14.1,27.1,20.6,27.1,33.6,27.1,20.6,27.1,27.1,27.1,20.6,33.6,27.1,3,15,1,2,0.0316,0.1053,1,,1
Jahan Dotson,PHI,WR,121,No,Yes,No,108,9,No,1,Yes,4,0.4444,,0.0833,4,1,0.4444,25,15,2,31,,,,0.3889,0.6111,5,,,3.4444,12,0.2315,2.7778,-2.5948,6.25,3.75,0.5,1,12.5937,12.5937,0.0796,2.5,6.5,4.5,6.5,6.5,6.5,4.5,6.5,6.5,6.5,4.5,6.5,6.5,2,17,,,,,,,
DeVonta Smith,PHI,WR,150,No,Yes,No,146,32,No,3,Yes,28,0.875,1,0.2192,25,1,0.7812,175,78,24,161,1,0.04,,0.637,0.363,26,6,0.1875,5.0312,89.5,1.1986,5.4688,-1.247,7,3.12,0.96,10,53.8825,53.8825,0.2238,17.5,42.5,30,42.5,42.5,45.5,33,42.5,42.5,42.5,30,42.5,42.5,3,17,,1,,0.0312,,1,
Mitchell Evans,CAR,TE,49,No,No,No,38,6,Yes,,Yes,6,1,,0.1579,6,,1,45,36,9,9,,,0.7368,0.1842,0.0789,3,1,0.1667,1.5,97.9,1.1842,7.5,1.3133,7.5,6,1.5,3,8.5066,8.5066,0.1463,4.5,10.5,7.5,10.5,13.5,10.5,7.5,10.5,10.5,10.5,7.5,13.5,10.5,,17,,,,,,,
Jalen McMillan,TB,WR,15,No,No,No,12,3,Yes,,Yes,3,1,,0.25,3,,1,22,10,3,12,,,,0.25,0.75,3,1,0.3333,4,97.2,1.8333,7.3333,0.8447,7.3333,3.3333,1,1,4.1732,4.1732,0.2,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,4,,,,,,,
Jameson Williams,DET,WR,151,Yes,No,No,136,22,No,1,Yes,21,0.9545,,0.1618,17,1,0.7727,221,135,59,117,2,0.1176,,0.2132,0.7794,18,3,0.1364,5.3182,123.5,1.625,10.0455,3.3962,13,7.9412,3.4706,12,33.4876,33.4876,0.1654,28.1,45.1,36.6,45.1,45.1,48.1,39.6,45.1,45.1,45.1,36.6,45.1,45.1,4,17,1,3,0.0074,0.1364,,,
Giovanni Ricci,DET,TE,5,No,No,No,2,1,No,,Yes,,,,0.5,,,,,,,2,,,0.5,,0.5,1,,,2,39.6,,,-6.3701,,,,,3.4838,3.4838,0.3333,,,,,,,,,,,,,,1,3,,,,,,,
Puka Nacua,LA,WR,127,No,No,No,118,47,No,10,Yes,40,0.8511,1,0.3983,36,7,0.766,340,222,97,196,7,0.1944,0.0169,0.2881,0.6864,44,10,0.2128,4.1702,94.3,2.8814,7.234,0.8153,9.4444,6.1667,2.6944,18,76.2325,76.2325,0.3821,40,76,58,76,76,79,61,76,76,76,58,76,76,8,16,1,1,0.0085,0.0213,,,
Xavier Restrepo,TEN,WR,5,No,No,No,5,,No,,Yes,,,,,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,,1.4857,1.4857,,,,,,,,,,,,,,,,2,,,,,,,
Woody Marks,HST,RB,90,No,No,Yes,54,13,No,1,Yes,12,0.9231,,0.2407,10,1,0.7692,79,76,14,8,1,0.1,,0.037,0.0185,4,2,0.1538,0.6154,117.1,1.463,6.0769,-0.2262,7.9,7.6,1.4,2,21.0398,21.0398,0.1512,13.9,23.9,18.9,28.9,23.9,23.9,18.9,23.9,23.9,23.9,18.9,23.9,23.9,2,16,1,1,0.9444,0.0769,,,
James Proche,TEN,WR,40,No,No,No,30,3,Yes,,Yes,1,0.3333,,0.1,1,,0.3333,12,1,,29,,,,0.2667,0.7,1,,,9.6667,46.5,0.4,4,-3.8983,12,1,,1,6.0739,6.0739,0.0789,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,9,,,0.0333,,,,1
Aaron Jones,MIN,RB,51,No,No,No,40,12,No,,Yes,7,0.5833,,0.3,7,,0.5833,36,52,11,4,,,0.025,0.025,0.025,8,5,0.4167,0.3333,63.2,0.9,3,-2.9927,5.1429,7.4286,1.5714,2,19.5657,19.5657,0.2553,3.6,10.6,7.1,14.1,10.6,10.6,7.1,10.6,10.6,10.6,7.1,10.6,10.6,4,12,,,0.925,,,,
Luke Farrell,SF,TE,48,No,No,No,32,5,Yes,2,Yes,5,1,,0.1562,5,2,1,31,25,11,6,1,0.2,0.8438,0.0938,0.0625,1,,,1.2,132.1,0.9688,6.2,0.0691,6.2,5,2.2,3,8.3761,8.3761,0.1087,15.1,20.1,17.6,20.1,22.6,20.1,17.6,20.1,20.1,20.1,17.6,22.6,20.1,2,17,2,,,,,,
Luke Musgrave,GB,TE,55,No,No,Yes,49,7,No,2,Yes,7,1,,0.1429,6,2,0.8571,30,16,6,12,,,0.5306,0.3265,0.1429,5,1,0.1429,1.7143,84.5,0.6122,4.2857,-1.6184,5,2.6667,1,2,10.0231,10.0231,0.1296,3,9,6,9,12,9,6,9,9,9,6,12,9,1,17,,1,,0.1429,,,
Christian Kirk,HST,WR,78,No,No,Yes,74,17,No,3,Yes,14,0.8235,1,0.2297,12,1,0.7059,65,38,13,64,1,0.0833,,0.7297,0.2568,14,3,0.1765,3.7647,52.3,0.8784,3.8235,-2.3597,5.4167,3.1667,1.0833,5,27.9405,27.9405,0.2267,6.5,18.5,12.5,18.5,18.5,18.5,12.5,18.5,18.5,18.5,12.5,18.5,18.5,3,13,,1,0.0135,0.0588,,,
Jayden Higgins,HST,WR,101,No,No,Yes,92,19,No,3,Yes,13,0.6842,4,0.2065,10,1,0.5263,88,8,3,157,,,,0.1522,0.8478,17,,,8.2632,82.9,0.9565,4.6316,-2.6688,8.8,0.8,0.3,6,32.9611,32.9611,0.2,26.8,36.8,31.8,36.8,36.8,36.8,31.8,36.8,36.8,36.8,31.8,36.8,36.8,5,17,3,1,,0.0526,3,,
Skyy Moore,SF,WR,14,No,No,No,10,,Yes,,Yes,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,
Travis Homer,CHI,RB,1,Yes,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,1,,,,
David Martin-Robinson,TEN,TE,11,No,No,No,7,1,Yes,,Yes,1,1,,0.1429,1,,1,14,10,9,4,1,1,0.5714,0.1429,0.2857,,,,4,118.8,2,14,7.9333,14,10,9,,1.4953,1.4953,0.125,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,15,,,,,,,
Jack Stoll,NO,TE,13,No,Yes,No,7,2,No,,Yes,1,0.5,,0.2857,1,,0.5,7,6,1,,,,0.2857,0.4286,,1,,,,58.3,1,3.5,-1.8384,7,6,1,,2.8384,2.8384,0.1667,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,15,,,0.2857,,,,
Russell Gage,SF,WR,5,No,No,No,5,,No,,No,,,,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,1.5422,1.5422,,,,,,,,,,,,,,,,1,,,,,,,
Darius Cooper,PHI,WR,27,No,Yes,No,23,5,No,1,Yes,5,1,,0.2174,5,1,1,33,13,6,20,,,,0.5217,0.4783,3,,,4,94.2,1.4348,6.6,0.2485,6.6,2.6,1.2,2,8.4952,8.4952,0.1923,3.3,8.3,5.8,8.3,8.3,8.3,5.8,8.3,8.3,8.3,5.8,8.3,8.3,,13,,,,,,,
Luke Schoonmaker,DAL,TE,56,Yes,No,No,36,5,No,1,Yes,5,1,,0.1389,4,,0.8,28,22,17,15,1,0.25,0.75,0.1667,0.0833,4,,,3,90,0.7778,5.6,-0.3677,7,5.5,4.25,1,6.9509,6.9509,0.0943,2.8,6.8,4.8,6.8,8.8,6.8,4.8,6.8,6.8,6.8,4.8,8.8,6.8,,17,,,,,,,
Nate Adkins,DEN,TE,15,Yes,No,No,4,2,No,,Yes,2,1,,0.5,2,,1,12,5,4,7,,,0.5,0.5,,2,,,3.5,91.7,3,6,-0.425,6,2.5,2,,2.7772,2.7772,0.1333,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,,9,,,,,,,
Tre Harris,LAC,WR,68,Yes,No,No,62,12,No,1,Yes,10,0.8333,,0.1935,9,1,0.75,72,53,11,42,2,0.2222,,0.3226,0.6774,10,2,0.1667,3.5,89.6,1.1613,6,-0.448,8,5.8889,1.2222,4,18.0026,18.0026,0.1905,7.2,16.2,11.7,16.2,16.2,16.2,11.7,16.2,16.2,16.2,11.7,16.2,16.2,1,17,,1,,0.0833,,,
Jalen Royals,KC,WR,10,No,No,No,7,,No,,No,,,,,,,,,,,,,,,0.1429,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
Malik Heath,GB,WR,23,No,Yes,Yes,22,2,Yes,,Yes,2,1,,0.0909,1,,0.5,13,14,13,7,1,1,0.0455,0.3182,0.6364,2,1,0.5,3.5,70.8,0.5909,6.5,-0.3402,13,14,13,1,3.0545,3.0545,0.0909,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,11,,1,,0.5,,,
