Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TouchdownsTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Ja'Marr Chase,CIN,WR,173,No,No,Yes,169,65,Yes,6,Yes,57,0.8769,2,0.3846,52,4,0.8,487,260,76,346,7,0.1346,0.0059,0.3432,0.645,56,13,0.2,5.3231,118.4,2.8817,7.4923,0.7352,9.3654,5,1.4615,32,108.1474,108.1474,0.3988,72.7,124.7,98.7,124.7,124.7,127.7,101.7,124.7,124.7,124.7,98.7,124.7,124.7,9,16,4,3,0.0059,0.0462,2,,
Jamari Thrash,CLV,WR,47,No,No,No,44,8,No,1,No,7,0.875,1,0.1818,6,,0.75,84,5,5,95,,,,0.6364,0.3636,5,,,11.875,108.3,1.9091,10.5,2.5989,14,0.8333,0.8333,5,12.7053,12.7053,0.1818,8.4,14.4,11.4,14.4,14.4,14.4,11.4,14.4,14.4,14.4,11.4,14.4,14.4,,9,,1,,0.125,,1,
Matthew Golden,GB,WR,69,No,No,Yes,61,12,No,2,Yes,10,0.8333,,0.1967,8,1,0.6667,49,15,4,64,,,0.0164,0.4262,0.5574,10,,,5.3333,74.7,0.8033,4.0833,-2.6094,6.125,1.875,0.5,3,17.6474,17.6474,0.1846,4.9,12.9,8.9,12.9,12.9,12.9,8.9,12.9,12.9,12.9,8.9,12.9,12.9,,14,,2,,0.1667,,,
Saquon Barkley,PHI,RB,121,No,No,No,82,26,No,,No,25,0.9615,,0.3171,22,,0.8462,150,180,72,-27,5,0.2273,,0.122,0.1341,5,1,0.0385,-1.0385,103.5,1.8293,5.7692,-0.2587,6.8182,8.1818,3.2727,7,38.2924,38.2924,0.2222,20,42,31,53,42,45,33,41,41,41,30,42,41,4,16,1,3,0.7439,0.1154,,,
Evan Engram,DEN,TE,111,Yes,No,No,98,21,No,2,Yes,15,0.7143,1,0.2143,10,2,0.4762,97,60,28,91,1,0.1,0.3673,0.5,0.1224,12,3,0.1429,4.3333,61,0.9898,4.619,-2.1649,9.7,6,2.8,6,33.0318,33.0318,0.2,9.7,19.7,14.7,19.7,24.7,19.7,14.7,19.7,19.7,19.7,14.7,24.7,19.7,2,16,,4,0.0102,0.1905,,,
Keleki Latu,BUF,TE,18,Yes,No,No,12,4,No,1,Yes,4,1,,0.3333,4,1,1,35,23,15,12,2,0.5,0.4167,0.4167,0.1667,2,,,3,103.1,2.9167,8.75,2.7106,8.75,5.75,3.75,3,5.6303,5.6303,0.2353,3.5,7.5,5.5,7.5,9.5,7.5,5.5,7.5,7.5,7.5,5.5,9.5,7.5,,5,,,,,,,
Miles Sanders,DAL,RB,10,No,No,No,3,1,Yes,,Yes,1,1,,0.3333,1,,1,1,8,3,-7,,,,,,1,1,1,-7,79.2,0.3333,1,-3.5287,1,8,3,,2.8291,2.8291,0.1,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,4,,,1,,,,
Charlie Jones,CIN,WR,3,No,No,No,2,,Yes,,Yes,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
Rasheen Ali,BLT,RB,17,No,Yes,No,13,2,No,,No,2,1,,0.1538,1,,0.5,2,8,2,-5,,,0.0769,,,2,1,0.5,-2.5,56.3,0.1538,1,-4.4094,2,8,2,,2.924,2.924,0.1176,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,15,,1,0.9231,0.5,,,
Will Dissly,LAC,TE,21,Yes,No,No,14,4,No,,Yes,4,1,,0.2857,4,,1,51,37,6,14,,,0.6429,0.2143,0.1429,1,1,0.25,3.5,118.8,3.6429,12.75,5.8837,12.75,9.25,1.5,3,6.1356,6.1356,0.1905,5.1,9.1,7.1,9.1,11.1,9.1,7.1,9.1,9.1,9.1,7.1,11.1,9.1,,9,,,,,,,
