Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsInEndzone,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TouchdownsInEndzone,ReceptionsHero
Xavier Weaver,ARZ,WR,43,No,No,Yes,40,2,No,No,1,0.05,30,0.225,0.775,2,15,1,39.6,-9.351,4.4505,4.4505,0.05,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,40,No,Yes,Yes,40,9,No,Yes,,0.225,62,0.525,0.475,6,6.8889,,144.4,2.769,14.0642,14.0642,0.2571,1,7,1,9,1,8,1,0.8889,88,30,8,1,1,0.125,2.2,9.7778,11,3.75,1,5,14.8,22.8,18.8,22.8,22.8,22.8,18.8,22.8,22.8,22.8,18.8,22.8,22.8,,,,,,,,
Corey Kiner,ARZ,RB,5,No,No,Yes,5,3,No,No,,0.6,12,,,1,4,,78.5,-1.9217,4.7572,4.7572,0.6,1,4,1,3,1,2,1,0.6667,15,5,1,,,,3,5,7.5,2.5,0.5,1,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,1,1,0.3333,,,,,
Jeff Wilson,MIA,RB,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Kameron Johnson,TB,WR,8,No,No,No,8,2,No,Yes,,0.25,24,0.625,0.375,2,12,,79.2,-0.1567,3.2235,3.2235,0.25,,17,,2,1,1,,0.5,17,3,,,,,2.125,8.5,17,3,,1,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,1,,0.5,,,,,
Mason Taylor,NYJ,TE,52,No,Yes,No,50,15,Yes,Yes,1,0.3,85,0.44,0.1,10,5.6667,,71,-2.2874,25.8175,25.8175,0.3409,4,13,4,12,0.8,9,4,0.6,68,22,6,,,,1.36,4.5333,7.5556,2.4444,0.6667,3,6.8,15.8,11.3,15.8,20.3,15.8,11.3,15.8,15.8,15.8,11.3,20.3,15.8,3,0.02,0.2,0.44,,,,
Emanuel Wilson,GB,RB,23,No,No,No,19,3,Yes,Yes,,0.1579,6,,0.1579,,2,,106.9,3.4555,4.2659,4.2659,0.1364,,17,,3,1,3,,1,29,23,15,,2,0.6667,1.5263,9.6667,9.6667,7.6667,5,2,2.9,5.9,4.4,7.4,5.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,,0.8421,,,,,,
Quentin Johnston,LAC,WR,85,Yes,No,No,82,11,No,Yes,1,0.1341,99,0.122,0.878,7,9,,91.1,-0.9554,19.2778,19.2778,0.1392,2,14,2,10,0.9091,8,,0.7273,75,16,2,,1,0.125,0.9146,6.8182,9.375,2,0.25,3,6.5,14.5,10.5,14.5,14.5,14.5,9.5,13.5,13.5,13.5,9.5,14.5,13.5,1,,0.0909,,,,,
Dyami Brown,JAX,WR,24,No,No,No,19,4,No,Yes,,0.2105,40,0.3684,0.6316,4,10,,39.6,-6.6586,5.848,5.848,0.1739,,14,2,3,0.75,1,1,0.25,6,1,1,,,,0.3158,1.5,6,1,1,1,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,2,,0.5,,,,,
Luther Burden,CHI,WR,35,Yes,Yes,Yes,32,8,No,Yes,,0.25,46,0.4375,0.5312,7,5.75,,78.6,-1.1202,12.7129,12.7129,0.25,2,15,,7,0.875,5,,0.625,47,26,19,,1,0.2,1.4688,5.875,9.4,5.2,3.8,3,4.7,9.7,7.2,9.7,9.7,9.7,7.2,9.7,9.7,9.7,7.2,9.7,9.7,2,0.0312,0.25,,2,0.25,,
Cameron Latu,PHI,TE,5,No,No,Yes,2,,No,No,,,,0.5,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,
Chris Manhertz,NYG,TE,3,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Blake Whiteheart,CLV,TE,22,No,No,No,16,2,No,No,,0.125,13,0.25,0.0625,,6.5,,39.6,-6.6632,3.0685,3.0685,0.1053,,16,1,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,,,,
Braelon Allen,NYJ,RB,7,No,No,No,7,,No,Yes,,,,0.1429,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571,,,,,,
Josiah Deguara,ARZ,TE,7,No,No,Yes,5,1,No,No,,0.2,4,0.6,,,4,,100,1.9333,1.3739,1.3739,0.1429,,12,,1,1,1,,1,8,4,1,,,,1.6,8,8,4,1,1,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,,,0.4,,,,
Adam Thielen,PIT,WR,36,Yes,No,No,36,11,No,Yes,,0.3056,82,0.6944,0.3056,5,7.4545,,71,-1.1694,14.5922,14.5922,0.3438,,16,3,8,0.7273,6,2,0.5455,62,17,3,,,,1.7222,5.6364,10.3333,2.8333,0.5,3,6.2,12.2,9.2,12.2,12.2,12.2,9.2,12.2,12.2,12.2,9.2,12.2,12.2,1,,0.0909,,,,,
Elijah Higgins,ARZ,TE,45,No,No,Yes,42,10,No,No,,0.2381,60,0.381,0.1667,4,6,,110.4,3.5788,18.5338,18.5338,0.25,1,17,3,9,0.9,8,1,0.8,105,66,22,,1,0.125,2.5,10.5,13.125,8.25,2.75,5,9.5,17.5,13.5,17.5,21.5,20.5,15.5,16.5,16.5,16.5,12.5,21.5,16.5,,,,0.4524,,,,
Jonnu Smith,PIT,TE,52,Yes,No,No,49,16,No,Yes,2,0.3265,99,0.3878,0.102,10,6.1875,,125,-1.2718,30.214,30.214,0.32,3,17,2,13,0.8125,11,1,0.6875,100,50,16,2,,,2.0408,6.25,9.0909,4.5455,1.4545,5,22,33,27.5,33,38.5,36,30.5,33,33,33,27.5,38.5,33,1,,0.0625,0.5102,1,0.0625,1,
Harrison Bryant,HST,TE,7,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Tylan Wallace,BLT,WR,12,Yes,No,No,7,,No,Yes,,,,0.4286,0.5714,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,27,No,No,No,13,3,No,Yes,,0.2308,12,0.0769,0.0769,,4,,116.7,5.7105,4.452,4.452,0.12,,17,1,3,1,3,1,1,36,24,14,,1,0.3333,2.7692,12,12,8,4.6667,2,3.6,6.6,5.1,6.6,8.1,6.6,5.1,6.6,6.6,6.6,5.1,8.1,6.6,,0.3846,,0.4615,,,,
Mason Kinsey,TEN,WR,7,No,No,No,7,,No,Yes,,,,0.4286,0.5714,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omarion Hampton,LAC,RB,37,Yes,No,No,26,6,No,Yes,,0.2308,2,0.0769,0.0769,2,0.3333,,81.3,-2.6482,8.7974,8.7974,0.1622,,9,2,6,1,6,2,1,21,19,7,,,,0.8077,3.5,3.5,3.1667,1.1667,,2.1,8.1,5.1,11.1,8.1,8.1,5.1,8.1,8.1,8.1,5.1,8.1,8.1,,0.8462,,,2,0.3333,,
Josh Palmer,BUF,WR,33,Yes,Yes,No,32,9,Yes,No,,0.2812,82,0.2188,0.7812,4,9.1111,,36.1,-1.0831,14.0203,14.0203,0.2812,,12,3,6,0.6667,5,2,0.5556,59,5,2,,,,1.8438,6.5556,11.8,1,0.4,4,5.9,10.9,8.4,10.9,10.9,10.9,8.4,10.9,10.9,10.9,8.4,10.9,10.9,,,,,,,,
Antonio Gibson,NE,RB,1,No,Yes,No,1,,No,No,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Moore,WAS,WR,31,No,No,Yes,29,2,No,No,,0.069,17,0.2414,0.7586,2,8.5,,118.8,6.3678,2.9384,2.9384,0.069,,14,,2,1,2,,1,28,11,5,,,,0.9655,14,14,5.5,2.5,1,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,,,,,,,
Tutu Atwell,LA,WR,24,No,No,Yes,24,2,No,No,,0.0833,13,0.7917,0.2083,1,6.5,,39.6,-6.4749,2.7282,2.7282,0.0833,,10,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Moore,CAR,WR,5,No,Yes,No,4,,No,No,,,,0.25,0.75,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,138,Yes,Yes,Yes,135,41,No,Yes,1,0.3037,329,0.5852,0.4074,36,8.0244,,96.1,1.4227,71.5497,71.5497,0.3228,7,17,6,37,0.9024,29,3,0.7073,365,160,41,1,5,0.1724,2.7037,8.9024,12.5862,5.5172,1.4138,16,42.5,71.5,57,71.5,71.5,74.5,60,71.5,71.5,71.5,57,71.5,71.5,5,0.0074,0.122,,1,0.0244,,
Isaiah Williams,NYJ,WR,24,Yes,Yes,No,24,5,Yes,No,,0.2083,24,0.625,0.375,3,4.8,,74.6,-0.9549,7.1843,7.1843,0.2778,,15,1,5,1,3,,0.6,27,12,4,,,,1.125,5.4,9,4,1.3333,1,2.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,2,,0.4,,,,,
Calvin Austin,PIT,WR,50,Yes,No,No,46,5,No,Yes,,0.1087,46,0.6522,0.3478,5,9.2,,79.6,-1.2147,8.2794,8.2794,0.1087,1,14,,3,0.6,3,,0.6,33,11,,,,,0.7174,6.6,11,3.6667,,2,3.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,,,,,,,,
Ronnie Bell,NO,WR,6,No,No,No,5,,No,Yes,,,,0.4,0.6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,64,No,No,No,49,7,No,Yes,,0.1429,27,0.2653,0.0612,3,3.8571,,106.5,2.5716,10.0476,10.0476,0.1167,,17,,6,0.8571,6,,0.8571,67,46,2,,,,1.3673,9.5714,11.1667,7.6667,0.3333,3,5.7,11.7,8.7,14.7,11.7,11.7,7.7,10.7,10.7,10.7,7.7,11.7,10.7,,0.6735,,,1,0.1429,,
LeQuint Allen,JAX,RB,37,No,No,No,28,2,No,Yes,,0.0714,-6,0.0714,,2,-3,,85.4,-1.384,2.7348,2.7348,0.0588,,17,,2,1,2,,1,9,15,7,,,,0.3214,4.5,4.5,7.5,3.5,,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,0.9286,,,2,1,,
Colston Loveland,CHI,TE,62,Yes,Yes,Yes,57,18,No,Yes,2,0.3158,143,0.4561,0.2281,10,7.9444,,144,2.0587,29.6578,29.6578,0.3333,3,16,4,17,0.9444,16,3,0.8889,174,65,22,2,3,0.1875,3.0526,9.6667,10.875,4.0625,1.375,9,29.4,45.4,37.4,45.4,53.4,48.4,40.4,45.4,45.4,45.4,37.4,53.4,45.4,,,,0.3158,,,2,
Jaleel McLaughlin,DEN,RB,4,No,Yes,Yes,4,,No,No,,,,,0.25,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,
Darren Waller,MIA,TE,23,No,No,No,21,9,No,Yes,2,0.4286,94,0.3333,0.5238,8,10.4444,,124.5,-1.9632,17.0804,17.0804,0.3913,2,9,1,6,0.6667,6,1,0.6667,59,24,2,2,1,0.1667,2.8095,6.5556,9.8333,4,0.3333,6,17.9,23.9,20.9,23.9,26.9,23.9,20.9,23.9,23.9,23.9,20.9,26.9,23.9,,,,0.1429,,,2,1
Pat Freiermuth,PIT,TE,55,Yes,No,No,53,13,No,Yes,1,0.2453,106,0.6981,0.1509,10,8.1538,,135.9,1.109,26.1725,26.1725,0.2453,3,17,4,11,0.8462,9,3,0.6923,114,44,14,2,,,2.1509,8.7692,12.6667,4.8889,1.5556,7,23.4,32.4,27.9,32.4,36.9,35.4,30.9,32.4,32.4,32.4,27.9,36.9,32.4,1,,0.0769,0.1509,,,1,
Isiah Pacheco,KC,RB,27,No,No,No,19,,No,Yes,,,,0.1053,0.1053,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7895,,,,,,
Zach Charbonnet,SEA,RB,44,Yes,No,No,35,11,No,Yes,,0.3143,22,0.0571,0.0571,3,2,,100,1.5627,16.4491,16.4491,0.275,2,16,,11,1,10,,0.9091,88,71,20,,,,2.5143,8,8.8,7.1,2,4,8.8,18.8,13.8,23.8,18.8,18.8,13.8,18.8,18.8,18.8,13.8,18.8,18.8,1,0.8571,0.0909,0.0286,2,0.1818,,
Chuba Hubbard,CAR,RB,41,No,No,No,35,4,No,Yes,,0.1143,9,0.0286,0.1714,2,2.25,,87.5,-0.7716,7.5872,7.5872,0.1081,,15,,4,1,3,,0.75,22,14,10,,1,0.3333,0.6286,5.5,7.3333,4.6667,3.3333,1,2.2,5.2,3.7,6.7,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,1,0.8,0.25,,,,,
Jared Wayne,HST,WR,2,No,No,No,2,1,No,Yes,,0.5,14,0.5,0.5,1,14,,118.8,7.1866,1.7719,1.7719,0.5,,1,,1,1,1,,1,17,3,2,,,,8.5,17,17,3,2,1,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,,,,,,,
AJ Barner,SEA,TE,81,Yes,No,No,68,13,No,Yes,,0.1912,57,0.1029,0.0147,6,4.3846,,122.4,0.6133,22.6238,22.6238,0.1757,1,17,1,12,0.9231,12,1,0.9231,94,42,19,1,,,1.3824,7.2308,7.8333,3.5,1.5833,6,15.4,27.4,21.4,27.4,33.4,27.4,21.4,27.4,27.4,27.4,21.4,33.4,27.4,,0.0147,,0.8676,1,0.0769,,
Rachaad White,TB,RB,61,No,No,No,52,4,No,Yes,,0.0769,-13,0.0769,0.0769,3,-3.25,,85.4,-1.3448,5.0564,5.0564,0.0678,2,17,,4,1,4,,1,18,31,8,,,,0.3462,4.5,4.5,7.75,2,1,1.8,5.8,3.8,7.8,5.8,5.8,3.8,5.8,5.8,5.8,3.8,5.8,5.8,,0.8462,,,3,0.75,,
Cam Grandy,CIN,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Elijah Moore,BUF,WR,20,No,No,No,20,3,No,Yes,,0.15,27,0.5,0.5,,9,,109.7,6.7243,4.6002,4.6002,0.15,,9,2,3,1,2,1,0.6667,44,23,9,,1,0.5,2.2,14.6667,22,11.5,4.5,2,4.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,1,,0.3333,,,,,
Malachi Corley,CLV,WR,14,No,No,No,13,2,No,No,,0.1538,-3,0.6923,0.3077,2,-1.5,,102.1,3.6969,3.0909,3.0909,0.1667,,13,,2,1,2,,1,17,41,4,,1,0.5,1.3077,8.5,8.5,20.5,2,1,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,,,,,2,1,,
Xavier Worthy,KC,WR,45,No,No,No,39,5,No,Yes,,0.1282,19,0.359,0.641,3,3.8,,90.8,-0.6838,7.6365,7.6365,0.1163,,14,1,5,1,5,1,1,29,10,2,,,,0.7436,5.8,5.8,2,0.4,1,2.9,7.9,5.4,7.9,7.9,7.9,5.4,7.9,7.9,7.9,5.4,7.9,7.9,,,,,2,0.4,,
Elic Ayomanor,TEN,WR,67,No,No,No,65,12,No,Yes,1,0.1846,98,0.2462,0.7538,10,8.1667,,28.1,-2.9231,18.9889,18.9889,0.1967,2,16,5,10,0.8333,6,3,0.5,55,15,5,,,,0.8462,4.5833,9.1667,2.5,0.8333,5,5.5,11.5,8.5,11.5,11.5,11.5,8.5,11.5,11.5,11.5,8.5,11.5,11.5,2,,0.1667,,,,,
Andre Baccellia,ARZ,WR,9,No,Yes,No,8,,No,Yes,,,,0.125,0.875,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Johnson,BUF,RB,28,Yes,Yes,No,24,3,Yes,No,,0.125,5,0.1667,0.1667,,1.6667,,109.7,4.3439,4.3456,4.3456,0.12,,17,,3,1,3,,1,31,26,8,,,,1.2917,10.3333,10.3333,8.6667,2.6667,1,3.1,6.1,4.6,7.6,6.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,,0.6667,,,,,,
Van Jefferson,TEN,WR,59,No,No,Yes,54,5,No,Yes,,0.0926,58,0.0926,0.9074,2,11.6,,91.3,0.7624,9.5286,9.5286,0.098,,16,2,3,0.6,3,2,0.6,47,9,3,,,,0.8704,9.4,15.6667,3,1,2,4.7,7.7,6.2,7.7,7.7,7.7,6.2,7.7,7.7,7.7,6.2,7.7,7.7,,,,,,,,
Kareem Hunt,KC,RB,35,No,No,No,25,1,No,Yes,,0.04,3,0.08,0.08,1,3,,83.3,-2.5094,1.3216,1.3216,0.0333,,17,,1,1,1,,1,4,1,,,,,0.16,4,4,1,,,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,0.8,,0.04,,,,
Derrick Henry,BLT,RB,38,Yes,No,No,26,2,No,Yes,,0.0769,7,,,,3.5,,56.3,-3.5857,2.5749,2.5749,0.0541,,17,,1,0.5,1,,0.5,6,2,2,,,,0.2308,3,6,2,2,,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,1,,,,,,
Robert Tonyan,KC,TE,4,No,No,No,3,,No,Yes,,,,0.3333,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,
Najee Harris,LAC,RB,5,No,No,Yes,4,1,No,Yes,,0.25,4,,,,4,,104.2,2.3381,1.3128,1.3128,0.2,,3,,1,1,1,,1,9,5,3,,,,2.25,9,9,5,3,,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,1,,,,,,
Chase Brown,CIN,RB,93,No,No,No,85,24,No,No,,0.2824,42,0.1529,0.0118,7,1.75,,112.3,1.2396,33.954,33.954,0.2637,2,17,3,23,0.9583,20,3,0.8333,183,151,56,1,7,0.35,2.1529,7.625,9.15,7.55,2.8,5,24.3,44.3,34.3,54.3,44.3,47.3,37.3,44.3,44.3,44.3,34.3,44.3,44.3,3,0.8353,0.125,,2,0.0833,,1
Curtis Samuel,BUF,WR,14,No,Yes,No,14,,No,Yes,,,,0.2143,0.7857,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,36,No,No,No,35,10,No,No,2,0.2857,59,0.5429,0.2286,8,5.9,,74.2,-2.0166,19.2522,19.2522,0.2941,4,13,2,9,0.9,7,,0.7,48,22,8,1,,,1.3714,4.8,6.8571,3.1429,1.1429,2,10.8,17.8,14.3,17.8,21.3,17.8,14.3,17.8,17.8,17.8,14.3,21.3,17.8,,,,0.2286,,,1,
Austin Ekeler,WAS,RB,9,No,No,No,8,1,No,No,,0.125,4,0.25,0.125,,4,,116.7,5.3381,2.8449,2.8449,0.1111,,2,,1,1,1,,1,12,8,2,,,,1.5,12,12,8,2,1,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,0.625,,,,,,
Devontez Walker,BLT,WR,8,Yes,No,No,7,,No,Yes,,,,,1,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Drummond,ATL,WR,13,No,No,No,12,7,No,Yes,1,0.5833,50,0.25,0.75,2,7.1429,,69.3,-2.3632,11.2065,11.2065,0.6364,2,9,4,7,1,4,1,0.5714,33,7,4,,,,2.75,4.7143,8.25,1.75,1,1,3.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,1,,0.1429,,,,,
Drew Sample,CIN,TE,55,No,No,No,41,5,No,No,,0.122,11,0.0732,0.0732,1,2.2,,115,5.7882,7.2407,7.2407,0.098,,17,1,5,1,5,1,1,58,47,10,,,,1.4146,11.6,11.6,9.4,2,3,5.8,10.8,8.3,10.8,13.3,10.8,8.3,10.8,10.8,10.8,8.3,13.3,10.8,,0.2927,,0.561,,,,
Daniel Bellinger,NYG,TE,32,No,No,No,29,6,No,Yes,,0.2069,53,0.5517,0.1034,4,8.8333,,109.7,2.6324,11.0014,11.0014,0.2143,1,16,2,6,1,5,1,0.8333,62,21,6,,,,2.1379,10.3333,12.4,4.2,1.2,5,6.2,11.2,8.7,11.2,13.7,11.2,8.7,11.2,11.2,11.2,8.7,13.7,11.2,,0.1034,,0.2414,,,,
Jaylin Noel,HST,WR,20,No,No,No,19,2,No,Yes,,0.1053,9,0.6316,0.3684,2,4.5,,110.4,4.2937,2.8192,2.8192,0.1111,,17,,2,1,2,,1,21,12,4,,,,1.1053,10.5,10.5,6,2,2,2.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,,,,,,,,
Zay Jones,ARZ,WR,27,No,No,No,27,3,No,Yes,,0.1111,19,0.2593,0.7407,3,6.3333,,105.6,2.5671,4.074,4.074,0.125,,8,,3,1,3,,1,28,9,4,,,,1.037,9.3333,9.3333,3,1.3333,1,2.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,,,,,,,,
Ashton Jeanty,LV,RB,62,No,No,No,48,10,No,Yes,,0.2083,23,0.0625,0.0208,1,2.3,,16.7,-4.3228,14.2044,14.2044,0.1818,,17,,8,0.8,5,,0.5,20,8,5,,1,0.2,0.4167,2,4,1.6,1,1,2,7,4.5,9.5,7,7,4.5,7,7,7,4.5,7,7,3,0.9167,0.3,,,,,
Kyle Monangai,CHI,RB,36,Yes,Yes,Yes,27,7,No,Yes,,0.2593,14,,0.0741,2,2,,75.3,-3.4086,10.6828,10.6828,0.2121,1,17,1,7,1,5,,0.7143,23,8,-1,,1,0.2,0.8519,3.2857,4.6,1.6,-0.2,1,2.3,7.3,4.8,9.8,7.3,7.3,4.8,7.3,7.3,7.3,4.8,7.3,7.3,1,0.8889,0.1429,0.037,2,0.2857,,
Ben Sinnott,WAS,TE,10,No,No,Yes,9,2,No,No,,0.2222,20,0.2222,0.2222,1,10,,97.9,-0.6288,2.7323,2.7323,0.2222,,16,1,2,1,2,1,1,15,-5,2,,,,1.6667,7.5,7.5,-2.5,1,,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,,,,0.5556,,,,
Jaydon Blue,DAL,RB,3,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Stefon Diggs,NE,WR,66,Yes,No,Yes,65,19,No,Yes,1,0.2923,123,0.5846,0.4154,12,6.4737,,90.8,-0.1003,30.7323,30.7323,0.3065,3,17,4,16,0.8421,15,3,0.7895,130,51,22,1,2,0.1333,2,6.8421,8.6667,3.4,1.4667,8,19,34,26.5,34,34,37,29.5,34,34,34,26.5,34,34,1,,0.0526,,,,,
Jeremy Ruckert,NYJ,TE,26,Yes,Yes,No,23,7,Yes,No,,0.3043,35,0.2174,0.2609,2,5,,106,2.7889,10.1328,10.1328,0.3043,,17,1,7,1,7,1,1,66,31,16,,,,2.8696,9.4286,9.4286,4.4286,2.2857,4,6.6,13.6,10.1,13.6,17.1,13.6,10.1,13.6,13.6,13.6,10.1,17.1,13.6,,,,0.5217,,,,
Kalif Raymond,DET,WR,56,Yes,Yes,Yes,55,8,No,Yes,,0.1455,48,0.3636,0.6182,3,6,,114.6,4.7297,13.4416,13.4416,0.1509,1,15,1,8,1,7,1,0.875,92,48,11,,,,1.6727,11.5,13.1429,6.8571,1.5714,4,9.2,16.2,12.7,16.2,16.2,16.2,12.7,16.2,16.2,16.2,12.7,16.2,16.2,1,,0.125,0.0182,,,,
Darnell Mooney,ATL,WR,67,No,No,No,65,6,No,Yes,,0.0923,67,0.5077,0.4923,4,11.1667,,42.4,-6.2726,9.8804,9.8804,0.0968,2,15,3,5,0.8333,2,1,0.3333,13,-3,-4,,,,0.2,2.1667,6.5,-1.5,-2,1,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,1,,0.1667,,,,,
Isaac TeSlaa,DET,WR,74,Yes,Yes,Yes,70,5,No,Yes,2,0.0714,60,0.2286,0.7714,3,12,,93.3,-4.5636,12.9314,12.9314,0.0769,2,17,3,4,0.8,2,1,0.4,22,4,,1,,,0.3143,4.4,11,2,,2,8.2,10.2,9.2,10.2,10.2,10.2,9.2,10.2,10.2,10.2,9.2,10.2,10.2,,,,,,,1,1
Allen Lazard,NYJ,WR,28,No,No,No,28,3,No,Yes,2,0.1071,23,0.3214,0.6786,3,7.6667,,42.4,-5.2134,8.9001,8.9001,0.1154,3,10,,1,0.3333,1,,0.3333,6,1,,,,,0.2143,2,6,1,,,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,
Hunter Renfrow,CAR,WR,31,Yes,No,No,31,4,No,Yes,,0.129,32,0.8065,0.1935,2,8,,91.7,-1.2823,5.7813,5.7813,0.1429,1,6,2,4,1,3,1,0.75,26,8,3,,,,0.8387,6.5,8.6667,2.6667,1,2,2.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,,,,,1,0.25,,
