Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsInEndzone,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TouchdownsInEndzone,ReceptionsHero
Puka Nacua,LA,WR,76,No,No,Yes,75,25,No,No,,0.3333,175,0.6,0.4,24,7,,105.5,2.3288,36.1378,36.1378,0.3425,,16,4,24,0.96,21,3,0.84,233,87,55,,2,0.0952,3.1067,9.32,11.0952,4.1429,2.619,15,22.3,43.3,32.8,43.3,43.3,46.3,34.8,42.3,42.3,42.3,31.8,43.3,42.3,2,,0.08,,,,,1
Woody Marks,HST,RB,39,No,No,No,27,3,No,Yes,1,0.1111,-5,0.037,0.1111,1,-1.6667,,70.1,-5.0343,7.5968,7.5968,0.0833,1,16,1,3,1,2,,0.6667,3,12,4,,,,0.1111,1,1.5,6,2,1,0.3,2.3,1.3,3.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,,0.8519,,,1,0.3333,,
James Proche,TEN,WR,12,No,No,No,10,1,No,Yes,,0.1,6,0.4,0.6,1,6,,95.8,0.0509,1.6203,1.6203,0.0833,,9,,1,1,1,,1,7,1,,,,,0.7,7,7,1,,,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,,,
Xavier Restrepo,TEN,WR,5,No,Yes,Yes,5,5,No,Yes,,1,37,1,,4,7.4,,86.3,0.5231,9.6631,9.6631,1,1,2,1,4,0.8,3,,0.6,41,23,4,,,,8.2,8.2,13.6667,7.6667,1.3333,3,4.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,,,,,,,,
Jameson Williams,DET,WR,152,Yes,Yes,Yes,149,25,No,Yes,1,0.1678,257,0.2685,0.7315,17,10.28,,144.2,5.1167,44.7771,44.7771,0.1786,2,17,1,23,0.92,19,,0.76,338,151,61,2,6,0.3158,2.2685,13.52,17.7895,7.9474,3.2105,16,45.8,64.8,55.3,64.8,64.8,67.8,58.3,64.8,64.8,64.8,55.3,64.8,64.8,3,,0.12,,1,0.04,,
Jahan Dotson,PHI,WR,46,No,No,Yes,45,4,No,No,,0.0889,38,0.4222,0.5778,3,9.5,,71.9,-1.3381,7.742,7.742,0.093,,17,,2,0.5,2,,0.5,27,8,3,,,,0.6,6.75,13.5,4,1.5,2,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,,,,,,,,
DeVonta Smith,PHI,WR,51,No,No,Yes,48,15,No,No,,0.3125,108,0.5833,0.4167,11,7.2,,111.9,3.4604,26.8966,26.8966,0.3125,2,17,2,14,0.9333,13,1,0.8667,163,75,24,,,,3.3958,10.8667,12.5385,5.7692,1.8462,10,16.3,29.3,22.8,29.3,29.3,32.3,25.8,29.3,29.3,29.3,22.8,29.3,29.3,,,,,2,0.1333,,
D'Ernest Johnson,NE,RB,4,Yes,No,Yes,2,,No,Yes,,,,0.5,0.5,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Johnson,NYG,TE,73,No,No,No,65,20,No,No,3,0.3077,167,0.6308,0.1538,16,8.35,,84.6,-1.6419,39.7489,39.7489,0.303,4,15,7,14,0.7,9,3,0.45,126,76,15,3,1,0.1111,1.9385,6.3,14,8.4444,1.6667,7,30.6,39.6,35.1,39.6,44.1,42.6,38.1,39.6,39.6,39.6,35.1,44.1,39.6,2,0.0308,0.1,0.1846,3,0.15,1,
Jalen McMillan,TB,WR,14,No,No,No,12,2,No,Yes,,0.1667,17,0.0833,0.9167,,8.5,,70.8,-0.9822,2.6741,2.6741,0.1538,,4,,2,1,1,,0.5,13,,,,,,1.0833,6.5,13,,,1,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,1,,0.5,,,,,
Mitchell Evans,CAR,TE,17,No,No,No,14,6,No,Yes,,0.4286,20,0.1429,,4,3.3333,,93.1,0.1098,8.6833,8.6833,0.4286,,17,1,6,1,5,1,0.8333,38,23,7,,1,0.2,2.7143,6.3333,7.6,4.6,1.4,1,3.8,8.8,6.3,8.8,11.3,8.8,6.3,8.8,8.8,8.8,6.3,11.3,8.8,,,,0.8571,,,,
Malik Heath,GB,WR,20,No,Yes,No,16,1,No,No,,0.0625,6,0.5,0.4375,1,6,,104.2,2.0509,1.2838,1.2838,0.05,,11,,1,1,1,,1,9,3,,,,,0.5625,9,9,3,,,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,0.0625,,,,
Jalen Royals,KC,WR,5,No,No,No,4,2,No,Yes,,0.5,,0.75,0.25,1,,,79.2,-3.4168,2.9981,2.9981,0.5,,7,,2,1,2,,1,4,4,1,,,,1,2,2,2,0.5,,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,,,,,1,0.5,,
Shane Zylstra,DET,TE,26,Yes,Yes,Yes,22,2,No,Yes,1,0.0909,22,0.3636,0.2727,2,11,,66.7,-2.7173,4.4592,4.4592,0.0833,1,5,,1,0.5,1,,0.5,11,1,,,,,0.5,5.5,11,1,,,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,,,0.3636,,,,
Darius Cooper,PHI,WR,11,No,No,Yes,10,1,No,No,,0.1,10,0.2,0.8,1,10,,118.8,5.5,1.5271,1.5271,0.1,,13,,1,1,1,,1,13,3,2,,,,1.3,13,13,3,2,1,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,,,,,,,
Jack Stoll,NO,TE,11,No,No,Yes,5,2,No,Yes,,0.4,11,0.2,,1,5.5,,16.7,-4.6873,3.0499,3.0499,0.1818,,15,1,1,0.5,1,1,0.5,4,,,,,,0.8,2,4,,,1,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,,,0.8,,,,
Russell Gage,SF,WR,2,No,Yes,No,2,,No,Yes,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Adkins,DEN,TE,6,No,Yes,Yes,6,1,No,No,,0.1667,4,,0.1667,,4,,118.8,8.9333,1.3768,1.3768,0.2,,9,,1,1,1,,1,15,11,4,,,,2.5,15,15,11,4,1,1.5,2.5,2,2.5,3,2.5,2,2.5,2.5,2.5,2,3,2.5,,,,0.8333,,,,
Tre Harris,LAC,WR,44,No,Yes,Yes,40,10,No,No,1,0.25,70,0.4,0.6,7,7,,135.4,1.3072,16.3262,16.3262,0.2564,2,17,3,10,1,9,2,0.9,85,27,11,1,,,2.125,8.5,9.4444,3,1.2222,6,14.5,23.5,19,23.5,23.5,23.5,19,23.5,23.5,23.5,19,23.5,23.5,,,,,1,0.1,1,
Luke Schoonmaker,DAL,TE,20,No,No,No,17,4,No,Yes,,0.2353,25,0.4118,0.0588,2,6.25,,90.6,-0.5699,5.4822,5.4822,0.2,,17,2,4,1,3,1,0.75,25,4,2,,,,1.4706,6.25,8.3333,1.3333,0.6667,1,2.5,5.5,4,5.5,7,5.5,4,5.5,5.5,5.5,4,7,5.5,,,,0.5294,,,,
David Martin-Robinson,TEN,TE,5,No,No,No,4,1,No,Yes,1,0.25,8,,,1,8,,118.8,-6.7205,3.55,3.55,0.25,1,15,,1,1,1,,1,1,,,1,,,0.25,1,1,,,1,6.1,7.1,6.6,7.1,7.6,7.1,6.6,7.1,7.1,7.1,6.6,7.6,7.1,,,,1,,,1,
Travis Homer,CHI,RB,1,Yes,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Jayden Higgins,HST,WR,48,No,No,No,47,10,No,Yes,1,0.2128,80,0.3191,0.6809,9,8,,138.8,1.6678,15.7058,15.7058,0.2273,1,17,1,9,0.9,8,,0.8,93,31,14,1,1,0.125,1.9787,9.3,11.625,3.875,1.75,6,15.3,23.3,19.3,23.3,23.3,23.3,19.3,23.3,23.3,23.3,19.3,23.3,23.3,,,,,,,1,
Skyy Moore,SF,WR,18,Yes,No,No,17,2,No,Yes,,0.1176,23,0.1765,0.8235,2,11.5,,118.8,7.2927,3.4363,3.4363,0.125,,17,1,2,1,2,1,1,31,8,8,,,,1.8235,15.5,15.5,4,4,2,3.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,,,,,,,,
