Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentWideRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,DeepTargetTargetsTotal,ReceptionsHero
Rome Odunze,CHI,WR,128,No,No,No,104,32,Yes,Yes,22,0.6875,0.3077,17,0.5312,190,90,36,252,4,,0.375,24,1,0.0312,7.875,58.1,1.8269,5.9375,-1.4773,0.125,11.1765,5.2941,2.1176,12,59.9248,59.9248,0.2783,19,36,27.5,36,36,39,30.5,36,36,36,27.5,36,36,12,7,4,3,,,3,0.1765,0.625,6,,,
Brenden Bates,CLV,TE,15,No,Yes,No,12,4,No,No,4,1,0.3333,3,0.75,29,9,4,20,1,,,2,,,5,94.8,2.4167,7.25,0.5608,0.25,9.6667,3,1.3333,2,7.1627,7.1627,0.3333,2.9,5.9,4.4,5.9,7.4,5.9,4.4,5.9,5.9,5.9,4.4,7.4,5.9,9,2,,1,,,1,0.3333,,1,1,,
Jacory Croskey-Merritt,WAS,RB,53,No,Yes,No,27,6,No,No,4,0.6667,0.2222,4,0.6667,18,30,8,-24,,0.9259,0.0741,5,5,0.8333,-4,70.1,0.6667,3,-2.3719,,4.5,7.5,2,1,9.6935,9.6935,0.1224,1.8,5.8,3.8,7.8,5.8,5.8,3.8,5.8,5.8,5.8,3.8,5.8,5.8,17,,,,,,,,,1,,,
Josh Downs,IND,WR,115,Yes,Yes,No,107,33,No,Yes,26,0.7879,0.3084,24,0.7273,172,48,30,164,1,,0.7757,29,1,0.0303,4.9697,104.6,1.6075,5.2121,-1.4353,0.0303,7.1667,2,1.25,13,52.7067,52.7067,0.3204,29.2,53.2,41.2,53.2,53.2,56.2,44.2,53.2,53.2,53.2,41.2,53.2,53.2,16,4,2,3,2,1,2,0.0833,0.2243,9,,1,
Khalil Herbert,NYJ,RB,10,Yes,No,No,5,1,No,Yes,1,1,0.2,1,1,4,9,-1,-5,,1,,1,,,-5,83.3,0.8,4,-1.8711,,4,9,-1,,1.3848,1.3848,0.1,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,5,,,,,,,,,,,,
Quinshon Judkins,CLV,RB,47,No,Yes,No,38,9,No,No,9,1,0.2368,7,0.7778,22,31,10,-9,,0.8947,0.0263,4,3,0.3333,-1,79.2,0.5789,2.4444,-3.3707,,3.1429,4.4286,1.4286,2,12.5177,12.5177,0.2093,2.2,9.2,5.7,12.7,9.2,9.2,5.7,9.2,9.2,9.2,5.7,9.2,9.2,14,3,,2,,,,,0.0263,1,0.0526,,1
Tetairoa McMillan,CAR,WR,171,Yes,No,Yes,163,32,No,Yes,25,0.7812,0.1963,20,0.625,171,43,17,248,4,,0.1963,25,3,0.0938,7.75,58.2,1.0491,5.3438,-2.1588,0.125,8.55,2.15,0.85,12,54.6975,54.6975,0.2078,29.1,49.1,39.1,49.1,49.1,52.1,42.1,49.1,49.1,49.1,39.1,49.1,49.1,17,5,2,4,2,1,5,0.25,0.8037,5,,,
Devaughn Vele,NO,WR,84,No,No,No,74,11,No,Yes,9,0.8182,0.1486,8,0.7273,99,8,,112,1,,0.3514,8,,,10.1818,130.5,1.3378,9,0.8174,0.0909,12.375,1,,7,18.4508,18.4508,0.1571,15.9,23.9,19.9,23.9,23.9,23.9,19.9,23.9,23.9,23.9,19.9,23.9,23.9,13,2,1,2,1,1,,,0.5811,1,0.0676,1,2
Tyler Allgeier,ATL,RB,46,No,Yes,No,32,5,No,No,4,0.8,0.1562,3,0.6,58,80,16,-26,1,0.9375,0.0312,2,1,0.2,-5.2,100.4,1.8125,11.6,6.1732,0.2,19.3333,26.6667,5.3333,2,8.6367,8.6367,0.119,5.8,8.8,7.3,10.3,8.8,8.8,7.3,8.8,8.8,8.8,7.3,8.8,8.8,17,,,,,,,,0.0312,,,,
KeAndre Lambert-Smith,LAC,WR,22,No,Yes,No,20,1,No,No,1,1,0.05,1,1,18,9,2,9,,,0.1,1,,,9,118.8,0.9,18,10.5461,,18,9,2,1,2.0557,2.0557,0.0526,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,10,,,,,,,,0.9,,,,
Foster Moreau,NO,TE,29,No,No,No,22,6,Yes,Yes,5,0.8333,0.2727,4,0.6667,28,20,10,12,1,,0.2727,3,,,2,37.5,1.2727,4.6667,-1.2505,0.1667,7,5,2.5,,8.559,8.559,0.2609,2.8,6.8,4.8,6.8,8.8,6.8,4.8,6.8,6.8,6.8,4.8,8.8,6.8,11,,,,,,,,,,0.7273,,
Trayveon Williams,CLV,RB,20,No,Yes,No,17,6,No,No,6,1,0.3529,6,1,44,66,11,-22,,0.8235,,3,3,0.5,-3.6667,97.2,2.5882,7.3333,1.649,,7.3333,11,1.8333,2,9.5521,9.5521,0.375,4.4,10.4,7.4,13.4,10.4,10.4,7.4,10.4,10.4,10.4,7.4,10.4,10.4,6,,,,,,,,0.0588,2,0.1176,,
Isaiah Hodgins,NYG,WR,59,No,No,No,53,6,No,No,4,0.6667,0.1132,3,0.5,24,8,8,43,,,0.3019,5,,,7.1667,60.4,0.4528,4,-3.3165,,8,2.6667,2.6667,1,10.6177,10.6177,0.1154,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,7,3,,2,,,1,0.3333,0.6604,2,0.0377,,
Devin Singletary,NYG,RB,47,No,No,No,33,9,No,No,9,1,0.2727,9,1,84,101,75,-17,,0.7879,0.0606,6,2,0.2222,-1.8889,105.6,2.5455,9.3333,3.5457,,9.3333,11.2222,8.3333,2,14.7356,14.7356,0.2143,8.4,17.4,12.9,21.9,17.4,17.4,12.9,17.4,17.4,17.4,12.9,17.4,17.4,17,,,,,,4,0.4444,0.1515,2,,,
Gage Larvadain,CLV,WR,32,No,Yes,No,31,5,No,No,4,0.8,0.1613,2,0.4,18,12,,26,1,,0.4194,5,,,5.2,50.4,0.5806,3.6,-2.9157,0.2,9,6,,1,7.2082,7.2082,0.1724,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,13,1,,,,,1,0.5,0.5806,,,,
David Sills,ATL,WR,93,No,Yes,No,82,6,No,No,5,0.8333,0.0732,4,0.6667,33,17,11,20,1,,0.4512,4,2,0.3333,3.3333,80.6,0.4024,5.5,-1.3113,0.1667,8.25,4.25,2.75,2,12.7214,12.7214,0.0732,9.3,13.3,11.3,13.3,13.3,13.3,11.3,13.3,13.3,13.3,11.3,13.3,13.3,17,1,,,1,,2,0.5,0.5488,1,,,
Zamir White,LV,RB,11,No,No,No,9,4,No,No,2,0.5,0.4444,2,0.5,11,16,5,-9,,1,,1,,,-2.25,56.3,1.2222,2.75,-2.9974,,5.5,8,2.5,,5.4214,5.4214,0.3636,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,5,,,,,,,,,,,,
Ameer Abdullah,IND,RB,23,Yes,Yes,No,19,9,No,Yes,9,1,0.4737,9,1,55,57,17,-2,,0.7895,0.1579,2,,,-0.2222,92.1,2.8947,6.1111,-0.1258,,6.1111,6.3333,1.8889,2,13.413,13.413,0.4286,5.5,14.5,10,19,14.5,14.5,10,14.5,14.5,14.5,10,14.5,14.5,13,,,,,,4,0.4444,0.0526,1,,,
Jauan Jennings,SF,WR,135,No,No,No,123,23,No,No,19,0.8261,0.187,16,0.6957,147,43,15,156,2,,0.252,20,,,6.7826,97.6,1.1951,6.3913,-0.8013,0.087,9.1875,2.6875,0.9375,9,48.9296,48.9296,0.1917,26.7,42.7,34.7,42.7,42.7,45.7,37.7,42.7,42.7,42.7,34.7,42.7,42.7,15,5,3,3,2,2,1,0.0625,0.748,5,,,
Teagan Quitoriano,ATL,TE,3,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,1,,
Tanner Conner,MIA,TE,37,No,Yes,No,32,4,Yes,Yes,4,1,0.125,3,0.75,8,5,2,9,1,,0.4375,1,,,2.25,77.1,0.25,2,-3.844,0.25,2.6667,1.6667,0.6667,,6.5772,6.5772,0.1111,0.8,3.8,2.3,3.8,5.3,3.8,2.3,3.8,3.8,3.8,2.3,5.3,3.8,9,,,,,,,,0.1875,2,0.375,,
Quintin Morris,JAX,TE,24,No,Yes,No,16,3,No,No,3,1,0.1875,3,1,24,9,,15,,0.0625,0.125,2,,,5,139.6,1.5,8,1.4631,,8,3,,2,5.4818,5.4818,0.1304,8.4,11.4,9.9,11.4,12.9,11.4,9.9,11.4,11.4,11.4,9.9,12.9,11.4,13,,,,1,,,,0.0625,1,0.75,,
Ashton Dulin,IND,WR,21,Yes,Yes,No,17,1,No,Yes,,,0.0588,,,,,,11,,,0.2941,,,,11,39.6,,,-8.3152,,,,,,1.6607,1.6607,0.05,,,,,,,,,,,,,,12,,,,,,,,0.7059,,,,
Ja'Tavion Sanders,CAR,TE,67,No,Yes,Yes,52,10,No,Yes,10,1,0.1923,10,1,44,39,15,5,,0.0192,0.6538,6,2,0.2,0.5,85,0.8462,4.4,-1.2344,,4.4,3.9,1.5,,17.3808,17.3808,0.1639,4.4,14.4,9.4,14.4,19.4,14.4,9.4,14.4,14.4,14.4,9.4,19.4,14.4,13,,,,,,5,0.5,0.1538,3,0.1731,,
Jahdae Walker,CHI,WR,18,No,No,No,15,3,No,Yes,2,0.6667,0.2,2,0.6667,17,5,1,30,,,0.3333,2,,,10,120.8,1.1333,5.6667,-2.4208,,8.5,2.5,0.5,1,5.5149,5.5149,0.1875,7.7,9.7,8.7,9.7,9.7,9.7,8.7,9.7,9.7,9.7,8.7,9.7,9.7,7,,1,,1,1,,,0.6667,1,,,
Moliki Matavao,NO,TE,7,No,Yes,No,4,1,No,No,1,1,0.25,1,1,6,6,1,,,,,,,,,91.7,1.5,6,0.711,,6,6,1,,1.4316,1.4316,0.1429,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,6,,,,,,,,,,1,,
Tahj Washington,MIA,WR,10,Yes,No,Yes,10,2,No,Yes,2,1,0.2,2,1,18,9,3,9,,,0.2,2,,,4.5,104.2,1.8,9,2.7937,,9,4.5,1.5,,2.8251,2.8251,0.25,0.8,2.8,1.8,2.8,2.8,2.8,0.8,1.8,1.8,1.8,0.8,2.8,1.8,6,,,,,,,,0.8,1,,,
Dareke Young,SEA,WR,4,No,No,No,4,1,No,No,,,0.25,,,,,,8,,,,1,,,8,39.6,,,-7.5106,,,,,,1.5587,1.5587,0.25,,,,,,,,,,,,,,9,1,,,,,,,1,,,,
Mack Hollins,NE,WR,77,No,No,Yes,71,22,No,Yes,17,0.7727,0.3099,16,0.7273,112,13,4,157,1,,0.169,18,,,7.1364,80.1,1.5775,5.0909,-2.1495,0.0455,7,0.8125,0.25,6,38.3703,38.3703,0.3143,17.2,33.2,25.2,33.2,33.2,36.2,28.2,33.2,33.2,33.2,25.2,33.2,33.2,15,1,2,1,1,1,1,0.0625,0.7887,4,0.0423,,
Juwan Johnson,NO,TE,173,No,Yes,No,154,41,No,No,38,0.9268,0.2662,32,0.7805,251,80,31,219,3,0.0195,0.526,36,,,5.3415,92.2,1.6299,6.122,-0.8365,0.0732,7.8438,2.5,0.9688,13,60.4006,60.4006,0.268,24.1,56.1,40.1,56.1,72.1,59.1,42.1,55.1,55.1,55.1,39.1,72.1,55.1,17,9,,6,,,1,0.0312,0.1948,1,0.2597,1,
David Montgomery,DET,RB,62,No,No,No,37,7,No,Yes,7,1,0.1892,7,1,54,68,16,-14,,1,,3,3,0.4286,-2,98.8,1.4595,7.7143,1.6381,,7.7143,9.7143,2.2857,3,10.4175,10.4175,0.1273,5.4,12.4,8.9,15.9,12.4,12.4,8.9,12.4,12.4,12.4,8.9,12.4,12.4,17,,,,,,2,0.2857,,1,,,
Andrew Ogletree,IND,TE,25,No,No,Yes,15,2,No,Yes,2,1,0.1333,1,0.5,8,1,,12,,,0.2667,1,,,6,60.4,0.5333,4,-2.8939,,8,1,,,2.6155,2.6155,0.0833,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,15,2,,1,,,,,,1,0.7333,,
Jaylen Warren,PIT,RB,94,No,Yes,Yes,70,28,No,No,28,1,0.4,27,0.9643,207,307,120,-105,1,0.8714,0.0286,12,5,0.1786,-3.75,121.3,2.9571,7.3929,1.9735,0.0357,7.6667,11.3704,4.4444,9,44.2491,44.2491,0.3294,32.7,59.7,46.2,73.2,59.7,62.7,49.2,59.7,59.7,59.7,46.2,59.7,59.7,16,2,,2,2,,19,0.7037,0.0286,3,0.0714,,
Kendrick Bourne,SF,WR,98,No,No,No,93,18,No,No,16,0.8889,0.1935,13,0.7222,136,42,25,140,2,,0.2473,14,,,7.7778,70.6,1.4624,7.5556,0.156,0.1111,10.4615,3.2308,1.9231,6,27.682,27.682,0.1978,13.6,26.6,20.1,26.6,26.6,29.6,23.1,26.6,26.6,26.6,20.1,26.6,26.6,16,4,,3,,,1,0.0769,0.7527,1,,,
Hassan Haskins,LAC,RB,20,No,Yes,No,16,2,No,No,2,1,0.125,2,1,2,9,4,-7,,0.75,0.125,,,,-3.5,79.2,0.125,1,-4.8445,,1,4.5,2,,2.8892,2.8892,0.1111,0.2,2.2,1.2,3.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,11,,,,,,1,0.5,0.125,,,,
Jack Bech,LV,WR,62,No,No,No,51,7,No,No,7,1,0.1373,6,0.8571,63,26,6,41,1,,0.2353,6,,,5.8571,104.2,1.2353,9,2.2131,0.1429,10.5,4.3333,1,3,10.1332,10.1332,0.1228,6.3,12.3,9.3,12.3,12.3,12.3,9.3,12.3,12.3,12.3,9.3,12.3,12.3,16,2,,1,,,,,0.7647,1,,,
Kevin Austin,NO,WR,36,No,Yes,No,29,6,No,No,6,1,0.2069,5,0.8333,52,36,4,21,1,,0.2414,4,1,0.1667,3.5,102.8,1.7931,8.6667,2.321,0.1667,10.4,7.2,0.8,2,9.2189,9.2189,0.1818,5.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,8,,,,,,,,0.7586,,,,
Tyler Badie,DEN,RB,49,No,Yes,No,33,10,No,No,10,1,0.303,8,0.8,77,108,18,-41,2,0.8788,0.0303,6,5,0.5,-4.1,98.8,2.3333,7.7,2.0758,0.2,9.625,13.5,2.25,5,15.1736,15.1736,0.2222,7.7,15.7,11.7,19.7,15.7,15.7,11.7,15.7,15.7,15.7,11.7,15.7,15.7,16,,,,,,2,0.25,0.0606,1,0.0303,,
Jalen Brooks,ARZ,WR,27,Yes,No,No,25,2,No,Yes,1,0.5,0.08,1,0.5,12,1,,17,,,0.24,1,,,8.5,68.8,0.48,6,-1.6322,,12,1,,1,2.6787,2.6787,0.0833,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,6,,,,,,,,0.76,,,,
Kenneth Gainwell,PIT,RB,101,No,Yes,Yes,86,27,No,No,25,0.9259,0.314,25,0.9259,142,190,50,-43,,0.5698,0.186,15,6,0.2222,-1.5926,88.6,1.6512,5.2593,-0.4206,,5.68,7.6,2,4,43.5895,43.5895,0.2903,14.2,39.2,26.7,51.7,39.2,42.2,29.7,39.2,39.2,39.2,26.7,39.2,39.2,17,2,,2,,,3,0.12,0.0581,2,0.186,,
Bhayshul Tuten,JAX,RB,26,No,Yes,No,17,4,No,No,4,1,0.2353,4,1,34,51,7,-17,,0.7059,0.2353,3,2,0.5,-4.25,102.1,2,8.5,3.2507,,8.5,12.75,1.75,1,7.0466,7.0466,0.1667,3.4,7.4,5.4,9.4,7.4,7.4,5.4,7.4,7.4,7.4,5.4,7.4,7.4,15,,,,,,1,0.25,0.0588,,,,
Casey Washington,ATL,WR,33,No,No,No,31,1,No,Yes,1,1,0.0323,,,,,,12,1,,0.4194,1,,,12,39.6,,,-9.0461,1,,,,,1.5542,1.5542,0.0323,,,,,,,,,,,,,,7,,,,,,,,0.5806,,,,
John Metchie,NYJ,WR,82,Yes,No,No,74,17,No,Yes,14,0.8235,0.2297,11,0.6471,47,36,3,56,2,0.0135,0.3243,13,4,0.2353,3.2941,68.5,0.6351,2.7647,-3.538,0.1176,4.2727,3.2727,0.2727,4,27.7129,27.7129,0.2237,4.7,15.7,10.2,15.7,15.7,15.7,10.2,15.7,15.7,15.7,10.2,15.7,15.7,16,1,,,,,1,0.0909,0.6622,3,,,
Jalen Nailor,MIN,WR,126,Yes,Yes,Yes,107,14,No,No,10,0.7143,0.1308,8,0.5714,65,11,3,128,1,,0.6636,10,,,9.1429,69,0.6075,4.6429,-3.3355,0.0714,8.125,1.375,0.375,6,35.348,35.348,0.1186,24.5,32.5,28.5,32.5,32.5,32.5,28.5,32.5,32.5,32.5,28.5,32.5,32.5,17,2,3,1,3,2,,,0.3271,4,0.0093,,1
Marquise Brown,KC,WR,117,No,No,No,108,22,No,No,20,0.9091,0.2037,19,0.8636,165,52,17,134,1,,0.3981,18,2,0.0909,6.0909,128.2,1.5278,7.5,0.6151,0.0455,8.6842,2.7368,0.8947,10,36.7987,36.7987,0.2157,28.5,47.5,38,47.5,47.5,50.5,41,47.5,47.5,47.5,38,47.5,47.5,16,2,2,2,2,2,4,0.2105,0.6019,3,,,
KaVontae Turpin,DAL,WR,62,No,No,No,58,9,No,No,9,1,0.1552,5,0.5556,26,10,-1,29,3,0.0172,0.7759,6,2,0.2222,3.2222,60.9,0.4483,2.8889,-3.2576,0.3333,5.2,2,-0.2,2,15.8777,15.8777,0.1579,2.6,7.6,5.1,7.6,7.6,7.6,5.1,7.6,7.6,7.6,5.1,7.6,7.6,15,2,,2,,,,,0.2069,2,,,
Kalel Mullings,TEN,RB,3,No,Yes,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Dare Ogunbowale,HST,RB,36,Yes,Yes,No,23,8,No,Yes,8,1,0.3478,6,0.75,57,43,-1,11,1,0.7826,0.1304,4,1,0.125,1.375,94.3,2.4783,7.125,0.7058,0.125,9.5,7.1667,-0.1667,3,12.1529,12.1529,0.25,4.7,10.7,7.7,13.7,10.7,10.7,6.7,9.7,9.7,9.7,6.7,10.7,9.7,17,1,,,,,,,0.087,2,,,
Nico Collins,HST,WR,151,No,No,No,145,21,No,No,17,0.8095,0.1448,14,0.6667,151,60,26,160,,,0.2345,17,,,7.619,103.5,1.0414,7.1905,-0.1033,,10.7857,4.2857,1.8571,8,40.1052,40.1052,0.1544,21.1,35.1,28.1,35.1,35.1,38.1,31.1,35.1,35.1,35.1,28.1,35.1,35.1,15,7,3,4,1,1,1,0.0714,0.7655,4,,,
Jerry Jeudy,CLV,WR,153,No,Yes,No,141,24,No,No,18,0.75,0.1702,17,0.7083,144,48,25,167,,,0.1844,20,1,0.0417,6.9583,68.8,1.0213,6,-1.0609,,8.4706,2.8235,1.4706,9,45.9748,45.9748,0.1791,14.4,31.4,22.9,31.4,31.4,34.4,25.9,31.4,31.4,31.4,22.9,31.4,31.4,17,1,1,,,,2,0.1176,0.8156,2,,,
Jake Ferguson,DAL,TE,163,No,No,No,146,43,No,No,41,0.9535,0.2945,35,0.814,210,170,67,83,2,0.0205,0.5548,28,2,0.0465,1.9302,110.3,1.4384,4.8837,-1.1236,0.0465,6,4.8571,1.9143,10,75.9614,75.9614,0.281,38,73,55.5,73,90.5,76,57.5,72,72,72,54.5,90.5,72,17,8,2,3,3,1,4,0.1143,0.0822,9,0.3425,,2
Davante Adams,LA,WR,120,No,No,No,110,21,No,Yes,15,0.7143,0.1909,14,0.6667,120,25,8,171,1,,0.1,15,,,8.1429,121,1.0909,5.7143,-1.727,0.0476,8.5714,1.7857,0.5714,11,47.1772,47.1772,0.1892,36,50,43,50,50,53,46,50,50,50,43,50,50,14,2,7,2,4,4,,,0.9,8,,,1
Elijah Arroyo,SEA,TE,45,No,No,No,38,5,Yes,Yes,3,0.6,0.1316,3,0.6,17,8,3,31,,,0.1053,3,,,6.2,66.3,0.4474,3.4,-4.0202,,5.6667,2.6667,1,1,9.9584,9.9584,0.122,1.7,4.7,3.2,4.7,6.2,4.7,3.2,4.7,4.7,4.7,3.2,6.2,4.7,13,,,,,,,,0.2895,2,0.6053,,
