"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"29","Kareem Hunt","KC","RB","13","2024","200","728","56.0","3.64","7","0","42","1.5","52","7.1","85.0","3.5","55.5","43.0","17","0.09","398","1.99","54.7","1.65","113","56.5","406","3","3.59","55.8","85","42.5","320","4","3.76","55.3","12.0","155.4","187.6","14.4"
"30","Tyler Allgeier","ATL","RB","17","2024","137","644","37.9","4.70","3","0","43","6.6","177","27.5","24.0","2.2","58.4","39.4","23","0.17","351","2.56","54.5","2.14","105","76.6","470","2","4.48","58.1","29","21.2","165","1","5.69","58.6","6.2","106.2","103.7","6.1"
"31","Rachaad White","TB","RB","16","2024","144","613","38.3","4.26","3","2","35","3.5","142","23.2","34.8","2.1","50.7","43.1","21","0.15","374","2.60","61.0","1.66","75","52.1","207","0","2.76","45.3","68","47.2","405","3","5.96","55.9","12.7","202.6","179.0","11.2"
"32","Kenneth Walker","SEA","RB","11","2024","153","573","52.1","3.75","7","1","28","3.9","130","22.7","57.1","4.6","44.4","48.4","48","0.31","406","2.65","70.9","1.09","81","52.9","279","2","3.44","42.0","71","46.4","291","5","4.10","47.9","16.5","181.2","185.1","16.8"
"33","Zach Charbonnet","SEA","RB","17","2024","135","569","33.5","4.21","8","0","32","3.7","130","22.8","46.4","5.9","47.4","48.1","27","0.20","331","2.45","58.2","1.76","66","48.9","170","1","2.58","37.9","65","48.1","389","6","5.98","55.4","11.0","186.9","166.3","9.8"
"34","Jerome Ford","CLV","RB","14","2024","104","565","40.4","5.43","3","0","25","6.7","255","45.1","18.8","2.9","47.1","45.2","19","0.18","281","2.70","49.7","2.73","57","54.8","185","1","3.25","43.9","47","45.2","380","2","8.09","51.1","9.6","134.0","123.4","8.8"
"35","Travis Etienne","JAX","RB","15","2024","150","558","37.2","3.72","2","1","31","4.0","106","19.0","26.3","1.3","45.3","50.7","13","0.09","354","2.36","63.4","1.36","57","38.0","236","2","4.14","49.1","90","60.0","296","0","3.29","42.2","8.7","131.2","170.5","11.4"
"36","Antonio Gibson","NE","RB","17","2024","120","538","31.6","4.48","1","2","24","5.8","167","31.0","15.8","0.8","45.0","50.8","24","0.20","408","3.40","75.8","1.08","48","40.0","228","0","4.75","45.8","71","59.2","313","1","4.41","45.1","6.1","103.4","109.6","6.4"
"37","Javonte Williams","DEN","RB","17","2024","139","513","30.2","3.69","4","2","30","2.9","68","13.3","41.7","2.9","46.8","49.6","19","0.14","282","2.03","55.0","1.66","72","51.8","269","3","3.74","45.8","67","48.2","244","1","3.64","47.8","9.4","159.9","196.6","11.6"
"38","Jaylen Warren","PIT","RB","15","2024","120","511","34.1","4.26","1","1","28","3.3","72","14.1","16.0","0.8","50.0","41.7","19","0.16","323","2.69","63.2","1.57","86","71.7","385","1","4.48","53.5","33","27.5","108","0","3.27","39.4","8.3","125.1","142.8","9.5"
"39","Emanuel Wilson","GB","RB","17","2024","103","502","29.5","4.87","4","0","27","6.8","125","24.9","15.2","3.9","59.2","36.9","14","0.14","266","2.58","53.0","2.29","64","62.1","338","3","5.28","64.1","38","36.9","150","1","3.95","50.0","5.6","96.0","88.6","5.2"
"40","Jaleel McLaughlin","DEN","RB","16","2024","113","496","31.0","4.39","1","0","25","4.4","89","17.9","13.0","0.9","52.2","43.4","24","0.21","233","2.06","47.0","2.33","76","67.3","327","0","4.30","48.7","33","29.2","160","1","4.85","63.6","6.1","98.2","102.9","6.4"
"41","Cam Akers","HST, MIN","RB","16","2024","104","444","27.8","4.27","2","1","21","6.7","162","36.5","26.7","1.9","38.5","55.8","20","0.19","293","2.82","66.0","1.45","55","52.9","202","1","3.67","29.1","49","47.1","242","1","4.94","49.0","5.9","94.2","86.7","5.4"
"42","Ray Davis","BUF","RB","17","2024","113","442","26.0","3.91","3","0","25","3.5","76","17.2","9.4","2.7","45.1","52.2","27","0.24","288","2.55","65.2","1.36","48","42.5","200","0","4.17","45.8","64","56.6","239","3","3.73","45.3","6.8","116.1","93.3","5.5"
"43","Devin Singletary","NYG","RB","15","2024","113","437","29.1","3.87","4","2","24","3.5","98","22.4","33.3","3.5","47.8","46.0","22","0.19","296","2.62","67.7","1.25","54","47.8","165","2","3.06","42.6","58","51.3","267","2","4.60","53.4","6.6","98.6","106.8","7.1"
"44","Isaac Guerendo","SF","RB","16","2024","84","420","26.3","5.00","4","0","18","7.1","171","40.7","17.9","4.8","47.6","45.2","19","0.23","173","2.06","41.2","2.94","62","73.8","333","1","5.37","45.2","21","25.0","88","3","4.19","57.1","6.0","96.2","75.1","4.7"
"45","Alexander Mattison","LV","RB","14","2024","132","420","30.0","3.18","4","1","25","2.3","58","13.8","64.7","3.0","35.6","47.7","14","0.11","273","2.07","65.0","1.11","84","63.6","290","2","3.45","33.3","46","34.8","124","2","2.70","41.3","9.9","138.4","173.4","12.4"
"46","Austin Ekeler","WAS","RB","12","2024","77","367","30.6","4.77","4","1","19","5.2","123","33.5","19.2","5.2","51.9","41.6","8","0.10","155","2.01","42.2","2.75","29","37.7","132","1","4.55","51.7","46","59.7","221","3","4.80","50.0","11.0","132.3","112.9","9.4"
"47","Gus Edwards","LAC","RB","11","2024","101","365","33.2","3.61","4","0","17","1.0","43","11.8","40.0","4.0","48.5","51.5","17","0.17","230","2.28","63.0","1.34","51","50.5","173","2","3.39","47.1","49","48.5","199","2","4.06","51.0","5.8","64.1","71.8","6.5"
"48","Braelon Allen","NYJ","RB","17","2024","92","334","19.6","3.63","2","0","22","1.1","20","6.0","20.0","2.2","51.1","42.4","11","0.12","213","2.32","63.8","1.32","53","57.6","197","1","3.72","45.3","38","41.3","137","1","3.61","60.5","5.0","85.2","93.1","5.5"
"49","Nick Chubb","CLV","RB","8","2024","102","332","41.5","3.25","3","1","17","2.0","34","10.2","85.7","2.9","41.2","54.9","11","0.11","199","1.95","59.9","1.30","69","67.6","247","2","3.58","46.4","32","31.4","81","1","2.53","28.1","8.0","64.3","78.9","9.9"
"50","Tyjae Spears","TEN","RB","12","2024","84","312","26.0","3.71","4","0","19","2.4","42","13.5","44.4","4.8","46.4","50.0","9","0.11","193","2.30","61.9","1.42","36","42.9","150","1","4.17","55.6","48","57.1","162","3","3.38","39.6","9.5","113.6","106.4","8.9"
"51","Ameer Abdullah","LV","RB","16","2024","66","311","19.4","4.71","2","1","14","3.0","57","18.3","19.0","3.0","50.0","39.4","8","0.12","138","2.09","44.4","2.62","45","68.2","202","1","4.49","48.9","21","31.8","109","1","5.19","52.4","7.9","126.2","124.5","7.8"
"52","Audric Estime","DEN","RB","13","2024","76","310","23.8","4.08","2","2","15","1.3","21","6.8","13.3","2.6","51.3","39.5","10","0.13","197","2.59","63.5","1.49","25","32.9","100","0","4.00","48.0","51","67.1","210","2","4.12","52.9","3.8","49.7","54.9","4.2"
"53","Isiah Pacheco","KC","RB","7","2024","83","310","44.3","3.73","1","0","14","1.2","34","11.0","37.5","1.2","53.0","45.8","7","0.08","150","1.81","48.4","1.93","48","57.8","221","0","4.60","56.3","32","38.6","85","1","2.66","46.9","8.1","56.9","75.5","10.8"
"54","Sean Tucker","TB","RB","17","2024","50","308","18.1","6.16","2","1","17","8.0","103","33.4","11.5","4.0","56.0","40.0","11","0.22","113","2.26","36.7","3.90","19","38.0","96","0","5.05","52.6","31","62.0","212","2","6.84","58.1","4.0","68.7","46.2","2.7"
"55","Dameon Pierce","HST","RB","11","2024","40","293","26.6","7.33","2","1","7","5.0","146","49.8","0.0","5.0","42.5","55.0","5","0.13","159","3.98","54.3","3.35","24","60.0","219","2","9.13","41.7","16","40.0","74","0","4.63","43.8","4.0","43.5","27.3","2.5"
"56","Trey Benson","ARZ","RB","13","2024","63","291","22.4","4.62","1","1","16","4.8","52","17.9","6.7","1.6","49.2","44.4","10","0.16","138","2.19","47.4","2.43","17","27.0","86","0","5.06","35.3","46","73.0","205","1","4.46","54.3","3.6","47.0","43.4","3.3"
"57","Kenneth Gainwell","PHI","RB","17","2024","75","290","17.1","3.87","1","0","12","2.7","39","13.4","7.3","1.3","24.0","60.0","8","0.11","155","2.07","53.4","1.80","47","62.7","159","0","3.38","21.3","27","36.0","128","1","4.74","29.6","3.7","62.6","78.6","4.6"
"58","Raheem Mostert","MIA","RB","13","2024","85","278","21.4","3.27","2","2","13","3.5","55","19.8","36.4","2.4","37.6","58.8","11","0.13","150","1.76","54.0","1.51","45","52.9","140","0","3.11","33.3","36","42.4","138","2","3.83","47.2","5.6","72.9","87.9","6.8"
"59","Jeremy McNichols","WAS","RB","17","2024","55","261","15.4","4.75","4","0","15","5.5","70","26.8","5.9","7.3","58.2","38.2","14","0.25","138","2.51","52.9","2.24","25","45.5","135","2","5.40","64.0","30","54.5","126","2","4.20","53.3","3.8","63.8","47.9","2.8"
"60","Jaylen Wright","MIA","RB","15","2024","68","249","16.6","3.66","0","1","11","5.9","72","28.9","0.0","","39.7","55.9","12","0.18","150","2.21","60.2","1.46","44","64.7","168","0","3.82","43.2","21","30.9","65","0","3.10","33.3","1.8","27.7","45.4","3.0"
"61","Zack Moss","CIN","RB","8","2024","74","242","30.3","3.27","2","2","13","2.7","31","12.8","61.5","2.7","36.5","54.1","9","0.12","147","1.99","60.7","1.28","30","40.5","105","1","3.50","40.0","43","58.1","127","1","2.95","34.9","10.4","82.9","91.6","11.4"
"62","D'Onta Foreman","CLV","RB","11","2024","71","232","21.1","3.27","0","2","10","1.4","25","10.8","46.2","","39.4","57.7","3","0.04","121","1.70","52.2","1.56","34","47.9","102","0","3.00","41.2","33","46.5","119","0","3.61","33.3","3.1","33.6","59.5","5.4"
"63","Justice Hill","BLT","RB","16","2024","47","228","14.3","4.85","1","0","14","6.4","93","40.8","5.0","2.1","44.7","48.9","6","0.13","148","3.15","64.9","1.60","24","51.1","126","1","5.25","41.7","21","44.7","88","0","4.19","47.6","7.9","127.1","105.5","6.6"
"64","Ezekiel Elliott","DAL","RB","15","2024","74","226","15.1","3.05","3","1","14","","0","","45.5","4.1","43.2","52.7","2","0.03","144","1.95","63.7","1.11","50","67.6","133","3","2.66","42.0","21","28.4","76","0","3.62","38.1","3.9","58.5","70.1","4.7"
"65","Emari Demercado","ARZ","RB","13","2024","24","223","17.2","9.29","1","0","8","12.5","110","49.3","0.0","4.2","50.0","25.0","5","0.21","86","3.58","38.6","5.71","9","37.5","53","0","5.89","55.6","15","62.5","170","1","11.33","46.7","4.2","54.7","42.8","3.3"
"66","Ty Johnson","BUF","RB","17","2024","41","213","12.5","5.20","1","0","13","7.3","54","25.4","6.3","2.4","65.9","36.6","4","0.10","115","2.80","54.0","2.39","31","75.6","177","0","5.71","74.2","10","24.4","36","1","3.60","40.0","5.4","91.7","69.9","4.1"
"67","Blake Corum","LA","RB","15","2024","58","207","13.8","3.57","0","0","12","","0","","21.7","","43.1","48.3","8","0.14","96","1.66","46.4","1.91","32","55.2","127","0","3.97","50.0","26","44.8","80","0","3.08","34.6","2.2","33.5","45.7","3.0"
"68","Miles Sanders","CAR","RB","11","2024","55","205","18.6","3.73","2","0","12","1.8","26","12.7","13.3","3.6","45.5","41.8","6","0.11","104","1.89","50.7","1.84","33","60.0","89","1","2.70","42.4","21","38.2","119","1","5.67","52.4","7.0","77.3","76.9","7.0"
"69","Christian McCaffrey","SF","RB","4","2024","50","202","50.5","4.04","0","0","12","4.0","37","18.3","50.0","","44.0","56.0","10","0.20","107","2.14","53.0","1.90","36","72.0","146","0","4.06","41.7","13","26.0","48","0","3.69","46.2","12.2","48.8","55.9","14.0"
"70","Carson Steele","KC","RB","16","2024","56","183","11.4","3.27","0","3","14","","0","","14.8","","55.4","35.7","4","0.07","129","2.30","70.5","0.96","23","41.1","84","0","3.65","43.5","28","50.0","103","0","3.68","64.3","1.6","25.9","49.5","3.1"
"71","Patrick Taylor","SF","RB","9","2024","39","183","20.3","4.69","1","0","11","2.6","29","15.8","20.0","2.6","53.8","38.5","6","0.15","96","2.46","52.5","2.23","33","84.6","164","1","4.97","57.6","6","15.4","19","0","3.17","33.3","3.3","29.8","42.1","4.7"
"72","Chris Brooks","GB","RB","13","2024","36","183","14.1","5.08","1","0","12","5.6","41","22.4","3.4","2.8","55.6","33.3","9","0.25","104","2.89","56.8","2.19","23","63.9","126","0","5.48","65.2","13","36.1","57","1","4.38","38.5","3.2","42.2","45.4","3.5"
"73","Sincere McCormick","LV","RB","4","2024","39","183","45.8","4.69","0","0","10","7.7","65","35.5","50.0","","53.8","41.0","6","0.15","96","2.46","52.5","2.23","21","53.8","85","0","4.05","52.4","18","46.2","98","0","5.44","55.6","6.8","27.2","34.2","8.5"
"74","Zamir White","LV","RB","8","2024","65","183","22.9","2.82","1","2","4","1.5","17","9.3","20.0","1.5","26.2","63.1","5","0.08","115","1.77","62.8","1.05","33","50.8","81","0","2.45","18.2","32","49.2","102","1","3.19","34.4","3.9","31.3","51.3","6.4"
"75","Ty Chandler","MIN","RB","15","2024","56","182","12.1","3.25","0","0","9","1.8","25","13.7","0.0","","37.5","57.1","3","0.05","84","1.50","46.2","1.75","32","57.1","90","0","2.81","34.4","24","42.9","92","0","3.83","41.7","1.9","28.4","44.3","3.0"
"76","Isaiah Davis","NYJ","RB","13","2024","30","174","13.4","5.80","1","0","10","6.7","37","21.3","0.0","3.3","63.3","33.3","6","0.20","93","3.10","53.4","2.70","19","63.3","111","1","5.84","57.9","9","30.0","47","0","5.22","77.8","3.5","45.9","40.2","3.1"
"77","Chris Rodriguez Jr.","WAS","RB","7","2024","35","173","24.7","4.94","2","0","10","8.6","59","34.1","11.1","5.7","74.3","25.7","9","0.26","113","3.23","65.3","1.71","13","37.1","63","0","4.85","69.2","22","62.9","110","2","5.00","77.3","4.5","31.5","26.9","3.8"
"78","Kenny McIntosh","SEA","RB","11","2024","31","172","15.6","5.55","0","0","8","6.5","41","23.8","0.0","","51.6","41.9","8","0.26","91","2.94","52.9","2.61","13","41.9","64","0","4.92","53.8","18","58.1","108","0","6.00","50.0","2.0","22.4","20.8","1.9"
"79","Jamaal Williams","NO","RB","14","2024","48","164","11.7","3.42","1","0","11","","0","","7.1","2.1","47.9","43.8","3","0.06","116","2.42","70.7","1.00","30","62.5","115","1","3.83","53.3","16","33.3","45","0","2.81","37.5","2.7","37.1","40.9","2.9"
"80","Trey Sermon","IND","RB","17","2024","56","159","9.4","2.84","2","0","14","3.6","32","20.1","19.4","3.6","44.6","48.2","6","0.11","97","1.73","61.0","1.11","30","53.6","36","2","1.20","30.0","26","46.4","123","0","4.73","61.5","3.2","53.8","70.8","4.2"
"81","Kimani Vidal","LAC","RB","10","2024","43","155","15.5","3.60","0","1","7","4.7","35","22.6","0.0","","32.6","58.1","4","0.09","102","2.37","65.8","1.23","13","30.2","47","0","3.62","46.2","30","69.8","108","0","3.60","26.7","3.3","32.7","37.0","3.7"
"82","Tyler Goodson","IND","RB","16","2024","32","153","9.6","4.78","1","0","6","9.4","69","45.1","3.0","3.1","46.9","53.1","5","0.16","69","2.16","45.1","2.63","19","59.4","100","1","5.26","47.4","13","40.6","53","0","4.08","46.2","2.8","44.4","42.5","2.7"
"83","Roschon Johnson","CHI","RB","13","2024","55","150","11.5","2.73","6","0","17","","0","","40.9","10.9","56.4","41.8","4","0.07","97","1.76","64.7","0.96","20","36.4","44","0","2.20","40.0","33","60.0","104","6","3.15","66.7","6.0","77.4","75.5","5.8"
"84","Kendre Miller","NO","RB","6","2024","39","148","24.7","3.79","1","0","11","5.1","33","22.3","0.0","2.6","48.7","51.3","10","0.26","94","2.41","63.5","1.38","28","71.8","134","1","4.79","53.6","10","25.6","17","0","1.70","40.0","4.9","29.1","34.3","5.7"
"85","D'Ernest Johnson","JAX","RB","13","2024","32","143","11.0","4.47","0","0","7","3.1","22","15.4","4.8","","50.0","46.9","8","0.25","72","2.25","50.3","2.22","19","59.4","81","0","4.26","47.4","13","40.6","62","0","4.77","53.8","2.8","35.9","45.3","3.5"
"86","Craig Reynolds","DET","RB","14","2024","31","139","9.9","4.48","0","1","6","6.5","36","25.9","0.0","","54.8","38.7","3","0.10","50","1.61","36.0","2.87","19","61.3","94","0","4.95","52.6","12","38.7","45","0","3.75","58.3","1.5","20.9","22.1","1.6"
"87","Cordarrelle Patterson","PIT","RB","13","2024","32","135","10.4","4.22","0","1","7","","0","","5.0","","43.8","43.8","7","0.22","87","2.72","64.4","1.50","15","46.9","69","0","4.60","40.0","16","50.0","68","0","4.25","50.0","3.0","38.5","38.2","2.9"
"88","Michael Carter","ARZ","RB","3","2024","35","131","43.7","3.74","1","0","9","","0","","100.0","2.9","57.1","42.9","4","0.11","63","1.80","48.1","1.94","14","40.0","68","0","4.86","64.3","21","60.0","63","1","3.00","52.4","11.9","35.8","39.6","13.2"
"89","Khalil Herbert","CHI, CIN","RB","13","2024","36","130","10.0","3.61","1","0","10","","0","","16.7","2.8","55.6","47.2","3","0.08","74","2.06","56.9","1.56","18","50.0","70","0","3.89","50.0","18","50.0","60","1","3.33","61.1","2.4","31.5","43.3","3.3"
"90","Dare Ogunbowale","HST","RB","17","2024","30","112","6.6","3.73","0","0","5","3.3","35","31.3","0.0","","36.7","50.0","0","","51","1.70","45.5","2.03","13","43.3","67","0","5.15","46.2","16","53.3","44","0","2.75","31.3","3.3","56.0","61.6","3.6"
"91","Pierre Strong","CLV","RB","13","2024","26","108","8.3","4.15","0","0","6","3.8","19","17.6","0.0","","46.2","34.6","1","0.04","45","1.73","41.7","2.42","12","46.2","64","0","5.33","58.3","13","50.0","44","0","3.38","38.5","2.7","35.2","43.2","3.3"
"92","Julius Chestnut","TEN","RB","14","2024","22","102","7.3","4.64","0","0","2","","0","","25.0","","45.5","36.4","4","0.18","57","2.59","55.9","2.05","9","40.9","20","0","2.22","22.2","12","54.5","73","0","6.08","66.7","1.0","13.3","13.7","1.0"
"93","Ronnie Rivers","LA","RB","6","2024","22","99","16.5","4.50","0","0","6","","0","","0.0","","54.5","36.4","3","0.14","45","2.05","45.5","2.45","9","40.9","32","0","3.56","33.3","12","54.5","60","0","5.00","66.7","3.1","18.3","20.3","3.4"
"94","Samaje Perine","KC","RB","17","2024","20","92","5.4","4.60","1","0","7","","0","","3.6","5.0","55.0","35.0","1","0.05","40","2.00","43.5","2.60","13","65.0","52","0","4.00","46.2","7","35.0","40","1","5.71","71.4","4.8","81.4","68.8","4.0"
"95","Hassan Haskins","LAC","RB","15","2024","34","89","5.9","2.62","2","1","13","","0","","30.8","5.9","50.0","47.1","0","","62","1.82","69.7","0.79","16","47.1","47","0","2.94","31.3","10","29.4","29","1","2.90","70.0","2.3","33.8","39.4","2.6"
"96","Tyler Badie","DEN","RB","3","2024","11","86","28.7","7.82","0","0","4","18.2","59","68.6","0.0","","54.5","36.4","1","0.09","64","5.82","74.4","2.00","5","45.5","25","0","5.00","60.0","6","54.5","61","0","10.17","50.0","3.5","10.4","10.7","3.6"
"97","Will Shipley","PHI","RB","13","2024","30","82","6.3","2.73","0","0","2","","0","","0.0","","26.7","53.3","2","0.07","51","1.70","62.2","1.03","13","43.3","32","0","2.46","30.8","16","53.3","48","0","3.00","25.0","1.2","15.7","20.8","1.6"
