"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"11","Josh Allen","BUF","QB","17","2025","548","460","319","69.3","3668","215.8","7.97","25","10","177","102.2","40","7.3","298","6.84","48","426","3","3.8","7.3","3166","11.1","51","55.3","78.8","63.0","63.7","79.1","14.8","3.7","3.0","19","5.0","171","2.68","2.60","4.0","5.2","12","209","38.1","19.1","7.69","8.9","4.2","15","9","1","0.69","0.62","22.2","377.6","612"
"12","Patrick Mahomes","KC","QB","14","2025","588","502","315","62.7","3587","256.2","7.15","22","11","173","89.6","34","5.8","193","6.23","52","420","3","0.6","8.2","3782","11.6","58","54.8","74.9","67.1","57.4","72.5","17.3","3.8","3.0","27","5.8","204","2.56","2.72","4.3","5.0","12","244","41.5","13.9","12.30","5.0","8.8","29","7","2","0.50","0.49","21.2","296.7","600"
"13","Jordan Love","GB","QB","15","2025","484","439","291","66.3","3381","225.4","7.70","23","6","159","101.2","21","4.3","169","7.40","24","183","0","5.1","9.0","3639","13.7","60","45.7","77.8","61.3","55.8","75.9","15.5","5.7","2.1","21","4.8","155","2.70","2.53","3.7","5.3","7","203","41.9","10.3","8.74","10.7","4.8","28","6","1","0.50","0.48","16.2","243.1","507"
"14","Jacoby Brissett","ARZ","QB","14","2025","550","485","315","64.9","3366","240.4","6.94","23","8","165","94.1","43","7.8","288","6.02","22","149","0","0.0","7.9","3587","10.1","49","47.0","74.0","63.1","56.7","73.4","17.7","2.9","1.6","41","3.3","134","2.71","2.59","3.7","5.1","16","218","39.6","19.7","7.23","12.0","1.1","29","3","1","0.44","0.42","17.1","239.4","566"
"15","Aaron Rodgers","PIT","QB","16","2025","539","498","327","65.7","3322","207.6","6.67","24","7","143","94.8","29","5.4","180","6.28","12","68","1","-0.6","6.2","2894","9.4","47","65.4","76.4","66.7","60.4","76.9","14.7","3.8","1.6","32","5.0","173","2.38","2.64","3.8","5.7","5","147","27.3","19.7","-1.52","11.2","7.8","26","7","2","0.44","0.43","14.7","235.1","548"
"16","Jalen Hurts","PHI","QB","16","2025","526","454","294","64.8","3224","201.5","7.10","25","6","150","98.5","32","6.1","181","6.73","40","266","2","3.1","9.0","3809","13.7","62","40.0","75.4","64.8","56.4","74.9","15.9","4.6","2.0","16","4.6","179","2.83","2.51","4.2","5.5","8","218","41.4","14.7","7.91","8.4","4.8","24","5","2","0.59","0.52","19.3","309.1","591"
"17","Cam Ward","TEN","QB","17","2025","618","540","323","59.8","3169","186.4","5.87","15","7","153","80.2","55","8.9","410","4.61","23","151","0","-0.9","7.4","3627","9.6","52","50.7","73.2","60.2","51.7","69.1","19.4","3.5","2.6","19","5.6","206","2.82","2.69","3.7","5.6","16","237","38.3","23.2","4.47","11.1","5.0","40","11","3","0.32","0.32","11.8","200.7","634"
"18","Daniel Jones","IND","QB","13","2025","428","384","261","68.0","3101","238.5","8.08","19","8","149","100.2","22","5.1","158","7.30","22","148","1","3.1","8.5","3088","9.6","37","45.1","76.4","77.3","59.4","77.9","15.6","4.2","3.1","17","3.6","79","2.48","2.46","3.5","5.5","4","147","34.3","15.0","4.85","7.6","4.2","11","7","2","0.55","0.53","18.3","237.4","451"
"19","C.J. Stroud","HST","QB","14","2025","471","423","273","64.5","3041","217.2","7.19","19","8","136","92.9","23","4.9","189","6.44","25","194","0","-2.0","8.1","3160","10.6","45","47.1","71.6","66.9","54.4","71.9","20.1","3.5","2.8","21","1.7","75","2.64","2.52","3.1","5.0","6","184","39.1","12.5","6.99","8.0","1.9","20","7","3","0.46","0.44","15.5","216.5","494"
"20","Geno Smith","LV","QB","15","2025","521","448","302","67.4","3025","201.7","6.75","19","17","148","84.7","55","10.6","405","4.44","18","109","0","0.9","6.8","2822","9.6","43","57.8","76.9","68.1","59.6","75.4","17.4","2.7","4.2","25","4.0","118","2.65","2.46","3.2","5.5","8","206","39.5","26.7","8.72","8.7","2.1","19","9","2","0.37","0.35","12.8","191.9","544"
"21","Bryce Young","CAR","QB","16","2025","538","478","304","63.6","3011","188.2","6.30","23","11","153","87.8","27","5.0","202","5.49","33","220","2","3.6","6.9","2920","8.4","40","51.8","78.8","58.8","54.2","74.5","11.3","4.6","2.3","31","5.6","218","2.67","2.55","3.2","5.2","10","224","41.6","12.1","9.45","9.8","1.9","40","11","2","0.43","0.42","14.6","233.0","559"
"22","Tua Tagovailoa","MIA","QB","14","2025","425","384","260","67.7","2660","190.0","6.93","20","15","142","88.5","30","7.1","195","5.29","11","44","0","2.4","6.9","2490","8.6","33","55.6","78.1","64.6","59.9","75.8","16.7","3.4","5.7","20","5.5","174","2.47","2.37","3.8","4.8","11","135","31.8","22.2","2.15","9.6","4.0","16","5","2","0.42","0.41","12.6","176.7","434"
"23","Lamar Jackson","BLT","QB","13","2025","368","302","192","63.6","2549","196.1","8.44","21","7","109","103.8","36","9.8","239","7.14","30","219","1","7.0","9.5","2627","13.9","42","43.0","77.8","61.6","52.6","72.8","16.9","3.6","2.0","28","7.3","202","2.83","2.68","4.1","5.4","12","164","44.6","22.0","12.60","8.3","2.2","12","10","2","0.61","0.56","17.3","224.9","405"
"24","Joe Flacco","CLV, CIN","QB","13","2025","438","416","251","60.3","2479","190.7","5.96","15","10","115","79.2","18","4.1","118","5.09","4","30","0","-0.4","7.2","2728","8.9","37","48.2","74.5","63.9","59.6","73.6","14.4","3.4","3.6","16","6.5","227","2.55","2.53","3.3","5.0","3","151","34.5","11.9","2.10","12.3","3.0","29","4","4","0.36","0.35","12.3","159.7","455"
"25","Tyler Shough","NO","QB","11","2025","378","327","221","67.6","2384","216.7","7.29","10","6","107","91.3","31","8.2","195","5.92","20","125","2","4.3","8.6","2652","12.8","42","44.2","76.9","68.5","56.0","76.5","15.9","5.5","2.1","14","4.9","149","2.50","2.45","3.6","4.6","13","138","36.5","22.5","7.76","9.2","2.9","9","6","3","0.44","0.41","15.1","166.0","403"
"26","Jaxson Dart","NYG","QB","14","2025","412","339","216","63.7","2272","162.3","6.70","15","5","102","91.7","35","8.5","152","5.87","38","290","2","1.2","8.3","2632","12.7","43","54.8","74.4","66.1","56.9","75.8","15.9","5.3","3.8","24","5.6","194","2.66","2.70","4.6","5.4","17","176","42.7","19.9","13.06","7.7","5.1","11","8","1","0.60","0.54","17.8","248.6","460"
"27","Brock Purdy","SF","QB","9","2025","313","284","197","69.4","2167","240.8","7.63","20","10","130","100.5","11","3.5","53","7.00","18","131","1","7.1","7.8","2054","10.6","30","39.8","80.5","59.5","59.9","78.9","12.7","3.5","3.2","22","4.9","51","3.02","2.76","3.6","5.2","4","121","38.7","9.1","0.33","12.0","1.3","16","3","0","0.61","0.58","21.0","189.4","328"
"28","Mac Jones","SF","QB","11","2025","313","289","201","69.6","2151","195.5","7.44","13","6","107","97.4","16","5.1","108","6.67","8","55","0","5.2","7.3","1958","6.2","18","46.4","80.1","66.8","62.6","78.5","12.8","4.5","2.4","10","4.5","157","2.41","2.52","3.4","5.2","3","93","29.7","17.2","0.47","9.3","","10","6","3","0.44","0.40","12.5","138.0","341"
"29","Michael Penix","ATL","QB","9","2025","302","276","166","60.1","1982","220.2","7.18","9","3","99","88.5","13","4.3","101","6.66","13","77","1","-0.9","8.6","2198","9.4","26","46.6","70.9","68.5","49.3","68.5","20.3","2.5","2.9","12","5.1","132","2.67","2.60","3.7","5.2","1","115","38.1","11.3","5.05","2.9","1.7","17","2","0","0.41","0.40","13.9","125.3","310"
"30","Joe Burrow","CIN","QB","8","2025","284","259","173","66.8","1809","226.1","6.98","17","5","100","100.7","17","6.0","113","6.56","8","26","0","2.2","7.8","1889","11.2","29","47.2","76.0","63.7","63.7","79.5","13.1","6.6","2.3","20","4.2","53","2.65","2.53","3.5","5.6","5","94","33.1","18.1","0.43","13.5","1.8","10","6","0","0.49","0.48","17.4","139.5","290"
"31","Kirk Cousins","ATL","QB","10","2025","284","269","166","61.7","1721","172.1","6.40","10","5","86","84.8","13","4.6","79","5.73","2","8","0","-2.6","7.3","1827","9.7","26","58.3","71.8","61.7","60.6","75.8","14.9","2.6","1.5","12","4.5","96","2.52","2.44","3.0","4.0","3","99","34.9","13.1","3.10","11.2","1.1","13","2","3","0.39","0.37","11.0","109.5","296"
"32","Marcus Mariota","WAS","QB","11","2025","261","227","139","61.2","1695","154.1","7.47","10","7","79","86.1","16","6.1","107","6.06","18","163","1","2.6","10.1","2108","14.1","32","39.4","71.6","68.3","54.6","72.7","17.2","5.7","4.0","16","4.4","108","2.64","2.48","3.1","4.8","2","94","36.0","17.0","4.96","4.0","2.7","15","1","2","0.52","0.46","12.3","135.5","293"
"33","J.J. McCarthy","MIN","QB","10","2025","287","243","140","57.6","1632","163.2","6.72","11","12","80","72.6","27","9.4","149","4.31","17","156","2","1.5","9.3","2102","12.8","31","42.0","72.5","70.8","50.6","68.7","21.4","9.1","3.7","19","8.6","214","2.83","2.73","3.8","5.1","7","119","41.5","22.7","8.50","4.5","2.4","6","10","0","0.49","0.45","13.9","139.4","307"
"34","Spencer Rattler","NO","QB","9","2025","291","257","174","67.7","1586","176.2","6.17","8","5","74","86.5","18","6.2","104","5.15","16","114","0","4.7","8.1","1950","12.1","31","42.0","78.3","67.7","56.4","77.4","15.6","4.3","5.1","14","5.4","135","2.51","2.40","3.2","4.2","8","120","41.2","15.0","11.73","10.5","4.1","11","2","3","0.36","0.35","11.8","106.1","306"
"35","Shedeur Sanders","CLV","QB","8","2025","253","212","120","56.6","1400","175.0","6.60","7","10","54","68.1","23","9.1","164","3.94","18","167","1","-5.3","7.5","1433","11.8","25","61.3","68.8","54.7","53.3","66.5","20.3","3.8","7.1","7","3.8","65","3.08","2.79","4.1","5.2","9","129","51.0","17.8","14.71","10.4","","17","5","0","0.38","0.37","12.0","95.9","256"
"36","Jayden Daniels","WAS","QB","7","2025","244","188","114","60.6","1262","180.3","6.71","8","3","59","88.1","18","7.4","79","5.86","38","246","0","3.2","7.9","1327","10.6","20","45.4","76.8","61.7","50.5","71.3","18.6","3.7","2.1","9","8.0","143","2.46","2.44","4.0","4.4","6","103","42.2","17.5","17.09","7.4","3.3","12","5","2","0.49","0.45","17.0","119.3","264"
"37","Justin Fields","NYJ","QB","9","2025","259","204","128","62.7","1259","139.9","6.17","7","1","58","89.5","27","10.4","192","5.03","28","242","1","0.8","7.2","1340","7.8","16","45.8","75.8","58.8","56.9","72.5","15.7","2.5","1.5","6","4.9","107","2.74","2.56","3.6","5.2","11","126","48.6","21.4","19.23","7.4","2.3","8","9","2","0.57","0.49","16.3","146.7","302"
"38","Carson Wentz","MIN","QB","5","2025","197","169","110","65.1","1216","243.2","7.20","6","5","58","85.8","19","9.6","125","5.24","9","57","0","2.8","8.3","1305","11.8","20","47.1","75.6","67.5","53.3","72.2","20.7","1.2","4.1","11","4.7","63","2.50","2.47","3.2","5.3","5","81","41.1","23.5","12.65","4.1","4.6","7","4","1","0.38","0.38","15.1","75.3","199"
"39","Kyler Murray","ARZ","QB","5","2025","193","161","110","68.3","962","192.4","5.98","6","3","50","88.6","16","8.3","111","4.72","16","142","1","2.9","6.3","944","8.1","13","55.4","79.7","65.2","59.0","76.4","13.0","1.9","2.5","7","5.0","77","2.53","2.48","3.9","5.9","2","72","37.3","22.2","9.19","11.2","1.6","5","6","0","0.42","0.40","16.4","81.8","206"
"40","Dillon Gabriel","CLV","QB","10","2025","215","185","110","59.5","937","93.7","5.06","7","2","45","80.8","19","8.8","127","4.22","11","89","0","-6.4","6.1","1069","4.9","9","51.2","70.6","68.1","50.8","71.4","19.5","1.6","4.3","13","5.4","110","2.56","2.52","3.4","5.5","6","84","39.1","22.6","9.61","10.8","0.5","7","4","1","0.34","0.33","7.2","72.1","218"
"41","Davis Mills","HST","QB","6","2025","174","159","91","57.2","915","152.5","5.75","5","1","48","81.6","8","4.6","60","5.45","7","58","1","-3.2","8.8","1311","12.6","20","30.1","68.9","70.4","56.0","71.7","20.8","3.1","3.1","14","6.9","34","2.41","2.35","3.5","4.6","2","57","32.8","14.0","3.83","6.3","2.9","7","2","0","0.40","0.39","11.6","69.6","180"
"42","Russell Wilson","NYG","QB","6","2025","141","119","69","58.0","831","138.5","6.98","3","3","32","77.4","10","7.1","66","5.35","12","91","0","2.3","9.2","946","14.3","17","46.2","75.0","58.8","48.7","67.2","15.1","5.9","3.4","8","5.0","21","2.56","2.44","3.2","4.3","3","64","45.4","15.6","16.42","11.8","2.8","13","3","0","0.37","0.36","8.8","52.8","147"
"43","Tyrod Taylor","NYJ","QB","6","2025","170","134","80","59.7","779","129.8","5.81","5","5","41","72.9","14","8.2","82","3.86","22","141","1","5.3","9.3","1120","12.7","17","43.4","77.7","64.9","56.7","75.4","14.9","0.7","5.2","8","10.4","130","2.81","2.61","3.9","5.4","2","85","50.0","16.5","19.54","8.2","1.2","6","6","1","0.39","0.37","10.9","65.5","175"
"44","Jake Browning","CIN","QB","5","2025","138","125","81","64.8","771","154.2","6.17","6","8","33","71.1","9","6.5","60","3.51","4","31","0","-4.6","7.6","891","13.6","17","49.2","70.1","68.8","56.0","73.6","20.0","2.4","6.4","5","0.8","1","2.63","2.36","3.6","6.3","1","61","44.2","14.8","12.11","12.0","3.6","6","2","0","0.41","0.40","11.3","56.7","143"
"45","Brady Cook","NYJ","QB","5","2025","179","153","88","57.5","739","147.8","4.83","2","7","35","55.4","19","10.6","125","1.97","7","44","0","-8.0","5.9","856","5.9","9","59.4","69.2","72.5","46.4","69.9","22.9","0.7","6.5","9","7.2","26","2.46","2.59","3.8","5.7","2","51","28.5","37.3","0.72","6.5","1.1","4","5","0","0.20","0.20","7.3","36.5","185"
"46","Quinn Ewers","MIA","QB","4","2025","94","83","55","66.3","622","155.5","7.49","3","3","29","85.5","8","8.5","59","5.36","3","21","0","-2.4","8.4","677","10.8","9","59.5","70.4","79.5","55.4","77.1","19.3","3.6","7.2","5","2.4","13","2.55","2.49","3.5","4.0","4","32","34.0","25.0","3.90","7.2","2.1","1","1","0","0.38","0.37","9.0","36.2","99"
"47","Jameis Winston","NYG","QB","3","2025","70","66","37","56.1","567","189.0","8.59","2","2","25","82.1","3","4.3","11","7.33","1","11","0","-3.1","10.0","613","13.6","9","39.2","66.7","72.7","39.4","65.2","24.2","9.1","9.1","6","4.5","13","2.77","2.79","4.9","5.4","0","27","38.6","11.1","2.88","3.0","2.9","4","1","0","0.66","0.61","15.4","46.3","76"
"48","Philip Rivers","IND","QB","3","2025","97","92","58","63.0","544","181.3","5.91","4","3","30","80.2","5","5.2","37","4.66","0","0","0","-3.5","8.3","718","10.9","10","49.4","70.1","76.1","55.4","73.9","19.6","3.3","4.3","4","3.3","8","2.27","2.29","3.8","","3","23","23.7","21.7","-4.01","10.9","3.1","2","3","0","0.36","0.35","11.6","34.7","99"
"49","Tyler Huntley","BLT","QB","5","2025","82","67","52","77.6","426","85.2","6.36","2","0","19","103.1","8","9.8","38","5.71","7","84","0","8.3","5.9","384","6.0","4","37.8","85.9","76.1","53.7","85.1","10.4","3.0","1.5","2","4.5","1","2.40","2.52","3.7","4.8","2","35","42.7","22.9","16.92","9.0","1.2","1","1","1","0.49","0.41","8.0","40.1","99"
"50","Malik Willis","GB","QB","4","2025","47","35","30","85.7","422","105.5","12.06","3","0","19","145.5","3","6.4","15","12.29","9","67","1","22.2","10.3","361","22.9","8","31.8","91.4","80.0","77.1","94.3","5.7","8.6","","3","5.7","8","2.62","2.69","4.4","5.7","0","25","53.2","12.0","26.89","5.7","6.4","0","0","0","1.11","0.87","13.0","52.2","60"
"51","Riley Leonard","IND","QB","5","2025","72","67","39","58.2","415","83.0","6.19","2","3","18","67.7","2","2.8","17","4.39","3","26","1","-3.5","8.4","523","11.9","8","46.0","70.0","67.2","62.7","74.6","16.4","7.5","6.0","7","4.5","28","2.65","2.71","4.0","4.7","0","27","37.5","7.4","4.18","9.0","6.9","4","1","0","0.47","0.45","6.8","34.0","75"
"52","Josh Johnson","WAS","QB","5","2025","64","54","34","63.0","372","74.4","6.89","1","2","21","74.0","2","3.1","14","5.14","8","54","1","-4.1","6.3","294","3.7","2","59.4","72.3","59.3","57.4","70.4","16.7","","5.6","3","","0","2.63","2.80","3.7","4.7","1","27","42.2","7.4","12.22","7.4","1.6","3","2","2","0.43","0.40","5.5","27.4","68"
"53","Max Brosmer","MIN","QB","7","2025","87","71","47","66.2","328","46.9","4.62","0","4","18","53.0","14","16.1","100","0.56","2","16","0","-1.4","4.4","298","7.0","5","76.8","77.6","64.8","40.8","80.3","14.1","2.8","5.6","1","7.0","33","2.19","2.21","3.1","5.6","1","30","34.5","46.7","11.75","8.5","2.3","3","0","0","0.11","0.10","1.3","9.2","92"
"54","Mitchell Trubisky","BUF","QB","4","2025","37","35","25","71.4","313","78.3","8.94","4","0","19","137.0","0","","0","11.23","2","13","0","6.1","7.6","260","2.9","1","44.1","79.4","68.6","62.9","80.0","17.1","2.9","2.9","4","5.7","11","2.66","3.06","","5.3","0","5","13.5","","-20.55","8.6","2.7","1","0","0","0.84","0.71","7.8","31.1","44"
"55","Mason Rudolph","PIT","QB","5","2025","55","52","38","73.1","310","62.0","5.96","2","2","17","84.6","2","3.6","12","4.59","1","3","0","1.9","5.1","239","7.7","4","80.3","80.9","63.5","63.5","76.9","11.5","1.9","7.7","1","","0","2.65","3.27","3.8","6.6","1","10","18.2","20.0","-15.60","13.5","3.6","3","2","0","0.33","0.30","3.6","18.0","61"
"56","Cooper Rush","BLT","QB","4","2025","53","52","34","65.4","303","75.8","5.83","0","4","13","48.8","1","1.9","16","2.02","0","0","0","-1.0","6.1","309","3.8","2","50.2","75.5","55.8","53.8","78.8","13.5","1.9","3.8","0","5.8","6","2.51","2.26","5.7","","0","18","34.0","5.6","1.29","11.5","3.8","1","0","0","0.13","0.12","1.7","6.7","57"
"57","Andy Dalton","CAR","QB","4","2025","46","37","25","67.6","293","73.3","7.92","1","1","17","89.1","8","17.4","54","4.76","1","1","0","1.7","9.5","343","5.4","2","31.4","71.4","75.7","56.8","81.1","10.8","2.7","2.7","2","","0","2.41","2.60","3.3","5.6","3","20","43.5","40.0","18.01","","","1","1","0","0.27","0.25","3.1","12.5","50"
"58","Tanner McKee","PHI","QB","4","2025","49","43","24","55.8","274","68.5","6.37","1","1","16","73.2","3","6.1","14","5.11","3","12","0","1.7","9.4","339","9.3","4","41.2","72.2","58.1","55.8","60.5","23.3","","2.3","2","4.7","6","2.72","2.76","3.8","5.2","2","19","38.8","15.8","6.29","9.3","4.1","7","0","0","0.30","0.27","3.7","14.8","54"
"59","Chris Oladokun","KC","QB","3","2025","67","55","35","63.6","235","78.3","4.27","1","0","10","79.0","8","11.9","93","2.57","4","18","0","-2.8","5.4","268","9.1","5","67.7","76.0","63.6","60.0","76.4","12.7","","3.6","2","5.5","5","2.79","2.47","4.4","5.3","5","32","47.8","25.0","16.39","9.1","4.5","2","2","1","0.20","0.19","4.4","13.2","68"
"60","Trey Lance","LAC","QB","4","2025","70","57","27","47.4","226","56.5","3.96","0","1","10","50.8","6","8.6","44","2.17","7","75","0","-13.0","9.4","479","17.5","10","52.7","58.3","70.2","50.9","59.6","24.6","1.8","5.3","1","1.8","2","2.34","2.27","3.4","6.1","1","29","41.4","20.7","16.53","8.8","2.9","2","0","4","0.22","0.19","3.9","15.5","80"
"61","Kenny Pickett","LV","QB","6","2025","56","45","28","62.2","188","31.3","4.18","1","2","8","60.2","8","14.3","54","1.21","3","23","0","-1.4","6.0","259","6.7","3","34.0","76.2","64.4","57.8","77.8","15.6","4.4","6.7","2","8.9","8","2.54","2.56","3.7","5.3","4","21","37.5","38.1","10.15","13.3","1.8","0","1","1","0.19","0.18","1.8","10.7","58"
"62","Joe Milton","DAL","QB","4","2025","27","24","15","62.5","183","45.8","7.63","1","2","9","65.1","0","","0","4.71","3","22","0","1.1","9.6","211","12.5","3","44.3","71.4","79.2","45.8","62.5","25.0","4.2","8.3","3","","0","2.68","2.53","","4.9","0","11","40.7","","8.48","4.2","","2","1","0","0.49","0.46","3.3","13.3","29"
"63","Aidan O'Connell","LV","QB","1","2025","24","22","10","45.5","102","102.0","4.64","0","0","5","59.3","1","4.2","5","4.22","1","7","0","-18.5","8.0","168","9.1","2","36.3","55.0","68.2","31.8","59.1","31.8","4.5","","1","4.5","5","2.46","2.66","3.9","3.8","1","8","33.3","12.5","3.47","9.1","","1","0","0","0.20","0.20","4.8","4.8","24"
"64","Shane Buechele","KC","QB","1","2025","20","14","7","50.0","88","88.0","6.29","0","0","4","69.9","5","25.0","22","3.47","1","4","0","-7.5","11.4","125","21.4","3","33.0","63.6","57.1","35.7","57.1","21.4","7.1","","0","","0","2.49","2.64","4.3","5.2","4","8","40.0","62.5","16.93","7.1","5.0","1","2","0","0.20","0.20","3.9","3.9","20"
"65","Brandon Allen","TEN","QB","1","2025","31","30","17","56.7","72","72.0","2.40","0","1","3","47.9","1","3.2","7","0.65","0","0","0","-15.5","2.8","82","3.3","1","115.3","62.1","73.3","46.7","60.0","36.7","","13.3","0","3.3","-2","2.51","2.46","3.6","","0","13","41.9","7.7","9.58","10.0","12.9","0","1","0","0.06","0.06","1.9","1.9","31"
"66","Joshua Dobbs","NE","QB","4","2025","11","10","7","70.0","65","16.3","6.50","0","0","3","87.5","0","","0","6.50","1","2","0","-0.9","11.2","112","20.0","2","73.8","70.0","80.0","60.0","80.0","20.0","10.0","","0","","0","2.87","3.00","","7.0","0","2","18.2","","-17.81","10.0","","0","0","0","0.19","0.11","0.5","2.1","20"
"67","Teddy Bridgewater","TB","QB","4","2025","18","15","8","53.3","62","15.5","4.13","0","0","2","63.8","2","11.1","21","2.41","1","6","0","-16.3","5.5","72","6.7","1","87.1","61.5","80.0","53.3","60.0","26.7","","","1","","0","2.17","2.34","3.9","6.0","1","5","27.8","40.0","4.90","6.7","5.6","2","0","0","0.16","0.14","0.7","2.9","20"
"68","Tyson Bagent","CHI","QB","3","2025","5","4","3","75.0","47","15.7","11.75","0","0","2","113.5","0","","0","11.75","1","7","0","1.8","7.5","30","25.0","1","83.0","75.0","100.0","75.0","75.0","25.0","","","0","","0","3.10","3.45","","4.6","0","2","40.0","","5.16","","","0","0","0","0.52","0.43","0.9","2.6","6"
"69","Clayton Tune","GB","QB","2","2025","22","15","7","46.7","42","21.0","2.80","0","1","2","25.7","5","22.7","44","-2.35","2","17","0","-4.8","3.6","47","","0","76.2","76.9","53.3","33.3","73.3","13.3","","6.7","0","20.0","15","2.71","2.28","3.0","5.5","2","13","59.1","38.5","33.94","26.7","4.5","1","1","0","0.14","0.12","1.5","3.0","25"
"70","Gardner Minshew","KC","QB","4","2025","14","13","6","46.2","37","9.3","2.85","0","1","2","21.0","0","","0","-0.62","1","8","0","-13.3","4.0","36","7.7","1","89.2","66.7","61.5","38.5","46.2","23.1","","7.7","0","","0","2.58","2.93","","5.1","0","3","21.4","","-10.76","","7.1","2","2","0","0.05","0.04","0.2","0.7","19"
