"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"11","CeeDee Lamb","DAL","WR","14","2025","440","76.4","12.5","1415","33.8","113","8.1","21.7","0.26","75","66.4","1077","76.9","27.5","2.45","9.53","14.36","334","4.45","100","1.33","3","14.3","16","10","2","25","93","27.8","7","0.09","43","0.098","9","8.0","93","82.3","5","4.4","19","9","47.4","2","94.9","29.4","1.0","65.2","34.1","","0.7","0.46","14.4","200.9","237.1","16.9","0.54","235.6"
"12","Justin Jefferson","MIN","WR","17","2025","535","93.5","10.6","1460","39.0","138","8.1","28.5","0.26","84","60.9","1048","61.6","32.7","1.96","7.59","12.48","440","5.24","177","2.11","2","11.1","18","13","2","20","117","35.1","11","0.13","47","0.088","9","6.5","99","71.7","19","13.8","23","15","65.2","4","65.1","32.2","-0.7","72.7","26.2","","1.1","0.38","11.9","201.5","255.9","15.1","0.48","255.0"
"13","Courtland Sutton","DEN","WR","17","2025","549","81.7","12.9","1542","34.1","120","7.1","19.6","0.22","74","61.7","1017","59.8","25.9","1.85","8.48","13.74","257","3.47","119","1.61","7","28.0","17","11","3","22","94","24.5","7","0.09","52","0.095","7","5.8","93","77.5","1","0.8","28","16","57.1","1","97.8","22.9","-0.2","80.7","19.3","","","0.40","12.9","219.7","233.0","13.7","0.42","233.0"
"14","Tetairoa McMillan","CAR","WR","17","2025","522","89.4","12.1","1441","44.1","119","7.0","23.1","0.23","70","58.8","1014","59.6","30.7","1.94","8.52","14.49","284","4.06","74","1.06","7","29.2","15","12","5","22","88","28.5","8","0.11","55","0.105","11","9.2","94","79.0","3","2.5","23","8","34.8","1","88.7","27.5","-0.2","80.1","19.9","","","0.41","12.5","212.4","215.5","12.7","0.41","215.5"
"15","Wan'Dale Robinson","NYG","WR","16","2025","523","89.4","8.7","1149","28.7","132","8.3","26.8","0.25","92","69.7","1014","63.4","29.2","1.94","7.68","11.02","444","4.83","157","1.71","4","21.1","12","7","3","20","106","32.9","12","0.13","39","0.075","3","2.3","104","78.8","22","16.7","21","8","38.1","0","96.0","31.6","0.1","31.4","67.5","","1.1","0.42","13.6","217.9","230.4","14.4","0.44","228.9"
"16","Stefon Diggs","NE","WR","17","2025","401","65.4","8.7","870","19.7","100","5.9","19.9","0.25","85","85.0","1013","59.6","22.7","2.53","10.13","11.92","366","4.31","133","1.56","4","12.9","12","3","1","12","75","22.1","14","0.16","51","0.127","3","3.0","89","89.0","4","4.0","13","11","84.6","3","113.9","30.9","2.6","45.9","53.9","","0.2","0.52","12.4","210.3","178.2","10.5","0.44","178.2"
"17","DeVonta Smith","PHI","WR","17","2025","497","86.4","12.4","1398","33.5","113","6.6","22.7","0.23","77","68.1","1008","59.3","28.8","2.03","8.92","13.09","296","3.84","100","1.30","4","15.4","10","8","2","23","92","28.8","1","0.01","44","0.089","5","4.4","92","81.4","10","8.8","22","11","50.0","3","104.1","27.2","0.4","41.6","58.4","","","0.41","11.9","201.8","216.8","12.8","0.44","216.8"
"18","Michael Wilson","ARZ","WR","17","2025","601","80.6","12.0","1494","33.0","124","7.3","19.1","0.21","78","62.9","1006","59.2","23.1","1.67","8.11","12.90","286","3.67","122","1.56","7","24.1","15","9","3","21","108","26.1","9","0.12","51","0.085","4","3.2","90","72.6","2","1.6","31","20","64.5","3","90.3","24.5","-0.3","71.4","28.6","","","0.37","13.0","220.6","235.3","13.8","0.39","235.3"
"19","Alec Pierce","IND","WR","15","2025","445","83.3","19.4","1631","43.0","84","5.6","17.4","0.19","47","56.0","1003","66.9","27.8","2.25","11.94","21.34","190","4.04","78","1.66","6","27.3","9","11","5","27","78","21.5","1","0.02","41","0.092","1","1.2","59","70.2","0","","26","9","34.6","2","107.4","21.0","1.4","89.0","11.0","","","0.41","12.2","183.3","178.1","11.9","0.40","178.1"
"20","A.J. Brown","PHI","WR","15","2025","450","89.5","11.7","1404","37.7","120","8.0","27.5","0.27","78","65.0","1003","66.9","32.6","2.23","8.36","12.86","271","3.47","170","2.18","7","33.3","13","3","2","22","99","35.0","9","0.12","47","0.104","3","2.5","91","75.8","3","2.5","28","17","60.7","2","100.1","30.8","0.0","87.3","12.7","","","0.49","14.7","220.3","221.9","14.8","0.49","221.9"
"21","Emeka Egbuka","TB","WR","17","2025","493","77.2","12.9","1633","37.1","127","7.5","22.8","0.26","63","49.6","938","55.2","25.0","1.90","7.39","14.89","339","5.38","84","1.33","6","23.1","14","11","2","23","102","28.0","6","0.10","34","0.069","8","6.3","81","63.8","12","9.4","21","8","38.1","1","76.8","29.0","-1.4","63.5","36.5","","","0.40","11.5","195.7","240.6","14.2","0.49","239.7"
"22","Kyle Pitts","ATL","TE","17","2025","505","86.2","7.3","852","21.2","116","6.8","21.3","0.23","88","75.9","928","54.6","25.1","1.84","8.00","10.55","417","4.74","179","2.03","5","26.3","12","3","2","8","79","22.3","10","0.11","51","0.101","3","2.6","99","85.3","10","8.6","19","10","52.6","0","102.2","24.0","0.3","20.4","34.9","44.8","","0.42","12.4","210.8","196.2","11.5","0.39","196.2"
"23","Drake London","ATL","WR","12","2025","352","84.6","10.9","1174","40.4","108","9.0","28.1","0.31","68","63.0","919","76.6","35.9","2.61","8.51","13.51","252","3.71","96","1.41","7","53.8","14","9","5","14","93","36.0","3","0.04","46","0.131","3","2.8","80","74.1","1","0.9","27","13","48.1","5","103.9","32.4","0.2","67.3","32.4","","0.3","0.58","16.9","202.9","197.2","16.4","0.56","197.2"
"24","Jaylen Waddle","MIA","WR","16","2025","376","74.9","12.8","1252","41.4","98","6.1","21.6","0.26","64","65.3","910","56.9","28.6","2.42","9.29","14.22","263","4.11","73","1.14","6","27.3","10","7","4","16","88","29.1","7","0.11","48","0.128","5","5.1","72","73.5","2","2.0","13","9","69.2","1","85.8","28.7","0.6","76.1","23.4","","0.5","0.52","12.1","194.1","181.8","11.4","0.48","180.9"
"25","Juwan Johnson","NO","TE","17","2025","504","74.6","7.7","772","16.6","100","5.9","16.9","0.20","77","77.0","889","52.3","22.1","1.76","8.89","11.55","345","4.48","111","1.44","3","15.8","7","1","0","6","78","19.4","8","0.10","41","0.081","7","7.0","90","90.0","4","4.0","18","13","72.2","4","113.3","21.8","1.3","16.3","55.6","26.0","2.2","0.36","10.7","181.9","162.0","9.5","0.32","162.0"
"26","Travis Kelce","KC","TE","17","2025","511","74.2","6.8","715","17.0","105","6.2","18.0","0.21","76","72.4","851","50.1","21.6","1.67","8.10","11.20","442","5.82","141","1.86","5","21.7","12","3","2","8","76","19.6","10","0.13","45","0.088","8","7.6","85","81.0","6","5.7","8","7","87.5","0","96.2","22.8","0.9","23.5","45.8","29.7","1.0","0.38","11.4","193.2","178.9","10.5","0.35","177.1"
"27","DK Metcalf","PIT","WR","15","2025","429","85.5","10.8","1055","40.6","98","6.5","21.1","0.23","59","60.2","850","56.7","26.8","1.98","8.67","14.41","425","7.20","111","1.88","6","24.0","13","11","4","17","85","27.7","14","0.24","37","0.086","3","3.1","76","77.6","10","10.2","20","6","30.0","2","91.8","24.7","0.6","78.8","21.0","","0.2","0.44","12.5","187.2","190.7","12.7","0.44","189.2"
"28","Parker Washington","JAX","WR","16","2025","381","62.2","13.0","1174","25.9","90","5.6","16.9","0.24","58","64.4","847","52.9","22.4","2.22","9.41","14.60","272","4.69","93","1.60","5","18.5","12","7","4","23","73","19.8","12","0.21","37","0.097","5","5.6","68","75.6","4","4.4","20","13","65.0","3","99.6","27.4","0.8","48.3","51.4","","0.3","0.45","10.8","172.7","179.1","11.2","0.46","174.3"
"29","Tee Higgins","CIN","WR","15","2025","494","82.6","13.5","1287","33.4","95","6.3","17.1","0.19","59","62.1","846","56.4","22.5","1.71","8.91","14.34","198","3.36","93","1.58","11","32.4","14","12","6","22","86","23.8","8","0.14","41","0.083","3","3.2","74","77.9","0","","36","21","58.3","4","125.2","21.1","0.1","87.7","12.1","","0.2","0.43","14.1","211.6","179.8","12.0","0.36","179.8"
"30","Jakobi Meyers","JAX, LV","WR","16","2025","500","88.2","9.4","990","24.6","105","6.6","21.2","0.21","75","71.4","835","52.2","21.9","1.67","7.95","11.13","289","3.85","100","1.33","3","9.7","13","10","3","9","84","25.5","9","0.12","43","0.086","4","3.8","85","81.0","7","6.7","18","11","61.1","1","84.4","24.5","0.0","57.4","42.6","","","0.35","11.1","176.8","182.6","11.4","0.36","180.0"
"31","Tyler Warren","IND","TE","17","2025","480","79.9","5.8","610","14.0","106","6.2","19.4","0.22","76","71.7","817","48.1","20.0","1.70","7.71","10.75","494","6.50","141","1.86","4","16.0","18","6","2","2","92","22.2","6","0.08","42","0.088","3","2.8","92","86.8","13","12.3","22","7","31.8","1","102.6","23.5","0.4","13.3","45.8","37.9","2.9","0.39","11.1","188.5","192.6","11.3","0.39","185.4"
"32","Davante Adams","LA","WR","14","2025","380","76.9","13.3","1473","35.9","111","7.9","23.6","0.29","60","54.1","789","56.4","21.2","2.08","7.11","13.15","116","1.93","37","0.62","14","37.8","32","27","14","21","89","26.8","5","0.08","51","0.134","7","6.3","76","68.5","1","0.9","18","9","50.0","1","112.6","29.8","-1.8","85.8","14.2","","","0.59","15.9","222.9","247.5","17.7","0.65","247.5"
"33","Ladd McConkey","LAC","WR","16","2025","536","84.8","10.3","1075","26.1","104","6.5","19.8","0.19","66","63.5","789","49.3","20.7","1.47","7.59","11.95","303","4.59","70","1.06","6","23.1","15","12","5","15","69","20.4","13","0.20","35","0.065","5","4.8","78","75.0","4","3.8","10","2","20.0","0","89.8","23.9","-0.5","35.1","64.0","0.9","","0.34","11.3","180.9","195.3","12.2","0.36","195.3"
"34","Michael Pittman","IND","WR","17","2025","505","84.0","8.5","922","21.1","108","6.4","19.7","0.21","80","74.1","784","46.1","19.2","1.55","7.26","9.80","292","3.65","112","1.40","7","28.0","13","6","3","9","96","23.2","6","0.08","47","0.093","4","3.7","93","86.1","6","5.6","21","10","47.6","2","100.2","23.8","-0.3","69.1","29.1","1.4","0.4","0.40","11.9","202.4","187.6","11.0","0.37","187.6"
"35","Dalton Schultz","HST","TE","17","2025","471","72.9","6.4","656","14.6","103","6.1","17.7","0.22","82","79.6","777","45.7","19.6","1.65","7.54","9.48","370","4.51","103","1.26","3","12.5","9","5","3","5","71","18.0","7","0.09","39","0.083","2","1.9","89","86.4","1","1.0","10","5","50.0","1","107.8","22.5","0.3","9.3","34.2","55.4","1.1","0.38","10.5","177.7","178.9","10.5","0.38","178.9"
"36","Keenan Allen","LAC","WR","17","2025","453","66.1","8.6","1017","22.8","118","6.9","20.7","0.26","81","68.6","777","45.7","19.7","1.72","6.58","9.59","245","3.02","120","1.48","4","15.4","15","10","4","13","90","24.4","11","0.14","49","0.108","7","5.9","96","81.4","5","4.2","16","10","62.5","1","94.5","31.7","-0.9","60.5","39.5","","","0.40","10.7","182.7","206.4","12.1","0.46","206.4"
"37","Hunter Henry","NE","TE","17","2025","443","72.3","8.1","681","15.4","84","4.9","16.7","0.19","60","71.4","768","45.2","17.2","1.73","9.14","12.80","344","5.73","79","1.32","7","22.6","21","6","2","6","63","18.5","1","0.02","42","0.095","7","8.3","70","83.3","4","4.8","18","12","66.7","1","117.6","20.9","1.4","15.1","47.0","34.3","3.6","0.40","10.5","178.8","171.6","10.1","0.39","171.6"
"38","Quentin Johnston","LAC","WR","14","2025","470","83.9","13.0","1025","27.7","79","5.6","17.2","0.17","51","64.6","735","52.5","22.0","1.56","9.30","14.41","227","4.45","89","1.75","8","34.8","14","8","4","19","63","21.2","13","0.25","27","0.057","8","10.1","64","81.0","7","8.9","13","5","38.5","2","117.9","21.5","0.7","85.1","14.9","","","0.37","12.3","172.2","145.3","10.4","0.31","144.4"
"39","Harold Fannin","CLV","TE","16","2025","403","66.0","6.0","625","19.0","104","6.5","19.4","0.26","72","69.2","731","45.7","24.0","1.81","7.03","10.15","367","5.10","166","2.31","6","37.5","10","2","1","5","73","22.3","14","0.19","32","0.079","6","5.8","88","84.6","9","8.7","18","7","38.9","1","100.3","28.9","-0.2","15.4","41.9","41.4","1.2","0.47","11.7","187.4","181.1","11.3","0.43","173.2"
"40","Deebo Samuel","WAS","WR","16","2025","420","79.2","5.3","523","15.2","98","6.1","22.4","0.23","72","73.5","727","45.4","23.4","1.73","7.42","10.10","476","6.61","165","2.29","5","27.8","12","5","3","7","77","27.3","17","0.24","32","0.076","7","7.1","86","87.8","30","30.6","21","13","61.9","1","98.5","29.4","0.5","33.1","64.8","","2.1","0.45","11.8","188.2","195.2","12.2","0.44","184.3"
"41","Romeo Doubs","GB","WR","16","2025","390","72.8","13.0","1095","27.1","84","5.3","17.6","0.22","55","65.5","724","45.3","19.0","1.86","8.62","13.16","175","3.18","67","1.22","6","23.1","17","9","5","14","64","21.3","5","0.09","41","0.105","6","7.1","68","81.0","2","2.4","22","12","54.5","0","111.4","24.6","-0.1","81.8","18.2","","","0.42","10.3","165.4","174.0","10.9","0.45","174.0"
"42","Khalil Shakir","BUF","WR","16","2025","393","70.8","3.8","349","10.8","91","5.7","19.5","0.23","72","79.1","719","44.9","19.3","1.83","7.90","9.99","520","7.22","260","3.61","4","16.0","12","1","1","6","69","23.5","17","0.24","29","0.074","4","4.4","81","89.0","26","28.6","14","9","64.3","1","105.1","27.4","1.4","26.7","70.0","2.0","1.3","0.43","10.5","167.4","149.3","9.3","0.38","148.8"
"43","Colston Loveland","CHI","TE","16","2025","356","59.2","9.0","722","17.0","80","5.0","14.9","0.22","58","72.5","713","44.6","18.9","2.00","8.91","12.29","275","4.74","113","1.95","6","22.2","13","5","3","5","56","17.6","7","0.12","35","0.098","1","1.3","66","82.5","0","","13","7","53.8","0","124.6","24.6","0.9","24.2","32.3","42.1","1.4","0.46","10.3","165.1","138.4","8.6","0.39","137.4"
"44","Troy Franklin","DEN","WR","17","2025","455","67.7","13.7","1394","30.8","102","6.0","16.6","0.22","65","63.7","709","41.7","18.0","1.56","6.95","10.91","208","3.20","88","1.35","6","24.0","18","10","5","23","77","20.1","11","0.17","32","0.070","7","6.9","76","74.5","20","19.6","13","8","61.5","1","87.4","24.7","-1.9","56.7","43.3","","","0.39","10.5","178.1","204.6","12.0","0.44","202.0"
"45","Brian Thomas","JAX","WR","14","2025","436","78.6","14.3","1254","29.8","88","6.3","18.0","0.20","48","54.5","707","50.5","20.4","1.62","8.03","14.73","192","4.00","34","0.71","2","8.3","7","6","1","23","77","22.6","4","0.08","33","0.076","8","9.1","70","79.5","1","1.1","18","5","27.8","1","83.9","23.0","-1.0","75.5","24.5","","","0.32","9.9","138.8","167.7","12.0","0.38","166.1"
"46","Tre Tucker","LV","WR","17","2025","554","92.2","10.5","947","29.1","90","5.3","17.5","0.16","57","63.3","696","40.9","21.0","1.26","7.73","12.21","302","5.30","103","1.81","5","25.0","9","7","2","18","77","22.1","8","0.14","32","0.058","6","6.7","68","75.6","12","13.3","11","5","45.5","1","101.0","19.4","-0.3","80.9","17.9","1.1","0.2","0.29","9.5","161.7","172.3","10.1","0.30","166.7"
"47","Rashid Shaheed","NO, SEA","WR","18","2025","464","72.0","11.4","1011","24.3","89","4.9","15.5","0.19","59","66.3","687","38.2","17.7","1.48","7.72","11.64","187","3.17","75","1.27","2","11.1","9","4","0","16","70","18.8","4","0.07","29","0.063","1","1.1","66","74.2","8","9.0","11","5","45.5","1","78.3","22.1","-0.7","66.2","33.8","","","0.31","8.1","145.6","161.8","9.0","0.34","157.4"
"48","DJ Moore","CHI","WR","17","2025","512","79.8","12.3","1005","22.4","82","4.8","14.3","0.16","50","61.0","682","40.1","17.1","1.33","8.32","13.64","208","4.16","58","1.16","6","21.4","10","11","5","17","59","17.5","4","0.08","32","0.063","6","7.3","62","75.6","14","17.1","18","10","55.6","1","106.9","18.4","-0.6","65.0","32.6","","2.3","0.33","10.1","171.2","164.5","9.7","0.31","156.5"
"49","Brock Bowers","LV","TE","12","2025","377","84.0","7.3","603","24.1","83","6.9","21.7","0.22","64","77.1","680","56.7","26.8","1.80","8.19","10.63","291","4.55","112","1.75","7","38.9","17","12","6","6","68","26.5","5","0.08","36","0.095","3","3.6","69","83.1","4","4.8","18","14","77.8","2","113.5","25.8","0.5","20.7","47.5","30.8","1.1","0.47","14.7","176.2","157.2","13.1","0.41","156.3"
"50","Oronde Gadsden","LAC","TE","15","2025","375","61.3","9.5","644","16.7","68","4.5","13.4","0.18","49","72.1","664","44.3","19.6","1.77","9.76","13.55","226","4.61","101","2.06","3","14.3","15","6","2","9","46","14.2","5","0.10","28","0.075","4","5.9","58","85.3","1","1.5","9","4","44.4","1","105.3","20.9","1.6","14.9","45.6","38.4","1.1","0.35","8.8","132.4","131.7","8.8","0.35","131.7"
"51","Rome Odunze","CHI","WR","12","2025","361","79.7","14.3","1257","39.2","88","7.3","21.9","0.24","44","50.0","661","55.1","23.9","1.83","7.51","15.02","226","5.14","67","1.52","6","33.3","11","11","3","22","65","26.2","4","0.09","37","0.102","9","10.2","59","67.0","2","2.3","20","7","35.0","0","88.3","26.4","-1.6","61.2","38.5","","0.3","0.40","12.2","146.1","181.8","15.1","0.50","181.8"
"52","Luther Burden","CHI","WR","15","2025","230","41.0","7.5","450","11.4","60","4.0","11.9","0.26","47","78.3","652","43.5","19.0","2.83","10.87","13.87","340","7.23","100","2.13","2","9.1","4","1","1","6","50","16.3","11","0.23","27","0.117","6","10.0","54","90.0","17","28.3","2","1","50.0","0","123.1","31.9","3.4","55.2","43.5","","1.3","0.56","8.5","127.9","97.8","6.5","0.41","95.2"
"53","Jauan Jennings","SF","WR","15","2025","427","79.8","10.1","867","25.0","86","5.7","17.8","0.20","55","64.0","643","42.9","17.4","1.51","7.48","11.69","185","3.36","71","1.29","9","30.0","17","8","5","10","78","26.4","5","0.09","36","0.084","6","7.0","67","77.9","0","","24","17","70.8","0","87.5","22.5","-0.6","70.0","30.0","","","0.41","11.6","174.3","166.0","11.1","0.39","166.0"
"54","George Kittle","SF","TE","11","2025","273","74.4","7.1","475","19.8","67","6.1","20.0","0.25","57","85.1","628","57.1","25.6","2.30","9.37","11.02","256","4.49","102","1.79","7","31.8","13","5","4","4","50","24.3","3","0.05","38","0.139","3","4.5","63","94.0","8","11.9","16","12","75.0","2","140.5","26.0","1.9","8.4","28.6","61.9","1.1","0.59","14.7","161.5","121.5","11.0","0.44","120.9"
"55","Christian Watson","GB","WR","10","2025","229","68.0","18.0","990","36.2","55","5.5","18.2","0.24","35","63.6","611","61.1","25.7","2.67","11.11","17.46","120","3.43","22","0.63","6","37.5","6","5","2","19","44","23.9","0","","28","0.122","2","3.6","44","80.0","0","","18","12","66.7","1","122.6","27.1","1.3","68.1","29.7","2.2","","0.58","13.2","132.4","106.2","10.6","0.46","105.6"
"56","Jordan Addison","MIN","WR","14","2025","400","81.8","14.1","1030","32.5","73","5.2","17.4","0.18","42","57.5","610","43.6","22.6","1.53","8.36","14.52","143","3.40","52","1.24","3","21.4","11","6","2","19","62","22.1","3","0.07","26","0.065","10","13.7","53","72.6","2","2.7","12","6","50.0","2","81.4","21.3","-0.6","77.8","22.0","","0.3","0.34","9.7","135.1","133.8","9.6","0.33","132.5"
"57","Marvin Harrison","ARZ","WR","12","2025","359","72.2","13.9","1015","33.8","73","6.1","17.1","0.20","41","56.2","608","50.7","21.7","1.69","8.33","14.83","126","3.07","58","1.41","4","21.1","10","14","4","17","60","22.1","2","0.05","30","0.084","7","9.6","53","72.6","2","2.7","11","6","54.5","3","90.4","24.5","-0.7","76.9","23.1","","","0.36","10.7","127.8","146.9","12.2","0.41","146.9"
"58","Jerry Jeudy","CLV","WR","17","2025","554","86.4","12.2","1271","36.5","104","6.1","18.6","0.19","50","48.1","602","35.4","19.1","1.09","5.79","12.04","169","3.38","40","0.80","2","12.5","8","6","1","18","86","25.3","3","0.06","31","0.056","9","8.7","67","64.4","2","1.9","13","5","38.5","0","44.6","22.8","-2.8","81.6","18.2","0.2","","0.22","7.2","121.7","192.1","11.3","0.35","191.8"
"59","Jake Ferguson","DAL","TE","17","2025","475","69.4","4.7","468","9.4","100","5.9","16.0","0.21","82","82.0","600","35.3","12.7","1.26","6.00","7.32","314","3.83","120","1.46","8","25.8","24","10","6","4","69","17.6","8","0.10","30","0.063","4","4.0","93","93.0","7","7.0","17","10","58.8","2","114.2","21.9","-0.9","7.4","56.0","35.8","0.8","0.40","11.2","190.1","191.6","11.3","0.40","191.3"
"60","Cooper Kupp","SEA","WR","16","2025","387","77.7","8.1","552","16.0","68","4.3","14.9","0.18","47","69.1","593","37.1","15.9","1.53","8.72","12.62","300","6.38","135","2.87","2","9.5","12","5","1","4","51","17.6","10","0.21","26","0.067","3","4.4","54","79.4","4","5.9","11","5","45.5","2","87.4","19.7","1.2","50.4","48.6","0.5","0.5","0.31","7.4","118.3","125.1","7.8","0.32","125.1"
"61","Dallas Goedert","PHI","TE","15","2025","412","81.6","7.2","578","15.6","80","5.3","18.4","0.19","60","75.0","591","39.4","18.7","1.43","7.39","9.85","248","4.13","95","1.58","11","44.0","15","4","3","6","59","21.0","1","0.02","34","0.083","5","6.3","68","85.0","7","8.8","8","4","50.0","0","134.9","22.3","-0.1","14.6","50.2","35.0","0.2","0.45","12.3","185.1","149.0","9.9","0.36","149.0"
"62","Marquise Brown","KC","WR","16","2025","365","56.2","11.6","835","21.0","72","4.5","13.1","0.20","49","68.1","587","36.7","15.7","1.61","8.15","11.98","199","4.06","61","1.24","5","21.7","9","6","4","12","55","14.9","7","0.14","29","0.079","2","2.8","54","75.0","7","9.7","7","4","57.1","2","104.3","23.4","0.0","59.5","40.0","","0.5","0.38","8.6","137.7","138.9","8.7","0.38","138.9"
"63","Terry McLaurin","WAS","WR","10","2025","245","72.1","13.6","787","37.2","58","5.8","20.4","0.24","38","65.5","582","58.2","30.1","2.38","10.03","15.32","102","2.68","48","1.26","3","33.3","7","5","2","10","47","25.8","4","0.11","33","0.135","1","1.7","43","74.1","0","","14","9","64.3","1","115.7","30.2","1.1","85.7","14.3","","","0.47","11.4","114.2","118.0","11.8","0.48","118.0"
"64","Cade Otton","TB","TE","16","2025","449","75.0","5.1","405","10.0","80","5.0","15.3","0.18","59","73.8","572","35.8","16.4","1.27","7.15","9.69","317","5.37","114","1.93","1","4.2","6","1","0","1","51","14.9","5","0.08","25","0.056","2","2.5","70","87.5","4","5.0","19","10","52.6","0","87.1","16.8","0.3","18.5","53.7","27.6","0.2","0.27","7.6","122.2","123.3","7.7","0.27","123.3"
