"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"11","Travis Etienne","JAX","RB","17","2025","260","1107","65.1","4.26","7","0","48","3.5","301","27.2","37.5","2.7","46.5","49.2","35","0.13","534","2.05","48.2","2.20","126","48.5","565","1","4.48","44.4","125","48.1","536","6","4.29","48.8","14.9","253.9","238.1","14.0"
"12","D'Andre Swift","CHI","RB","16","2025","223","1087","67.9","4.87","9","2","62","5.4","230","21.2","58.3","4.0","54.7","36.3","37","0.17","488","2.19","44.9","2.69","146","65.5","770","6","5.27","58.2","75","33.6","312","3","4.16","49.3","14.4","230.6","209.8","13.1"
"13","Tony Pollard","TEN","RB","17","2025","242","1082","63.6","4.47","5","3","48","4.1","248","22.9","33.3","2.1","46.3","46.3","27","0.11","558","2.31","51.6","2.17","126","52.1","652","2","5.17","48.4","116","47.9","430","3","3.71","44.0","11.1","188.8","202.5","11.9"
"14","Rico Dowdle","CAR","RB","17","2025","236","1076","63.3","4.56","6","1","51","4.2","258","24.0","66.7","2.5","48.3","45.8","40","0.17","579","2.45","53.8","2.11","123","52.1","547","2","4.45","43.9","109","46.2","514","4","4.72","53.2","12.8","217.3","209.3","12.3"
"15","Breece Hall","NYJ","RB","16","2025","243","1065","66.6","4.38","4","2","57","7.0","392","36.8","44.4","1.6","49.8","43.2","44","0.18","467","1.92","43.8","2.46","164","67.5","720","1","4.39","48.8","75","30.9","319","3","4.25","50.7","13.1","209.7","188.8","11.8"
"16","Kenneth Walker","SEA","RB","17","2025","221","1027","60.4","4.65","5","0","46","8.1","398","38.8","27.6","2.3","43.9","48.4","61","0.28","466","2.11","45.4","2.54","126","57.0","633","2","5.02","42.1","90","40.7","375","3","4.17","48.9","11.3","191.9","184.3","10.8"
"17","Chase Brown","CIN","RB","17","2025","232","1019","59.9","4.39","6","1","52","3.9","219","21.5","63.2","2.6","52.2","44.0","38","0.16","562","2.42","55.2","1.97","117","50.4","509","2","4.35","49.6","110","47.4","465","4","4.23","54.5","16.6","282.6","283.4","16.7"
"18","Ashton Jeanty","LV","RB","17","2025","266","975","57.4","3.67","5","1","44","1.9","173","17.7","83.3","1.9","41.0","53.4","46","0.17","634","2.38","65.0","1.28","168","63.2","688","3","4.10","41.7","93","35.0","281","2","3.02","39.8","14.5","246.1","262.6","15.4"
"19","Jaylen Warren","PIT","RB","16","2025","211","958","59.9","4.54","6","1","52","4.7","269","28.1","53.8","2.8","54.5","42.2","45","0.21","524","2.48","54.7","2.06","134","63.5","627","4","4.68","52.2","73","34.6","328","2","4.49","60.3","13.6","217.1","202.0","12.6"
"20","Josh Jacobs","GB","RB","15","2025","234","929","61.9","3.97","13","3","55","4.3","206","22.2","83.3","5.6","49.1","47.9","39","0.17","510","2.18","54.9","1.79","129","55.1","476","6","3.69","45.7","101","43.2","440","7","4.36","53.5","15.9","239.1","222.4","14.8"
"21","TreVeyon Henderson","NE","RB","17","2025","180","911","53.6","5.06","9","1","45","5.6","361","39.6","29.6","5.0","51.1","47.2","24","0.13","343","1.91","37.7","3.16","59","32.8","317","2","5.37","55.9","114","63.3","526","6","4.61","46.5","12.2","207.2","175.5","10.3"
"22","Quinshon Judkins","CLV","RB","14","2025","230","827","59.1","3.60","7","0","50","3.0","197","23.8","61.1","3.0","40.9","56.5","30","0.13","514","2.23","62.2","1.36","107","46.5","371","0","3.47","40.2","115","50.0","440","6","3.83","39.1","12.1","169.8","193.4","13.8"
"23","Jacory Croskey-Merritt","WAS","RB","17","2025","175","805","47.4","4.60","8","3","41","4.0","203","25.2","35.3","4.6","53.7","43.4","26","0.15","410","2.34","50.9","2.26","78","44.6","406","4","5.21","56.4","97","55.4","399","4","4.11","51.5","8.4","142.3","133.1","7.8"
"24","Kyle Monangai","CHI","RB","17","2025","169","783","46.1","4.63","5","0","40","4.1","162","20.7","38.5","3.0","50.9","40.2","17","0.10","393","2.33","50.2","2.31","112","66.3","479","3","4.28","46.4","55","32.5","291","2","5.29","60.0","8.6","146.7","147.8","8.7"
"25","J.K. Dobbins","DEN","RB","10","2025","153","772","77.2","5.05","4","0","37","7.8","261","33.8","63.6","2.6","53.6","46.1","31","0.20","347","2.27","44.9","2.78","60","39.2","357","1","5.95","53.3","91","59.5","394","2","4.33","52.7","11.6","115.9","109.7","11.0"
"26","Jordan Mason","MIN","RB","16","2025","159","758","47.4","4.77","6","2","45","5.7","185","24.4","53.8","3.8","56.0","41.5","30","0.19","384","2.42","50.7","2.35","87","54.7","408","3","4.69","49.4","71","44.7","341","3","4.80","63.4","8.1","129.9","117.3","7.3"
"27","Blake Corum","LA","RB","17","2025","145","746","43.9","5.14","6","0","44","6.9","228","30.6","38.2","4.1","59.3","38.6","26","0.18","326","2.25","43.7","2.90","75","51.7","397","2","5.29","52.0","70","48.3","349","4","4.99","67.1","7.2","122.2","120.8","7.1"
"28","Tyrone Tracy","NYG","RB","15","2025","176","740","49.3","4.20","2","0","39","4.0","140","18.9","8.0","1.1","44.9","48.3","21","0.12","382","2.17","51.6","2.03","110","62.5","465","0","4.23","44.5","65","36.9","270","2","4.15","46.2","10.8","161.8","160.2","10.7"
"29","Zach Charbonnet","SEA","RB","16","2025","184","730","45.6","3.97","12","0","48","4.9","200","27.4","66.7","6.5","48.4","45.7","38","0.21","482","2.62","66.0","1.35","119","64.7","461","11","3.87","47.1","60","32.6","250","1","4.17","51.7","11.3","181.4","170.3","10.6"
"30","David Montgomery","DET","RB","17","2025","158","716","42.1","4.53","8","2","41","3.8","192","26.8","61.5","5.1","48.1","45.6","22","0.14","387","2.45","54.1","2.08","101","63.9","416","3","4.12","46.5","56","35.4","300","5","5.36","51.8","9.9","167.9","154.0","9.1"
"31","Woody Marks","HST","RB","16","2025","196","703","43.9","3.59","2","1","39","3.6","131","18.6","37.5","1.0","46.4","48.5","12","0.06","391","1.99","55.6","1.59","91","46.4","289","1","3.18","44.0","105","53.6","414","1","3.94","48.6","9.1","145.1","178.3","11.1"
"32","Kimani Vidal","LAC","RB","13","2025","155","643","49.5","4.15","3","1","32","3.9","182","28.3","50.0","1.9","47.1","52.3","20","0.13","311","2.01","48.4","2.14","82","52.9","308","1","3.76","45.1","73","47.1","335","2","4.59","49.3","9.1","117.9","132.8","10.2"
"33","Kareem Hunt","KC","RB","17","2025","163","611","35.9","3.75","8","2","55","1.2","51","8.3","71.4","4.9","57.1","39.3","17","0.10","346","2.12","56.6","1.63","99","60.7","416","2","4.20","52.5","57","35.0","182","6","3.19","61.4","8.6","146.4","144.3","8.5"
"34","Rhamondre Stevenson","NE","RB","14","2025","130","603","43.1","4.64","7","2","29","6.9","230","38.1","50.0","5.4","50.8","48.5","30","0.23","358","2.75","59.4","1.88","47","36.2","197","1","4.19","51.1","80","61.5","395","5","4.94","50.0","13.0","181.8","145.2","10.4"
"35","Bucky Irving","TB","RB","10","2025","173","588","58.8","3.40","1","1","27","2.3","79","13.4","0.0","0.6","42.2","50.3","22","0.13","308","1.78","52.4","1.62","75","43.4","285","0","3.80","46.7","94","54.3","285","1","3.03","39.4","14.0","139.5","148.0","14.8"
"36","Rachaad White","TB","RB","17","2025","132","572","33.6","4.33","4","0","37","3.0","91","15.9","40.0","3.0","53.8","42.4","23","0.17","259","1.96","45.3","2.37","55","41.7","245","0","4.45","49.1","74","56.1","324","4","4.38","58.1","8.4","143.0","152.5","9.0"
"37","Aaron Jones","MIN","RB","12","2025","132","548","45.7","4.15","2","0","28","3.8","97","17.7","42.9","1.5","49.2","44.7","12","0.09","221","1.67","40.3","2.48","74","56.1","288","1","3.89","45.9","55","41.7","215","1","3.91","52.7","10.0","119.7","131.3","10.9"
"38","Omarion Hampton","LAC","RB","9","2025","124","545","60.6","4.40","4","0","31","6.5","193","35.4","80.0","3.2","46.8","48.4","21","0.17","275","2.22","50.5","2.18","54","43.5","172","0","3.19","38.9","68","54.8","364","4","5.35","51.5","15.1","135.7","128.2","14.2"
"39","RJ Harvey","DEN","RB","17","2025","146","540","31.8","3.70","7","1","28","2.7","143","26.5","45.0","4.8","45.2","52.1","24","0.16","274","1.88","50.7","1.82","50","34.2","193","2","3.86","42.0","89","61.0","347","5","3.90","49.4","12.2","207.6","188.6","11.1"
"40","Kenneth Gainwell","PIT","RB","17","2025","114","537","31.6","4.71","5","1","34","5.3","156","29.1","31.0","4.4","55.3","43.0","20","0.18","263","2.31","49.0","2.40","69","60.5","292","4","4.23","58.0","39","34.2","171","1","4.38","51.3","13.1","222.3","211.2","12.4"
"41","Tyler Allgeier","ATL","RB","17","2025","143","514","30.2","3.59","8","0","36","3.5","87","16.9","43.5","5.6","49.0","49.0","16","0.11","271","1.90","52.7","1.70","103","72.0","390","6","3.79","48.5","38","26.6","117","2","3.08","47.4","7.2","123.0","121.4","7.1"
"42","Chuba Hubbard","CAR","RB","15","2025","134","511","34.1","3.81","1","1","31","","0","","10.0","0.7","50.7","39.6","8","0.06","234","1.75","45.8","2.07","81","60.4","286","1","3.53","43.2","49","36.6","204","0","4.16","61.2","8.4","126.4","143.1","9.5"
"43","Nick Chubb","HST","RB","15","2025","122","506","33.7","4.15","3","0","20","3.3","101","20.0","33.3","2.5","48.4","45.9","10","0.08","304","2.49","60.1","1.66","50","41.0","185","1","3.70","42.0","72","59.0","321","2","4.46","52.8","5.9","88.3","109.0","7.3"
"44","Chris Rodriguez","WAS","RB","13","2025","112","500","38.5","4.46","6","0","32","3.6","100","20.0","42.4","5.4","58.0","42.0","20","0.18","341","3.04","68.2","1.42","50","44.6","230","1","4.60","60.0","61","54.5","272","5","4.46","57.4","7.1","92.0","87.5","6.7"
"45","Emanuel Wilson","GB","RB","17","2025","125","496","29.2","3.97","3","0","32","0.8","15","3.0","14.8","2.4","58.4","39.2","8","0.06","284","2.27","57.3","1.70","74","59.2","337","0","4.55","63.5","49","39.2","161","3","3.29","53.1","5.6","94.5","103.0","6.1"
"46","Alvin Kamara","NO","RB","11","2025","131","471","42.8","3.60","1","1","21","3.1","66","14.0","22.2","0.8","42.0","51.1","21","0.16","228","1.74","48.4","1.85","80","61.1","298","1","3.73","38.8","51","38.9","173","0","3.39","47.1","9.3","102.7","131.6","12.0"
"47","Isiah Pacheco","KC","RB","13","2025","118","462","35.5","3.92","1","0","27","0.8","16","3.5","0.0","0.8","55.1","41.5","10","0.08","240","2.03","51.9","1.88","84","71.2","321","1","3.82","57.1","32","27.1","129","0","4.03","50.0","6.7","87.3","105.0","8.1"
"48","Devin Singletary","NYG","RB","17","2025","119","437","25.7","3.67","5","0","27","1.7","51","11.7","33.3","4.2","48.7","42.0","10","0.08","217","1.82","49.7","1.85","69","58.0","229","1","3.32","49.3","50","42.0","208","4","4.16","48.0","6.4","108.8","113.6","6.7"
"49","Cam Skattebo","NYG","RB","8","2025","101","410","51.3","4.06","5","1","27","4.0","76","18.5","69.2","5.0","50.5","42.6","26","0.26","285","2.82","69.5","1.24","62","61.4","242","1","3.90","45.2","39","38.6","168","4","4.31","59.0","16.1","128.7","119.1","14.9"
