"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"94","Kaleb Johnson","PIT","RB","10","2025","28","69","6.9","2.46","0","0","2","","0","","0.0","","25.0","64.3","2","0.07","52","1.86","75.4","0.61","21","75.0","52","0","2.48","28.6","7","25.0","17","0","2.43","14.3","0.9","8.8","17.4","1.7"
"95","Najee Harris","LAC","RB","3","2025","15","61","20.3","4.07","0","0","3","","0","","0.0","","86.7","13.3","1","0.07","50","3.33","82.0","0.73","7","46.7","25","0","3.57","85.7","8","53.3","36","0","4.50","87.5","3.9","11.6","13.7","4.6"
"96","AJ Dillon","PHI","RB","7","2025","12","60","8.6","5.00","0","0","4","","0","","0.0","","50.0","33.3","2","0.17","35","2.92","58.3","2.08","4","33.3","19","0","4.75","50.0","7","58.3","35","0","5.00","42.9","1.4","10.1","12.2","1.7"
"97","Ameer Abdullah","IND","RB","13","2025","14","60","4.6","4.29","1","0","3","","0","","4.5","7.1","42.9","42.9","1","0.07","42","3.00","70.0","1.29","12","85.7","52","1","4.33","41.7","2","14.3","8","0","4.00","50.0","2.9","37.9","32.1","2.5"
"98","Nate Carter","ATL","RB","4","2025","9","60","15.0","6.67","0","1","3","","0","","0.0","","55.6","33.3","1","0.11","21","2.33","35.0","4.33","7","77.8","44","0","6.29","57.1","2","22.2","16","0","8.00","50.0","1.3","5.0","3.9","1.0"
"99","Corey Kiner","ARZ","RB","4","2025","12","58","14.5","4.83","0","0","4","","0","","0.0","","66.7","16.7","2","0.17","30","2.50","51.7","2.33","5","41.7","24","0","4.80","60.0","7","58.3","34","0","4.86","71.4","2.3","9.3","10.6","2.6"
"100","Khalil Herbert","NYJ","RB","5","2025","16","52","10.4","3.25","0","0","2","","0","","0.0","","43.8","31.3","2","0.13","22","1.38","42.3","1.88","14","87.5","47","0","3.36","50.0","2","12.5","5","0","2.50","","1.3","6.6","12.2","2.4"
"101","Kene Nwangwu","NYJ","RB","10","2025","13","49","4.9","3.77","0","0","2","7.7","16","32.7","33.3","","30.8","46.2","2","0.15","31","2.38","63.3","1.38","8","61.5","37","0","4.63","37.5","5","38.5","12","0","2.40","20.0","0.5","4.9","10.7","1.1"
"102","Will Shipley","PHI","RB","15","2025","14","49","3.3","3.50","0","0","4","7.1","20","40.8","0.0","","28.6","50.0","0","","24","1.71","49.0","1.79","8","57.1","25","0","3.13","37.5","5","35.7","4","0","0.80","","1.3","19.5","22.7","1.5"
"103","Evan Hull","NO","RB","6","2025","19","48","8.0","2.53","0","0","2","","0","","0.0","","31.6","68.4","0","","21","1.11","43.8","1.42","10","52.6","22","0","2.20","30.0","9","47.4","26","0","2.89","33.3","1.1","6.4","11.6","1.9"
"104","Hassan Haskins","LAC","RB","11","2025","17","47","4.3","2.76","0","0","4","","0","","0.0","","29.4","70.6","1","0.06","27","1.59","57.4","1.18","9","52.9","16","0","1.78","33.3","8","47.1","31","0","3.88","25.0","0.9","10.0","13.6","1.2"
"105","Ty Chandler","MIN","RB","3","2025","17","47","15.7","2.76","0","0","1","","0","","25.0","","29.4","64.7","1","0.06","24","1.41","51.1","1.35","13","76.5","44","0","3.38","38.5","4","23.5","3","0","0.75","","2.9","8.8","17.3","5.8"
"106","Ronnie Rivers","LA","RB","7","2025","9","46","6.6","5.11","0","0","3","","0","","0.0","","66.7","22.2","0","","22","2.44","47.8","2.67","3","33.3","13","0","4.33","33.3","6","66.7","33","0","5.50","83.3","0.7","4.6","4.0","0.6"
"107","Tahj Brooks","CIN","RB","12","2025","16","45","3.8","2.81","0","0","1","","0","","0.0","","31.3","68.8","2","0.13","38","2.38","84.4","0.44","12","75.0","36","0","3.00","33.3","4","25.0","9","0","2.25","25.0","0.5","6.4","10.9","0.9"
"108","Adam Prentice","DEN","FB","17","2025","10","44","2.6","4.40","0","0","7","10.0","18","40.9","5.0","","70.0","20.0","0","","18","1.80","40.9","2.60","1","10.0","3","0","3.00","","2","20.0","4","0","2.00","50.0","0.9","15.7","18.2","1.1"
"109","Austin Ekeler","WAS","RB","2","2025","14","43","21.5","3.07","0","0","3","","0","","0.0","","57.1","28.6","1","0.07","24","1.71","55.8","1.36","6","42.9","17","0","2.83","66.7","8","57.1","26","0","3.25","50.0","6.6","13.1","18.5","9.3"
"110","Julius Chestnut","TEN","RB","17","2025","11","40","2.4","3.64","0","0","4","9.1","27","67.5","16.7","","45.5","54.5","1","0.09","15","1.36","37.5","2.27","2","18.2","27","0","13.50","50.0","8","72.7","12","0","1.50","37.5","0.2","4.0","11.7","0.7"
"111","Brittain Brown","CHI","RB","2","2025","5","37","18.5","7.40","1","0","2","20.0","22","59.5","0.0","20.0","60.0","20.0","2","0.40","12","2.40","32.4","5.00","2","40.0","23","1","11.50","50.0","3","60.0","14","0","4.67","66.7","4.9","9.7","4.0","2.0"
"112","Trayveon Williams","LAC, CLV","RB","6","2025","10","36","6.0","3.60","0","0","3","","0","","0.0","","40.0","50.0","0","","21","2.10","58.3","1.50","7","70.0","31","0","4.43","42.9","3","30.0","5","0","1.67","33.3","2.9","17.1","19.9","3.3"
"113","Dameon Pierce","KC, HST","RB","5","2025","14","36","7.2","2.57","0","0","1","","0","","0.0","","21.4","78.6","0","","35","2.50","97.2","0.07","6","42.9","22","0","3.67","33.3","8","57.1","14","0","1.75","12.5","0.7","3.6","10.4","2.1"
"114","Zamir White","LV","RB","5","2025","12","32","6.4","2.67","0","0","1","","0","","0.0","","25.0","50.0","1","0.08","18","1.50","56.3","1.17","11","91.7","37","0","3.36","27.3","1","8.3","-5","0","-5.00","","1.9","9.6","14.3","2.9"
"115","Velus Jones","NO, SEA","RB","6","2025","4","32","5.3","8.00","0","0","1","25.0","25","78.1","0.0","","25.0","50.0","0","","4","1.00","12.5","7.00","1","25.0","1","0","1.00","","3","75.0","31","0","10.33","33.3","0.5","3.2","2.3","0.4"
"116","D'Ernest Johnson","NE, ARZ","RB","6","2025","14","25","4.2","1.79","0","0","0","","0","","10.0","","14.3","78.6","1","0.07","31","2.21","124.0","-0.43","8","57.1","18","0","2.25","25.0","6","42.9","7","0","1.17","","0.4","2.5","8.5","1.4"
"117","Dare Ogunbowale","HST","RB","17","2025","11","25","1.5","2.27","1","0","1","","0","","12.5","9.1","27.3","54.5","1","0.09","22","2.00","88.0","0.27","7","63.6","21","1","3.00","28.6","3","27.3","11","0","3.67","33.3","1.5","25.1","30.1","1.8"
"118","Rasheen Ali","BLT","RB","15","2025","7","24","1.6","3.43","0","0","1","","0","","0.0","","42.9","57.1","0","","7","1.00","29.2","2.43","5","71.4","19","0","3.80","40.0","2","28.6","5","0","2.50","50.0","1.6","24.2","22.9","1.5"
"119","Tyler Goodson","IND","RB","11","2025","9","24","2.2","2.67","0","0","0","","0","","0.0","","33.3","55.6","1","0.11","11","1.22","45.8","1.44","2","22.2","5","0","2.50","50.0","7","77.8","19","0","2.71","28.6","0.5","5.2","10.1","0.9"
"120","Tyler Badie","DEN","RB","16","2025","8","23","1.4","2.88","0","0","1","","0","","5.0","","12.5","62.5","0","","18","2.25","78.3","0.63","6","75.0","22","0","3.67","16.7","2","25.0","1","0","0.50","","2.2","35.4","51.3","3.2"
"121","DeeJay Dallas","CAR, JAX","RB","5","2025","3","21","4.2","7.00","0","0","1","33.3","17","81.0","0.0","","66.7","33.3","0","","5","1.67","23.8","5.33","2","66.7","4","0","2.00","50.0","1","33.3","17","0","17.00","100.0","0.4","2.1","3.1","0.6"
"122","Jacardia Wright","SEA","RB","1","2025","5","20","20.0","4.00","0","0","1","","0","","0.0","","40.0","60.0","1","0.20","9","1.80","45.0","2.20","4","80.0","10","0","2.50","25.0","1","20.0","10","0","10.00","100.0","2.0","2.0","2.1","2.1"
"123","Cam Akers","SEA, MIN","RB","4","2025","5","19","4.8","3.80","0","0","1","","0","","0.0","","40.0","60.0","1","0.20","21","4.20","110.5","-0.40","1","20.0","14","0","14.00","100.0","4","80.0","5","0","1.25","25.0","1.8","7.2","4.1","1.0"
"124","Phil Mafah","DAL","RB","1","2025","5","18","18.0","3.60","1","0","2","","0","","33.3","20.0","60.0","40.0","0","","9","1.80","50.0","1.80","2","40.0","9","0","4.50","50.0","3","60.0","9","1","3.00","66.7","10.9","10.9","7.8","7.8"
"125","Roschon Johnson","CHI","RB","6","2025","2","17","2.8","8.50","0","0","1","","0","","0.0","","100.0","","0","","5","2.50","29.4","6.00","1","50.0","11","0","11.00","100.0","1","50.0","6","0","6.00","100.0","0.3","1.7","1.1","0.2"
"126","Clyde Edwards-Helaire","KC","RB","2","2025","7","13","6.5","1.86","0","0","1","","0","","0.0","","28.6","57.1","0","","11","1.57","84.6","0.29","3","42.9","7","0","2.33","33.3","4","57.1","6","0","1.50","25.0","2.1","4.2","7.1","3.5"
"127","Jacob Saylors","DET","RB","11","2025","2","11","1.0","5.50","0","0","1","","0","","0.0","","50.0","50.0","1","0.50","6","3.00","54.5","2.50","1","50.0","9","0","9.00","100.0","1","50.0","2","0","2.00","","0.1","1.1","0.9","0.1"
"128","Josh Williams","TB","RB","2","2025","4","11","5.5","2.75","0","0","0","","0","","0.0","","25.0","50.0","0","","5","1.25","45.5","1.50","3","75.0","7","0","2.33","","1","25.0","4","0","4.00","100.0","0.6","1.1","2.4","1.2"
"129","Alec Ingold","MIA","FB","17","2025","2","9","0.5","4.50","0","0","1","","0","","0.0","","50.0","50.0","1","0.50","8","4.00","88.9","0.50","0","","0","0","","","0","","0","0","","","0.8","14.1","17.8","1.0"
"130","Dylan Laube","LV","RB","17","2025","7","9","0.5","1.29","0","0","0","","0","","0.0","","","85.7","0","","8","1.14","88.9","0.14","4","57.1","3","0","0.75","","3","42.9","6","0","2.00","","0.3","5.7","10.0","0.6"
"131","Amar Johnson","LAC","RB","1","2025","2","8","8.0","4.00","0","0","0","","0","","0.0","","50.0","50.0","0","","4","2.00","50.0","2.00","0","","0","0","","","2","100.0","8","0","4.00","50.0","0.8","0.8","1.0","1.0"
"132","Kalel Mullings","TEN","RB","5","2025","3","7","1.4","2.33","0","0","2","","0","","0.0","","66.7","33.3","1","0.33","5","1.67","71.4","0.67","0","","0","0","","","3","100.0","7","0","2.33","66.7","0.1","0.7","1.7","0.3"
"133","Owen Wright","TB","RB","3","2025","3","6","2.0","2.00","0","0","0","","0","","0.0","","","66.7","0","","1","0.33","16.7","1.67","3","100.0","6","0","2.00","","0","","0","0","","","0.2","0.6","1.1","0.4"
"134","Myles Gaskin","SEA","RB","1","2025","3","6","6.0","2.00","0","0","0","","0","","0.0","","","66.7","0","","11","3.67","183.3","-1.67","2","66.7","6","0","3.00","","1","33.3","0","0","","","0.6","0.6","1.5","1.5"
"135","C.J. Ham","MIN","FB","11","2025","3","5","0.5","1.67","2","0","2","","0","","18.2","66.7","66.7","33.3","0","","2","0.67","40.0","1.00","0","","0","0","","","1","33.3","3","0","3.00","","1.4","15.6","13.0","1.2"
"136","Andrew Beck","NYJ","FB","17","2025","1","5","0.3","5.00","0","0","1","","0","","0.0","","100.0","","0","","1","1.00","20.0","4.00","0","","0","0","","","0","","0","0","","","1.4","23.0","20.0","1.2"
"137","Sione Vaki","DET","RB","8","2025","1","4","0.5","4.00","0","0","0","","0","","0.0","","100.0","","0","","2","2.00","50.0","2.00","0","","0","0","","","1","100.0","4","0","4.00","100.0","0.1","0.4","0.5","0.1"
"138","Reggie Gilliam","BUF","FB","17","2025","2","4","0.2","2.00","0","0","1","","0","","2.3","","50.0","50.0","0","","2","1.00","50.0","1.00","0","","0","0","","","0","","0","0","","","0.3","4.8","7.7","0.5"
"139","Craig Reynolds","DET","RB","6","2025","3","4","0.7","1.33","0","0","0","","0","","0.0","","","66.7","0","","1","0.33","25.0","1.00","3","100.0","4","0","1.33","","0","","0","0","","","0.1","0.4","2.1","0.4"
"140","Patrick Ricard","BLT","FB","11","2025","1","3","0.3","3.00","0","0","1","","0","","0.0","","100.0","","0","","1","1.00","33.3","2.00","0","","0","0","","","0","","0","0","","","0.2","2.1","3.7","0.3"
"141","Kendall Milton","CIN","RB","1","2025","2","2","2.0","1.00","0","0","0","","0","","0.0","","","100.0","0","","2","1.00","100.0","0.00","1","50.0","2","0","2.00","","1","50.0","0","0","","","0.2","0.2","1.7","1.7"
"142","Nyheim Hines","NO, LAC","RB","4","2025","2","-2","-0.5","-1.00","0","0","0","","0","","0.0","","","100.0","0","","1","0.50","-50.0","-1.50","0","","0","0","","","2","100.0","-2","0","-1.00","","-0.1","-0.2","0.9","0.2"
"143","Travis Homer","CHI","RB","8","2025","1","-2","-0.3","-2.00","0","0","0","","0","","0.0","","","100.0","0","","4","4.00","-200.0","-6.00","0","","0","0","","","1","100.0","-2","0","-2.00","","0.0","-0.2","0.6","0.1"
"144","Kyle Juszczyk","SF","FB","17","2025","2","-3","-0.2","-1.50","0","0","0","","0","","3.8","","","100.0","0","","1","0.50","-33.3","-2.00","0","","0","0","","","0","","0","0","","","3.4","57.0","56.7","3.3"
"145","Ulysses Bentley","IND","RB","1","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","","-1.00","1","100.0","0","0","","","0","","0","0","","","","0.0","0.6","0.6"
