Name,Team,POS,RTE,TGT,AY,REC,YDS,YAC
Elijah Higgins,ARZ,TE,27,2,,2,34,34
Adam Thielen,PIT,WR,21,4,38,3,30,4
Josiah Deguara,ARZ,TE,5,,,,,
Braelon Allen,NYJ,RB,1,,,,,
Blake Whiteheart,CLV,TE,5,1,9,,,
Chris Manhertz,NYG,TE,1,,,,,
Mason Taylor,NYJ,TE,33,8,47,7,73,31
Emanuel Wilson,GB,RB,16,2,-8,2,6,14
Quentin Johnston,LAC,WR,57,6,49,2,10,9
Jeff Wilson,MIA,RB,1,,,,,
Kameron Johnson,TB,WR,5,1,15,,,
Dyami Brown,JAX,WR,15,3,24,3,35,11
Luther Burden,CHI,WR,24,7,43,5,34,26
Garrett Wilson,NYJ,WR,16,3,32,,,
Derrick Henry,BLT,RB,5,,,,,
Robert Tonyan,KC,TE,4,,,,,
Kareem Hunt,KC,RB,22,2,10,1,3,7
Ty Johnson,BUF,RB,11,1,1,1,3,2
Van Jefferson,TEN,WR,51,9,151,7,102,3
Andre Baccellia,ARZ,WR,5,,,,,
Elic Ayomanor,TEN,WR,51,10,106,6,80,19
Xavier Worthy,KC,WR,49,9,89,5,42,16
Elijah Moore,BUF,WR,7,2,21,1,4,
Malachi Corley,CLV,WR,2,,,,,
Rachaad White,TB,RB,23,2,,2,17,17
AJ Barner,SEA,TE,40,8,32,6,40,23
Zach Charbonnet,SEA,RB,21,4,6,4,39,33
Chuba Hubbard,CAR,RB,13,2,-6,2,14,20
Jared Wayne,HST,WR,3,,,,,
Isiah Pacheco,KC,RB,20,2,-3,2,11,14
Pat Freiermuth,PIT,TE,31,3,22,3,26,4
Darren Waller,MIA,TE,13,4,70,4,72,11
LeQuint Allen,JAX,RB,15,2,-4,1,10,6
Colston Loveland,CHI,TE,34,6,59,5,105,52
Bijan Robinson,ATL,RB,36,6,7,5,41,30
Jaleel McLaughlin,DEN,RB,3,,,,,
Calvin Austin,PIT,WR,35,6,71,5,63,5
Ronnie Bell,NO,WR,3,,,,,
Derius Davis,LAC,WR,2,,,,,
Kylen Granson,PHI,TE,11,2,4,2,8,4
Konata Mumpfield,LA,WR,15,,,,,
Kimani Vidal,LAC,RB,25,2,1,2,19,18
RJ Harvey,DEN,RB,19,8,-4,8,71,75
Mason Tipton,NO,WR,13,1,,1,10,10
Savion Williams,GB,WR,6,1,4,1,6,2
Tyreek Hill,MIA,WR,6,3,32,3,40,8
Demarcus Robinson,SF,WR,26,2,31,1,-1,
Tory Horton,SEA,WR,9,2,48,1,6,
Travis Kelce,KC,TE,58,16,96,13,126,55
Cole Kmet,CHI,TE,29,2,17,2,32,15
Rhamondre Stevenson,NE,RB,30,,,,,
Kaleb Johnson,PIT,RB,4,2,-8,1,9,14
Brenton Strange,JAX,TE,23,7,67,5,52,20
Gunnar Helm,TEN,TE,22,5,18,5,33,15
Justin Jefferson,MIN,WR,61,9,120,5,71,18
Rashid Shaheed,SEA,WR,32,3,42,3,49,7
Greg Dulcich,MIA,TE,10,3,18,2,25,11
Johnny Mundt,JAX,TE,9,2,13,,,
Durham Smythe,CHI,TE,7,,,,,
Xavier Legette,CAR,WR,24,,,,,
Jalin Hyatt,NYG,WR,12,2,83,,,
David Njoku,CLV,TE,28,7,33,5,34,18
Terrance Ferguson,LA,TE,13,4,59,1,3,
Brock Bowers,LV,TE,32,6,54,5,65,34
Brandin Cooks,BUF,WR,22,4,94,4,101,7
A.J. Brown,PHI,WR,34,7,42,7,77,35
Luke McCaffrey,WAS,WR,2,,,,,
Brock Wright,DET,TE,16,3,-4,2,8,7
Samori Toure,NO,WR,1,,,,,
Ryan Miller,TB,WR,1,,,,,
Chig Okonkwo,TEN,TE,47,10,50,7,62,34
Ke'Shawn Williams,CIN,WR,1,,,,,
Lucas Krull,DEN,TE,2,,,,,
Tyler Johnson,NYJ,WR,7,3,21,3,40,19
Nick Kallerup,SEA,TE,1,,,,,
Alex Bachman,LV,WR,1,,,,,
Austin Trammell,JAX,WR,5,,,,,
Tony Pollard,TEN,RB,34,8,-10,8,32,42
Drake Dabney,GB,TE,3,1,2,1,3,1
Ray Davis,BUF,RB,2,,,,,
JuJu Smith-Schuster,KC,WR,32,4,23,3,51,32
Ladd McConkey,LAC,WR,63,14,178,8,74,19
Romeo Doubs,GB,WR,45,9,98,6,55,10
CeeDee Lamb,DAL,WR,54,19,307,11,184,28
Noah Fant,CIN,TE,15,5,41,3,29,7
Kene Nwangwu,NYJ,RB,1,,,,,
James Cook,BUF,RB,24,4,3,2,5,13
Treylon Burks,WAS,WR,24,2,18,1,6,1
Michael Bandy,DEN,WR,3,1,6,1,6,
Isaiah Likely,BLT,TE,15,5,44,5,63,19
Dalton Schultz,HST,TE,66,19,95,17,182,99
Anthony Gould,IND,WR,4,1,-5,1,3,8
George Kittle,SF,TE,28,4,49,3,50,11
Hayden Rucci,MIA,TE,1,,,,,
Keenan Allen,LAC,WR,49,10,108,8,82,18
DJ Giddens,IND,RB,1,,,,,
Chris Rodriguez,WAS,RB,9,2,,2,24,24
Theo Wease,MIA,WR,1,,,,,
Olamide Zaccheaus,CHI,WR,30,5,40,3,27,20
Alec Pierce,IND,WR,61,11,211,7,129,40
Jalen Tolbert,DAL,WR,33,6,26,5,45,33
Drake London,ATL,WR,35,7,80,3,57,17
Jaylin Lane,WAS,WR,15,5,43,3,29,13
LaJohntay Wester,BLT,WR,1,,,,,
Bo Melton,GB,WR,14,4,84,2,55,2
Raheim Sanders,CLV,RB,4,1,6,1,10,4
Tyler Warren,IND,TE,69,8,41,6,42,17
Will Mallory,IND,TE,1,,,,,
Jaxon Smith-Njigba,SEA,WR,48,15,125,10,122,37
Sam LaPorta,DET,TE,22,9,49,7,94,56
Jackson Hawes,BUF,TE,6,3,29,2,44,18
Dee Eskridge,MIA,WR,5,1,16,,,
Brittain Brown,CHI,RB,3,1,4,,,
AJ Dillon,PHI,RB,1,,,,,
Ross Dwelley,DET,TE,4,1,,1,3,3
Christian McCaffrey,SF,RB,57,22,35,15,99,70
Tez Johnson,TB,WR,25,2,28,2,28,
Khalil Shakir,BUF,WR,31,2,6,2,12,6
Sterling Shepard,TB,WR,26,5,78,3,36,6
Chris Blair,ATL,WR,1,,,,,
Mitchell Tinsley,CIN,WR,8,2,5,1,9,5
Brycen Tremayne,CAR,WR,7,1,6,1,7,1
Jeremy McNichols,WAS,RB,14,4,2,3,20,18
Jerome Ford,CLV,RB,18,2,-2,2,1,3
George Pickens,DAL,WR,73,12,99,9,81,28
Rico Dowdle,CAR,RB,19,7,-10,4,32,33
Ricky Pearsall,SF,WR,33,2,25,1,5,
Pharaoh Brown,ARZ,TE,2,,,,,
Chris Olave,NO,WR,39,8,110,6,57,5
Rashod Bateman,BLT,WR,27,2,17,2,22,5
Grant Calcaterra,PHI,TE,4,1,19,,,
Josh Jacobs,GB,RB,34,7,1,6,55,52
Cade Stover,HST,TE,3,,,,,
Scott Miller,PIT,WR,5,,,,,
Jaylen Waddle,MIA,WR,28,6,109,4,63,4
Tee Higgins,CIN,WR,50,11,133,6,119,47
Ryan Flournoy,DAL,WR,32,9,58,6,48,30
Deebo Samuel,WAS,WR,47,9,1,7,77,69
Devin Duvernay,CHI,WR,1,1,26,1,24,-2
Mike Gesicki,CIN,TE,22,2,37,1,37,14
Clyde Edwards-Helaire,KC,RB,3,1,-4,1,2,6
Ben Skowronek,PIT,WR,5,,,,,
Beaux Collins,NYG,WR,3,,,,,
Jake Tonges,SF,TE,26,4,39,3,35,10
Trey Benson,ARZ,RB,11,2,-2,2,7,9
Roman Wilson,PIT,WR,23,3,26,2,8,3
Wan'Dale Robinson,NYG,WR,47,13,67,11,76,34
