Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
TreVeyon Henderson,NE,RB,42,149,0,0,72,2,0
Kene Nwangwu,NYJ,RB,2,8,0,0,6,0,0
Devin Neal,NO,RB,19,70,1,0,33,2,0
James Conner,ARZ,RB,9,28,0,0,16,1,0
Alec Ingold,MIA,FB,2,9,0,0,8,1,0
Kendre Miller,NO,RB,12,31,0,0,20,0,0
Jaydon Blue,DAL,RB,10,31,1,0,12,1,0
Ashton Jeanty,LV,RB,75,241,3,0,191,8,0
J.K. Dobbins,DEN,RB,26,103,0,0,50,4,0
Emari Demercado,ARZ,RB,12,133,0,0,22,1,0
Kaleb Johnson,PIT,RB,7,28,0,0,19,1,0
Rhamondre Stevenson,NE,RB,40,159,0,0,111,8,0
Travis Etienne,JAX,RB,92,359,2,0,194,10,0
Kyle Monangai,CHI,RB,34,150,2,0,71,1,0
Bam Knight,ARZ,RB,19,46,0,0,24,1,0
Patrick Ricard,BLT,FB,1,3,0,0,1,0,0
Samaje Perine,CIN,RB,22,81,1,0,43,0,0
Jaret Patterson,LAC,RB,11,49,0,0,23,0,0
Ronnie Rivers,LA,RB,6,33,0,0,16,0,0
Kendall Milton,CIN,RB,1,0,0,0,1,0,0
Amar Johnson,LAC,RB,2,8,0,0,4,0,0
Hunter Luepke,DAL,FB,10,28,0,0,21,1,0
Kyle Juszczyk,SF,FB,1,-2,0,0,1,0,0
Myles Gaskin,SEA,RB,1,0,0,0,1,0,0
Kimani Vidal,LAC,RB,55,154,0,0,88,2,0
RJ Harvey,DEN,RB,32,120,2,0,76,3,0
Dare Ogunbowale,HST,RB,3,14,1,0,12,1,0
Woody Marks,HST,RB,49,163,0,0,101,4,0
Najee Harris,LAC,RB,12,48,0,0,40,0,0
Chase Brown,CIN,RB,56,266,0,0,156,9,0
Dylan Sampson,CLV,RB,10,17,0,0,16,0,0
Jawhar Jordan,HST,RB,14,45,0,0,32,3,0
Adam Prentice,DEN,FB,6,16,0,0,8,0,0
Aaron Jones,MIN,RB,41,197,0,0,77,0,0
Saquon Barkley,PHI,RB,59,133,1,0,80,3,0
D'Ernest Johnson,NE,RB,3,6,0,0,4,0,0
Craig Reynolds,DET,RB,1,3,0,0,1,0,0
Jacob Saylors,DET,RB,1,2,0,0,0,0,0
Austin Ekeler,WAS,RB,5,7,0,0,7,0,0
Rasheen Ali,BLT,RB,1,5,0,0,3,0,0
Miles Sanders,DAL,RB,2,5,0,0,5,0,0
