Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Christian McCaffrey,SF,RB,91,370,3,0,187,15,0
Zamir White,LV,RB,3,7,0,0,4,0,0
Khalil Herbert,NYJ,RB,3,10,0,0,7,0,0
Jahmyr Gibbs,DET,RB,53,194,0,0,100,3,0
Reggie Gilliam,BUF,FB,1,-1,0,0,0,0,0
Zavier Scott,MIN,RB,6,26,0,0,19,1,0
Ameer Abdullah,IND,RB,4,20,0,0,12,0,0
Trayveon Williams,CLV,RB,3,2,0,0,3,0,0
Corey Kiner,ARZ,RB,3,11,0,0,6,2,0
Devin Singletary,NYG,RB,31,120,2,0,57,3,0
Jacardia Wright,SEA,RB,2,7,0,0,3,0,0
Tahj Brooks,CIN,RB,7,21,0,0,19,1,0
Dylan Laube,LV,RB,4,7,0,0,4,0,0
Will Shipley,PHI,RB,4,4,0,0,6,0,0
Kyren Williams,LA,RB,77,400,1,0,206,9,0
Alvin Kamara,NO,RB,51,175,1,0,89,6,0
Brian Robinson,SF,RB,27,118,1,0,72,2,0
Malik Davis,DAL,RB,15,78,0,0,29,1,0
Tony Pollard,TEN,RB,63,249,0,0,154,6,0
Ray Davis,BUF,RB,19,122,0,0,56,2,0
Trevor Etienne,CAR,RB,3,19,0,0,12,2,0
D'Andre Swift,CHI,RB,75,355,4,0,200,13,0
Cam Skattebo,NYG,RB,27,120,2,0,83,9,0
Justice Hill,BLT,RB,6,19,0,0,15,0,0
Josh Williams,TB,RB,3,9,0,0,4,0,0
James Conner,ARZ,RB,5,11,0,0,10,1,0
Devin Neal,NO,RB,18,44,0,0,30,1,0
Kene Nwangwu,NYJ,RB,8,27,0,0,13,1,0
TreVeyon Henderson,NE,RB,46,266,4,0,92,8,0
Kendre Miller,NO,RB,13,72,1,0,25,4,0
Blake Corum,LA,RB,33,100,0,0,56,4,0
Dameon Pierce,KC,RB,7,16,0,0,11,0,0
James Cook,BUF,RB,100,524,3,0,256,18,0
Raheem Mostert,LV,RB,8,14,0,0,13,0,0
Chris Brooks,GB,RB,3,6,0,0,7,0,0
George Holani,SEA,RB,6,21,0,0,14,2,0
Nate Carter,ATL,RB,2,13,0,0,6,0,0
Breece Hall,NYJ,RB,78,313,1,0,146,10,0
Evan Hull,NO,RB,5,13,0,0,4,0,0
Ronnie Rivers,LA,RB,1,5,0,0,3,0,0
Kyle Juszczyk,SF,FB,1,-1,0,0,0,0,0
Hunter Luepke,DAL,FB,4,30,0,0,12,0,0
Dare Ogunbowale,HST,RB,5,12,0,0,8,0,0
RJ Harvey,DEN,RB,37,145,0,0,53,4,0
Kimani Vidal,LAC,RB,32,118,0,0,60,1,0
Jaydon Blue,DAL,RB,3,10,0,0,4,0,0
Emari Demercado,ARZ,RB,8,68,0,0,60,3,0
J.K. Dobbins,DEN,RB,44,185,3,0,99,8,0
Kyle Monangai,CHI,RB,59,215,3,0,110,3,0
Ashton Jeanty,LV,RB,109,440,2,0,248,20,0
Rhamondre Stevenson,NE,RB,45,223,3,0,148,13,0
Kaleb Johnson,PIT,RB,7,15,0,0,7,0,0
Samaje Perine,CIN,RB,41,192,2,0,107,7,0
Travis Etienne,JAX,RB,54,182,2,0,107,5,0
Bam Knight,ARZ,RB,8,29,0,0,12,1,0
Jaret Patterson,LAC,RB,15,37,0,0,30,2,0
Saquon Barkley,PHI,RB,78,260,1,0,144,11,0
D'Ernest Johnson,NE,RB,5,13,0,0,20,1,0
Miles Sanders,DAL,RB,9,40,1,0,25,2,0
Austin Ekeler,WAS,RB,4,15,0,0,8,0,0
Rasheen Ali,BLT,RB,2,9,0,0,-1,0,0
Woody Marks,HST,RB,52,217,0,0,106,3,0
Chase Brown,CIN,RB,93,362,5,0,197,11,0
Najee Harris,LAC,RB,3,13,0,0,10,1,0
Dylan Sampson,CLV,RB,16,47,0,0,42,3,0
Jawhar Jordan,HST,RB,14,55,0,0,39,1,0
Adam Prentice,DEN,FB,3,25,0,0,8,0,0
Aaron Jones,MIN,RB,28,98,0,0,41,2,0
Kendall Milton,CIN,RB,1,2,0,0,1,0,0
Nyheim Hines,NO,RB,1,-3,0,0,0,0,0
DeeJay Dallas,JAX,RB,1,4,0,0,3,0,0
