Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Chris Olave,NO,WR,33,Yes,No,No,17,No,No,0.4706,0.5294,16,10,9,0.9,0.5882,8,0.8,32,50,14,-28,10,10,1,-2.8,80,1.8824,3.2,-1.8639,4,6.25,1.75,15.02,15.02,0.303,3.2,11.2,7.2,11.2,11.2,11.2,7.2,11.2,11.2,11.2,7.2,11.2,11.2,,2,0.25,,2,,,,,1,,,,,
Ricky Pearsall,SF,WR,23,Yes,No,No,9,No,Yes,0.3333,0.6667,9,3,3,1,0.3333,2,0.6667,1,8,2,-15,3,3,1,-5,70.1,0.1111,0.3333,-3.6555,0.5,4,1,4.9169,4.9169,0.1304,0.1,2.1,1.1,2.1,2.1,2.1,1.1,2.1,2.1,2.1,1.1,2.1,2.1,,,,,,1,0.3333,,,,,,,,
Jerome Ford,CLV,RB,11,No,Yes,No,11,No,Yes,,,13,7,7,1,0.6364,6,0.8571,41,60,13,-22,7,7,1,-3.1429,91.1,3.7273,5.8571,-0.1052,6.8333,10,2.1667,10.4363,10.4363,0.6364,4.1,10.1,7.1,13.1,10.1,10.1,7.1,10.1,10.1,10.1,7.1,10.1,10.1,1,2,0.3333,1,3,1,0.1429,,,,,,,,
George Pickens,DAL,WR,27,No,No,No,9,No,Yes,,1,17,1,1,1,0.1111,1,1,6,7,2,-1,1,1,1,-1,91.7,0.6667,6,-0.1699,6,7,2,1.519,1.519,0.037,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,,,,
Jeremy McNichols,WAS,RB,15,No,No,Yes,7,No,Yes,,0.1429,17,7,7,1,1,7,1,23,56,20,-33,7,7,1,-4.7143,80.4,3.2857,3.2857,-2.1983,3.2857,8,2.8571,10.6941,10.6941,0.4667,2.3,9.3,5.8,12.8,9.3,9.3,5.8,9.3,9.3,9.3,5.8,9.3,9.3,0.8571,2,0.2857,2,1,,,,,,,,,,
Brock Wright,DET,TE,18,Yes,No,No,1,No,Yes,,,11,1,1,1,1,,,,,,-5,1,1,1,-5,39.6,,,-4.3733,,,,1.6816,1.6816,0.0556,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,
Brandin Cooks,BUF,WR,20,No,No,Yes,4,No,Yes,0.25,0.75,15,1,1,1,0.25,1,1,8,10,2,-2,1,1,1,-2,100,2,8,2.5009,8,10,2,1.5449,1.5449,0.05,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,,,,,,,
A.J. Brown,PHI,WR,25,No,No,Yes,9,No,Yes,0.1111,0.8889,15,3,3,1,0.3333,3,1,3,9,5,-6,3,3,1,-2,79.2,0.3333,1,-4.5366,1,3,1.6667,4.0512,4.0512,0.12,0.3,3.3,1.8,3.3,3.3,3.3,1.8,3.3,3.3,3.3,1.8,3.3,3.3,,1,0.3333,1,,,,,,1,1,,,,
Luke McCaffrey,WAS,WR,11,Yes,No,No,4,No,Yes,0.25,0.75,9,2,2,1,0.5,2,1,7,10,3,-3,2,2,1,-1.5,81.3,1.75,3.5,-1.9897,3.5,5,1.5,2.8208,2.8208,0.1818,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,,,,,,,,,1,1,,,,
Terrance Ferguson,LA,TE,6,No,No,No,1,No,Yes,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
David Njoku,CLV,TE,23,No,Yes,No,8,No,Yes,0.125,0.125,12,5,5,1,0.625,5,1,31,47,14,-16,5,5,1,-3.2,92.5,3.875,6.2,1.1065,6.2,9.4,2.8,7.2861,7.2861,0.2174,3.1,8.1,5.6,8.1,10.6,8.1,5.6,8.1,8.1,8.1,5.6,10.6,8.1,,1,0.2,,,,,0.75,,,,,,,
Brock Bowers,LV,TE,27,No,No,Yes,9,No,Yes,0.6667,0.1111,12,4,4,1,0.4444,3,0.75,27,34,6,-10,4,4,1,-2.5,92.7,3,6.75,1.7397,9,11.3333,2,6.1902,6.1902,0.1481,2.7,5.7,4.2,5.7,7.2,5.7,4.2,5.7,5.7,5.7,4.2,7.2,5.7,,,,,2,1,0.25,0.2222,,,,,,,
Xavier Legette,CAR,WR,25,No,No,Yes,12,No,Yes,0.5,0.5,15,5,5,1,0.4167,5,1,17,28,12,-11,5,5,1,-2.2,80.8,1.4167,3.4,-2.0995,3.4,5.6,2.4,7.4469,7.4469,0.2,1.7,6.7,4.2,6.7,6.7,6.7,4.2,6.7,6.7,6.7,4.2,6.7,6.7,,3,0.6,,1,,,,,,,,,,
Johnny Mundt,JAX,TE,13,No,No,No,2,No,Yes,,,16,2,2,1,1,,,,,,-5,2,2,1,-2.5,39.6,,,-5.3581,,,,3.1503,3.1503,0.1538,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,
Durham Smythe,CHI,TE,9,No,No,No,2,No,No,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dulcich,MIA,TE,21,Yes,No,Yes,8,No,Yes,0.625,0.25,10,3,3,1,0.375,3,1,31,36,7,-5,3,3,1,-1.6667,109.7,3.875,10.3333,4.9982,10.3333,12,2.3333,6.3014,6.3014,0.1429,3.1,6.1,4.6,6.1,7.6,6.1,4.6,6.1,6.1,6.1,4.6,7.6,6.1,,,,1,1,,,0.125,,1,1,,,,
Rashid Shaheed,SEA,WR,25,Yes,No,Yes,11,No,Yes,0.8182,0.1818,18,8,7,0.875,0.7273,7,0.875,21,46,11,-27,8,8,1,-3.375,79.2,1.9091,2.625,-2.174,3,6.5714,1.5714,12.7067,12.7067,0.32,2.1,9.1,5.6,9.1,9.1,9.1,5.6,9.1,9.1,9.1,5.6,9.1,9.1,,2,0.2857,3,,,,,,,,,,,
Gunnar Helm,TEN,TE,26,Yes,No,No,7,No,No,0.4286,,16,6,6,1,0.8571,6,1,20,40,12,-20,6,6,1,-3.3333,80.6,2.8571,3.3333,-2.1023,3.3333,6.6667,2,8.6515,8.6515,0.2308,2,8,5,8,11,8,5,8,8,8,5,11,8,,1,0.1667,,1,,,0.5714,,,,,,,
Justin Jefferson,MIN,WR,55,No,No,Yes,42,No,Yes,0.3571,0.6429,17,19,19,1,0.4524,19,1,123,160,45,-37,19,19,1,-1.9474,93.6,2.9286,6.4737,1.0245,6.4737,8.4211,2.3684,31.817,31.817,0.3455,12.3,31.3,21.8,31.3,31.3,34.3,24.8,31.3,31.3,31.3,21.8,31.3,31.3,,3,0.1579,,5,,,,,,,,,,
Brenton Strange,JAX,TE,27,No,No,No,6,No,Yes,0.1667,0.1667,12,3,3,1,0.5,3,1,27,35,6,-8,3,3,1,-2.6667,104.2,4.5,9,3.4728,9,11.6667,2,4.5905,4.5905,0.1111,2.7,5.7,4.2,5.7,7.2,5.7,4.2,5.7,5.7,5.7,4.2,7.2,5.7,,1,0.3333,,1,,,0.6667,,,,,,,
Kaleb Johnson,PIT,RB,3,No,No,No,1,No,Yes,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,12,Yes,No,Yes,7,No,Yes,,,14,4,4,1,0.5714,4,1,23,44,5,-21,4,4,1,-5.25,90.6,3.2857,5.75,0.4404,5.75,11,1.25,7.5817,7.5817,0.3333,2.3,6.3,4.3,8.3,6.3,6.3,4.3,6.3,6.3,6.3,4.3,6.3,6.3,1,1,0.25,,1,,,,,,,,,,
Tory Horton,SEA,WR,11,Yes,No,No,3,No,Yes,0.3333,0.6667,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce,KC,TE,65,No,No,No,12,No,Yes,0.5833,0.25,17,6,5,0.8333,0.5,5,0.8333,14,28,6,-17,6,6,1,-2.8333,79.2,1.1667,2.3333,-3.2724,2.8,5.6,1.2,9.2284,9.2284,0.0923,1.4,6.4,3.9,6.4,8.9,6.4,3.9,6.4,6.4,6.4,3.9,8.9,6.4,,1,0.2,1,,,,0.1667,,,,,,,
Cole Kmet,CHI,TE,36,No,No,No,4,No,No,,,16,3,3,1,0.75,3,1,15,24,4,-9,3,3,1,-3,87.5,3.75,5,-0.8652,5,8,1.3333,4.5423,4.5423,0.0833,1.5,4.5,3,4.5,6,4.5,3,4.5,4.5,4.5,3,6,4.5,,,,,1,,,1,,,,,,,
Tyreek Hill,MIA,WR,9,No,No,No,2,No,No,0.5,0.5,4,1,1,1,0.5,1,1,1,6,1,-5,1,1,1,-5,79.2,0.5,1,-3.1596,1,6,1,1.2697,1.2697,0.1111,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,,,,,,,,,,
Demarcus Robinson,SF,WR,17,Yes,No,Yes,4,No,Yes,0.5,0.5,14,1,1,1,0.25,1,1,10,10,1,,1,1,1,,108.3,2.5,10,3.9614,10,10,1,1.5682,1.5682,0.0588,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,,,,1,,,,,,,,,,
Savion Williams,GB,WR,10,Yes,No,No,9,No,Yes,0.7778,0.1111,12,6,6,1,0.6667,6,1,21,38,11,-17,6,6,1,-2.8333,120.8,2.3333,3.5,-1.6256,3.5,6.3333,1.8333,11.8952,11.8952,0.6,8.1,14.1,11.1,14.1,14.1,14.1,11.1,14.1,14.1,14.1,11.1,14.1,14.1,0.1111,2,0.3333,4,2,,,,1,,,,,,
Kimani Vidal,LAC,RB,21,No,No,No,6,No,Yes,0.1667,0.1667,13,4,4,1,0.6667,3,0.75,23,38,7,-20,4,4,1,-5,88.5,3.8333,5.75,-0.1211,7.6667,12.6667,2.3333,7.0296,7.0296,0.1905,2.3,5.3,3.8,6.8,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,0.6667,,,1,1,1,0.25,,,,,,,,
RJ Harvey,DEN,RB,37,No,No,No,14,No,Yes,0.2857,0.1429,17,8,8,1,0.5714,8,1,36,72,15,-36,8,8,1,-4.5,85.4,2.5714,4.5,-1.1333,4.5,9,1.875,12.6298,12.6298,0.2162,3.6,11.6,7.6,15.6,11.6,11.6,7.6,11.6,11.6,11.6,7.6,11.6,11.6,0.5714,,,1,1,,,,,,,,,,
Mason Tipton,NO,WR,12,No,No,Yes,3,No,Yes,0.3333,0.3333,13,1,1,1,0.3333,1,1,2,6,,-4,1,1,1,-4,79.2,0.6667,2,-2.4851,2,6,,1.2971,1.2971,0.0833,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,0.3333,,,1,,,,,,,,,,,
Deven Thompkins,ATL,WR,2,Yes,No,No,1,No,Yes,,1,7,1,1,1,1,1,1,4,9,1,-5,1,1,1,-5,83.3,4,4,-0.1596,4,9,1,1.2966,1.2966,0.5,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,,,,,,,,
Konata Mumpfield,LA,WR,12,Yes,No,No,4,No,Yes,,1,17,1,1,1,0.25,1,1,7,8,3,-1,1,1,1,-1,95.8,1.75,7,0.8301,7,8,3,1.6964,1.6964,0.0833,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,1,,,,,,,,,,
Kylen Granson,PHI,TE,10,No,No,Yes,3,No,Yes,0.6667,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,
Derius Davis,LAC,WR,2,No,No,No,2,No,Yes,,1,11,1,1,1,0.5,1,1,3,7,-1,-4,1,1,1,-4,79.2,1.5,3,-1.4851,3,7,-1,1.4759,1.4759,0.5,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,,,,,,,,
George Kittle,SF,TE,25,Yes,No,Yes,14,No,Yes,0.2857,0.0714,11,8,8,1,0.5714,8,1,40,64,33,-24,8,8,1,-3,87.5,2.8571,5,-0.507,5,8,4.125,11.6219,11.6219,0.32,4,12,8,12,16,12,8,12,12,12,8,16,12,,1,0.125,,1,,,0.6429,,,,,,,
Dalton Schultz,HST,TE,29,No,No,No,4,No,Yes,0.75,,17,1,1,1,0.25,1,1,11,16,14,-5,1,1,1,-5,112.5,2.75,11,6.6267,11,16,14,1.3609,1.3609,0.0345,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,1,1,,,,,0.25,,,,,,,
Keenan Allen,LAC,WR,23,No,No,No,13,No,Yes,0.4615,0.5385,17,5,5,1,0.3846,5,1,25,35,12,-10,5,5,1,-2,87.5,1.9231,5,-0.4267,5,7,2.4,7.6806,7.6806,0.2174,2.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,,,,,1,,,,,,,,,,
Anthony Gould,IND,WR,1,No,No,Yes,1,No,Yes,1,,11,1,1,1,1,1,1,3,8,1,-5,1,1,1,-5,79.2,3,3,-1.1596,3,8,1,2.0208,2.0208,1,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,,,,,,,,
Isaiah Likely,BLT,TE,21,No,No,No,7,No,Yes,0.7143,0.1429,14,1,1,1,0.1429,1,1,6,8,3,-2,1,1,1,-2,91.7,0.8571,6,1.1489,6,8,3,1.9148,1.9148,0.0476,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,,,,,,,0.1429,,,,,,,
Treylon Burks,WAS,WR,12,No,No,Yes,5,No,Yes,,1,8,1,1,1,0.2,1,1,6,7,2,-1,1,1,1,-1,91.7,1.2,6,-0.1699,6,7,2,1.4786,1.4786,0.0833,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,,,,
James Cook,BUF,RB,19,No,No,Yes,8,No,Yes,,,17,2,2,1,0.25,2,1,14,27,4,-13,2,2,1,-6.5,95.8,1.75,7,2.191,7,13.5,2,3.4431,3.4431,0.1053,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,1,3,1.5,1,1,,,,,,,,,,
Kene Nwangwu,NYJ,RB,3,No,No,Yes,3,No,Yes,0.3333,,10,1,,,0.3333,,,,,,-6,1,1,1,-6,39.6,,,-5.0893,,,,1.3542,1.3542,0.3333,,,,,,,,,,,,,,0.6667,,,,,,,,,,,,,,
Noah Fant,CIN,TE,15,No,Yes,No,2,No,No,,,15,2,2,1,1,2,1,13,18,-2,-5,2,2,1,-2.5,93.8,6.5,6.5,0.8811,6.5,9,-1,3.5179,3.5179,0.1333,0.3,2.3,1.3,2.3,3.3,2.3,0.3,1.3,1.3,1.3,0.3,3.3,1.3,,,,,1,,,1,,,,,,,
CeeDee Lamb,DAL,WR,18,No,No,No,10,No,Yes,0.7,0.3,14,5,5,1,0.5,5,1,11,28,4,-17,5,5,1,-3.4,79.2,1.1,2.2,-2.5957,2.2,5.6,0.8,7.9594,7.9594,0.2778,1.1,6.1,3.6,6.1,6.1,6.1,3.6,6.1,6.1,6.1,3.6,6.1,6.1,,,,1,,,,,,,,,,,
Ray Davis,BUF,RB,3,No,No,Yes,2,No,Yes,,,17,1,1,1,0.5,1,1,-1,6,1,-7,1,1,1,-7,79.2,-0.5,-1,-5.5287,-1,6,1,1.1529,1.1529,0.3333,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,1,,,1,,,,,,,,,,,
DeeJay Dallas,JAX,RB,1,No,No,No,1,No,Yes,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,43,No,No,No,12,No,Yes,0.25,0.0833,17,7,7,1,0.5833,6,0.8571,19,49,17,-34,7,7,1,-4.8571,79.2,1.5833,2.7143,-2.9591,3.1667,8.1667,2.8333,13.8464,13.8464,0.1628,1.9,7.9,4.9,10.9,7.9,7.9,4.9,7.9,7.9,7.9,4.9,7.9,7.9,0.6667,1,0.1667,1,1,1,0.1429,,,,,,,,
Ladd McConkey,LAC,WR,31,No,No,No,10,No,Yes,0.6,0.4,16,4,4,1,0.4,4,1,15,29,2,-14,4,4,1,-3.5,82.3,1.5,3.75,-0.9886,3.75,7.25,0.5,5.7029,5.7029,0.129,1.5,5.5,3.5,5.5,5.5,5.5,3.5,5.5,5.5,5.5,3.5,5.5,5.5,,1,0.25,1,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,60,No,No,No,9,No,Yes,0.7778,0.2222,17,5,5,1,0.5556,5,1,41,55,16,-14,5,5,1,-2.8,100.8,4.5556,8.2,3.015,8.2,11,3.2,7.2713,7.2713,0.0833,4.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,,2,0.4,2,1,,,,,,,,,,
Romeo Doubs,GB,WR,28,No,No,No,10,No,Yes,,1,16,2,2,1,0.2,2,1,4,8,,-4,2,2,1,-2,79.2,0.4,2,-3.4991,2,4,,3.294,3.294,0.0714,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,,,,1,,,,,,,,,,,
Alex Bachman,LV,WR,2,No,No,No,2,No,Yes,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Krull,DEN,TE,5,No,No,No,1,No,Yes,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,12,Yes,No,No,1,No,Yes,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,60,No,No,No,23,No,Yes,0.3478,0.1739,17,21,19,0.9048,0.913,17,0.8095,125,164,36,-49,21,21,1,-2.3333,107.3,5.4348,5.9524,0.5951,7.3529,9.6471,2.1176,35.4177,35.4177,0.35,18.5,35.5,27,35.5,44,38.5,30,35.5,35.5,35.5,27,44,35.5,,1,0.0588,4,5,2,0.0952,0.4783,1,,,,,,
Ke'Shawn Williams,CIN,WR,2,No,Yes,No,2,No,No,0.5,0.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,18,No,No,No,4,No,Yes,0.25,0.75,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,14,No,No,No,7,No,Yes,0.1429,,17,5,5,1,0.7143,5,1,26,43,11,-17,5,5,1,-3.4,88.3,3.7143,5.2,-0.6193,5.2,8.6,2.2,7.3101,7.3101,0.3571,2.6,7.6,5.1,10.1,7.6,7.6,5.1,7.6,7.6,7.6,5.1,7.6,7.6,0.8571,2,0.4,,1,,,,,,,,,,
Gage Larvadain,CLV,WR,11,No,Yes,No,5,No,No,0.8,0.2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trayveon Williams,CLV,RB,6,No,Yes,No,6,No,No,,,6,6,5,0.8333,1,5,0.8333,48,68,9,-26,6,6,1,-4.3333,100,8,8,2.4875,9.6,13.6,1.8,9.9687,9.9687,1,4.8,9.8,7.3,12.3,9.8,9.8,7.3,9.8,9.8,9.8,7.3,9.8,9.8,1,,,1,2,,,,,,,,,,
David Sills,ATL,WR,33,Yes,No,No,6,No,Yes,0.1667,0.8333,17,2,2,1,0.3333,1,0.5,9,10,9,-2,2,2,1,-1,62.5,1.5,4.5,-1.6699,9,10,9,3.9739,3.9739,0.0606,6.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,,2,2,1,1,1,0.5,,1,1,,,,,
Ameer Abdullah,IND,RB,6,No,No,No,4,No,Yes,0.25,,13,2,2,1,0.5,2,1,12,24,2,-12,2,2,1,-6,91.7,3,6,0.9507,6,12,1,2.9856,2.9856,0.3333,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,0.75,,,,1,,,,,,,,,,
Khalil Herbert,NYJ,RB,2,No,No,Yes,1,No,Yes,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Quinshon Judkins,CLV,RB,22,No,No,No,15,No,Yes,,,14,12,9,0.75,0.8,8,0.6667,88,117,18,-42,12,12,1,-3.5,88.2,5.8667,7.3333,1.5577,11,14.625,2.25,16.4553,16.4553,0.5455,8.8,16.8,12.8,20.8,16.8,16.8,12.8,16.8,16.8,16.8,12.8,16.8,16.8,1,3,0.375,,3,,,,,2,1,,,,
Devaughn Vele,NO,WR,12,No,No,No,5,No,Yes,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,21,No,No,No,7,No,Yes,0.8571,0.1429,16,2,1,0.5,0.2857,1,0.5,4,8,1,-6,2,2,1,-3,56.3,0.5714,2,-2.9921,4,8,1,6.1451,6.1451,0.0952,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,,,,,,,,
Tetairoa McMillan,CAR,WR,38,No,No,Yes,21,No,Yes,0.0476,0.9524,17,3,3,1,0.1429,2,0.6667,13,16,1,-4,3,3,1,-1.3333,75.7,0.619,4.3333,-1.6129,6.5,8,0.5,4.5699,4.5699,0.0789,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,,1,0.5,,,1,0.3333,,,,,,,,
Foster Moreau,NO,TE,6,No,No,Yes,2,No,Yes,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Tyler Allgeier,ATL,RB,18,Yes,No,No,8,No,Yes,0.25,,17,2,2,1,0.25,2,1,18,34,1,-16,2,2,1,-8,104.2,2.25,9,3.6761,9,17,0.5,3.3485,3.3485,0.1111,1.8,3.8,2.8,4.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,0.75,,,,,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,9,No,No,No,4,No,Yes,,1,10,1,1,1,0.25,1,1,1,3,1,-2,1,1,1,-2,79.2,0.25,1,-4.4991,1,3,1,1.6115,1.6115,0.1111,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,1,,,,,,,,,,,
Isaiah Bond,CLV,WR,30,No,Yes,No,18,No,No,0.5,0.4444,16,4,4,1,0.2222,4,1,38,33,6,-16,4,4,1,-4,106.3,2.1111,9.5,3.8259,9.5,8.25,1.5,6.9122,6.9122,0.1333,3.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,0.0556,1,0.25,1,2,,,,,,,,,,
Isaiah Davis,NYJ,RB,12,Yes,No,No,6,No,Yes,0.1667,0.1667,16,5,5,1,0.8333,5,1,30,61,10,-31,5,5,1,-6.2,91.7,5,6,0.8222,6,12.2,2,8.4679,8.4679,0.4167,3,8,5.5,10.5,8,8,5.5,8,8,8,5.5,8,8,0.6667,,,,1,,,,,,,,,,
Colby Parkinson,LA,TE,18,Yes,No,No,10,No,Yes,,,15,10,9,0.9,1,8,0.8,90,115,14,-30,10,10,1,-3,64.6,9,9,3.6465,11.25,14.375,1.75,15.8646,15.8646,0.5556,9,17,13,17,21,17,13,17,17,17,13,21,17,,,,4,3,1,0.1,1,,1,,,,,
Jacory Croskey-Merritt,WAS,RB,24,No,No,Yes,12,No,Yes,0.1667,0.0833,17,6,4,0.6667,0.5,4,0.6667,21,41,8,-32,6,6,1,-5.3333,72.2,1.75,3.5,-1.6544,5.25,10.25,2,7.7832,7.7832,0.25,2.1,6.1,4.1,8.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,0.75,,,1,1,,,,,,,,,,
Rome Odunze,CHI,WR,45,Yes,No,No,6,No,Yes,0.5,0.5,12,2,1,0.5,0.3333,1,0.5,-4,-1,,-8,2,2,1,-4,56.3,-0.6667,-2,-6.5502,-4,-1,,3.1107,3.1107,0.0444,-0.4,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,,,,,,,,,,,,,,,
Bucky Irving,TB,RB,25,No,No,Yes,16,No,Yes,0.125,0.125,10,7,7,1,0.4375,7,1,59,101,18,-42,7,7,1,-6,141.4,3.6875,8.4286,3.276,8.4286,14.4286,2.5714,11.3763,11.3763,0.28,11.9,18.9,15.4,22.4,18.9,18.9,15.4,18.9,18.9,18.9,15.4,18.9,18.9,0.75,3,0.4286,1,3,,,,1,,,,,,
Keaton Mitchell,BLT,RB,8,No,No,No,6,No,Yes,0.6667,,13,5,4,0.8,0.8333,3,0.6,24,38,1,-21,5,5,1,-4.2,32.5,4,4.8,-0.8441,8,12.6667,0.3333,7.6744,7.6744,0.625,2.4,5.4,3.9,6.9,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,0.3333,,,,1,1,0.2,,,,,,,,
DJ Moore,CHI,WR,56,No,No,No,20,No,No,0.35,0.5,17,14,14,1,0.7,11,0.7857,63,89,19,-34,14,14,1,-2.4286,85.4,3.15,4.5,-0.5977,5.7273,8.0909,1.7273,21.0643,21.0643,0.25,6.3,17.3,11.8,17.3,17.3,17.3,11.8,17.3,17.3,17.3,11.8,17.3,17.3,0.15,1,0.0909,3,4,2,0.1429,,,1,,,,,
